Asset,AUC,CI_Lower,CI_Upper,AUC_HAR,Delta,N
SPY,0.6724103375527426,0.6292982949893486,0.7144549583593752,0.7086603375527425,-0.03624999999999989,4094
QQQ,0.6183400130168191,0.5733702917845215,0.6628167611108271,0.6665424930634055,-0.04820248004658645,4093
IWM,0.6176496920212005,0.5723667572569585,0.661110677598932,0.5847568399942702,0.032892852026930264,4094
DIA,0.6451118245732113,0.5995960129569059,0.6883364237719859,0.6674312635858444,-0.022319439012633113,4094
XLF,0.6800356058704038,0.623608808034097,0.7376461132273582,0.6161481751991419,0.0638874306712619,4093
XLE,0.7086682554740585,0.6671812983972423,0.7453330100260742,0.7113082980479265,-0.0026400425738679623,4094
XLK,0.6181772430279433,0.5703330272205025,0.6648051715322213,0.662027821009326,-0.0438505779813827,4094
EFA,0.6199389790614065,0.5663268136283901,0.6680646514226606,0.626988299401043,-0.007049320339636456,4094
EEM,0.5814983377393255,0.5319635540716483,0.6293771990475856,0.5895317631979493,-0.008033425458623844,4094
GLD,0.5484327351630307,0.504744873977834,0.5919873383749207,0.5586368167956838,-0.010204081632653073,4094
