Component,Triple_AUC,Delta,New_Catches
Drawdown_Depth,0.7284618521330747,-0.002110049495205213,4
Gap_Risk,0.7282166610422116,-0.0023552405860682857,10
VIX,0.7219190289378217,-0.008652872690458224,1
VIX_Term,0.7118987105936612,-0.01867319103461873,7
ATR_Expansion,0.7103686830338312,-0.020203218594448735,11
Volume_Spike,0.7024838999971877,-0.028088001631092152,10
Skew_Risk,0.684785321578222,-0.04578658005005787,7
Tail_Risk,0.6717541620967968,-0.05881773953148306,11
Bond_Corr,0.670770761270002,-0.05980114035827788,11
Gold_Flight,0.6533323139008409,-0.077239587727439,7
Complacency,0.6223995683230686,-0.10817233330521125,11
Low_Vol_Regime,0.5816249050873197,-0.14894699654096022,13
