symbol,date,open,high,low,close,volume,change,changePercent,vwap
SPY,2020-12-15,367.4,369.59,365.92,369.59,63865300,2.19,0.59608,368.13
SPY,2020-12-16,369.82,371.16,368.87,370.17,58420500,0.35,0.09464064,370.01
SPY,2020-12-17,371.94,372.46,371.05,372.24,64119500,0.3,0.08065817,371.92
SPY,2020-12-18,370.97,371.15,367.02,369.18,136542300,-1.79,-0.48252,369.58
SPY,2020-12-21,364.97,378.46,362.03,367.86,96386700,2.89,0.79185,368.33
SPY,2020-12-22,368.21,368.33,366.03,367.24,47949000,-0.97,-0.26344,367.45
SPY,2020-12-23,368.28,369.62,367.22,367.57,46201400,-0.71,-0.19279,368.17
SPY,2020-12-24,368.08,369.03,367.45,369.0,26457900,0.92,0.24995,368.39
SPY,2020-12-28,371.74,372.59,371.07,372.17,39000400,0.43,0.11567,371.89
SPY,2020-12-29,373.81,374.0,370.83,371.46,53680500,-2.35,-0.62866,372.52
SPY,2020-12-30,372.34,373.1,371.57,371.99,49455300,-0.35,-0.09400011,372.25
SPY,2020-12-31,371.78,374.66,371.23,373.88,78520700,2.1,0.56485,372.89
SPY,2021-01-04,375.31,375.45,364.82,368.79,110210800,-6.52,-1.74,371.09
SPY,2021-01-05,368.1,372.5,368.05,371.33,66426200,3.23,0.87748,369.99
SPY,2021-01-06,369.71,376.98,369.12,373.55,107997700,3.84,1.04,372.34
SPY,2021-01-07,376.1,379.9,375.91,379.1,68766800,3.0,0.79766,377.75
SPY,2021-01-08,380.59,381.49,377.1,381.26,71677200,0.67,0.17604,380.11
SPY,2021-01-11,377.85,380.58,377.72,378.69,51034700,0.84,0.22231,378.71
SPY,2021-01-12,378.89,379.86,376.36,378.77,52547700,-0.12,-0.03167146,378.47
SPY,2021-01-13,378.69,380.86,377.85,379.79,45303600,1.1,0.29048,379.3
SPY,2021-01-14,380.59,381.13,378.1,378.46,49989100,-2.13,-0.55966,379.57
SPY,2021-01-15,376.72,377.58,373.7,375.7,107160000,-1.02,-0.27076,375.93
SPY,2021-01-19,378.34,379.23,376.75,378.65,51233300,0.31,0.08193688,378.24
SPY,2021-01-20,381.11,384.79,380.69,383.89,61836100,2.78,0.72945,382.62
SPY,2021-01-21,384.49,384.95,383.25,384.24,47840100,-0.25,-0.0650212,384.23
SPY,2021-01-22,382.25,384.13,381.84,382.88,52860500,0.63,0.16481,382.78
SPY,2021-01-25,383.67,384.77,378.46,384.39,70402000,0.72,0.18766,382.82
SPY,2021-01-26,385.41,385.85,383.54,383.79,42665300,-1.62,-0.42033,384.65
SPY,2021-01-27,380.22,380.32,372.01,374.41,123351100,-5.81,-1.53,376.74
SPY,2021-01-28,376.36,381.93,375.89,377.63,94198100,1.27,0.33744,377.95
SPY,2021-01-29,375.63,376.67,368.27,370.07,126765100,-5.56,-1.48,372.66
SPY,2021-02-01,373.72,377.34,370.38,376.23,75817600,2.51,0.67163,374.42
SPY,2021-02-02,379.65,383.22,376.32,381.55,64450700,1.9,0.50046,380.18
SPY,2021-02-03,382.44,383.7,380.48,381.85,52427100,-0.59,-0.15427,382.12
SPY,2021-02-04,382.96,386.24,381.97,386.19,47142600,3.23,0.84343,384.34
SPY,2021-02-05,388.2,388.47,386.14,387.71,48669800,-0.49,-0.12622,387.63
SPY,2021-02-08,389.27,390.56,388.35,390.51,38365200,1.24,0.31854,389.67
SPY,2021-02-09,389.61,390.89,389.17,390.25,35551100,0.64,0.16427,389.98
SPY,2021-02-10,392.12,392.28,387.5,390.08,59154400,-2.04,-0.52025,390.49
SPY,2021-02-11,391.24,391.69,388.1,390.71,42913300,-0.53,-0.13547,390.43
SPY,2021-02-12,389.85,392.9,389.77,392.64,50593300,2.79,0.71566,391.29
SPY,2021-02-16,393.96,394.17,391.53,392.3,50972400,-1.66,-0.42136,392.99
SPY,2021-02-17,390.42,392.66,389.33,392.39,52290600,1.97,0.50458,391.2
SPY,2021-02-18,389.59,391.52,387.74,390.72,59712800,1.13,0.29005,389.89
SPY,2021-02-19,392.07,392.38,389.55,390.03,83241000,-2.04,-0.52032,391.01
SPY,2021-02-22,387.06,389.62,386.74,387.03,67414200,-0.03,-0.00775074,387.61
SPY,2021-02-23,384.66,388.95,380.2,387.5,107284100,2.84,0.73831,385.33
SPY,2021-02-24,386.33,392.23,385.27,391.77,72433900,5.44,1.41,388.9
SPY,2021-02-25,390.41,391.88,380.78,382.33,146670500,-8.08,-2.07,386.35
SPY,2021-02-26,384.35,385.58,378.23,380.36,152701600,-3.99,-1.04,382.13
SPY,2021-03-01,385.59,390.92,380.57,389.58,105348800,3.99,1.03,386.67
SPY,2021-03-02,389.82,390.07,386.0,386.54,79595300,-3.28,-0.84141,388.11
SPY,2021-03-03,385.79,386.83,381.31,381.42,119940200,-4.37,-1.13,383.84
SPY,2021-03-04,381.22,384.0,371.88,376.7,183433000,-4.52,-1.19,378.45
SPY,2021-03-05,380.46,384.76,372.64,383.63,152039600,3.17,0.8332,380.37
SPY,2021-03-08,384.66,387.68,381.42,381.72,123149200,-2.94,-0.76431,383.87
SPY,2021-03-09,385.85,389.91,385.31,387.17,113633600,1.32,0.3421,387.06
SPY,2021-03-10,389.69,391.4,388.17,389.58,109899400,-0.11,-0.02822757,389.71
SPY,2021-03-11,392.23,395.65,391.74,393.53,86245000,1.3,0.33144,393.29
SPY,2021-03-12,392.07,394.21,391.2,394.06,64653600,1.99,0.50756,392.89
SPY,2021-03-15,394.33,396.69,392.03,396.41,73427200,2.08,0.52748,394.86
SPY,2021-03-16,397.07,397.83,395.08,395.91,73722500,-1.16,-0.29214,396.47
SPY,2021-03-17,394.53,398.12,393.3,397.26,97959300,2.73,0.69196,395.8
