symbol,date,open,high,low,close,volume,change,changePercent,vwap
^VIX,2020-12-15,24.0,24.07,22.73,22.89,0,-1.11,-4.62,23.4225
^VIX,2020-12-16,22.51,23.67,22.29,22.5,0,-0.01,-0.0444247,22.7425
^VIX,2020-12-17,21.98,22.27,21.52,21.93,0,-0.05,-0.22748,21.925
^VIX,2020-12-18,22.15,23.77,21.57,21.57,0,-0.58,-2.62,22.265
^VIX,2020-12-21,24.25,31.46,24.23,25.16,0,0.91,3.75,26.275
^VIX,2020-12-22,25.24,25.56,23.53,24.23,0,-1.01,-4.0,24.64
^VIX,2020-12-23,23.49,23.68,22.13,23.31,0,-0.18,-0.76628,23.1525
^VIX,2020-12-24,22.47,22.83,21.39,21.53,0,-0.94,-4.18,22.055
^VIX,2020-12-28,22.11,22.12,21.15,21.7,0,-0.41,-1.85,21.77
^VIX,2020-12-29,21.61,23.72,20.99,23.08,0,1.47,6.8,22.35
^VIX,2020-12-30,22.58,23.15,22.41,22.77,0,0.19,0.84145,22.7275
^VIX,2020-12-31,22.99,23.25,21.24,22.75,0,-0.24,-1.04,22.5575
^VIX,2021-01-04,23.04,29.19,22.56,26.97,0,3.93,17.06,25.44
^VIX,2021-01-05,26.94,28.6,24.8,25.34,0,-1.6,-5.94,26.42
^VIX,2021-01-06,25.48,26.77,22.14,25.07,0,-0.41,-1.61,24.865
^VIX,2021-01-07,23.67,23.91,22.25,22.37,0,-1.3,-5.49,23.05
^VIX,2021-01-08,22.43,23.34,21.42,21.56,0,-0.87,-3.88,22.1875
^VIX,2021-01-11,23.31,24.81,23.23,24.08,0,0.77,3.3,23.8575
^VIX,2021-01-12,23.49,25.15,22.83,23.33,0,-0.16,-0.68114,23.7
^VIX,2021-01-13,23.07,24.18,21.92,22.21,0,-0.86,-3.73,22.845
^VIX,2021-01-14,22.22,23.47,21.66,23.25,0,1.03,4.64,22.65
^VIX,2021-01-15,23.52,25.8,23.08,24.34,0,0.82,3.49,24.185
^VIX,2021-01-19,23.03,23.56,22.53,23.24,0,0.21,0.91185,23.09
^VIX,2021-01-20,22.82,22.86,21.37,21.58,0,-1.24,-5.43,22.1575
^VIX,2021-01-21,21.34,22.22,21.09,21.32,0,-0.02,-0.09372071,21.4925
^VIX,2021-01-22,22.24,23.73,21.27,21.91,0,-0.33,-1.48,22.2875
^VIX,2021-01-25,22.31,26.63,22.2,23.19,0,0.88,3.94,23.5825
^VIX,2021-01-26,23.91,23.94,22.55,23.02,0,-0.89,-3.72,23.355
^VIX,2021-01-27,23.82,37.21,23.71,37.21,0,13.39,56.21,30.4875
^VIX,2021-01-28,33.25,36.29,27.39,30.21,0,-3.04,-9.14,31.785
^VIX,2021-01-29,35.16,37.51,29.24,33.09,0,-2.07,-5.89,33.75
^VIX,2021-02-01,31.45,33.96,29.03,30.24,0,-1.21,-3.85,31.17
^VIX,2021-02-02,28.01,28.08,25.31,25.56,0,-2.45,-8.75,26.74
^VIX,2021-02-03,24.59,25.43,22.91,22.91,0,-1.68,-6.83,23.96
^VIX,2021-02-04,23.44,23.44,21.68,21.77,0,-1.67,-7.12,22.5825
^VIX,2021-02-05,21.99,22.16,20.86,20.87,0,-1.12,-5.09,21.47
^VIX,2021-02-08,21.89,22.07,21.23,21.24,0,-0.65,-2.97,21.6075
^VIX,2021-02-09,21.57,22.26,20.65,21.63,0,0.06,0.27816,21.5275
^VIX,2021-02-10,21.64,23.85,19.69,21.99,0,0.35,1.62,21.7925
^VIX,2021-02-11,22.09,23.25,21.11,21.25,0,-0.84,-3.8,21.925
^VIX,2021-02-12,21.6,22.45,19.95,19.97,0,-1.63,-7.55,20.9925
^VIX,2021-02-16,21.13,22.46,20.88,21.46,0,0.33,1.56,21.4825
^VIX,2021-02-17,22.02,23.44,21.09,21.5,0,-0.52,-2.36,22.0125
^VIX,2021-02-18,21.98,24.23,21.8,22.49,0,0.51,2.32,22.625
^VIX,2021-02-19,23.1,23.19,20.84,22.05,0,-1.05,-4.55,22.295
^VIX,2021-02-22,24.46,25.09,21.96,23.45,0,-1.01,-4.13,23.74
^VIX,2021-02-23,22.82,27.01,22.5,23.11,0,0.29,1.27,23.86
^VIX,2021-02-24,23.76,25.04,21.31,21.34,0,-2.42,-10.19,22.8625
^VIX,2021-02-25,21.73,31.16,21.52,28.89,0,7.16,32.95,25.825
^VIX,2021-02-26,28.73,30.82,25.23,27.95,0,-0.78,-2.71,28.1825
^VIX,2021-03-01,25.2,25.39,23.17,23.35,0,-1.85,-7.34,24.2775
^VIX,2021-03-02,23.58,24.6,22.8,24.1,0,0.52,2.21,23.77
^VIX,2021-03-03,22.8,26.79,22.45,26.67,0,3.87,16.97,24.6775
^VIX,2021-03-04,26.52,31.9,24.93,28.57,0,2.05,7.73,27.98
^VIX,2021-03-05,29.48,30.03,24.33,24.66,0,-4.82,-16.35,27.125
^VIX,2021-03-08,27.61,28.39,24.07,25.47,0,-2.14,-7.75,26.385
^VIX,2021-03-09,25.11,25.25,22.9,24.03,0,-1.08,-4.3,24.3225
^VIX,2021-03-10,23.76,23.87,22.38,22.56,0,-1.2,-5.05,23.1425
^VIX,2021-03-11,22.5,22.5,21.45,21.91,0,-0.59,-2.62,22.09
^VIX,2021-03-12,22.57,22.99,20.63,20.69,0,-1.88,-8.33,21.72
^VIX,2021-03-15,21.84,21.86,19.87,20.03,0,-1.81,-8.29,20.9
^VIX,2021-03-16,20.14,20.31,19.33,19.79,0,-0.35,-1.74,19.8925
^VIX,2021-03-17,20.1,20.95,19.18,19.23,0,-0.87,-4.33,19.865
^VIX,2021-03-18,18.95,22.6,18.95,21.58,0,2.63,13.88,20.52
^VIX,2021-03-19,21.43,23.17,19.9,20.95,0,-0.48,-2.24,21.3625
^VIX,2021-03-22,21.91,22.29,18.87,18.88,0,-3.03,-13.83,20.4875
^VIX,2021-03-23,19.46,21.58,18.8,20.3,0,0.84,4.32,20.035
^VIX,2021-03-24,20.64,21.49,19.3,21.2,0,0.56,2.71,20.6575
^VIX,2021-03-25,20.8,23.55,19.81,19.81,0,-0.99,-4.76,20.9925
