date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,48.5,48.69,47.94,48.06,21.9403802337871,1184400,0.0,1.0
1999-11-02,48.0,48.38,47.25,47.56,21.7121199317293,1229000,0.0,1.0
1999-11-03,47.5,47.81,46.63,47.13,21.5158160719597,1644700,0.0,1.0
1999-11-04,47.38,47.38,46.5,46.69,21.3149470061489,2105200,0.0,1.0
1999-11-05,47.25,47.88,47.13,47.75,21.7988588465113,1532500,0.0,1.0
1999-11-08,47.88,48.69,47.44,48.63,22.2005969781328,1331700,0.0,1.0
1999-11-09,48.75,48.75,47.81,48.13,21.9723366760751,880700,0.0,1.0
1999-11-10,48.38,48.88,47.88,48.56,22.1686405358448,1433800,0.0,1.0
1999-11-11,48.81,49.44,48.56,49.31,22.5110309889313,1001900,0.0,1.0
1999-11-12,49.19,49.94,49.19,49.56,22.6251611399602,1361400,0.0,1.0
1999-11-15,49.63,49.81,49.19,49.63,22.6571175822483,1131700,0.0,1.0
1999-11-16,49.94,51.0,49.44,50.94,23.2551595736395,1780600,0.0,1.0
1999-11-17,50.94,51.25,50.5,50.69,23.1410294226106,950000,0.0,1.0
1999-11-18,51.06,51.06,49.69,50.13,22.885377884306,1438600,0.0,1.0
1999-11-19,49.88,50.5,49.69,50.44,23.0268992715817,1164100,0.0,1.0
1999-11-22,50.5,51.0,49.69,50.06,22.8534214420179,1443500,0.0,1.0
1999-11-23,49.81,49.94,49.0,49.0,22.3695096016555,1393000,0.0,1.0
1999-11-24,48.75,50.06,48.44,49.94,22.798638969524,1528000,0.0,1.0
1999-11-26,49.44,50.06,49.31,50.0,22.826030205771,339000,0.0,1.0
1999-11-29,49.38,49.88,48.25,49.13,22.4288572801905,1011400,0.0,1.0
1999-11-30,49.13,49.63,49.06,49.38,22.5429874312194,1063700,0.0,1.0
1999-12-01,49.0,49.56,48.38,48.56,22.1686405358448,1165900,0.0,1.0
1999-12-02,49.0,50.44,48.94,50.19,22.9127691205529,1068000,0.0,1.0
1999-12-03,50.0,51.88,50.0,51.25,23.3966809609152,1684600,0.0,1.0
1999-12-06,50.88,51.0,49.94,50.38,22.9995080353348,1011500,0.0,1.0
1999-12-07,50.44,51.69,50.38,51.13,23.3418984884214,1531800,0.0,1.0
1999-12-08,51.63,51.75,50.75,50.94,23.2951051264996,1237500,0.0875,1.0
1999-12-09,51.13,51.75,50.63,51.25,23.436869606068,1642100,0.0,1.0
1999-12-10,51.25,51.25,49.81,50.25,22.9795648332666,1188500,0.0,1.0
1999-12-13,50.31,51.13,50.06,50.5,23.093891026467,1044900,0.0,1.0
1999-12-14,50.75,51.25,50.38,50.44,23.0664527400989,1263400,0.0,1.0
1999-12-15,50.06,50.63,49.44,49.83,22.7874968286901,1324000,0.0,1.0
1999-12-16,49.56,50.88,49.31,50.75,23.2082172196673,1297200,0.0,1.0
1999-12-17,50.06,51.19,49.88,50.06,22.8926769264344,2287800,0.0,1.0
1999-12-20,50.25,52.31,50.25,50.94,23.2951051264996,1431200,0.0,1.0
1999-12-21,51.38,52.94,51.0,52.94,24.2097146721022,1413700,0.0,1.0
1999-12-22,52.81,52.81,50.94,51.38,23.4963192265321,1248100,0.0,1.0
1999-12-23,51.75,52.75,51.56,52.5,24.0085005720696,629600,0.0,1.0
1999-12-27,52.44,52.88,51.81,52.88,24.1822763857341,1264300,0.0,1.0
1999-12-28,52.81,53.19,52.0,52.25,23.8941743788693,1013900,0.0,1.0
1999-12-29,52.5,53.81,52.38,53.56,24.493243631239,1010900,0.0,1.0
1999-12-30,53.31,54.69,53.31,54.69,25.0099980245045,1099700,0.0,1.0
1999-12-31,54.69,54.81,53.38,53.88,24.6395811585355,512400,0.0,1.0
2000-01-03,53.5,53.94,51.94,52.0,23.779848185669,2698900,0.0,1.0
2000-01-04,51.63,53.0,51.5,52.0,23.779848185669,3141100,0.0,1.0
2000-01-05,51.94,51.94,50.69,51.56,23.5786340856364,3008800,0.0,1.0
2000-01-06,51.88,52.94,51.31,52.19,23.8667360925012,2121700,0.0,1.0
2000-01-07,53.38,53.81,52.5,53.38,24.4109287721348,1892300,0.0,1.0
2000-01-10,53.0,54.75,52.88,54.69,25.0099980245045,1722200,0.0,1.0
2000-01-11,54.13,54.38,53.31,53.63,24.5252549653351,1087900,0.0,1.0
2000-01-12,53.63,53.88,52.75,53.13,24.2966025789345,1108900,0.0,1.0
