date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,51.88,52.0,51.25,51.31,12.0149834451108,45200,0.0,1.0
1999-11-02,51.19,52.63,50.63,51.5,12.0594747110351,69900,0.0,1.0
1999-11-03,52.0,52.5,52.0,52.5,12.2936392685309,19700,0.0,1.0
1999-11-04,52.25,53.13,52.25,53.06,12.4247714207285,35100,0.0,1.0
1999-11-05,53.06,55.69,53.06,55.5,12.9961329410184,58800,0.0,1.0
1999-11-08,55.75,57.25,55.69,56.0,13.1132152197663,39800,0.0,1.0
1999-11-09,56.06,56.06,54.81,54.88,12.8509509153709,21500,0.0,1.0
1999-11-10,54.88,54.88,53.5,54.63,12.792409775997,30700,0.0,1.0
1999-11-11,54.63,55.25,54.38,54.88,12.8509509153709,20100,0.0,1.0
1999-11-12,54.63,55.19,54.38,55.19,12.9235419281947,15100,0.0,1.0
1999-11-15,55.25,55.25,54.0,54.0,12.6448861047746,9800,0.0,1.0
1999-11-16,54.25,55.5,54.19,55.5,12.9961329410184,21400,0.0,1.0
1999-11-17,55.5,55.5,54.0,54.5,12.7619683835225,14200,0.0,1.0
1999-11-18,54.31,54.81,54.31,54.63,12.792409775997,11700,0.0,1.0
1999-11-19,54.38,54.38,53.88,53.88,12.6167863578751,30300,0.0,1.0
1999-11-22,53.75,54.63,53.5,54.56,12.7760182569723,28900,0.0,1.0
1999-11-23,54.75,56.38,54.69,55.75,13.0546740803923,61100,0.0,1.0
1999-11-24,55.69,55.69,53.56,53.63,12.5582452185012,27900,0.0,1.0
1999-11-26,53.69,53.69,53.5,53.63,12.5582452185012,5900,0.0,1.0
1999-11-29,53.5,54.0,53.44,53.69,12.5722950919509,37400,0.0,1.0
1999-11-30,53.63,54.5,53.5,54.5,12.7619683835225,43100,0.0,1.0
1999-12-01,54.38,55.63,54.31,54.94,12.8650007888207,88900,0.0,1.0
1999-12-02,54.81,55.25,54.63,54.63,12.792409775997,24800,0.0,1.0
1999-12-03,54.63,55.56,54.5,55.44,12.9820830675686,18200,0.0,1.0
1999-12-06,55.31,56.0,55.25,55.44,12.9820830675686,19500,0.0,1.0
1999-12-07,55.38,55.69,55.38,55.69,13.0406242069426,8800,0.0,1.0
1999-12-08,55.69,55.94,55.69,55.88,13.0851154728668,21600,0.0,1.0
1999-12-09,55.88,55.88,54.31,54.31,12.7174771175983,29100,0.0,1.0
1999-12-10,54.38,54.38,53.63,54.38,12.733868636623,20700,0.0,1.0
1999-12-13,54.25,54.25,53.0,53.5,12.5278038260267,17800,0.0,1.0
1999-12-14,53.63,54.25,53.63,54.06,12.6589359782244,48000,0.0,1.0
1999-12-15,54.06,56.13,54.0,55.94,13.0991653463165,88500,0.0,1.0
1999-12-16,55.88,58.06,55.81,57.5,13.46446205601,30000,0.0,1.0
1999-12-17,58.0,60.12,58.0,59.62,13.9608909179012,68000,0.0,1.0
1999-12-20,59.69,59.69,58.81,59.0,13.8157088922537,28800,0.0,1.0
1999-12-21,59.0,60.38,58.69,60.38,14.138855981598,52100,0.0,1.0
1999-12-22,60.31,62.56,60.13,62.56,14.6493347169389,84100,0.0,1.0
1999-12-23,62.81,66.25,62.81,64.19,15.0310229456571,109600,0.0,1.0
1999-12-27,64.44,64.69,63.88,64.25,15.0450728191068,61300,0.0,1.0
1999-12-28,64.25,64.5,64.25,64.38,15.0755142115813,27400,0.0,1.0
1999-12-29,63.88,63.88,62.63,63.81,15.035706236807,84900,0.4,1.0
1999-12-30,63.75,64.75,63.75,64.69,15.2430627873224,17600,0.0,1.0
1999-12-31,64.88,64.88,64.56,64.75,15.2572007339485,10900,0.0,1.0
2000-01-03,63.75,63.88,63.13,63.63,14.9932923969288,64600,0.0,1.0
2000-01-04,63.0,63.0,60.13,60.75,14.3146709588783,35100,0.0,1.0
2000-01-05,59.88,61.31,59.5,61.31,14.4466251273881,44400,0.0,1.0
2000-01-06,61.0,61.5,60.63,60.89,14.3476595010058,53700,0.0,1.0
2000-01-07,62.0,63.63,60.75,63.25,14.9037520682972,58900,0.0,1.0
2000-01-10,62.0,62.38,60.88,60.94,14.3594411231942,53000,0.0,1.0
2000-01-11,60.94,60.94,59.25,60.56,14.2699007945625,34200,0.0,1.0
2000-01-12,60.31,60.88,60.0,60.06,14.1520845726787,18200,0.0,1.0
2000-01-13,59.81,60.0,59.38,59.94,14.1238086794266,34100,0.0,1.0
2000-01-14,59.94,60.38,59.44,59.63,14.0507626218587,39300,0.0,1.0
2000-01-18,60.5,60.5,60.06,60.06,14.1520845726787,49900,0.0,1.0
2000-01-19,59.88,60.38,59.63,60.0,14.1379466260527,59600,0.0,1.0
2000-01-20,60.25,60.25,59.63,59.94,14.1238086794266,44300,0.0,1.0
2000-01-21,59.69,59.69,57.13,57.13,13.4616815124398,65200,0.0,1.0
2000-01-24,56.88,57.75,56.38,56.56,13.3273710194923,102700,0.0,1.0
2000-01-25,56.56,56.56,55.75,55.75,13.1365087400406,49100,0.0,1.0
2000-01-26,56.0,57.06,56.0,56.94,13.416911348124,40600,0.0,1.0
2000-01-27,57.19,57.19,55.31,55.38,13.0493247358466,58400,0.0,1.0
2000-01-28,55.0,56.25,54.06,54.06,12.7382899100734,36200,0.0,1.0
2000-01-31,54.56,54.69,53.38,53.75,12.6652438525055,40400,0.0,1.0
2000-02-01,54.0,54.69,53.69,54.56,12.8561061319572,34500,0.0,1.0
2000-02-02,54.81,55.25,54.63,54.81,12.9150142428991,33500,0.0,1.0
2000-02-03,55.25,59.13,55.25,58.88,13.874038289033,134500,0.0,1.0
2000-02-04,59.5,59.5,57.94,58.69,13.8292681247172,35900,0.0,1.0
2000-02-07,58.63,59.13,56.0,56.0,13.1954168509825,28300,0.0,1.0
2000-02-08,55.75,55.81,54.94,55.69,13.1223707934145,56700,0.0,1.0
2000-02-09,55.75,56.13,55.44,56.13,13.2260490686723,38600,0.0,1.0
2000-02-10,56.13,59.0,56.13,56.5,13.3132330728663,70700,0.0,1.0
2000-02-11,56.13,56.69,54.0,54.25,12.7830600743893,32600,0.0,1.0
2000-02-14,54.25,54.25,52.75,53.44,12.5921977949376,52700,0.0,1.0
2000-02-15,53.19,53.69,52.13,52.75,12.429611408738,28600,0.0,1.0
2000-02-16,52.69,53.0,52.13,52.38,12.342427404544,21300,0.0,1.0
2000-02-17,52.38,52.63,51.25,51.69,12.1798410183444,29700,0.0,1.0
2000-02-18,51.44,51.44,49.69,49.69,11.7085761308093,37200,0.0,1.0
2000-02-22,49.69,49.69,48.0,48.69,11.4729436870417,113600,0.0,1.0
2000-02-23,48.94,50.0,48.88,50.0,11.7816221883772,46400,0.0,1.0
2000-02-24,50.13,50.38,49.0,49.81,11.7368520240614,28400,0.0,1.0
2000-02-25,49.81,49.81,48.81,48.81,11.5012195802938,23700,0.0,1.0
2000-02-28,49.5,50.69,49.19,50.31,11.8546682459452,41500,0.0,1.0
