date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,17.88,19.13,17.88,19.13,6.30313549574905,39600,0.0,1.0
1999-11-02,19.0,19.44,18.75,18.88,6.22076310296613,41700,0.0,1.0
1999-11-03,18.88,19.06,18.88,19.0,6.26030185150193,20200,0.0,1.0
1999-11-04,19.0,19.0,18.75,18.94,6.24053247723403,21000,0.0,1.0
1999-11-05,18.88,19.0,18.69,18.88,6.22076310296613,129800,0.0,1.0
1999-11-08,18.75,18.81,18.69,18.81,6.19769883298691,49500,0.0,1.0
1999-11-09,18.81,18.88,18.75,18.88,6.22076310296613,27500,0.0,1.0
1999-11-10,18.81,19.0,18.81,18.94,6.24053247723403,82600,0.0,1.0
1999-11-11,18.88,18.88,18.75,18.81,6.19769883298691,37300,0.0,1.0
1999-11-12,18.81,19.0,18.81,18.94,6.24053247723403,17100,0.0,1.0
1999-11-15,18.94,19.5,18.75,19.5,6.42504663706777,74800,0.0,1.0
1999-11-16,19.31,19.63,18.75,19.31,6.36244361855275,40400,0.0,1.0
1999-11-17,19.38,19.5,18.81,19.31,6.36244361855275,28400,0.0,1.0
1999-11-18,19.56,19.56,18.81,19.25,6.34267424428485,23300,0.0,1.0
1999-11-19,18.88,18.88,18.75,18.81,6.19769883298691,56100,0.0,1.0
1999-11-22,18.88,18.88,18.69,18.69,6.15816008445111,139600,0.0,1.0
1999-11-23,18.81,18.81,18.19,18.25,6.01318467315317,27300,0.0,1.0
1999-11-24,18.13,18.38,18.06,18.38,6.05601831740029,28500,0.0,1.0
1999-11-26,18.38,19.06,18.38,19.06,6.28007122576983,22700,0.0,1.0
1999-11-29,18.94,18.94,18.13,18.13,5.97364592461737,28800,0.0,1.0
1999-11-30,18.25,19.38,18.25,19.38,6.38550788853197,60300,0.0,1.0
1999-12-01,19.25,19.25,18.31,18.63,6.13839071018321,46800,0.0,1.0
1999-12-02,18.5,19.31,18.5,19.0,6.26030185150193,9300,0.0,1.0
1999-12-03,19.13,19.5,18.81,18.88,6.22076310296613,17100,0.0,1.0
1999-12-06,18.75,19.38,18.69,18.69,6.15816008445111,18500,0.0,1.0
1999-12-07,18.81,18.88,18.0,18.44,6.07578769166819,34700,0.0,1.0
1999-12-08,18.38,18.88,18.25,18.63,6.13839071018321,41100,0.0,1.0
1999-12-09,18.56,18.56,18.0,18.0,5.93081228037025,47000,0.0,1.0
1999-12-10,18.0,18.0,17.56,17.94,5.91104290610235,27500,0.0,1.0
1999-12-13,18.19,18.63,18.0,18.13,6.00659488173054,104800,0.1,1.0
1999-12-14,18.19,18.44,18.0,18.0,5.96352497910368,68900,0.0,1.0
1999-12-15,18.0,18.56,17.94,18.0,5.96352497910368,59000,0.0,1.0
1999-12-16,17.94,18.25,17.94,18.25,6.04635171492456,57200,0.0,1.0
1999-12-17,18.38,18.44,18.0,18.12,6.0032818122977,79500,0.0,1.0
1999-12-20,18.25,18.38,17.5,17.5,5.79787150746191,25700,0.0,1.0
1999-12-21,17.38,18.06,17.31,18.06,5.98340339570069,31400,0.0,1.0
1999-12-22,18.06,18.19,17.94,17.94,5.94364656250667,25700,0.0,1.0
1999-12-23,18.0,18.13,18.0,18.06,5.98340339570069,33800,0.0,1.0
1999-12-27,18.19,18.19,17.75,17.88,5.92376814590965,59400,0.0,1.0
1999-12-28,17.75,18.38,17.75,18.25,6.04635171492456,56900,0.0,1.0
1999-12-29,18.31,19.0,18.25,19.0,6.29483192238722,38900,0.0,1.0
1999-12-30,18.88,19.0,18.25,18.44,6.10930003414844,44400,0.0,1.0
1999-12-31,18.56,19.44,18.38,19.19,6.35778024161109,54900,0.0,1.0
2000-01-03,19.31,19.31,18.0,18.0,5.96352497910368,67000,0.0,1.0
2000-01-04,17.75,18.56,17.75,18.0,5.96352497910368,34100,0.0,1.0
2000-01-05,18.06,18.5,18.0,18.31,6.06623013152157,35000,0.0,1.0
2000-01-06,18.19,19.0,18.06,18.94,6.2749535057902,39300,0.0,1.0
2000-01-07,18.88,18.94,18.5,18.63,6.17224835337231,35900,0.0,1.0
2000-01-10,18.69,18.69,18.38,18.56,6.14905686734246,33500,0.0,1.0
2000-01-11,18.63,18.63,18.5,18.5,6.12917845074545,34100,0.0,1.0
2000-01-12,18.5,18.63,18.44,18.63,6.17224835337231,46500,0.0,1.0
2000-01-13,18.63,19.0,18.5,18.88,6.25507508919319,47200,0.0,1.0
2000-01-14,19.0,19.0,18.5,18.5,6.12917845074545,59000,0.0,1.0
2000-01-18,18.38,18.38,17.88,18.13,6.00659488173054,37000,0.0,1.0
2000-01-19,18.13,18.44,18.0,18.19,6.02647329832755,53000,0.0,1.0
2000-01-20,18.25,18.63,17.75,17.94,5.94364656250667,38700,0.0,1.0
2000-01-21,18.06,18.38,17.75,18.19,6.02647329832755,55600,0.0,1.0
2000-01-24,18.56,18.56,17.88,17.88,5.92376814590965,60200,0.0,1.0
2000-01-25,17.94,17.94,17.13,17.13,5.675287938447,33600,0.0,1.0
2000-01-26,17.19,17.75,17.13,17.75,5.88069824328279,45600,0.0,1.0
2000-01-27,17.88,18.19,17.88,18.06,5.98340339570069,41500,0.0,1.0
2000-01-28,18.06,18.31,17.5,17.63,5.84094141008877,45400,0.0,1.0
2000-01-31,17.69,18.38,17.69,18.06,5.98340339570069,57300,0.0,1.0
2000-02-01,18.0,18.0,17.31,17.56,5.81774992405892,29500,0.0,1.0
2000-02-02,17.44,17.69,17.31,17.63,5.84094141008877,61100,0.0,1.0
2000-02-03,17.63,17.75,17.38,17.63,5.84094141008877,30800,0.0,1.0
2000-02-04,17.56,17.56,17.13,17.38,5.75811467426788,50700,0.0,1.0
2000-02-07,17.13,17.38,17.0,17.38,5.75811467426788,31100,0.0,1.0
2000-02-08,17.56,17.69,17.0,17.13,5.675287938447,35400,0.0,1.0
2000-02-09,17.25,17.63,16.63,16.88,5.59246120262612,49400,0.0,1.0
2000-02-10,16.81,17.0,16.44,16.88,5.59246120262612,261100,0.0,1.0
2000-02-11,16.88,17.06,15.94,16.0,5.3009110925366,67500,0.0,1.0
2000-02-14,15.94,16.5,15.81,16.44,5.44668614758136,28100,0.0,1.0
2000-02-15,16.63,16.88,16.31,16.88,5.59246120262612,38100,0.0,1.0
2000-02-16,16.88,17.06,16.25,16.25,5.38373782835749,43000,0.0,1.0
2000-02-17,16.44,16.94,16.38,16.5,5.46656456417837,41200,0.0,1.0
2000-02-18,16.56,16.56,15.88,15.94,5.28103267593959,30200,0.0,1.0
2000-02-22,15.94,16.0,15.63,15.94,5.28103267593959,61900,0.0,1.0
2000-02-23,16.06,16.19,15.38,15.75,5.21808435671572,47800,0.0,1.0
2000-02-24,15.75,15.88,15.31,15.38,5.09550078770081,20700,0.0,1.0
2000-02-25,15.44,15.5,15.25,15.31,5.07230930167096,31800,0.0,1.0
2000-02-28,15.25,15.56,15.0,15.31,5.07230930167096,55400,0.0,1.0
2000-02-29,15.31,16.19,15.06,15.06,4.98948256585008,97400,0.0,1.0
2000-03-01,15.0,15.06,14.56,14.56,4.82382909420831,61600,0.0,1.0
2000-03-02,14.56,15.0,14.56,14.94,4.94972573265605,78300,0.0,1.0
2000-03-03,14.88,15.13,14.88,15.0,4.96960414925307,32500,0.0,1.0
2000-03-06,15.0,16.0,15.0,15.56,5.15513603749185,89500,0.0,1.0
2000-03-07,15.69,15.91,15.0,15.0,4.96960414925307,111300,0.0,1.0
2000-03-08,15.75,15.94,15.75,15.75,5.21808435671572,76200,0.0,1.0
2000-03-09,15.56,15.81,15.38,15.44,5.11537920429782,80600,0.0,1.0
2000-03-10,15.38,16.16,15.19,16.0,5.3009110925366,83800,0.0,1.0
2000-03-13,15.63,16.0,15.31,15.69,5.23464970387989,42800,0.11,1.0
2000-03-14,15.81,15.88,15.69,15.81,5.27468526566865,69600,0.0,1.0
2000-03-15,15.81,17.31,15.69,17.25,5.75511200713373,70600,0.0,1.0
2000-03-16,17.31,18.56,17.31,18.56,6.19216688999432,184300,0.0,1.0
2000-03-17,18.25,19.0,18.25,18.94,6.31894616899205,133900,0.0,1.0
2000-03-20,18.94,19.63,18.94,19.63,6.5491506492774,137900,0.0,1.0
2000-03-21,19.5,19.75,19.19,19.75,6.58918621106615,176700,0.0,1.0
2000-03-22,19.75,20.0,18.81,18.81,6.27557431038756,169000,0.0,1.0
2000-03-23,18.63,18.81,18.0,18.69,6.2355387485988,199600,0.0,1.0
2000-03-24,18.5,19.0,18.0,18.88,6.29892838809767,30800,0.0,1.0
2000-03-27,18.75,19.0,18.19,18.88,6.29892838809767,33900,0.0,1.0
2000-03-28,18.75,18.81,17.63,18.31,6.10875946960108,31900,0.0,1.0
2000-03-29,18.19,18.19,17.81,17.94,5.98531648741908,67200,0.0,1.0
2000-03-30,18.06,19.13,18.06,19.13,6.38233580849091,41900,0.0,1.0
2000-03-31,19.31,21.13,19.0,20.75,6.92281589263912,209100,0.0,1.0
2000-04-03,20.38,20.38,20.0,20.0,6.67259363145939,86000,0.0,1.0
2000-04-04,20.0,20.38,19.5,20.25,6.75600105185264,77200,0.0,1.0
2000-04-05,20.31,20.31,19.31,19.56,6.52579657156729,43100,0.0,1.0
