date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,29.0,29.56,28.5,28.69,15.1422391224076,3259300,0.0,1.0
1999-11-02,28.94,29.19,28.31,28.31,14.9416796638327,2739300,0.0,1.0
1999-11-03,28.5,29.31,28.5,28.69,15.1422391224076,2484900,0.0,1.0
1999-11-04,28.63,29.63,28.63,29.13,15.3744658639154,2826700,0.0,1.0
1999-11-05,29.5,30.19,29.25,29.44,15.5380801590687,3081700,0.0,1.0
1999-11-08,29.13,30.56,29.13,30.06,15.8653087493751,2465900,0.0,1.0
1999-11-09,30.06,30.38,29.31,29.88,15.7703069005765,2478200,0.0,1.0
1999-11-10,30.13,30.56,27.88,28.75,15.1739064053405,4535400,0.0,1.0
1999-11-11,28.0,28.56,27.0,27.5,14.5141713442387,5937400,0.0,1.0
1999-11-12,28.0,29.19,27.81,28.81,15.2055736882734,4715900,0.0,1.0
1999-11-15,28.13,28.69,28.13,28.63,15.1105718394747,2440400,0.0,1.0
1999-11-16,28.38,29.25,28.19,28.63,15.1105718394747,2796500,0.0,1.0
1999-11-17,28.5,28.81,28.13,28.13,14.846677815034,1857600,0.0,1.0
1999-11-18,27.63,28.25,27.63,28.25,14.9100123808998,2350900,0.0,1.0
1999-11-19,27.69,28.63,27.44,28.06,14.8097326516123,2993800,0.0,1.0
1999-11-22,28.25,28.5,27.75,27.88,14.7147308028137,2196400,0.0,1.0
1999-11-23,27.81,28.19,27.81,27.81,14.677785639392,2638500,0.0,1.0
1999-11-24,28.0,28.0,27.75,27.88,14.7147308028137,2988600,0.0,1.0
1999-11-26,27.69,27.88,27.44,27.44,14.5616722686381,863200,0.15,1.0
1999-11-29,27.31,27.38,26.44,26.88,14.2644952835638,3615500,0.0,1.0
1999-11-30,26.38,26.94,26.19,26.19,13.8983307840973,3559000,0.0,1.0
1999-12-01,26.31,26.69,26.13,26.13,13.8664903928394,3064300,0.0,1.0
1999-12-02,26.13,26.94,26.13,26.56,14.0946798635214,2169900,0.0,1.0
1999-12-03,26.75,28.0,26.75,27.25,14.4608443629879,2854100,0.0,1.0
1999-12-06,27.0,28.0,26.81,27.0,14.3281760660797,2991300,0.0,1.0
1999-12-07,26.88,27.88,26.88,27.0,14.3281760660797,3370000,0.0,1.0
1999-12-08,27.0,27.69,27.0,27.19,14.4290039717299,2584800,0.0,1.0
1999-12-09,27.56,27.75,26.31,26.56,14.0946798635214,2603400,0.0,1.0
1999-12-10,26.63,27.69,26.63,27.0,14.3281760660797,4102500,0.0,1.0
1999-12-13,27.0,27.0,26.25,26.31,13.9620115666132,3253200,0.0,1.0
1999-12-14,26.06,26.19,25.81,25.94,13.7656624871892,2574800,0.0,1.0
1999-12-15,25.69,26.31,25.56,26.0,13.7975028784471,2911900,0.0,1.0
1999-12-16,25.81,26.06,25.25,25.31,13.4313383789807,2438900,0.0,1.0
1999-12-17,25.0,25.25,24.25,24.44,12.9696527057403,4966100,0.0,1.0
1999-12-20,24.44,25.5,24.25,24.66,13.0864008070195,5110900,0.0,1.0
1999-12-21,24.75,25.31,24.63,24.63,13.0704806113905,5013000,0.0,1.0
1999-12-22,24.5,24.56,24.19,24.31,12.9006651913481,5475900,0.0,1.0
1999-12-23,24.38,25.0,24.38,24.56,13.0333334882562,2419700,0.0,1.0
1999-12-27,24.0,24.56,23.88,24.19,12.8369844088322,3106200,0.0,1.0
1999-12-28,24.25,24.25,24.0,24.0,12.736156503182,2245400,0.0,1.0
1999-12-29,23.94,24.44,23.94,24.0,12.736156503182,2676400,0.0,1.0
1999-12-30,24.0,24.25,22.88,24.0,12.736156503182,3437700,0.0,1.0
1999-12-31,24.06,24.19,23.94,24.06,12.7679968944399,2141600,0.0,1.0
2000-01-03,24.0,24.19,23.44,23.5,12.4708199093657,2993100,0.0,1.0
2000-01-04,23.44,23.75,22.69,22.75,12.0728150186413,3186700,0.0,1.0
2000-01-05,23.0,23.69,23.0,23.56,12.5026603006236,3290200,0.0,1.0
2000-01-06,23.38,24.13,23.13,23.63,12.5398074237579,2760400,0.0,1.0
2000-01-07,23.75,24.81,23.25,24.5,13.0014930969983,3140400,0.0,1.0
2000-01-10,24.63,24.94,23.88,23.94,12.704316111924,2897000,0.0,1.0
2000-01-11,23.75,24.56,23.75,23.88,12.6724757206661,1716600,0.0,1.0
2000-01-12,24.19,24.75,24.0,24.0,12.736156503182,2145300,0.0,1.0
2000-01-13,24.19,25.5,23.94,24.81,13.1660017851644,3051500,0.0,1.0
2000-01-14,25.06,25.19,24.06,24.19,12.8369844088322,2626900,0.0,1.0
2000-01-18,24.19,25.06,24.06,24.06,12.7679968944399,2323500,0.0,1.0
2000-01-19,24.38,24.5,23.56,23.56,12.5026603006236,2791800,0.0,1.0
2000-01-20,24.0,24.0,23.63,23.75,12.6034882062738,3181600,0.0,1.0
2000-01-21,24.13,24.13,23.25,23.5,12.4708199093657,2978900,0.0,1.0
2000-01-24,23.63,23.88,22.81,22.81,12.1046554098992,2986100,0.0,1.0
2000-01-25,23.13,23.63,22.81,22.88,12.1418025330335,2919300,0.0,1.0
2000-01-26,23.0,23.75,22.69,23.19,12.3063112211996,2706800,0.0,1.0
2000-01-27,23.44,23.94,23.19,23.19,12.3063112211996,2444800,0.0,1.0
2000-01-28,23.19,23.56,22.81,22.81,12.1046554098992,2460500,0.0,1.0
2000-01-31,23.0,23.25,22.88,23.19,12.3063112211996,2275200,0.0,1.0
2000-02-01,23.13,23.56,22.94,23.06,12.2373237068074,2614000,0.0,1.0
2000-02-02,23.0,23.56,23.0,23.31,12.3699920037155,1857300,0.0,1.0
2000-02-03,23.13,23.88,22.88,23.06,12.2373237068074,3958500,0.0,1.0
2000-02-04,23.06,23.38,23.06,23.25,12.3381516124575,2311800,0.0,1.0
2000-02-07,23.5,23.5,22.88,23.5,12.4708199093657,2151200,0.0,1.0
2000-02-08,22.88,23.13,21.31,22.0,11.6748101279168,3712400,0.0,1.0
2000-02-09,20.75,21.31,19.88,19.94,10.5816233613937,7192800,0.0,1.0
2000-02-10,20.19,20.94,20.13,20.5,10.8788003464679,5920600,0.0,1.0
2000-02-11,21.0,22.13,20.81,21.69,11.5103014397507,5829300,0.0,1.0
2000-02-14,21.69,22.06,21.06,21.25,11.2768052371924,3412500,0.0,1.0
2000-02-15,21.63,21.88,21.5,21.75,11.5421418310087,1953400,0.0,1.0
2000-02-16,21.13,21.94,21.13,21.5,11.4094735341005,3044400,0.0,1.0
2000-02-17,21.38,21.81,21.06,21.25,11.2768052371924,3745800,0.0,1.0
2000-02-18,21.25,21.5,20.94,21.0,11.1441369402842,2489500,0.0,1.0
2000-02-22,20.63,21.88,20.63,21.38,11.3457927515846,2773000,0.0,1.0
2000-02-23,21.13,21.31,20.88,20.88,11.0804561577683,2459900,0.0,1.0
2000-02-24,21.0,21.13,20.25,20.94,11.1122965490263,3446300,0.0,1.0
