date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,80.5,82.25,79.81,80.31,27.3635331949914,4964300,0.0,1.0
1999-11-02,80.69,82.31,80.38,81.06,27.6190760899764,4538300,0.0,1.0
1999-11-03,82.69,83.75,78.44,78.56,26.7672664400264,5830400,0.0,1.0
1999-11-04,79.25,83.88,79.19,83.81,28.5560667049213,8207400,0.0,1.0
1999-11-05,85.63,87.75,85.0,85.13,29.0058222000948,6776500,0.0,1.0
1999-11-08,84.88,87.0,84.0,85.44,29.1114465966886,4977700,0.0,1.0
1999-11-09,87.38,87.94,85.5,85.88,29.2613650950798,4668600,0.0,1.0
1999-11-10,86.13,88.88,85.63,87.75,29.8985187132424,4785100,0.0,1.0
1999-11-11,88.25,91.31,88.25,90.5,30.8355093281873,5527400,0.0,1.0
1999-11-12,91.88,92.5,89.0,91.94,31.3261516865584,3690200,0.0,1.0
1999-11-15,92.5,92.88,89.63,89.75,30.5799664332023,3249600,0.0,1.0
1999-11-16,90.44,91.5,90.0,91.0,31.0058712581773,5680400,0.0,1.0
1999-11-17,90.94,91.56,90.0,91.13,31.0501653599747,5000300,0.0,1.0
1999-11-18,91.69,91.69,89.5,91.19,31.0706087915735,5338100,0.0,1.0
1999-11-19,91.13,95.13,90.75,94.69,32.2631423015034,5699900,0.0,1.0
1999-11-22,47.75,48.75,45.75,48.19,32.8389656248695,4762700,0.0,2.0
1999-11-23,49.06,49.19,47.0,47.56,32.4096535612947,7793100,0.0,1.0
1999-11-24,47.63,49.5,46.63,49.44,33.6907752748194,5368100,0.0,1.0
1999-11-26,50.0,50.06,48.81,49.38,33.6498884116218,3638900,0.0,1.0
1999-11-29,49.56,49.88,47.0,48.75,33.2205763480471,5844000,0.0,1.0
1999-11-30,47.5,47.56,45.0,45.56,31.0467581213749,9557900,0.0,1.0
1999-12-01,45.0,46.44,44.0,44.31,30.1949484714249,7485700,0.0,1.0
1999-12-02,44.63,45.5,44.25,44.75,30.4947854682073,7278200,0.0,1.0
1999-12-03,45.69,47.94,45.19,46.25,31.5169570481472,9474000,0.0,1.0
1999-12-06,46.13,46.75,44.0,45.0,30.6651473981973,5201200,0.0,1.0
1999-12-07,45.05,45.56,44.0,44.81,30.5356723314049,6460700,0.0,1.0
1999-12-08,44.38,48.0,44.25,45.25,30.8355093281873,6491400,0.0,1.0
1999-12-09,46.75,48.0,42.63,44.0,29.9836996782374,10458800,0.0,1.0
1999-12-10,44.25,45.81,44.13,44.75,30.4947854682073,7321500,0.0,1.0
1999-12-13,45.25,47.25,43.75,46.63,31.775907181732,8103900,0.0,1.0
1999-12-14,47.31,47.5,45.25,46.06,31.3874819813548,8081900,0.0,1.0
1999-12-15,45.63,46.25,43.94,45.88,31.264821391762,8709800,0.0,1.0
1999-12-16,45.5,45.63,43.5,44.44,30.2835366750197,9175200,0.0,1.0
1999-12-17,45.75,46.38,44.75,45.56,31.0467581213749,10599200,0.0,1.0
1999-12-20,45.63,49.63,45.13,48.88,33.3091645516419,9173100,0.0,1.0
1999-12-21,49.0,50.44,48.63,50.13,34.1609742015918,8224800,0.0,1.0
1999-12-22,50.67,53.06,50.25,52.94,36.0758422946792,9230500,0.0,1.0
1999-12-23,54.0,54.81,52.75,54.19,36.9276519446291,6669000,0.0,1.0
1999-12-27,54.94,55.0,51.13,53.19,36.2462042246692,5246100,0.0,1.0
1999-12-28,55.06,58.25,54.88,57.69,39.3127189644889,7643600,0.0,1.0
1999-12-29,58.75,62.0,57.5,61.81,42.1202835707239,6529300,0.0,1.0
1999-12-30,63.75,66.44,63.56,64.88,44.2123280710009,5499100,0.0,1.0
1999-12-31,65.38,65.5,59.88,60.06,40.927750060794,2610400,0.0,1.0
2000-01-03,70.0,70.0,62.88,62.94,42.8903194942786,22914900,0.0,1.0
2000-01-04,62.0,64.13,57.69,58.13,39.6125559612713,15052600,0.0,1.0
2000-01-05,59.19,60.25,58.25,59.94,40.8459763343988,15071400,0.0,1.0
2000-01-06,60.75,61.94,60.25,61.13,41.6568991211511,11118400,0.0,1.0
2000-01-07,62.75,68.5,62.63,68.0,46.3384449572759,15953900,0.0,1.0
2000-01-10,69.5,72.69,69.5,72.13,49.1528240407105,10555300,0.0,1.0
2000-01-11,72.06,72.38,64.13,66.44,45.2753865141384,14103100,0.0,1.0
2000-01-12,67.63,67.75,62.56,63.56,43.3128170806538,11576800,0.0,1.0
2000-01-13,64.75,67.75,63.81,66.81,45.5275221705236,10552600,0.0,1.0
2000-01-14,68.88,70.0,67.38,68.31,46.5496937504635,8971200,0.0,1.0
2000-01-18,70.0,70.13,68.25,69.06,47.0607795404335,8658100,0.0,1.0
2000-01-19,70.0,72.94,69.88,72.0,49.0642358371157,12070900,0.0,1.0
2000-01-20,74.38,74.5,69.63,71.81,48.9347607703233,9460900,0.0,1.0
