date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,22.75,23.0,22.69,23.0,8.73647546258115,34100,0.0,1.0
1999-11-02,22.94,23.12,22.94,23.06,8.75926626813571,17900,0.0,1.0
1999-11-03,23.0,23.31,23.0,23.12,8.78205707369027,25600,0.0,1.0
1999-11-04,23.25,23.62,23.12,23.19,8.80864634683725,17200,0.0,1.0
1999-11-05,23.0,23.19,22.56,22.62,8.59213369406894,53500,0.0,1.0
1999-11-08,22.62,23.0,22.62,22.62,8.59213369406894,27000,0.0,1.0
1999-11-09,22.56,22.94,22.56,22.62,8.59213369406894,52300,0.0,1.0
1999-11-10,22.75,23.06,22.56,22.94,8.71368465702659,31500,0.0,1.0
1999-11-11,22.75,23.12,22.75,22.81,8.66430457832504,12000,0.0,1.0
1999-11-12,22.56,22.81,22.38,22.69,8.61872296721593,302300,0.0,1.0
1999-11-15,22.81,23.06,22.56,22.75,8.64151377277048,54900,0.0,1.0
1999-11-16,22.62,22.88,22.56,22.75,8.64151377277048,26300,0.0,1.0
1999-11-17,22.62,22.81,22.5,22.56,8.56934288851438,78300,0.0,1.0
1999-11-18,22.69,22.69,22.25,22.5,8.54655208295982,65400,0.0,1.0
1999-11-19,22.62,22.75,22.5,22.62,8.59213369406894,145100,0.0,1.0
1999-11-22,22.56,22.56,22.25,22.38,8.60732756443864,103400,0.28,1.0
1999-11-23,22.38,22.5,22.31,22.5,8.65347945486459,24900,0.0,1.0
1999-11-24,22.44,22.5,22.38,22.5,8.65347945486459,1715200,0.0,1.0
1999-11-26,22.38,22.5,22.19,22.38,8.60732756443864,23900,0.0,1.0
1999-11-29,22.25,22.31,22.0,22.25,8.55732968314387,36300,0.0,1.0
1999-11-30,22.12,22.31,22.0,22.31,8.58040562835684,41600,0.0,1.0
1999-12-01,22.31,22.31,21.88,22.25,8.55732968314387,48800,0.0,1.0
1999-12-02,22.12,22.5,22.12,22.44,8.63040350965162,14200,0.0,1.0
1999-12-03,22.38,22.5,22.25,22.44,8.63040350965162,29600,0.0,1.0
1999-12-06,22.38,22.69,22.12,22.31,8.58040562835684,182900,0.0,1.0
1999-12-07,22.12,22.38,22.0,22.06,8.48425585663613,35100,0.0,1.0
1999-12-08,22.06,22.06,21.69,21.88,8.41502802099721,28600,0.0,1.0
1999-12-09,21.75,21.75,21.0,21.06,8.09965676975326,70700,0.0,1.0
1999-12-10,21.19,21.19,20.88,21.19,8.14965465104803,29000,0.0,1.0
1999-12-13,20.94,21.0,20.75,20.88,8.03042893411434,87800,0.0,1.0
1999-12-14,20.88,21.12,20.81,21.12,8.12273271496623,46200,0.0,1.0
1999-12-15,21.06,21.5,21.0,21.5,8.26888036798172,63700,0.0,1.0
1999-12-16,21.5,21.5,21.0,21.12,8.12273271496623,19700,0.0,1.0
1999-12-17,21.0,21.0,20.5,20.5,7.88428128109885,65100,0.0,1.0
1999-12-20,20.5,21.12,20.44,21.0,8.07658082454028,61200,0.0,1.0
1999-12-21,21.06,21.38,21.0,21.19,8.14965465104803,31900,0.0,1.0
1999-12-22,21.06,21.25,21.0,21.19,8.14965465104803,20100,0.0,1.0
1999-12-23,21.06,21.06,20.5,20.75,7.98043105281957,68300,0.0,1.0
1999-12-27,20.56,21.0,20.5,20.62,7.93043317152479,45400,0.0,1.0
1999-12-28,20.56,20.75,20.25,20.53,7.89581925370534,31000,0.0,1.0
1999-12-29,20.25,20.44,20.25,20.44,7.86120533588588,27500,0.0,1.0
1999-12-30,20.31,20.44,20.0,20.0,7.69198173765741,60900,0.0,1.0
1999-12-31,20.0,20.44,19.62,20.44,7.86120533588588,47600,0.0,1.0
2000-01-03,20.0,20.31,20.0,20.06,7.71505768287038,36600,0.0,1.0
2000-01-04,20.0,20.0,19.56,19.56,7.52275813942895,143800,0.0,1.0
2000-01-05,19.56,20.5,19.56,20.19,7.76505556416516,251700,0.0,1.0
2000-01-06,20.0,20.0,19.75,19.88,7.64582984723147,24300,0.0,1.0
2000-01-07,19.75,20.06,19.75,20.06,7.71505768287038,228900,0.0,1.0
2000-01-10,20.0,20.06,19.75,19.81,7.61890791114967,57300,0.0,1.0
2000-01-11,19.81,19.94,19.75,19.81,7.61890791114967,155600,0.0,1.0
2000-01-12,19.81,19.81,19.5,19.5,7.49968219421598,32500,0.0,1.0
2000-01-13,19.62,19.62,18.88,19.12,7.35353454120049,55500,0.0,1.0
2000-01-14,19.25,19.38,18.81,18.81,7.2343088242668,75900,0.0,1.0
2000-01-18,18.88,18.88,18.62,18.75,7.21123287905383,70400,0.0,1.0
2000-01-19,18.88,18.88,18.5,18.62,7.16123499775905,42500,0.0,1.0
2000-01-20,18.62,18.69,18.5,18.56,7.13815905254608,40300,0.0,1.0
2000-01-21,18.5,18.62,18.12,18.25,7.01893333561239,170900,0.0,1.0
2000-01-24,18.75,18.88,18.0,18.25,7.01893333561239,109100,0.0,1.0
2000-01-25,18.25,18.38,17.25,17.75,6.82663379217095,63400,0.0,1.0
2000-01-26,17.94,17.94,16.75,16.94,6.51510853179583,72700,0.0,1.0
