date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,150.0,151.1,148.5,149.0,30.7217410849279,3521400,0.0,1.0
1999-11-02,149.3,151.5,147.1,147.5,30.4124618122608,2797067,0.0,1.0
1999-11-03,147.5,148.4,145.6,147.0,30.3093687213718,2731167,0.0,1.0
1999-11-04,148.0,150.6,145.9,146.3,30.1650383941272,2485200,0.0,1.0
1999-11-05,150.0,151.3,148.3,149.8,30.8866900303503,2028533,0.0,1.0
1999-11-08,150.6,150.6,146.3,146.9,30.288750103194,2150000,0.0,1.0
1999-11-09,147.5,148.4,145.1,146.1,30.1238011577716,2560700,0.0,1.0
1999-11-10,146.1,148.0,144.8,145.0,29.8969963578157,2419733,0.0,1.0
1999-11-11,145.8,146.9,144.1,145.8,30.0619453032382,2355867,0.0,1.0
1999-11-12,148.5,155.0,148.1,154.3,31.8145278483515,2614633,0.0,1.0
1999-11-15,155.0,157.9,154.1,157.3,32.4330863936856,2356667,0.0,1.0
1999-11-16,158.5,160.3,155.2,159.5,32.8866959935973,3051400,0.0,1.0
1999-11-17,158.0,158.5,154.6,154.6,31.8763837028849,1495367,0.0,1.0
1999-11-18,156.5,157.3,154.8,154.9,31.9382395574183,2196933,0.0,1.0
1999-11-19,155.3,156.9,154.6,155.0,31.9588581755961,1295067,0.0,1.0
1999-11-22,154.5,156.4,153.8,154.7,31.8970023210627,1332900,0.0,1.0
1999-11-23,154.9,157.1,154.0,155.4,32.0413326483073,1869633,0.0,1.0
1999-11-24,155.0,155.3,153.0,153.0,31.54648581204,1082233,0.0,1.0
1999-11-26,154.0,154.3,152.6,152.6,31.4640113393288,381000,0.0,1.0
1999-11-29,151.6,151.6,147.3,147.8,30.4743176667942,1685467,0.0,1.0
1999-11-30,148.0,153.6,148.0,151.3,31.1959693030174,2140500,0.0,1.0
1999-12-01,150.0,153.5,149.3,152.8,31.5052485756844,1671400,0.0,1.0
1999-12-02,154.0,154.8,152.0,153.4,31.6289602847513,1390133,0.0,1.0
1999-12-03,157.0,159.4,156.3,157.3,32.4330863936856,1764967,0.0,1.0
1999-12-06,157.0,158.9,155.8,157.2,32.4124677755078,1458667,0.0,1.0
1999-12-07,158.3,159.9,156.3,158.9,32.7629842845305,1994833,0.0,1.0
1999-12-08,158.5,160.4,157.0,158.3,32.6392725754636,1365000,0.0,1.0
1999-12-09,158.3,162.8,158.3,159.8,32.9485518481307,2215900,0.0,1.0
1999-12-10,161.8,168.9,161.1,167.8,34.598041302355,2695967,0.0,1.0
1999-12-13,168.4,168.4,164.5,166.3,34.288762029688,2047500,0.0,1.0
1999-12-14,163.5,164.3,160.5,160.5,33.0928821753753,1847567,0.0,1.0
1999-12-15,160.0,161.0,158.1,158.2,32.6186539572858,1808967,0.0,1.0
1999-12-16,157.2,157.2,151.6,152.6,31.4640113393288,2794567,0.0,1.0
1999-12-17,154.81,156.19,153.38,155.13,31.9856623792273,3177633,0.0,1.0
1999-12-20,156.5,157.6,153.1,155.2,32.0000954119517,1534767,0.0,1.0
1999-12-21,153.8,159.9,152.8,157.8,32.5361794845746,2524933,0.0,1.0
1999-12-22,157.6,158.3,155.4,155.4,32.0413326483073,902867,0.0,1.0
1999-12-23,155.4,159.8,155.4,159.3,32.8454587572417,989467,0.0,1.0
1999-12-27,159.3,162.5,158.3,158.3,32.6392725754636,1031867,0.0,1.0
1999-12-28,158.8,163.7,158.6,161.8,33.3609242116868,1312567,0.0,1.0
1999-12-29,162.5,166.4,162.4,165.5,34.1238130842655,1076400,0.0,1.0
1999-12-30,165.5,168.0,164.8,165.8,34.1856689387989,996433,0.0,1.0
1999-12-31,165.5,168.0,165.5,166.3,34.288762029688,388300,0.0,1.0
2000-01-03,164.5,164.5,156.0,157.25,32.4227770845967,2157067,0.0,1.0
2000-01-04,155.3,155.9,149.1,151.3,31.1959693030174,3480267,0.0,1.0
2000-01-05,150.5,153.1,149.2,150.3,31.0361750121394,2882067,0.225,1.0
2000-01-06,145.5,152.4,145.5,150.3,31.0361750121394,3663633,0.0,1.0
2000-01-07,150.8,153.5,148.5,152.4,31.4698141839657,2005467,0.0,1.0
2000-01-10,153.0,156.6,151.9,154.6,31.9241028401647,1635433,0.0,1.0
2000-01-11,154.4,160.0,153.8,156.0,32.2131956213822,2386133,0.0,1.0
2000-01-12,155.9,158.9,153.4,155.2,32.0479997464007,1938967,0.0,1.0
2000-01-13,156.5,158.3,154.3,156.0,32.2131956213822,1943667,0.0,1.0
2000-01-14,157.9,161.1,157.7,159.5,32.935927574426,2096867,0.0,1.0
2000-01-18,158.0,158.0,151.5,151.6,31.3046183089842,1955900,0.0,1.0
2000-01-19,153.5,154.8,148.8,148.9,30.7470822309219,2202900,0.0,1.0
2000-01-20,150.3,154.6,148.4,151.4,31.2633193402389,3770333,0.0,1.0
2000-01-21,153.0,153.8,150.9,151.7,31.3252677933569,2103600,0.0,1.0
2000-01-24,154.3,158.0,150.6,152.0,31.387216246475,3343300,0.0,1.0
2000-01-25,151.6,158.8,151.6,158.4,32.7087832463265,3383500,0.0,1.0
2000-01-26,160.0,164.1,159.5,159.8,32.9978760275441,4398933,0.0,1.0
2000-01-27,161.0,164.3,160.1,162.9,33.6380100430972,2078467,0.0,1.0
2000-01-28,161.1,162.3,157.8,158.3,32.6881337619539,2403500,0.0,1.0
2000-01-31,157.0,165.8,156.8,164.8,34.0303502461781,2468967,0.0,1.0
2000-02-01,164.6,169.5,163.8,169.0,34.8976285898307,3093200,0.0,1.0
2000-02-02,168.5,168.5,163.6,164.2,33.906453339942,2985600,0.0,1.0
2000-02-03,164.5,165.5,160.6,162.9,33.6380100430972,2484967,0.0,1.0
2000-02-04,162.9,163.5,160.6,161.4,33.328267777507,1718367,0.0,1.0
2000-02-07,161.4,163.9,160.9,162.4,33.5347626212338,1490200,0.0,1.0
2000-02-08,163.5,165.3,162.8,163.0,33.6586595274699,1756167,0.0,1.0
2000-02-09,162.9,162.9,155.0,156.6,32.3370925276183,2394033,0.0,1.0
2000-02-10,156.6,159.5,153.6,154.5,31.903453355792,1995400,0.0,1.0
2000-02-11,155.0,158.1,151.9,153.5,31.6969585120652,2173633,0.0,1.0
2000-02-14,153.5,157.9,153.5,154.0,31.8002059339286,1806100,0.0,1.0
2000-02-15,154.3,159.6,153.8,159.1,32.8533296369353,1556033,0.0,1.0
2000-02-16,156.5,156.8,152.1,153.8,31.7589069651832,2538900,0.0,1.0
2000-02-17,154.3,155.5,142.9,147.9,30.540587387195,4733667,0.0,1.0
2000-02-18,147.9,147.9,135.4,138.3,28.5582368874177,5206200,0.0,1.0
2000-02-22,139.5,140.3,137.6,139.1,28.7234327623991,4593833,0.0,1.0
2000-02-23,139.0,140.7,136.7,138.1,28.5169379186723,3634067,0.0,1.0
2000-02-24,137.6,138.6,128.9,130.0,26.8443296844852,6620233,0.0,1.0
2000-02-25,131.1,134.0,124.0,124.8,25.7705564971058,5525400,0.0,1.0
2000-02-28,126.5,135.5,126.5,132.6,27.3812162781749,5453200,0.0,1.0
2000-02-29,136.0,136.2,131.5,134.2,27.7116080281378,2853633,0.0,1.0
2000-03-01,137.0,137.4,132.2,135.5,27.9800513249826,2596233,0.0,1.0
2000-03-02,137.0,137.4,132.4,133.6,27.5877111219017,2902533,0.0,1.0
2000-03-03,137.8,138.4,131.3,133.5,27.567061637529,2925033,0.0,1.0
2000-03-06,133.5,133.8,128.6,129.3,26.6997832938764,2433200,0.0,1.0
2000-03-07,129.5,130.0,124.1,126.4,26.1009482470687,3717000,0.0,1.0
2000-03-08,126.6,126.6,121.1,122.8,25.3575668096521,3787033,0.0,1.0
2000-03-09,123.9,124.4,119.5,122.8,25.3575668096521,4279667,0.0,1.0
2000-03-10,123.1,129.8,121.8,126.7,26.1628967001867,4144267,0.0,1.0
2000-03-13,123.8,131.4,122.4,126.6,26.142247215814,3399400,0.0,1.0
2000-03-14,129.8,132.4,127.9,128.4,26.5139379345223,3127267,0.0,1.0
2000-03-15,128.8,134.3,127.2,132.9,27.4431647312929,3732433,0.0,1.0
2000-03-16,137.0,146.6,136.5,143.8,29.6939585279151,5762367,0.0,1.0
2000-03-17,142.5,147.0,141.1,143.6,29.6526595591698,3937033,0.0,1.0
2000-03-20,145.0,147.0,140.9,142.0,29.3222678092069,2943200,0.0,1.0
2000-03-21,142.0,149.0,138.5,145.9,30.1275976997414,3901167,0.0,1.0
2000-03-22,146.6,147.8,143.4,147.8,30.5199379028224,2124633,0.0,1.0
2000-03-23,147.8,156.0,145.3,156.0,32.2131956213822,3768400,0.0,1.0
2000-03-24,155.88,157.31,153.81,155.63,32.1367925292033,3247000,0.0,1.0
2000-03-27,155.5,156.0,149.1,150.5,31.0774739808847,2345933,0.0,1.0
2000-03-28,149.6,154.9,149.1,152.5,31.4904636683384,2677133,0.0,1.0
2000-03-29,152.1,154.6,149.3,151.6,31.3046183089842,2033333,0.0,1.0
2000-03-30,151.5,152.6,147.9,149.0,30.7677317152945,2267900,0.0,1.0
2000-03-31,148.5,150.5,146.5,148.9,30.7470822309219,2113433,0.0,1.0
2000-04-03,149.8,157.2,149.4,155.5,32.1099481995188,2994500,0.0,1.0
2000-04-04,155.5,157.8,142.7,147.0,30.3547420278409,4864500,0.0,1.0
2000-04-05,146.0,147.3,143.3,144.5,29.8385049185239,2911900,0.0,1.0
2000-04-06,144.0,144.1,140.1,141.0,29.1157729654801,3107367,0.0,1.0
2000-04-07,141.4,141.4,138.6,139.1,28.7234327623991,2293033,0.0,1.0
2000-04-10,139.1,145.0,138.2,143.2,29.570061621679,2722833,0.0,1.0
2000-04-11,144.4,146.5,141.0,145.2,29.9830513091327,2928133,0.0,1.0
2000-04-12,146.3,154.0,146.2,150.8,31.1394224340028,3923767,0.0,1.0
2000-04-13,150.8,151.4,145.0,146.0,30.1482471841141,3027167,0.0,1.0
2000-04-14,143.5,144.0,131.8,134.0,27.6703090593924,5218433,0.0,1.0
2000-04-17,133.0,136.4,131.9,134.0,27.6703090593924,3514433,0.0,1.0
2000-04-18,135.3,140.6,135.0,139.9,28.8886286373806,2199700,0.0,1.0
2000-04-19,139.5,140.8,137.8,139.5,28.8060306998898,1862300,0.0,1.0
2000-04-20,139.3,143.9,138.7,143.0,29.5452822404318,1785667,0.08,1.0
2000-04-24,142.8,151.1,142.0,150.1,31.0122158341875,3768867,0.0,1.0
2000-04-25,151.0,158.0,150.9,158.0,32.6444377201974,3216833,0.0,1.0
2000-04-26,158.0,159.8,154.5,154.6,31.9419624781172,2658033,0.0,1.0
2000-04-27,152.5,155.2,150.0,155.0,32.0246066242443,2749433,0.0,1.0
2000-04-28,155.0,156.9,149.5,149.5,30.8882496149969,2625833,0.0,1.0
2000-05-01,149.6,153.3,146.4,151.4,31.2808093091006,2930067,0.0,1.0
2000-05-02,151.4,151.4,147.5,148.1,30.5989951035521,2345467,0.0,1.0
2000-05-03,147.6,149.8,140.0,142.0,29.3386718751141,2852267,0.0,1.0
2000-05-04,143.4,147.3,143.1,144.8,29.9171808980037,2315633,0.0,1.0
2000-05-05,144.8,146.7,141.5,146.6,30.2890795555756,1952567,0.0,1.0
2000-05-08,145.0,152.3,144.9,152.1,31.4254365648229,2113100,0.0,1.0
2000-05-09,152.1,154.1,147.6,148.0,30.5783340670204,2425433,0.0,1.0
2000-05-10,148.5,150.4,142.6,143.4,29.6279263865589,3387067,0.0,1.0
2000-05-11,47.75,49.5,47.5,49.5,30.6816392496792,1268667,0.0,3.0
2000-05-12,49.13,50.63,49.0,50.25,31.146512571644,3613200,0.0,1.0
2000-05-15,50.5,52.38,50.19,52.19,32.3489848977931,3887300,0.0,1.0
2000-05-16,52.56,52.63,51.06,51.13,31.6919639360828,4043600,0.0,1.0
2000-05-17,51.0,51.75,50.25,50.94,31.5741960278517,3567800,0.0,1.0
2000-05-18,50.75,52.31,50.75,51.81,32.1134490813309,3115600,0.0,1.0
2000-05-19,50.81,51.13,49.75,50.31,31.1837024374012,3258000,0.0,1.0
2000-05-22,50.25,50.63,48.69,49.63,30.7622172921531,3427700,0.0,1.0
2000-05-23,49.25,50.88,49.25,50.75,31.4564281196206,3483300,0.0,1.0
2000-05-24,50.75,52.38,49.38,50.0,30.9915547976558,4939300,0.0,1.0
2000-05-25,50.0,51.19,48.5,48.88,30.2973439701883,4409100,0.0,1.0
2000-05-26,49.25,49.94,48.69,49.06,30.4089135674598,1971000,0.0,1.0
2000-05-30,49.63,50.75,49.63,50.63,31.3820483881062,1958000,0.0,1.0
2000-05-31,50.69,52.25,50.25,51.44,31.8841115758283,5440000,0.0,1.0
2000-06-01,53.81,54.88,53.0,53.88,33.3964994499539,4736400,0.0,1.0
2000-06-02,55.81,57.0,55.5,56.5,35.020456921351,5285200,0.0,1.0
2000-06-05,56.25,56.25,54.81,55.63,34.4812038678718,3301400,0.0,1.0
2000-06-06,55.38,55.38,53.5,54.0,33.4708791814682,4159300,0.0,1.0
2000-06-07,54.25,56.94,54.19,56.44,34.9832670555938,3259900,0.0,1.0
2000-06-08,56.19,56.5,55.0,55.0,34.0907102774213,2928300,0.0,1.0
2000-06-09,55.5,56.31,53.5,53.81,33.3531112732371,2784300,0.0,1.0
2000-06-12,53.75,54.5,53.5,53.65,33.2539382978846,2644400,0.0,1.0
2000-06-13,53.75,54.69,52.81,54.5,33.7807947294448,2826500,0.0,1.0
2000-06-14,54.75,57.19,54.63,56.75,35.1754146953393,4399100,0.0,1.0
2000-06-15,56.38,56.88,53.94,55.5,34.4006258253979,4454100,0.0,1.0
2000-06-16,55.5,55.69,51.38,51.5,31.9213014415854,6841100,0.0,1.0
2000-06-19,52.19,55.06,51.94,53.5,33.1609636334917,4895500,0.0,1.0
2000-06-20,52.75,54.63,52.75,54.0,33.4708791814682,3512000,0.0,1.0
2000-06-21,54.06,54.06,52.13,52.63,32.6217105800125,2462400,0.0,1.0
2000-06-22,52.38,53.5,51.94,53.44,33.1237737677345,3638400,0.0,1.0
2000-06-23,53.44,54.31,52.75,53.63,33.2415416759656,3236400,0.0,1.0
2000-06-26,53.63,56.5,53.56,56.19,34.8283092816055,3620900,0.0,1.0
2000-06-27,56.0,56.31,53.75,54.19,33.5886470896993,3542200,0.0,1.0
2000-06-28,53.19,54.94,53.19,53.25,33.0060058595034,4753500,0.0,1.0
2000-06-29,52.81,53.19,52.0,52.5,32.5411325375386,3474000,0.0,1.0
2000-06-30,51.69,52.23,51.0,52.13,32.3117950320359,4835700,0.0,1.0
2000-07-03,50.88,52.63,50.88,52.38,32.4667528060242,1726700,0.0,1.0
2000-07-05,52.75,52.94,51.56,52.13,32.3613815197122,3549700,0.08,1.0
2000-07-06,51.31,52.06,50.69,51.94,32.2434328819077,4151200,0.0,1.0
2000-07-07,52.5,53.81,52.06,53.75,33.367048852571,4055900,0.0,1.0
2000-07-10,53.63,55.06,52.81,54.88,34.0685328563553,4046400,0.0,1.0
2000-07-11,54.88,55.44,53.25,54.06,33.5594913668835,3928900,0.0,1.0
2000-07-12,54.25,55.56,53.69,55.0,34.1430267328634,3996900,0.0,1.0
2000-07-13,55.63,55.63,54.63,55.06,34.1802736711174,2042400,0.0,1.0
2000-07-14,55.19,57.13,54.94,56.56,35.1114471274682,3933000,0.0,1.0
2000-07-17,57.0,57.38,55.0,56.31,34.9562515514098,4145400,0.0,1.0
2000-07-18,56.0,56.06,54.25,55.19,34.2609753706678,3535700,0.0,1.0
2000-07-19,55.13,55.69,54.5,55.06,34.1802736711174,2607100,0.0,1.0
2000-07-20,55.13,57.75,55.13,56.88,35.3100974648231,3858400,0.0,1.0
2000-07-21,56.75,59.56,56.75,59.25,36.7813515258574,6136200,0.0,1.0
2000-07-24,59.25,59.75,56.19,57.06,35.4218382795852,4547800,0.0,1.0
2000-07-25,57.25,57.63,55.63,55.88,34.6893151605892,4227900,0.0,1.0
2000-07-26,55.19,56.88,55.13,55.63,34.5341195845307,4209000,0.0,1.0
2000-07-27,56.25,58.44,56.13,58.31,36.1978161598775,3773300,0.0,1.0
2000-07-28,58.75,58.75,55.06,56.0,34.7638090370973,4403800,0.0,1.0
2000-07-31,55.88,57.38,55.81,56.69,35.1921488270186,3560700,0.0,1.0
2000-08-01,57.0,57.5,56.5,56.94,35.3473444030771,2388200,0.0,1.0
2000-08-02,56.94,57.94,56.19,57.38,35.62048861694,3158500,0.0,1.0
2000-08-03,55.88,58.56,55.88,58.0,36.005373645565,3947900,0.0,1.0
2000-08-04,58.88,60.19,58.19,59.81,37.1289896162284,4312400,0.0,1.0
2000-08-07,59.25,59.81,58.19,58.31,36.1978161598775,4084700,0.0,1.0
2000-08-08,58.88,58.88,57.5,58.75,36.4709603737404,3250800,0.0,1.0
2000-08-09,58.13,60.13,58.13,59.63,37.0172488014663,3654200,0.0,1.0
2000-08-10,59.69,60.0,58.5,58.63,36.3964664972324,2657400,0.0,1.0
2000-08-11,58.75,60.44,58.44,59.75,37.0917426779743,3614000,0.0,1.0
2000-08-14,60.13,60.44,58.75,60.0,37.2469382540328,2806100,0.0,1.0
2000-08-15,59.94,59.94,58.69,59.19,36.7441045876033,3155400,0.0,1.0
2000-08-16,58.75,59.69,57.63,57.94,35.968126707311,3070900,0.0,1.0
2000-08-17,57.44,59.0,57.31,58.5,36.315764797682,2771200,0.0,1.0
2000-08-18,59.0,59.19,58.25,58.5,36.315764797682,2375800,0.0,1.0
2000-08-21,59.0,60.06,58.75,59.13,36.7068576493493,2775800,0.0,1.0
2000-08-22,59.5,59.63,57.44,57.94,35.968126707311,4134000,0.0,1.0
2000-08-23,58.31,58.31,57.0,57.31,35.5770338556437,3717100,0.0,1.0
2000-08-24,58.0,58.0,55.75,56.5,35.0742001892142,4558200,0.0,1.0
2000-08-25,56.63,57.19,56.56,56.56,35.1114471274682,2471900,0.0,1.0
2000-08-28,57.5,59.94,57.0,59.88,37.1724443775247,4912600,0.0,1.0
2000-08-29,59.13,59.69,58.31,59.25,36.7813515258574,3513500,0.0,1.0
2000-08-30,58.81,59.69,58.63,58.94,36.5889090115449,2291200,0.0,1.0
2000-08-31,59.0,60.38,59.0,59.02,36.6385715958836,3959800,0.0,1.0
2000-09-01,59.5,59.88,58.38,58.44,36.2785178594279,2118700,0.0,1.0
2000-09-05,58.44,59.94,58.38,59.75,37.0917426779743,2713400,0.0,1.0
2000-09-06,60.0,61.88,59.5,60.0,37.2469382540328,4184200,0.0,1.0
2000-09-07,60.0,60.0,58.5,59.31,36.8185984641114,1843000,0.0,1.0
2000-09-08,59.19,60.69,58.94,60.63,37.6380311057001,3522100,0.0,1.0
2000-09-11,60.0,61.94,60.0,61.81,38.3705542246961,3804500,0.0,1.0
2000-09-12,61.94,61.94,60.56,61.38,38.1036178338755,3488400,0.0,1.0
2000-09-13,61.88,62.25,60.31,61.31,38.0601630725792,3613000,0.0,1.0
2000-09-14,61.19,61.88,60.5,60.81,37.7497719204622,2419900,0.0,1.0
2000-09-15,60.56,61.19,58.75,59.31,36.8185984641114,4973700,0.0,1.0
2000-09-18,58.69,59.0,58.0,58.0,36.005373645565,2965300,0.0,1.0
2000-09-19,58.0,59.88,58.0,59.81,37.1289896162284,3512800,0.0,1.0
2000-09-20,57.56,58.19,56.38,58.0,36.005373645565,4064500,0.0,1.0
2000-09-21,56.81,58.44,55.88,58.25,36.1605692216235,3817300,0.0,1.0
2000-09-22,58.25,59.25,57.88,58.75,36.4709603737404,3059600,0.0,1.0
2000-09-25,59.0,60.38,58.38,60.0,37.2469382540328,3328600,0.0,1.0
2000-09-26,60.06,60.69,58.81,59.56,36.9737940401699,2332900,0.0,1.0
2000-09-27,59.0,59.31,58.38,58.75,36.4709603737404,3108100,0.0,1.0
2000-09-28,58.75,62.0,58.75,60.94,37.8304736200126,3354900,0.0,1.0
2000-09-29,61.31,61.94,60.69,60.75,37.7125249822082,2852700,0.0,1.0
2000-10-02,61.0,63.0,59.88,63.0,39.1092851667344,4219200,0.0,1.0
2000-10-03,62.44,62.69,61.38,61.5,38.1781117103836,3933700,0.0,1.0
2000-10-04,61.56,61.81,60.88,60.88,37.8428892660973,2751600,0.08,1.0
2000-10-05,61.69,62.5,60.75,61.0,37.917481032062,3767600,0.0,1.0
2000-10-06,60.56,60.75,57.5,57.94,36.0153909999619,6946900,0.0,1.0
2000-10-09,58.0,58.0,56.44,56.63,35.2010975548471,4123600,0.0,1.0
2000-10-10,56.94,56.94,55.0,55.5,34.4986917586794,6166600,0.0,1.0
2000-10-11,54.88,55.94,54.06,54.38,33.8025019430087,7036200,0.0,1.0
2000-10-12,56.0,56.88,51.19,51.88,32.2485068187439,9528500,0.0,1.0
2000-10-13,51.44,54.31,51.44,53.94,33.5289988011381,5117900,0.0,1.0
2000-10-16,54.5,56.63,54.0,55.75,34.6540912711059,5397400,0.0,1.0
2000-10-17,55.25,56.0,53.13,53.75,33.410895171694,5519700,0.0,1.0
2000-10-18,52.88,55.63,50.63,54.25,33.721694196547,8089600,0.0,1.0
2000-10-19,55.25,56.88,55.19,56.06,34.8467866665147,4281600,0.0,1.0
2000-10-20,55.44,56.88,55.44,56.06,34.8467866665147,2941300,0.0,1.0
2000-10-23,56.56,56.56,54.0,54.38,33.8025019430087,5033000,0.0,1.0
2000-10-24,54.81,57.38,54.69,57.13,35.5118965797001,5099100,0.0,1.0
2000-10-25,57.75,58.75,57.0,57.38,35.6672960921265,5103800,0.0,1.0
2000-10-26,56.44,56.56,53.06,54.44,33.8397978259911,6869800,0.0,1.0
2000-10-27,55.88,56.25,54.81,55.81,34.6913871540882,3439300,0.0,1.0
2000-10-30,56.38,58.88,56.31,58.44,36.3261900248148,3621300,0.0,1.0
2000-10-31,58.38,60.19,57.38,60.0,37.2958829823561,4803900,0.0,1.0
2000-11-01,59.88,60.13,57.13,58.38,36.2888941418325,4518900,0.0,1.0
2000-11-02,58.5,59.06,57.56,57.63,35.822695604553,3816000,0.0,1.0
2000-11-03,58.5,60.38,57.75,59.63,37.0658917039649,3795700,0.0,1.0
2000-11-06,59.88,60.63,59.31,60.63,37.6874897536708,3308000,0.0,1.0
2000-11-07,60.38,61.44,60.19,60.94,37.8801851490797,2334900,0.0,1.0
2000-11-08,61.31,61.31,57.88,58.0,36.0526868829442,3968900,0.0,1.0
