date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,65.25,65.63,63.88,63.94,10.8806799245698,659000,0.0,1.0
1999-11-02,64.0,64.5,62.88,63.06,10.7309301852263,982900,0.0,1.0
1999-11-03,64.13,64.63,63.38,63.88,10.8704697150691,881400,0.0,1.0
1999-11-04,64.5,64.5,63.38,63.56,10.8160152643988,679400,0.0,1.0
1999-11-05,64.81,67.13,64.63,65.31,11.1138130415023,866500,0.0,1.0
1999-11-08,65.38,65.94,64.25,64.5,10.9759752132429,412500,0.0,1.0
1999-11-09,64.75,64.75,62.88,63.69,10.8381373849836,686100,0.0,1.0
1999-11-10,63.63,63.75,63.06,63.19,10.7530523058112,801500,0.0,1.0
1999-11-11,63.38,65.19,63.31,64.56,10.9861854227436,535400,0.0,1.0
1999-11-12,64.81,65.75,64.63,65.69,11.1784777016733,593300,0.0,1.0
1999-11-15,64.63,65.75,64.56,65.75,11.188687911174,615500,0.0,1.0
1999-11-16,65.63,68.13,65.63,67.63,11.5086078088623,689400,0.0,1.0
1999-11-17,67.63,68.0,67.25,67.63,11.5086078088623,808400,0.0,1.0
1999-11-18,68.63,69.63,65.0,67.0,11.4014006091051,1431900,0.0,1.0
1999-11-19,67.0,69.25,67.0,68.75,11.6991983862085,1306300,0.0,1.0
1999-11-22,68.56,69.31,68.0,68.54,11.6634626529561,396700,0.0,1.0
1999-11-23,68.13,68.25,65.75,65.88,11.2108100317588,505200,0.0,1.0
1999-11-24,65.88,67.69,65.75,67.5,11.4864856882775,886300,0.0,1.0
1999-11-26,67.5,67.94,67.31,67.63,11.5086078088623,258400,0.0,1.0
1999-11-29,67.63,68.0,67.25,67.94,11.5613605579492,720800,0.0,1.0
1999-11-30,67.75,68.75,67.44,67.56,11.4966958977782,1016000,0.0,1.0
1999-12-01,67.75,68.5,67.75,68.13,11.5936928880347,1348200,0.0,1.0
1999-12-02,67.94,68.0,66.88,67.69,11.518818018363,467800,0.0,1.0
1999-12-03,67.69,68.44,67.19,67.44,11.4762754787768,741100,0.0,1.0
1999-12-06,67.69,67.69,65.75,65.94,11.2210202412595,661300,0.0,1.0
1999-12-07,65.88,65.94,63.5,64.31,10.9436428831574,915600,0.0,1.0
1999-12-08,63.75,63.94,61.69,62.63,10.7072765332164,1437700,0.291,1.0
1999-12-09,62.75,62.81,62.13,62.38,10.6645363267131,579300,0.0,1.0
1999-12-10,62.5,62.75,62.0,62.0,10.599571212828,704500,0.0,1.0
1999-12-13,62.5,62.63,61.5,62.05,10.6081192541287,573700,0.0,1.0
1999-12-14,61.06,63.0,61.06,62.75,10.727791832338,685800,0.0,1.0
1999-12-15,62.88,63.0,61.88,62.0,10.599571212828,984200,0.0,1.0
1999-12-16,61.88,62.0,59.0,60.31,10.3106474168654,1400200,0.0,1.0
1999-12-17,60.31,60.62,59.62,60.44,10.3328723242472,1497400,0.0,1.0
1999-12-20,59.94,60.88,59.25,60.13,10.279874468183,1410100,0.0,1.0
1999-12-21,59.69,60.13,58.56,59.69,10.2046517047371,1409400,0.0,1.0
1999-12-22,60.25,61.5,60.25,60.94,10.4183527372538,782600,0.0,1.0
1999-12-23,60.94,62.81,60.88,62.63,10.7072765332164,1122100,0.0,1.0
1999-12-27,62.0,62.13,59.5,61.25,10.471350593318,1580600,0.0,1.0
1999-12-28,60.63,61.31,60.0,60.56,10.3533876233688,709100,0.0,1.0
1999-12-29,60.38,62.25,60.38,61.44,10.5038331502605,657500,0.0,1.0
1999-12-30,61.56,63.25,61.5,62.94,10.7602743892805,770300,0.0,1.0
1999-12-31,62.5,62.88,62.06,62.81,10.7380494818988,233800,0.0,1.0
2000-01-03,61.56,62.13,60.31,61.38,10.4935755006997,1053300,0.0,1.0
2000-01-04,60.38,61.0,59.75,60.0,10.2576495608013,472700,0.0,1.0
2000-01-05,60.0,63.38,59.5,63.13,10.7927569462231,1140800,0.0,1.0
2000-01-06,61.88,64.5,61.88,63.94,10.9312352152939,910000,0.0,1.0
2000-01-07,64.38,67.69,64.13,67.56,11.5501134054622,1214000,0.0,1.0
2000-01-10,67.75,67.75,64.75,65.0,11.1124536908681,520500,0.0,1.0
2000-01-11,64.25,65.63,63.81,65.0,11.1124536908681,662300,0.0,1.0
2000-01-12,65.19,65.38,64.25,64.25,10.984233071358,505800,0.0,1.0
2000-01-13,64.75,66.88,64.5,65.75,11.2406743103781,745200,0.0,1.0
2000-01-14,65.0,65.5,62.31,63.75,10.8987526583514,1149000,0.0,1.0
2000-01-18,63.5,64.0,62.5,62.94,10.7602743892805,646700,0.0,1.0
2000-01-19,62.94,63.38,62.31,62.81,10.7380494818988,707200,0.0,1.0
2000-01-20,62.56,62.88,60.5,61.0,10.4286103868146,1447700,0.0,1.0
2000-01-21,61.0,61.0,60.38,60.75,10.3858701803113,1626500,0.0,1.0
2000-01-24,60.75,60.94,58.88,59.31,10.1396865908521,927100,0.0,1.0
2000-01-25,59.13,59.19,56.25,58.0,9.91572790877458,1943500,0.0,1.0
2000-01-26,57.75,58.88,56.0,58.0,9.91572790877458,2675400,0.0,1.0
2000-01-27,59.5,64.0,59.0,63.06,10.7807896884022,3051500,0.0,1.0
2000-01-28,63.06,66.44,62.0,62.69,10.7175341827772,2061200,0.0,1.0
2000-01-31,64.0,64.38,62.94,63.88,10.9209775657331,2156800,0.0,1.0
2000-02-01,63.88,63.88,62.63,63.13,10.7927569462231,806000,0.0,1.0
2000-02-02,62.88,63.5,62.13,63.38,10.8354971527264,1273800,0.0,1.0
2000-02-03,63.5,63.75,62.81,63.5,10.856012451848,974100,0.0,1.0
2000-02-04,63.25,63.88,63.25,63.5,10.856012451848,1273100,0.0,1.0
2000-02-07,63.25,63.63,62.5,63.06,10.7807896884022,873500,0.0,1.0
2000-02-08,62.81,63.81,62.44,62.94,10.7602743892805,744200,0.0,1.0
2000-02-09,62.0,63.0,60.13,62.88,10.7500167397197,1235900,0.0,1.0
2000-02-10,62.88,62.88,59.63,60.56,10.3533876233688,846900,0.0,1.0
2000-02-11,60.38,60.44,59.0,59.25,10.1294289412913,717900,0.0,1.0
2000-02-14,59.63,60.56,59.0,59.75,10.2149093542979,734800,0.0,1.0
2000-02-15,59.25,59.75,58.25,59.13,10.1089136421697,1506800,0.0,1.0
2000-02-16,59.0,59.13,57.5,57.88,9.89521260965297,1125300,0.0,1.0
2000-02-17,57.88,58.0,57.06,57.69,9.86273005271044,1107900,0.0,1.0
2000-02-18,57.44,57.44,55.56,55.88,9.55329095762627,1157900,0.0,1.0
2000-02-22,55.63,58.13,55.19,57.0,9.74476708276122,1476500,0.0,1.0
2000-02-23,56.88,57.5,55.88,56.69,9.69176922669708,893700,0.0,1.0
2000-02-24,56.69,56.69,54.0,55.13,9.42507033811625,1196100,0.0,1.0
2000-02-25,55.63,57.69,53.75,54.19,9.26436716166369,1345300,0.0,1.0
2000-02-28,54.69,56.19,54.25,54.88,9.38233013161291,818600,0.0,1.0
2000-02-29,55.38,56.38,54.5,54.5,9.31736501772783,970900,0.0,1.0
2000-03-01,54.81,57.38,54.81,56.06,9.58406390630867,1304300,0.0,1.0
2000-03-02,56.31,57.5,55.63,56.81,9.71228452581868,2085800,0.0,1.0
2000-03-03,57.06,58.63,56.63,56.63,9.68151157713628,2304000,0.0,1.0
2000-03-06,56.75,56.75,54.38,54.38,9.29684971860623,947700,0.0,1.0
2000-03-07,54.88,55.0,51.75,51.81,8.85748039575191,1284000,0.0,1.0
2000-03-08,53.0,55.0,53.0,54.13,9.25410951210289,1186600,0.0,1.0
2000-03-09,54.13,55.88,53.81,55.75,9.53106605024453,1907900,0.0,1.0
2000-03-10,55.75,56.94,55.75,56.06,9.58406390630867,2162000,0.0,1.0
2000-03-13,55.06,55.63,53.56,53.75,9.18914439821782,1366600,0.0,1.0
2000-03-14,54.0,54.69,53.75,54.0,9.23188460472116,1130900,0.0,1.0
2000-03-15,54.63,59.63,54.5,58.94,10.0764310852271,1554600,0.0,1.0
2000-03-16,59.75,62.69,59.31,62.38,10.6645363267131,2781900,0.0,1.0
2000-03-17,62.75,62.75,61.38,61.75,10.5568310063247,1310800,0.0,1.0
2000-03-20,61.75,62.75,61.25,61.69,10.5465733567639,1492600,0.0,1.0
2000-03-21,61.19,63.88,61.06,62.88,10.7500167397197,1573200,0.0,1.0
2000-03-22,62.19,63.13,61.56,62.75,10.727791832338,1977100,0.0,1.0
2000-03-23,62.38,64.88,61.63,63.94,10.9312352152939,2573700,0.0,1.0
2000-03-24,63.44,63.44,61.06,61.5,10.5140907998213,2199000,0.0,1.0
2000-03-27,61.0,61.19,59.13,60.21,10.2935513342641,1503500,0.0,1.0
2000-03-28,60.13,61.63,59.63,60.31,10.3106474168654,1450000,0.0,1.0
2000-03-29,60.19,61.94,59.75,60.25,10.3003897673046,1447900,0.0,1.0
2000-03-30,60.25,62.19,60.13,61.5,10.5140907998213,1660400,0.0,1.0
2000-03-31,61.75,62.94,61.56,62.69,10.7175341827772,1056200,0.0,1.0
2000-04-03,59.94,63.5,59.94,62.19,10.6320537697705,1132800,0.0,1.0
2000-04-04,62.0,63.38,60.13,62.06,10.6098288623888,1423100,0.0,1.0
2000-04-05,62.56,63.5,61.5,61.88,10.5790559137064,1719800,0.0,1.0
2000-04-06,61.75,61.94,59.44,60.0,10.2576495608013,1023300,0.0,1.0
2000-04-07,59.88,60.31,59.13,59.44,10.1619114982338,542700,0.0,1.0
2000-04-10,59.44,61.19,59.13,60.63,10.3653548811897,972300,0.0,1.0
2000-04-11,60.63,63.94,60.63,61.69,10.5465733567639,990100,0.0,1.0
