date,open,high,low,close,adjClose,volume,dividend,split
2007-04-02,19.4,19.7,18.82,19.51,13.429002452566,9470300,0.0,1.0
2007-04-03,19.3,19.5,18.49,19.07,13.126144375727,7892900,0.0,1.0
2007-04-04,19.02,19.16,18.8,18.91,13.0160141659674,4738000,0.0,1.0
2007-04-05,18.75,19.81,18.7,19.38,13.3395216571363,4602900,0.0,1.0
2007-04-09,19.57,19.57,18.9,19.06,13.119261237617,3600900,0.0,1.0
2007-04-10,18.68,19.44,18.6,19.22,13.2293914473767,3130800,0.0,1.0
2007-04-11,19.26,20.06,18.95,19.11,13.1536769281669,3356100,0.0,1.0
2007-04-12,19.06,19.27,18.89,19.2,13.2156251711567,2666300,0.0,1.0
2007-04-13,20.05,20.05,19.1,19.58,13.4771844193358,2980900,0.0,1.0
2007-04-16,19.62,19.9,19.62,19.86,13.6699122864152,1455800,0.0,1.0
2007-04-17,19.45,20.58,19.3,20.42,14.0553680205739,1567200,0.0,1.0
2007-04-18,20.23,20.72,19.96,20.68,14.2343296114334,1958200,0.0,1.0
2007-04-19,20.2,21.46,20.18,21.14,14.5509539644923,1890100,0.0,1.0
2007-04-20,21.37,21.77,21.0,21.08,14.5096551358325,2671300,0.0,1.0
2007-04-23,20.88,21.1,20.53,20.7,14.2480958876533,1531800,0.0,1.0
2007-04-24,20.5196,20.7,20.5,20.61,14.1861476446635,1752700,0.0,1.0
2007-04-25,20.61,20.67,20.22,20.26,13.9452378108143,1029600,0.0,1.0
2007-04-26,19.78,20.14,19.7,20.06,13.8075750486148,1193200,0.0,1.0
2007-04-27,20.0,20.27,19.81,20.22,13.9177052583744,734500,0.0,1.0
2007-04-30,20.2,20.2,19.96,20.04,13.7938087723948,1581800,0.0,1.0
2007-05-01,19.96,20.11,19.86,20.04,13.7938087723948,1468800,0.0,1.0
2007-05-02,19.97,20.11,19.85,20.02,13.7800424961748,1460100,0.0,1.0
2007-05-03,20.05,20.44,20.009,20.3,13.9727703632542,1243100,0.0,1.0
2007-05-04,20.2,21.0,20.13,20.78,14.3031609925331,1242300,0.0,1.0
2007-05-07,20.5248,21.04,20.5248,21.01,14.4614731690626,1482300,0.0,1.0
2007-05-08,20.5401,21.32,20.54,21.27,14.640434759922,1294300,0.0,1.0
2007-05-09,21.12,21.85,21.08,21.4,14.7299155553517,2454100,0.0,1.0
2007-05-10,21.2,21.55,20.94,21.12,14.5371876882724,1278800,0.0,1.0
2007-05-11,21.13,21.45,21.1,21.43,14.7505649696817,468300,0.0,1.0
2007-05-14,21.33,21.36,21.12,21.31,14.6679673123619,661100,0.0,1.0
2007-05-15,21.29,21.41,20.84,20.84,14.344459821193,1811800,0.0,1.0
2007-05-16,20.7,20.7,20.42,20.5,14.1104331254538,1595900,0.0,1.0
2007-05-17,20.12,20.73,20.1,20.65,14.2136801971034,893700,0.0,1.0
2007-05-18,20.6,20.75,20.3,20.46,14.0829005730139,1201800,0.0,1.0
2007-05-21,20.44,20.54,20.38,20.5,14.1104331254538,3019200,0.0,1.0
2007-05-22,20.62,20.62,20.35,20.39,14.034718606244,1490500,0.0,1.0
2007-05-23,20.39,20.5,20.04,20.35,14.0071860538041,1014700,0.0,1.0
2007-05-24,20.01,20.33,20.0,20.02,13.7800424961748,1404600,0.0,1.0
2007-05-25,20.02,20.15,19.95,20.0,13.7662762199549,624200,0.0,1.0
2007-05-29,19.55,20.05,19.55,20.0,13.7662762199549,639000,0.0,1.0
2007-05-30,19.82,20.04,19.75,19.97,13.745626805625,1165000,0.0,1.0
2007-05-31,19.99,20.25,19.9,20.24,13.9314715345944,953500,0.0,1.0
2007-06-01,20.31,20.42,19.75,19.93,13.7180942531851,886100,0.0,1.0
2007-06-04,19.68,20.0,19.66,19.85,13.6630291483052,967300,0.0,1.0
2007-06-05,19.75,20.08,19.65,19.93,13.7180942531851,847000,0.0,1.0
2007-06-06,19.78,19.81,19.28,19.45,13.3877036239061,1072800,0.0,1.0
2007-06-07,19.28,19.46,18.91,18.97,13.0573129946272,1127400,0.0,1.0
2007-06-08,18.98,19.18,18.91,19.14,13.1743263424968,627600,0.0,1.0
2007-06-11,19.06,19.31,19.0,19.27,13.2638071379265,2175300,0.0,1.0
2007-06-12,19.16,19.49,19.15,19.33,13.3051059665864,994400,0.0,1.0
2007-06-13,19.46,19.59,19.28,19.35,13.3601710714662,829700,0.06,1.0
2007-06-14,19.3,19.42,19.16,19.28,13.311839703249,629800,0.0,1.0
2007-06-15,19.38,19.59,19.35,19.49,13.4568338079006,732300,0.0,1.0
2007-06-18,19.57,19.57,19.28,19.43,13.4154069208573,810700,0.0,1.0
2007-06-19,19.27,19.54,19.08,19.09,13.1806545609452,1422600,0.0,1.0
2007-06-20,19.02,19.14,18.99,19.11,13.194463523293,1922200,0.0,1.0
2007-06-21,19.02,19.47,19.0,19.44,13.4223114020312,1592800,0.0,1.0
2007-06-22,19.43,20.0,19.43,19.9,13.7399175360299,1826000,0.0,1.0
2007-06-25,19.81,20.12,19.72,20.12,13.8918161218553,2052100,0.0,1.0
2007-06-26,20.25,20.25,19.76,19.9,13.7399175360299,1435300,0.0,1.0
2007-06-27,19.81,20.0,19.59,19.8,13.670872724291,1720900,0.0,1.0
2007-06-28,19.81,19.83,19.22,19.41,13.4015979585095,1430600,0.0,1.0
2007-06-29,19.38,19.6,19.1,19.12,13.2013680044669,1323100,0.0,1.0
2007-07-02,19.23,19.38,19.09,19.34,13.3532665902923,848600,0.0,1.0
2007-07-03,19.31,19.85,19.25,19.72,13.6156368748999,322700,0.0,1.0
2007-07-05,19.81,19.84,19.51,19.6,13.5327831008133,669000,0.0,1.0
2007-07-06,19.53,19.92,19.53,19.76,13.6432547995955,492000,0.0,1.0
2007-07-09,19.76,20.46,19.46,20.34,14.0437147076808,1492100,0.0,1.0
2007-07-10,20.19,20.31,19.76,19.8,13.670872724291,925900,0.0,1.0
2007-07-11,19.71,19.75,19.45,19.58,13.5189741384656,606100,0.0,1.0
2007-07-12,19.7,20.04,19.7,20.02,13.8227713101165,1520600,0.0,1.0
2007-07-13,20.07,20.29,19.8,19.89,13.733013054856,475600,0.0,1.0
2007-07-16,19.83,20.24,19.8,20.19,13.9401474900725,566900,0.0,1.0
2007-07-17,20.1,20.5,20.02,20.14,13.9056250842031,873900,0.0,1.0
2007-07-18,20.02,20.21,19.85,20.04,13.8365802724642,1002700,0.0,1.0
2007-07-19,19.7,20.45,19.7,20.27,13.9953833394636,828100,0.0,1.0
2007-07-20,19.4,20.28,19.4,20.05,13.8434847536381,525000,0.0,1.0
2007-07-23,20.11,20.24,20.0,20.01,13.8158668289426,317800,0.0,1.0
2007-07-24,19.8,19.81,19.23,19.31,13.3325531467707,1680000,0.0,1.0
2007-07-25,19.49,19.5,18.83,19.14,13.2151769668147,1083600,0.0,1.0
2007-07-26,18.0,18.93,18.0,18.61,12.8492394645988,2240500,0.0,1.0
2007-07-27,18.57,18.67,17.97,17.97,12.4073526694702,920800,0.0,1.0
2007-07-30,18.0,18.11,17.79,17.87,12.3383078577313,1338300,0.0,1.0
2007-07-31,17.88,18.07,17.51,17.59,12.1449823848626,1855100,0.0,1.0
2007-08-01,16.73,18.12,16.16,17.06,11.7790448826467,2217500,0.0,1.0
2007-08-02,17.0,17.33,17.0,17.18,11.8618986567333,2218700,0.0,1.0
2007-08-03,17.25,17.3,16.73,17.05,11.7721404014728,1868000,0.0,1.0
2007-08-06,17.12,17.69,17.12,17.57,12.1311734225148,2274600,0.0,1.0
