date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,53.75,54.25,53.06,53.38,209.77581209934,11062500,0.0,1.0
1999-11-02,53.5,54.75,53.38,53.69,210.994068033226,11400000,0.0,1.0
1999-11-03,54.88,54.88,52.69,53.0,208.282466115868,12225750,0.0,1.0
1999-11-04,54.19,55.06,53.06,54.75,215.159717355543,53848500,0.0,1.0
1999-11-05,54.69,55.25,54.0,54.38,213.705669950583,13857000,0.0,1.0
1999-11-08,53.88,54.63,53.75,53.94,211.976532496036,7801500,0.0,1.0
1999-11-09,54.19,54.31,52.19,52.81,207.535793124132,9280500,0.0,1.0
1999-11-10,52.06,53.13,51.81,52.5,206.317537190247,9228750,0.0,1.0
1999-11-11,52.63,52.81,51.56,52.13,204.863489785287,8440500,0.0,1.0
1999-11-12,53.0,55.13,52.38,54.88,215.670598876204,13439250,0.0,1.0
1999-11-15,55.13,55.88,54.44,55.88,219.600456727447,9024000,0.0,1.0
1999-11-16,56.0,58.25,55.69,58.0,227.931755372082,16733250,0.0,1.0
1999-11-17,57.38,57.5,55.88,56.38,221.565385653069,12154500,0.0,1.0
1999-11-18,56.5,57.06,55.06,56.25,221.054504132407,9883500,0.0,1.0
1999-11-19,56.19,57.19,55.13,56.5,222.036968595218,9674250,0.0,1.0
1999-11-22,55.56,56.0,54.44,56.0,220.072039669596,9717000,0.0,1.0
1999-11-23,55.44,55.5,54.44,54.69,214.923925884468,7387500,0.0,1.0
1999-11-24,54.81,54.81,53.75,53.94,211.976532496036,6423000,0.0,1.0
1999-11-26,54.5,54.94,54.13,54.38,213.705669950583,3012750,0.0,1.0
1999-11-29,54.19,54.19,53.0,53.0,208.282466115868,8924250,0.0,1.0
1999-11-30,53.5,55.19,53.44,53.88,211.740741024962,11431500,0.0,1.0
1999-12-01,53.06,54.63,53.0,54.31,213.430579900996,7419000,0.0,1.0
1999-12-02,55.5,55.63,53.5,54.0,212.212323967111,10464750,0.0,1.0
1999-12-03,55.44,57.38,55.13,57.19,224.748570512575,14727000,0.0,1.0
1999-12-06,56.94,56.94,55.56,56.19,220.818712661333,8813250,0.0,1.0
1999-12-07,56.63,57.5,56.38,57.19,224.748570512575,9933750,0.0,1.0
1999-12-08,57.31,57.56,54.44,55.95,219.875546777034,9021000,0.0,1.0
1999-12-09,56.0,56.13,54.25,55.13,216.653063339015,9646500,0.0,1.0
1999-12-10,55.81,56.63,55.69,56.13,220.582921190258,10332000,0.0,1.0
1999-12-13,56.0,56.0,55.0,55.33,217.439034909264,7928250,0.0,1.0
1999-12-14,54.0,54.81,53.44,53.5,210.247395041489,9972000,0.0,1.0
1999-12-15,53.94,55.06,53.81,54.5,214.177252892732,10221000,0.0,1.0
1999-12-16,55.13,55.13,53.06,54.0,212.212323967111,9234750,0.0,1.0
1999-12-17,53.94,54.94,53.44,54.5,214.177252892732,13310250,0.0,1.0
1999-12-20,54.5,55.38,53.25,54.42,213.862864264633,9650250,0.0,1.0
1999-12-21,53.06,56.0,53.0,56.0,220.072039669596,11449500,0.0,1.0
1999-12-22,55.44,55.44,54.31,55.0,216.142181818354,7947750,0.0,1.0
1999-12-23,55.81,56.31,55.63,55.63,218.617992264637,7540500,0.0,1.0
1999-12-27,56.06,56.63,54.38,54.5,214.177252892732,6745500,0.0,1.0
1999-12-28,54.56,55.63,54.38,55.5,218.107110743975,4695000,0.0,1.0
1999-12-29,55.63,55.81,54.63,54.88,215.670598876204,4152000,0.0,1.0
1999-12-30,55.0,55.5,54.31,55.31,217.360437752239,3805500,0.0,1.0
1999-12-31,55.25,55.94,54.88,55.69,218.853783735711,1953000,0.0,1.0
2000-01-03,55.63,55.63,52.0,53.0,208.282466115868,12614250,0.0,1.0
2000-01-04,52.0,52.19,49.75,49.75,195.510428099329,18024000,0.0,1.0
