date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,26.31,26.44,25.44,25.81,7.74463395065241,722500,0.0,1.0
1999-11-02,25.94,26.13,25.81,25.88,7.76563838213423,789000,0.0,1.0
1999-11-03,25.63,25.75,24.81,25.19,7.61965758333561,986500,0.2035,1.0
1999-11-04,25.19,25.38,24.25,24.31,7.35346867212738,1023100,0.0,1.0
1999-11-05,24.31,24.63,24.19,24.25,7.33531942818136,762500,0.0,1.0
1999-11-08,24.06,24.63,24.0,24.63,7.45026463983946,604600,0.0,1.0
1999-11-09,24.94,24.94,23.63,23.94,7.24154833446028,682800,0.0,1.0
1999-11-10,23.5,24.25,23.31,23.75,7.18407572863123,875500,0.0,1.0
1999-11-11,23.38,23.69,23.0,23.19,7.01468278513508,1027200,0.0,1.0
1999-11-12,23.19,24.56,23.0,24.44,7.39279203401041,1891500,0.0,1.0
1999-11-15,24.38,24.44,24.0,24.13,7.29902094028933,845300,0.0,1.0
1999-11-16,24.13,25.44,24.0,24.88,7.52588648961453,991200,0.0,1.0
1999-11-17,24.88,26.25,24.75,25.63,7.75275203893972,1327300,0.0,1.0
1999-11-18,25.69,26.25,25.5,25.81,7.80719977077777,1334500,0.0,1.0
1999-11-19,25.56,25.94,25.31,25.56,7.7315779210027,969100,0.0,1.0
1999-11-22,25.06,25.31,24.5,24.56,7.42909052190244,613400,0.0,1.0
1999-11-23,24.19,24.5,24.0,24.44,7.39279203401041,729500,0.0,1.0
1999-11-24,24.44,24.5,24.06,24.31,7.35346867212738,365700,0.0,1.0
1999-11-26,24.13,24.19,23.88,23.88,7.22339909051426,414300,0.0,1.0
1999-11-29,23.75,24.0,23.38,23.94,7.24154833446028,875800,0.0,1.0
1999-11-30,23.13,24.63,23.13,24.13,7.29902094028933,1075700,0.0,1.0
1999-12-01,23.56,24.06,23.44,23.5,7.10845387885616,1288200,0.0,1.0
1999-12-02,23.25,23.56,23.13,23.25,7.0328320290811,1548100,0.0,1.0
1999-12-03,23.44,24.44,23.25,23.56,7.12660312280218,1492800,0.0,1.0
1999-12-06,23.38,23.63,23.0,23.06,6.97535942325205,1013200,0.0,1.0
1999-12-07,23.19,23.19,22.75,22.88,6.920911691414,1364600,0.0,1.0
1999-12-08,22.5,22.94,22.44,22.5,6.8059664797559,1391200,0.0,1.0
1999-12-09,22.56,22.81,22.0,22.31,6.74849387392685,1160300,0.0,1.0
1999-12-10,22.06,22.25,22.0,22.0,6.65472278020577,990500,0.0,1.0
1999-12-13,21.69,22.0,21.69,21.88,6.61842429231374,803800,0.0,1.0
1999-12-14,21.75,21.94,21.56,21.75,6.57910093043071,1183000,0.0,1.0
1999-12-15,21.5,22.63,21.5,22.56,6.82411572370192,1368600,0.0,1.0
1999-12-16,22.56,22.56,21.25,21.5,6.50347908065564,1721900,0.0,1.0
1999-12-17,21.13,21.13,21.13,21.13,6.39155874298854,3033400,0.0,1.0
1999-12-20,20.94,21.75,20.88,21.69,6.56095168648469,1774500,0.0,1.0
1999-12-21,21.5,21.75,20.63,20.88,6.31593689321348,2415100,0.0,1.0
1999-12-22,21.13,21.69,20.75,21.25,6.42785723088057,2609400,0.0,1.0
1999-12-23,21.56,21.63,21.38,21.44,6.48532983670962,1225000,0.0,1.0
1999-12-27,21.5,22.88,21.38,22.56,6.82411572370192,1704500,0.0,1.0
1999-12-28,22.81,22.81,22.06,22.13,6.6940461420888,1074600,0.0,1.0
1999-12-29,22.06,22.25,21.88,22.19,6.71219538603482,936100,0.0,1.0
1999-12-30,22.5,22.75,22.25,22.69,6.86343908558495,993300,0.0,1.0
1999-12-31,22.5,22.69,22.5,22.69,6.86343908558495,449100,0.0,1.0
2000-01-03,22.5,22.94,21.94,22.88,6.920911691414,1663700,0.0,1.0
2000-01-04,22.25,22.63,22.19,22.44,6.78781723580989,2176900,0.0,1.0
2000-01-05,22.38,22.5,22.0,22.06,6.67287202415179,1195100,0.0,1.0
2000-01-06,22.0,22.75,21.88,22.69,6.86343908558495,1544600,0.0,1.0
2000-01-07,23.69,23.88,23.0,23.19,7.01468278513508,1326400,0.0,1.0
2000-01-10,23.19,23.81,22.75,23.0,6.95721017930603,926100,0.0,1.0
2000-01-11,22.63,23.94,22.63,23.75,7.18407572863123,1294200,0.0,1.0
2000-01-12,23.56,24.44,23.56,23.81,7.20222497257725,1401700,0.0,1.0
2000-01-13,23.56,23.69,23.0,23.13,6.99653354118907,744800,0.0,1.0
2000-01-14,22.88,22.94,22.25,22.38,6.76966799186387,1624800,0.0,1.0
2000-01-18,22.38,22.63,22.06,22.44,6.78781723580989,1496800,0.0,1.0
2000-01-19,22.19,22.81,22.19,22.75,6.88158832953097,1374400,0.0,1.0
2000-01-20,22.63,23.19,22.5,23.06,6.97535942325205,1663400,0.0,1.0
2000-01-21,23.19,23.5,22.69,23.13,6.99653354118907,1556200,0.0,1.0
2000-01-24,23.06,23.25,22.38,22.5,6.8059664797559,787700,0.0,1.0
2000-01-25,22.25,22.63,21.94,21.94,6.63657353625976,1230800,0.0,1.0
2000-01-26,21.75,22.06,21.0,21.25,6.48941341659748,1752700,0.2035,1.0
2000-01-27,21.75,21.88,20.94,21.06,6.43139042604908,992600,0.0,1.0
2000-01-28,21.06,21.06,20.38,20.69,6.31839828656009,987800,0.0,1.0
2000-01-31,20.69,21.75,20.06,21.44,6.54743640714588,1008200,0.0,1.0
2000-02-01,21.13,21.25,20.69,21.06,6.43139042604908,1002000,0.0,1.0
2000-02-02,20.81,21.0,20.13,20.25,6.18402925581642,1327000,0.0,1.0
2000-02-03,20.25,20.88,19.88,20.56,6.27869834565855,1678500,0.0,1.0
