date,open,high,low,close,adjClose,volume,dividend,split
2020-03-19,12.0,12.0,12.0,12.0,11.1149668696477,100,0.0,1.0
2020-03-20,13.0,13.0,12.0,12.75,11.8096522990007,2348,0.0,1.0
2020-03-23,12.75,12.75,11.5,11.54,10.6888931396446,18710,0.0,1.0
2020-03-24,12.9,12.9,11.5,11.7,10.8370926979065,96074,0.0,1.0
2020-03-25,11.8,13.45,11.8,13.45,12.4580253663968,19242,0.0,1.0
2020-03-26,14.0,15.45,14.0,15.45,14.3105198446714,76379,0.0,1.0
2020-03-27,15.0,16.0,14.55,14.55,13.4768973294479,114014,0.0,1.0
2020-03-30,15.25,16.5,15.25,15.9,14.7273311022832,209978,0.0,1.0
2020-03-31,16.39,17.25,14.56,17.25,15.9777648751186,461468,0.0,1.0
2020-04-01,16.0,16.0,14.56,15.05,13.9400209490165,2998918,0.0,1.0
2020-04-02,15.66,15.9,12.12,13.28,12.3005633357435,15965880,0.0,1.0
2020-04-03,13.75,17.0,13.38,16.92,15.6721032862033,66927998,0.0,1.0
2020-04-06,17.06,17.15,14.85,15.44,14.3012573722801,37134054,0.0,1.0
2020-04-07,15.2,15.8,14.55,15.25,14.125270396844,23484053,0.0,1.0
2020-04-08,14.5,15.25,13.73,14.26,13.208285630098,49372245,0.0,1.0
2020-04-09,14.0,15.5,13.9,14.78,13.6899341944494,34923923,0.0,1.0
2020-04-13,14.5,14.5,13.98,13.99,12.958198875531,21496433,0.0,1.0
2020-04-14,14.0,14.2,13.78,13.87,12.8470492068345,22348627,0.0,1.0
2020-04-15,13.53,13.655,12.94,13.36,12.3746631148745,14988852,0.0,1.0
2020-04-16,13.15,13.25,12.26,12.89,11.9393269124799,21687002,0.0,1.0
2020-04-17,13.3,13.83,12.93,13.74,12.7266370657466,21332013,0.0,1.0
2020-04-20,13.5,14.74,13.475,14.45,13.3842726055341,20020359,0.0,1.0
2020-04-21,14.22,15.25,14.18,14.69,13.6065719429271,16233901,0.0,1.0
2020-04-22,14.95,15.16,14.22,14.79,13.6991966668408,12539535,0.0,1.0
