date,open,high,low,close,adjClose,volume,dividend,split
2014-09-24,21.5,23.22,21.35,23.08,15.6172776496659,60428679,0.0,1.0
2014-09-25,22.56,23.41,22.45,23.05,15.5969778953553,8430006,0.0,1.0
2014-09-26,23.18,23.37,22.91,23.25,15.7323095907597,2504353,0.0,1.0
2014-09-29,23.14,23.45,22.91,23.23,15.7187764212192,4832586,0.0,1.0
2014-09-30,23.11,23.57,23.05,23.42,15.8473415318534,4103103,0.0,1.0
2014-10-01,23.22,23.61,23.11,23.44,15.8608747013938,3915508,0.0,1.0
2014-10-02,23.34,23.59,23.303,23.34,15.7932088536916,3121384,0.0,1.0
2014-10-03,23.38,23.47,23.01,23.23,15.7187764212192,1585901,0.0,1.0
2014-10-06,23.28,23.37,22.61,22.64,15.3195479197763,1208403,0.0,1.0
2014-10-07,22.56,22.74,22.26,22.52,15.2383489025337,1508726,0.0,1.0
2014-10-08,22.11,23.15,22.11,22.75,15.3939803522487,1649208,0.0,1.0
2014-10-09,23.0,23.0,22.24,22.48,15.2112825634528,1229058,0.0,1.0
2014-10-10,22.39,22.56,22.135,22.28,15.0759508680484,924069,0.0,1.0
2014-10-13,22.13,22.66,22.12,22.45,15.1909828091421,1382774,0.0,1.0
2014-10-14,22.5,22.79,22.3,22.45,15.1909828091421,1605776,0.0,1.0
2014-10-15,22.13,22.2,21.5,21.85,14.784987722929,3405401,0.0,1.0
2014-10-16,21.51,21.95,21.47,21.8,14.7511547990779,3105758,0.0,1.0
2014-10-17,21.89,22.07,21.73,21.92,14.8323538163205,2750608,0.0,1.0
2014-10-20,21.82,22.38,21.82,22.38,15.1436167157506,1870599,0.0,1.0
2014-10-21,22.11,22.93,22.11,22.82,15.4413464456402,1165506,0.0,1.0
2014-10-22,22.78,23.0,22.4025,22.6,15.2924815806954,884653,0.0,1.0
2014-10-23,22.97,23.08,22.59,23.03,15.5834447258148,1154177,0.0,1.0
2014-10-24,23.32,23.49,22.77,23.18,15.6849434973681,1357806,0.0,1.0
2014-10-27,23.15,23.19,22.725,22.85,15.4616461999509,2898819,0.0,1.0
2014-10-28,23.16,23.59,22.93,23.28,15.7526093450703,1500595,0.0,1.0
2014-10-29,23.35,23.53,23.2,23.48,15.8879410404747,1302330,0.0,1.0
2014-10-30,23.46,23.69,23.2971,23.44,15.8608747013938,1153487,0.0,1.0
2014-10-31,23.59,23.92,23.37,23.62,15.9826732272578,1238628,0.0,1.0
2014-11-03,23.49,24.0,23.16,24.0,16.2398034485261,1826936,0.0,1.0
2014-11-04,23.74,23.91,23.43,23.6,16.0368059054195,1474474,0.1,1.0
2014-11-05,23.8,23.95,23.55,23.9,16.2406636076071,1097594,0.0,1.0
2014-11-06,23.79,24.46,23.75,24.3,16.5124738771905,1010740,0.0,1.0
2014-11-07,24.48,24.48,23.96,23.97,16.2882304047842,600659,0.0,1.0
2014-11-10,24.04,24.25,23.75,23.95,16.274639891305,1531257,0.0,1.0
2014-11-11,23.97,24.22,23.75,23.94,16.2678446345654,658274,0.0,1.0
2014-11-12,23.75,23.98,23.51,23.86,16.2134825806487,940834,0.0,1.0
2014-11-13,23.62,23.96,23.58,23.82,16.1863015536904,1149713,0.0,1.0
2014-11-14,23.74,24.0,23.74,23.96,16.2814351480446,1111501,0.0,1.0
2014-11-17,24.11,24.11,23.56,24.0,16.3086161750029,992390,0.0,1.0
2014-11-18,24.04,24.04,23.71,23.73,16.1251442430341,586010,0.0,1.0
2014-11-19,23.8,24.0,23.51,23.72,16.1183489862945,812772,0.0,1.0
2014-11-20,23.57,23.87,23.5001,23.71,16.111553729555,745775,0.0,1.0
2014-11-21,23.95,24.21,23.695,23.77,16.1523252699925,725247,0.0,1.0
2014-11-24,23.8,24.36,23.68,24.25,16.4784975934925,836847,0.0,1.0
2014-11-25,24.24,24.3,24.02,24.03,16.3290019452217,701615,0.0,1.0
2014-11-26,24.11,24.27,23.92,24.23,16.4649070800134,703711,0.0,1.0
2014-11-28,24.22,25.09,24.05,24.63,16.7367173495967,713406,0.0,1.0
2014-12-01,24.62,24.895,23.49,23.98,16.2950256615237,2282591,0.0,1.0
2014-12-02,24.02,24.43,23.8,24.2,16.4445213097946,1369272,0.0,1.0
2014-12-03,24.33,24.59,24.19,24.23,16.4649070800134,1854537,0.0,1.0
