date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,33.81,34.0,33.13,33.13,5.11194665466677,72900,0.0,1.0
1999-11-02,33.13,33.5,33.13,33.38,5.1505215615085,91000,0.0,1.0
1999-11-03,33.5,33.63,32.44,33.0,5.09188770310907,92400,0.0,1.0
1999-11-04,33.13,33.38,31.0,31.25,4.82186335521692,158900,0.0,1.0
1999-11-05,31.31,31.75,29.25,29.69,4.58115593652449,1049600,0.0,1.0
1999-11-08,29.75,29.75,28.5,28.81,4.44537226444158,193700,0.0,1.0
1999-11-09,29.25,29.75,27.44,28.13,4.34044851783206,305800,0.0,1.0
1999-11-10,28.25,31.25,28.13,31.25,4.82186335521692,488700,0.0,1.0
1999-11-11,31.31,32.25,31.0,31.63,4.88049721361636,181300,0.0,1.0
1999-11-12,31.63,32.13,31.63,31.88,4.91907212045809,92600,0.0,1.0
1999-11-15,32.09,32.13,31.63,32.06,4.94684605338414,107900,0.0,1.0
1999-11-16,32.06,32.13,31.88,32.0,4.93758807574213,409700,0.0,1.0
1999-11-17,32.06,32.19,31.19,31.38,4.84192230677462,327500,0.0,1.0
1999-11-18,31.56,33.94,31.13,33.56,5.17829549443455,277700,0.0,1.0
1999-11-19,33.63,33.63,32.25,32.5,5.0147378894256,70900,0.0,1.0
1999-11-22,32.5,33.75,32.25,33.5,5.16903751679254,120700,0.0,1.0
1999-11-23,33.25,34.75,33.25,34.75,5.36191205100121,84700,0.0,1.0
1999-11-24,34.0,34.88,34.0,34.88,5.38197100255892,139000,0.0,1.0
1999-11-26,34.38,34.88,34.25,34.5,5.32333714415948,35200,0.0,1.0
1999-11-29,34.5,34.5,34.13,34.13,5.26624628203371,33000,0.0,1.0
1999-11-30,34.5,35.25,34.38,34.88,5.38197100255892,96200,0.0,1.0
1999-12-01,35.06,35.5,35.0,35.5,5.47763677152642,118700,0.0,1.0
1999-12-02,35.38,35.38,35.0,35.13,5.42054590940065,99000,0.0,1.0
1999-12-03,35.13,35.63,34.38,35.63,5.49769572308412,197400,0.0,1.0
1999-12-06,35.38,35.38,34.88,35.13,5.42054590940065,57800,0.0,1.0
1999-12-07,35.13,35.13,34.5,35.13,5.42054590940065,38800,0.0,1.0
1999-12-08,34.94,35.06,34.75,35.06,5.42208890567432,79500,0.08,1.0
1999-12-09,34.75,35.5,34.56,34.56,5.34476305134354,61300,0.0,1.0
1999-12-10,34.94,34.94,33.0,33.44,5.17155313764259,125800,0.0,1.0
1999-12-13,33.0,34.75,32.88,34.0,5.25815809449307,89300,0.0,1.0
1999-12-14,34.0,34.88,34.0,34.75,5.37414687598924,20900,0.0,1.0
1999-12-15,34.75,35.31,34.5,35.13,5.43291452528063,67400,0.0,1.0
1999-12-16,35.0,35.5,34.88,35.5,5.49013565748541,128100,0.0,1.0
1999-12-17,35.97,37.0,35.75,36.19,5.59684533646189,380900,0.0,1.0
1999-12-20,36.41,38.56,36.19,38.25,5.9154278563047,288800,0.0,1.0
1999-12-21,38.5,40.0,38.31,39.0,6.03141663780087,398100,0.0,1.0
1999-12-22,39.25,39.25,37.88,37.97,5.87212537787946,192600,0.0,1.0
1999-12-23,38.0,38.63,37.75,38.63,5.97419550559609,129600,0.0,1.0
1999-12-27,38.31,40.0,38.31,40.0,6.18606834646243,420000,0.0,1.0
1999-12-28,39.88,42.06,39.38,42.06,6.50465086630525,139200,0.0,1.0
1999-12-29,41.38,41.5,40.44,40.5,6.26339420079321,209700,0.0,1.0
1999-12-30,40.44,40.88,39.75,39.75,6.14740541929704,64100,0.0,1.0
1999-12-31,39.88,39.98,39.25,39.75,6.14740541929704,33300,0.0,1.0
2000-01-03,40.0,40.0,38.88,39.12,6.04997484284026,257400,0.0,1.0
2000-01-04,38.5,38.5,37.81,37.81,5.84738110449361,201400,0.0,1.0
2000-01-05,37.5,37.75,37.5,37.63,5.81954379693453,202400,0.0,1.0
2000-01-06,37.0,37.5,37.0,37.5,5.79943907480853,267700,0.0,1.0
2000-01-07,37.56,38.0,37.19,38.0,5.87676492913931,138700,0.0,1.0
2000-01-10,38.25,39.88,38.0,39.69,6.13812631677735,75200,0.0,1.0
2000-01-11,39.5,39.88,38.81,39.06,6.04069574032057,61900,0.0,1.0
2000-01-12,39.13,39.88,39.0,39.38,6.09018428709226,120700,0.0,1.0
2000-01-13,39.25,39.88,39.25,39.75,6.14740541929704,30700,0.0,1.0
2000-01-14,39.5,40.13,39.44,40.0,6.18606834646243,76000,0.0,1.0
2000-01-18,39.81,40.0,39.63,39.69,6.13812631677735,52000,0.0,1.0
2000-01-19,39.56,40.94,39.5,40.88,6.32216185008461,88300,0.0,1.0
2000-01-20,40.81,40.81,40.19,40.44,6.25411509827352,65600,0.0,1.0
2000-01-21,40.41,40.41,39.25,39.31,6.07935866748596,134500,0.0,1.0
2000-01-24,39.5,41.38,39.25,41.19,6.37010387976969,151500,0.0,1.0
2000-01-25,41.13,42.06,40.19,40.5,6.26339420079321,281700,0.0,1.0
2000-01-26,40.88,40.88,39.56,40.75,6.3020571279586,198700,0.0,1.0
2000-01-27,40.75,40.75,39.88,39.94,6.17678924394274,27900,0.0,1.0
2000-01-28,39.88,41.5,39.75,41.5,6.41804590945477,122100,0.0,1.0
2000-01-31,41.06,42.13,40.0,40.69,6.29277802543891,94000,0.0,1.0
2000-02-01,40.75,41.25,39.38,41.25,6.37938298228938,102800,0.0,1.0
2000-02-02,40.78,43.0,40.5,42.5,6.57269761811633,198400,0.0,1.0
2000-02-03,42.56,42.63,42.0,42.5,6.57269761811633,46000,0.0,1.0
2000-02-04,42.5,43.06,42.31,42.81,6.62063964780142,72600,0.0,1.0
2000-02-07,42.63,43.5,42.05,43.5,6.72734932677789,105600,0.0,1.0
2000-02-08,43.5,45.25,43.44,44.19,6.83405900575437,171500,0.0,1.0
2000-02-09,44.25,49.0,44.25,47.88,7.40472381071553,367800,0.0,1.0
2000-02-10,48.25,48.38,47.13,47.19,7.29801413173905,174000,0.0,1.0
2000-02-11,47.63,47.63,43.56,43.56,6.73662842929759,243200,0.0,1.0
2000-02-14,44.13,44.25,41.75,43.25,6.6886863996125,121100,0.0,1.0
2000-02-15,43.25,43.5,41.13,41.75,6.45670883662016,179500,0.0,1.0
2000-02-16,42.25,42.88,42.23,42.5,6.57269761811633,66700,0.0,1.0
2000-02-17,42.72,42.94,41.88,42.13,6.51547648591156,70600,0.0,1.0
2000-02-18,42.5,42.5,40.75,40.75,6.3020571279586,56000,0.0,1.0
2000-02-22,40.63,42.13,40.0,41.5,6.41804590945477,122200,0.0,1.0
2000-02-23,44.5,46.25,43.88,44.69,6.91138486008515,682000,0.0,1.0
2000-02-24,44.5,46.5,44.38,45.25,6.99798981693563,365800,0.0,1.0
2000-02-25,45.38,46.38,45.25,45.91,7.10005994465225,234600,0.0,1.0
2000-02-28,46.0,50.13,45.56,49.5,7.65525957874726,336900,0.0,1.0
2000-02-29,49.5,51.38,48.88,51.0,7.8872371417396,2922200,0.0,1.0
2000-03-01,50.41,50.56,49.81,50.25,7.77124836024343,808500,0.0,1.0
2000-03-02,50.38,50.44,49.63,49.66,7.68000385213311,600400,0.0,1.0
2000-03-03,50.0,50.05,49.56,49.63,7.67536430087326,476500,0.0,1.0
2000-03-06,49.69,49.69,49.5,49.56,7.67691081795988,178700,0.08,1.0
2000-03-07,49.5,50.94,49.38,50.94,7.8906746785084,214800,0.0,1.0
2000-03-08,50.38,51.88,50.38,50.88,7.88138059761498,203000,0.0,1.0
2000-03-09,51.25,51.25,50.38,50.38,7.8039299235032,84600,0.0,1.0
2000-03-10,50.38,50.44,49.38,49.44,7.65832265617305,122000,0.0,1.0
2000-03-13,49.25,49.25,47.5,48.63,7.53285256411196,140100,0.0,1.0
2000-03-14,48.63,48.88,43.38,46.06,7.1347560991774,405500,0.0,1.0
2000-03-15,46.25,46.5,45.38,45.44,7.03871726327879,589600,0.0,1.0
2000-03-16,45.63,46.0,42.88,44.06,6.82495340273027,253100,0.0,1.0
2000-03-17,42.22,43.06,41.69,41.69,6.45783720744042,240100,0.0,1.0
2000-03-20,43.38,43.5,40.0,40.13,6.21619110421166,244100,0.0,1.0
2000-03-21,40.63,41.13,39.31,41.06,6.36024935805958,151200,0.0,1.0
2000-03-22,41.56,42.06,41.13,42.06,6.51515070628314,143700,0.0,1.0
2000-03-23,42.0,42.25,41.69,42.06,6.51515070628314,265000,0.0,1.0
2000-03-24,42.5,42.5,42.0,42.0,6.50585662538973,143400,0.0,1.0
2000-03-27,42.38,42.38,41.44,41.88,6.4872684636029,57000,0.0,1.0
2000-03-28,41.97,42.06,41.88,41.88,6.4872684636029,122900,0.0,1.0
2000-03-29,41.88,42.13,40.25,40.5,6.27350460305438,106400,0.0,1.0
2000-03-30,40.63,42.13,39.5,39.56,6.12789733572423,137800,0.0,1.0
2000-03-31,40.13,40.88,37.25,37.25,5.77007522132779,533300,0.0,1.0
2000-04-03,38.0,38.25,34.31,35.0,5.42154718782477,177900,0.0,1.0
2000-04-04,35.56,43.38,35.0,40.38,6.25491644126755,812000,0.0,1.0
2000-04-05,39.75,41.38,38.75,39.38,6.10001509304399,727600,0.0,1.0
2000-04-06,39.5,42.13,39.06,40.38,6.25491644126755,135000,0.0,1.0
2000-04-07,41.06,43.81,40.63,43.44,6.72891456683166,190800,0.0,1.0
2000-04-10,42.88,44.0,41.69,41.69,6.45783720744042,192900,0.0,1.0
2000-04-11,41.56,45.13,40.63,42.13,6.52599380065879,109600,0.0,1.0
2000-04-12,42.13,46.25,42.13,46.0,7.12546201828399,159900,0.0,1.0
2000-04-13,46.0,46.13,43.88,44.06,6.82495340273027,178300,0.0,1.0
2000-04-14,43.81,43.81,38.75,41.25,6.38968061422205,77100,0.0,1.0
2000-04-17,41.0,42.0,38.44,41.31,6.39897469511547,251000,0.0,1.0
2000-04-18,41.25,47.5,41.06,45.0,6.97056067006042,395100,0.0,1.0
2000-04-19,45.69,47.0,43.75,46.91,7.26642224516743,149800,0.0,1.0
2000-04-20,47.0,49.19,45.94,48.0,7.43526471473112,257500,0.0,1.0
2000-04-24,48.0,49.94,47.44,48.88,7.57157790116785,181100,0.0,1.0
2000-04-25,49.25,49.56,47.5,49.44,7.65832265617305,74800,0.0,1.0
2000-04-26,49.75,49.75,48.0,48.19,7.46469597089359,64200,0.0,1.0
2000-04-27,47.75,49.69,46.75,49.25,7.62889140001057,96100,0.0,1.0
2000-04-28,49.44,50.13,48.88,50.0,7.74506741117825,163600,0.0,1.0
2000-05-01,49.75,51.0,49.75,50.38,7.8039299235032,261300,0.0,1.0
2000-05-02,50.0,50.69,49.75,50.63,7.84265526055909,136800,0.0,1.0
2000-05-03,50.5,50.75,46.0,47.38,7.33922587883251,127100,0.0,1.0
2000-05-04,48.13,50.75,47.5,48.38,7.49412722705607,356100,0.0,1.0
2000-05-05,48.63,52.25,48.38,51.88,8.03628194583855,385900,0.0,1.0
