date,open,high,low,close,adjClose,volume,dividend,split
2002-12-06,39.0,43.2,38.9,42.9,4.21384792456001,5510200,0.0,1.0
2002-12-09,42.7,42.8,41.14,42.02,4.12741001841519,629900,0.0,1.0
2002-12-10,42.05,43.3,41.65,42.75,4.19911419055806,344600,0.0,1.0
2002-12-11,42.7,45.5,42.3,45.06,4.42601369418821,509800,0.0,1.0
2002-12-12,45.06,45.06,43.6,43.91,4.31305506683986,271100,0.0,1.0
2002-12-13,43.91,43.97,43.25,43.65,4.2875165945698,197500,0.0,1.0
2002-12-16,43.5,43.75,42.95,43.1,4.23349290322929,159600,0.0,1.0
2002-12-17,43.0,44.0,42.8,43.27,4.25019113509818,329200,0.0,1.0
2002-12-18,43.2,43.2,42.55,42.67,4.19125619909035,148400,0.0,1.0
2002-12-19,42.55,42.7,42.17,42.3,4.15491298855218,136800,0.0,1.0
2002-12-20,42.4,44.6,42.0,44.45,4.36609650924691,180900,0.0,1.0
2002-12-23,44.35,44.55,43.35,43.4,4.26296037123321,127700,0.0,1.0
2002-12-24,43.6,43.6,42.96,43.05,4.22858165856197,43600,0.0,1.0
2002-12-26,43.1,43.15,42.55,42.6,4.1843804565561,65000,0.0,1.0
2002-12-27,42.5,42.5,41.75,42.0,4.12544552054826,166100,0.0,1.0
2002-12-30,42.3,42.85,42.1,42.32,4.15687748641911,215300,0.0,1.0
2002-12-31,42.27,43.8,42.27,43.66,4.28849884350327,355600,0.0,1.0
2003-01-02,43.66,43.95,43.45,43.72,4.29439233710405,63000,0.0,1.0
2003-01-03,43.72,45.8,43.52,45.8,4.49870011526454,172300,0.0,1.0
2003-01-06,45.03,48.35,45.03,48.1,4.72461736996123,374900,0.0,1.0
2003-01-07,48.0,48.6,47.25,48.02,4.71675937849352,276600,0.0,1.0
2003-01-08,48.03,48.27,47.67,48.01,4.71577712956005,82200,0.0,1.0
2003-01-09,48.1,49.2,47.66,49.05,4.8179310186403,129800,0.0,1.0
2003-01-10,48.85,49.35,48.71,48.99,4.81203752503951,168800,0.0,1.0
2003-01-13,49.0,49.68,48.87,49.62,4.87391920784774,162000,0.0,1.0
2003-01-14,49.62,50.0,49.07,49.1,4.82284226330762,110800,0.0,1.0
2003-01-15,48.4,48.4,46.76,47.05,4.62148123194752,291800,0.0,1.0
2003-01-16,47.0,47.0,45.27,45.38,4.45744566005905,145000,0.0,1.0
2003-01-17,45.25,45.52,44.8,45.02,4.42208469845435,118100,0.0,1.0
2003-01-21,45.05,45.2,44.26,44.45,4.36609650924691,93600,0.0,1.0
2003-01-22,44.3,44.4,44.1,44.15,4.336629041243,32700,0.0,1.0
2003-01-23,44.2,45.75,44.13,45.43,4.46235690472637,95200,0.0,1.0
2003-01-24,45.35,47.1,45.0,46.99,4.61558773834674,137000,0.0,1.0
2003-01-27,46.79,46.9,46.2,46.25,4.54290131727041,41800,0.0,1.0
2003-01-28,46.3,46.58,46.0,46.01,4.51932734286728,72900,0.0,1.0
2003-01-29,46.3,46.58,46.0,46.01,4.51932734286728,80300,0.0,1.0
2003-01-30,46.5,46.59,43.8,44.2,4.34154028591032,147000,0.0,1.0
2003-01-31,44.0,44.05,42.01,42.5,4.17455796722146,577200,0.0,1.0
2003-02-03,42.45,42.9,42.16,42.35,4.1598242332195,156000,0.0,1.0
2003-02-04,42.2,42.2,41.55,42.0,4.12544552054826,148000,0.0,1.0
2003-02-05,41.95,42.0,41.35,41.74,4.0999070482782,231800,0.0,1.0
2003-02-06,41.7,42.02,41.45,41.5,4.07633307387507,215500,0.0,1.0
2003-02-07,41.6,42.15,41.55,42.11,4.13625025881637,148900,0.0,1.0
2003-02-10,42.11,43.4,42.05,43.0,4.22367041389465,55700,0.0,1.0
2003-02-11,43.0,43.53,42.9,42.91,4.21483017349348,44500,0.0,1.0
2003-02-12,42.75,42.95,42.48,42.91,4.21483017349348,71100,0.0,1.0
2003-02-13,42.85,43.72,42.82,43.5,4.27278286056785,53100,0.0,1.0
2003-02-14,43.7,44.8,43.7,44.5,4.37100775391423,191600,0.0,1.0
2003-02-18,44.75,44.8,44.15,44.52,4.37297225178116,150700,0.0,1.0
2003-02-19,44.53,45.0,44.4,44.77,4.39752847511776,84100,0.0,1.0
2003-02-20,44.8,45.1,44.7,45.03,4.42306694738782,31800,0.0,1.0
2003-02-21,45.04,45.66,45.0,45.36,4.45548116219213,41200,0.0,1.0
2003-02-24,45.0,45.8,45.0,45.54,4.47316164299448,36500,0.0,1.0
2003-02-25,45.5,45.8,45.35,45.72,4.49084212379683,28900,0.0,1.0
2003-02-26,45.74,46.0,45.1,45.34,4.4535166643252,42800,0.0,1.0
2003-02-27,45.24,45.25,43.3,43.3,4.25313788189857,189000,0.0,1.0
2003-02-28,43.25,43.8,42.87,43.05,4.22858165856197,113000,0.0,1.0
2003-03-03,43.06,43.56,43.0,43.13,4.23643965002968,42200,0.0,1.0
2003-03-04,43.1,43.24,42.82,42.82,4.2059899330923,30200,0.0,1.0
2003-03-05,42.83,42.96,42.2,42.25,4.15000174388486,53900,0.0,1.0
2003-03-06,42.11,42.65,42.11,42.34,4.17259346935453,70500,0.14,1.0
2003-03-07,42.35,42.74,42.21,42.33,4.17160797255024,35100,0.0,1.0
2003-03-10,42.28,42.66,42.27,42.36,4.17456446296311,32600,0.0,1.0
2003-03-11,42.37,42.7,42.17,42.27,4.16569499172452,20900,0.0,1.0
2003-03-12,42.4,42.55,41.9,42.38,4.17653545657168,62400,0.0,1.0
2003-03-13,42.5,42.7,42.41,42.52,4.19033241183171,40800,0.0,1.0
2003-03-14,42.5,43.4,42.5,43.2,4.25734619452328,94300,0.0,1.0
2003-03-17,43.2,46.19,43.2,45.95,4.52835781570243,121400,0.0,1.0
2003-03-18,45.97,46.83,45.7,46.05,4.5382127837453,95700,0.0,1.0
2003-03-19,46.1,46.95,46.1,46.95,4.62690749613121,29900,0.0,1.0
2003-03-20,46.96,46.96,45.55,45.55,4.48893794353091,114200,0.0,1.0
2003-03-21,45.7,47.13,45.7,47.1,4.64168994819552,126500,0.0,1.0
2003-03-24,47.0,48.21,46.73,48.0,4.73038466058142,222400,0.0,1.0
2003-03-25,47.95,48.55,47.95,48.43,4.7727610231658,109100,0.0,1.0
2003-03-26,48.4,48.91,48.4,48.5,4.77965950079581,215200,0.0,1.0
2003-03-27,48.4,48.9,47.8,48.9,4.81907937296732,155500,0.0,1.0
2003-03-28,48.8,48.8,48.4,48.65,4.79444195286013,61300,0.0,1.0
2003-03-31,48.55,48.55,47.76,48.15,4.74516711264574,87000,0.0,1.0
2003-04-01,48.16,48.19,47.58,47.97,4.72742817016856,46400,0.0,1.0
2003-04-02,47.37,48.3,47.23,48.16,4.74615260945003,107200,0.0,1.0
2003-04-03,48.2,49.2,48.2,48.28,4.75797857110148,126600,0.0,1.0
2003-04-04,48.35,48.8,48.26,48.4,4.76980453275294,64300,0.0,1.0
2003-04-07,48.7,48.85,46.67,46.7,4.60227007602401,221900,0.0,1.0
2003-04-08,46.6,46.77,46.15,46.46,4.5786181527211,79600,0.0,1.0
2003-04-09,46.55,46.9,46.25,46.75,4.60719756004545,78000,0.0,1.0
2003-04-10,46.8,47.15,46.55,47.12,4.6436609418041,44900,0.0,1.0
2003-04-11,47.2,47.2,46.63,46.77,4.60916855365403,35700,0.0,1.0
2003-04-14,46.77,47.6,46.7,47.51,4.68209531717132,42500,0.0,1.0
2003-04-15,47.47,47.67,47.43,47.5,4.68110982036703,39700,0.0,1.0
2003-04-16,47.55,47.91,47.52,47.61,4.6919502852142,56000,0.0,1.0
2003-04-17,48.61,49.67,48.54,49.04,4.83287632822735,213500,0.0,1.0
2003-04-21,48.84,48.89,48.27,48.72,4.80134043049014,48700,0.0,1.0
2003-04-22,49.01,50.55,48.18,49.79,4.90678858854894,321400,0.0,1.0
2003-04-23,50.29,51.25,50.0,50.5,4.97675886165337,308000,0.0,1.0
2003-04-24,50.5,51.6,50.5,51.6,5.08516351012503,128800,0.0,1.0
2003-04-25,51.6,52.7,51.6,52.45,5.16893073848949,181000,0.0,1.0
2003-04-28,52.65,56.19,52.65,55.4,5.45965229575439,543500,0.0,1.0
2003-04-29,55.41,56.12,54.78,55.65,5.48428971586159,291000,0.0,1.0
2003-04-30,55.6,56.75,55.12,56.54,5.5719989314432,177100,0.0,1.0
2003-05-01,56.54,56.8,55.78,55.78,5.49710117431733,231300,0.0,1.0
2003-05-02,55.65,57.49,55.65,57.0,5.61733178444044,148100,0.0,1.0
2003-05-05,57.05,58.0,56.66,56.8,5.59762184835468,138600,0.0,1.0
2003-05-06,56.8,56.8,56.03,56.5,5.56805694422605,132200,0.0,1.0
2003-05-07,56.3,56.6,55.3,55.6,5.47936223184015,140900,0.0,1.0
2003-05-08,55.4,55.58,54.95,55.38,5.45768130214582,141400,0.0,1.0
2003-05-09,55.5,56.3,55.05,55.72,5.4911881934916,92200,0.0,1.0
2003-05-12,55.65,57.25,55.5,56.7,5.58776688031181,91500,0.0,1.0
2003-05-13,56.6,59.0,56.6,58.6,5.77501127312649,216700,0.0,1.0
2003-05-14,58.54,59.24,58.34,58.49,5.76417080827932,152600,0.0,1.0
2003-05-15,58.45,58.87,58.2,58.62,5.77698226673506,55900,0.0,1.0
2003-05-16,58.57,60.0,58.1,60.0,5.91298082572678,99600,0.0,1.0
2003-05-19,59.4,59.49,58.37,58.55,5.77008378910505,109500,0.0,1.0
2003-05-20,58.45,59.3,58.45,58.54,5.76909829230076,92300,0.0,1.0
2003-05-21,58.45,59.2,58.06,59.17,5.83118459097089,71000,0.0,1.0
2003-05-22,59.42,60.2,59.3,59.7,5.88341592159815,116600,0.0,1.0
2003-05-23,59.75,60.23,59.72,60.18,5.93071976820396,32200,0.0,1.0
2003-05-27,59.65,59.65,59.2,59.53,5.86666247592525,81800,0.0,1.0
2003-05-28,59.53,60.65,59.53,60.45,5.95732818191973,101300,0.0,1.0
2003-05-29,60.45,60.62,59.87,60.24,5.93663274902969,171300,0.0,1.0
2003-05-30,60.24,61.8,60.2,61.48,6.05883435276137,164000,0.0,1.0
2003-06-02,61.55,62.78,61.55,62.05,6.11500767060578,140900,0.0,1.0
2003-06-03,61.85,62.55,61.85,62.32,6.14161608432155,148200,0.0,1.0
2003-06-04,62.35,63.46,62.32,63.2,6.22833980309887,109400,0.0,1.0
2003-06-05,63.2,63.61,62.85,63.01,6.20961536381741,72600,0.0,1.0
2003-06-06,62.87,62.87,61.0,61.0,6.02532746141559,205600,0.14,1.0
2003-06-09,60.85,62.19,60.78,62.0,6.12410332143879,367300,0.0,1.0
2003-06-10,62.05,62.75,61.5,62.2,6.14385849344344,241200,0.0,1.0
2003-06-11,62.1,62.56,62.1,62.35,6.15867487244692,239500,0.0,1.0
2003-06-12,62.5,64.5,62.29,64.14,6.33548366188846,199800,0.0,1.0
2003-06-13,64.14,64.8,64.14,64.52,6.37301848869727,144700,0.0,1.0
2003-06-16,64.7,65.85,64.7,65.62,6.4816719347228,219700,0.0,1.0
2003-06-17,65.77,69.5,65.7,69.4,6.85504468561052,466400,0.0,1.0
2003-06-18,69.3,69.91,68.55,69.6,6.87479985761516,406700,0.0,1.0
2003-06-19,69.6,70.0,67.63,68.0,6.71675848157803,878500,0.0,1.0
2003-06-20,68.15,68.19,66.05,66.27,6.54587624373789,439200,0.0,1.0
2003-06-23,66.25,66.35,65.28,66.01,6.52019452013185,242000,0.0,1.0
2003-06-24,66.01,68.9,66.01,68.47,6.76318313578894,343500,0.0,1.0
2003-06-25,68.48,68.48,67.0,67.01,6.61897038015506,197600,0.0,1.0
2003-06-26,67.05,69.18,67.05,69.15,6.83035072060472,177500,0.0,1.0
2003-06-27,68.75,69.6,68.62,69.6,6.87479985761516,211900,0.0,1.0
2003-06-30,69.7,70.04,69.26,69.63,6.87776313341586,398800,0.0,1.0
2003-07-01,70.2,74.8,70.0,74.57,7.3657158819305,860500,0.0,1.0
2003-07-02,74.57,74.65,73.16,74.65,7.37361795073236,304900,0.0,1.0
2003-07-03,74.0,74.1,73.12,73.85,7.29459726271379,205600,0.0,1.0
2003-07-07,74.2,74.48,73.8,74.25,7.33410760672307,128000,0.0,1.0
2003-07-08,74.1,75.85,74.07,74.41,7.34991174432679,202200,0.0,1.0
2003-07-09,74.35,76.82,74.35,76.52,7.55832880897575,164800,0.0,1.0
2003-07-10,76.5,77.5,75.8,77.5,7.65512915179849,228400,0.0,1.0
2003-07-11,77.75,78.08,75.08,75.71,7.47832036235695,160200,0.0,1.0
2003-07-14,75.95,77.8,75.95,77.35,7.64031277279501,140600,0.0,1.0
2003-07-15,77.6,78.2,77.13,77.83,7.68772518560615,160200,0.0,1.0
2003-07-16,77.9,77.98,76.15,76.5,7.55635329177529,123200,0.0,1.0
2003-07-17,76.4,76.42,74.1,74.45,7.35386277872771,163900,0.0,1.0
2003-07-18,74.5,75.41,74.36,74.8,7.38843432973584,84100,0.0,1.0
2003-07-21,74.75,74.8,73.61,73.62,7.27187881490845,126200,0.0,1.0
2003-07-22,75.0,77.84,75.0,77.72,7.6768598410036,528000,0.0,1.0
2003-07-23,77.72,78.98,77.21,78.98,7.80131742463284,209500,0.0,1.0
2003-07-24,79.08,79.3,75.8,75.91,7.4980755343616,231300,0.0,1.0
2003-07-25,75.91,78.58,75.91,78.49,7.75291725322147,100300,0.0,1.0
2003-07-28,78.48,78.48,77.7,77.9,7.69463949580778,124400,0.0,1.0
2003-07-29,78.03,78.12,75.92,76.35,7.54153691277181,94500,0.0,1.0
2003-07-30,76.39,76.48,75.15,75.38,7.4457243285493,145400,0.0,1.0
2003-07-31,75.38,75.77,73.65,73.65,7.27484209070915,246100,0.0,1.0
2003-08-01,73.55,73.55,70.77,71.85,7.09704554266738,659100,0.0,1.0
2003-08-04,71.82,73.4,71.0,73.15,7.22545416069755,191300,0.0,1.0
2003-08-05,73.25,74.75,73.25,74.68,7.37658122653305,187000,0.0,1.0
2003-08-06,74.74,74.98,73.91,74.98,7.40621398454001,117200,0.0,1.0
2003-08-07,74.97,75.05,74.31,75.05,7.41312829474164,129200,0.0,1.0
2003-08-08,75.15,75.3,74.8,75.05,7.41312829474164,31800,0.0,1.0
2003-08-11,75.1,75.4,74.9,75.15,7.42300588074396,61000,0.0,1.0
2003-08-12,75.35,75.52,74.93,75.5,7.45757743175208,77400,0.0,1.0
2003-08-13,75.6,77.58,75.6,76.98,7.60376570458643,168400,0.0,1.0
2003-08-14,77.05,78.39,77.05,78.21,7.72526001241497,88100,0.0,1.0
2003-08-15,78.25,78.5,78.0,78.5,7.7539050118217,35600,0.0,1.0
2003-08-18,78.5,78.6,77.6,77.92,7.69661501300824,131800,0.0,1.0
2003-08-19,77.0,77.0,71.5,71.6,7.07235157766158,1168400,0.0,1.0
2003-08-20,72.5,74.34,72.24,73.4,7.25014812570335,538500,0.0,1.0
2003-08-21,73.4,73.6,68.3,71.9,7.10198433566854,1191100,0.0,1.0
2003-08-22,70.23,71.66,68.25,68.25,6.74145244658383,619700,0.0,1.0
2003-08-25,68.26,68.26,65.55,66.41,6.55970486414113,541300,0.0,1.0
2003-08-26,68.0,70.38,67.67,70.31,6.94493071823164,742000,0.0,1.0
2003-08-27,70.5,72.98,70.4,72.85,7.19582140269058,450700,0.0,1.0
2003-08-28,72.84,72.95,71.42,71.43,7.05555968145763,292800,0.0,1.0
2003-08-29,71.0,71.0,70.0,70.39,6.9528327870335,198200,0.0,1.0
2003-09-02,70.25,70.4,69.2,69.6,6.87479985761516,392400,0.0,1.0
2003-09-03,69.7,71.35,68.7,70.98,7.01111054444719,277400,0.0,1.0
2003-09-04,70.98,71.43,70.6,70.94,7.00715951004626,165100,0.0,1.0
2003-09-05,70.95,71.05,70.18,70.35,6.94888175263257,114400,0.0,1.0
2003-09-08,70.5,72.16,70.4,72.16,7.14149467967782,125000,0.14,1.0
2003-09-09,71.98,72.68,70.69,72.08,7.13357727981121,129400,0.0,1.0
2003-09-10,72.0,72.01,70.97,71.61,7.08706255559491,131400,0.0,1.0
2003-09-11,71.56,72.2,71.45,71.45,7.0712277558617,133500,0.0,1.0
2003-09-12,71.7,71.96,70.5,71.58,7.08409353064493,160700,0.0,1.0
2003-09-15,71.5,71.6,70.5,71.3,7.05638263111182,91200,0.0,1.0
2003-09-16,71.35,71.66,71.2,71.5,7.07617613077833,31000,0.0,1.0
2003-09-17,71.7,73.56,71.52,72.36,7.16128817934433,210500,0.0,1.0
2003-09-18,72.25,73.9,72.25,73.75,7.2988530020266,118100,0.0,1.0
2003-09-19,73.95,74.15,73.32,73.35,7.25926600269357,60500,0.0,1.0
2003-09-22,73.36,73.36,72.17,72.48,7.17316427914424,124200,0.0,1.0
2003-09-23,72.48,72.48,69.43,70.25,6.95246675786262,306800,0.0,1.0
2003-09-24,70.15,70.4,68.5,69.68,6.89605528381306,323800,0.0,1.0
2003-09-25,70.45,70.45,68.41,68.48,6.77729428581399,319000,0.0,1.0
2003-09-26,68.48,68.9,66.37,66.48,6.57935928914886,262500,0.0,1.0
2003-09-29,66.7,66.7,66.17,66.47,6.57836961416553,239200,0.0,1.0
2003-09-30,66.1,68.98,65.59,68.81,6.80995356026373,447200,0.0,1.0
2003-10-01,68.81,69.67,68.52,69.05,6.83370575986355,260100,0.0,1.0
2003-10-02,69.2,71.45,69.2,71.02,7.0286717315787,209500,0.0,1.0
2003-10-03,71.22,72.21,71.0,71.75,7.10091800536147,148200,0.0,1.0
2003-10-06,71.65,73.07,71.55,72.91,7.21572030342724,212600,0.0,1.0
2003-10-07,72.91,73.26,72.53,72.9,7.21473062844392,80200,0.0,1.0
2003-10-08,73.4,73.65,72.9,73.35,7.25926600269357,206700,0.0,1.0
2003-10-09,73.5,73.72,72.45,72.55,7.18009200402752,57300,0.0,1.0
2003-10-10,72.55,73.05,72.5,72.61,7.18603005392747,148900,0.0,1.0
2003-10-13,72.5,74.7,72.4,74.7,7.39287212544253,245300,0.0,1.0
2003-10-14,74.7,75.05,74.2,74.55,7.37802700069265,226100,0.0,1.0
