date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,27.25,27.5,27.06,27.38,9.15862385985804,153100,0.0,1.0
1999-11-02,27.38,27.94,27.31,27.31,9.13520882442378,506600,0.0,1.0
1999-11-03,27.31,27.56,27.19,27.56,9.21883395097471,844600,0.0,1.0
1999-11-04,27.56,28.0,27.0,27.5,9.19876392060249,688300,0.0,1.0
1999-11-05,27.5,27.94,27.5,27.81,9.30245907752565,522400,0.0,1.0
1999-11-08,27.75,27.88,27.5,27.81,9.30245907752565,713600,0.0,1.0
1999-11-09,27.75,27.81,27.06,27.19,9.09506876367934,269600,0.0,1.0
1999-11-10,26.94,27.12,26.56,26.75,8.9478885409497,398400,0.0,1.0
1999-11-11,26.56,26.75,26.25,26.5,8.86426341439877,363000,0.0,1.0
1999-11-12,26.12,26.38,25.94,26.31,8.92614600804646,1756200,0.375,1.0
1999-11-15,26.06,26.12,25.75,25.75,8.73615582315455,680400,0.0,1.0
1999-11-16,25.94,26.19,25.75,26.0,8.82097286998129,670900,0.0,1.0
1999-11-17,25.94,26.12,25.81,26.12,8.86168505245813,756600,0.0,1.0
1999-11-18,26.0,26.25,25.69,25.94,8.80061677874288,582800,0.0,1.0
1999-11-19,25.69,25.75,25.25,25.69,8.71579973191613,1196400,0.0,1.0
1999-11-22,25.38,25.56,24.75,24.75,8.39688763584758,740000,0.0,1.0
1999-11-23,24.62,24.81,24.25,24.5,8.31207058902083,704900,0.0,1.0
1999-11-24,24.62,24.88,24.5,24.75,8.39688763584758,423000,0.0,1.0
1999-11-26,24.56,24.56,24.31,24.31,8.24760963343251,225100,0.0,1.0
1999-11-29,24.12,24.12,23.56,23.88,8.10172431289051,797800,0.0,1.0
1999-11-30,23.94,24.94,23.88,24.81,8.417243727086,1628600,0.0,1.0
1999-12-01,24.69,24.81,24.38,24.81,8.417243727086,614000,0.0,1.0
1999-12-02,24.75,24.94,24.62,24.8,8.41385104521293,522000,0.0,1.0
1999-12-03,24.75,25.06,24.38,24.5,8.31207058902083,692700,0.0,1.0
1999-12-06,24.25,24.5,24.0,24.06,8.16279258660577,474400,0.0,1.0
1999-12-07,23.88,24.12,23.62,23.75,8.0576194485406,479200,0.0,1.0
1999-12-08,23.56,23.56,23.0,23.31,7.90834144612554,1069800,0.0,1.0
1999-12-09,23.31,23.38,22.94,23.0,7.80316830806038,515400,0.0,1.0
1999-12-10,23.0,23.44,23.0,23.44,7.95244631047544,797400,0.0,1.0
1999-12-13,23.38,23.44,22.88,23.12,7.84388049053721,921700,0.0,1.0
1999-12-14,23.0,23.44,22.88,23.06,7.82352439929879,571700,0.0,1.0
1999-12-15,22.94,23.81,22.94,23.56,7.99315849295228,821900,0.0,1.0
1999-12-16,23.56,23.62,23.19,23.25,7.88798535488712,479800,0.0,1.0
1999-12-17,23.12,23.59,23.0,23.44,7.95244631047544,1053400,0.0,1.0
1999-12-20,23.25,23.31,23.06,23.31,7.90834144612554,561500,0.0,1.0
1999-12-21,23.06,23.69,23.0,23.31,7.90834144612554,611400,0.0,1.0
1999-12-22,23.19,23.38,22.88,23.31,7.90834144612554,509200,0.0,1.0
1999-12-23,23.44,23.56,23.31,23.44,7.95244631047544,353400,0.0,1.0
1999-12-27,23.25,23.5,23.06,23.19,7.8676292636487,329300,0.0,1.0
1999-12-28,23.06,23.31,23.06,23.12,7.84388049053721,450800,0.0,1.0
1999-12-29,23.25,23.25,22.75,22.88,7.76245612558354,339000,0.0,1.0
1999-12-30,22.81,22.94,22.75,22.88,7.76245612558354,644400,0.0,1.0
1999-12-31,22.88,23.0,22.81,22.88,7.76245612558354,183400,0.0,1.0
2000-01-03,22.75,22.81,22.12,22.25,7.54871716758015,682300,0.0,1.0
2000-01-04,22.12,22.56,22.12,22.5,7.63353421440689,1258000,0.0,1.0
2000-01-05,22.44,23.88,22.44,23.44,7.95244631047544,780700,0.0,1.0
2000-01-06,23.75,24.0,23.56,23.56,7.99315849295228,1140500,0.0,1.0
2000-01-07,23.81,24.12,23.69,23.94,8.12208040412893,674600,0.0,1.0
2000-01-10,23.81,23.94,23.56,23.62,8.0135145841907,307900,0.0,1.0
2000-01-11,23.5,23.75,23.19,23.44,7.95244631047544,631000,0.0,1.0
2000-01-12,23.19,23.94,23.19,23.81,8.07797553977902,412400,0.0,1.0
2000-01-13,23.81,23.94,23.44,23.75,8.0576194485406,633700,0.0,1.0
2000-01-14,23.25,23.44,23.12,23.12,7.84388049053721,506800,0.0,1.0
2000-01-18,23.0,23.25,22.75,22.94,7.78281221682196,518100,0.0,1.0
2000-01-19,22.81,23.31,22.81,23.12,7.84388049053721,431700,0.0,1.0
2000-01-20,23.0,23.06,22.75,22.88,7.76245612558354,367600,0.0,1.0
2000-01-21,23.0,23.19,22.75,23.06,7.82352439929879,875100,0.0,1.0
2000-01-24,23.06,23.12,22.38,22.44,7.61317812316847,663200,0.0,1.0
2000-01-25,22.69,22.88,21.19,21.44,7.2739099358615,799400,0.0,1.0
2000-01-26,21.56,22.44,21.38,22.31,7.56907325881856,897800,0.0,1.0
2000-01-27,22.19,22.69,22.19,22.44,7.61317812316847,481100,0.0,1.0
2000-01-28,22.25,22.62,21.94,22.19,7.52836107634173,793000,0.0,1.0
2000-01-31,22.25,22.81,22.19,22.81,7.73870735247205,435300,0.0,1.0
2000-02-01,22.75,22.81,22.12,22.31,7.56907325881856,365600,0.0,1.0
2000-02-02,22.62,22.69,22.31,22.5,7.63353421440689,613200,0.0,1.0
2000-02-03,23.0,24.12,22.88,24.06,8.16279258660577,1693300,0.0,1.0
2000-02-04,24.06,24.06,23.0,23.31,7.90834144612554,1217700,0.0,1.0
2000-02-07,23.19,23.25,22.81,23.0,7.80316830806038,537800,0.0,1.0
2000-02-08,23.0,23.25,22.94,23.19,7.8676292636487,744100,0.0,1.0
2000-02-09,23.19,23.38,23.12,23.19,7.8676292636487,978400,0.0,1.0
2000-02-10,23.25,23.62,22.94,23.06,7.82352439929879,1032600,0.0,1.0
2000-02-11,23.0,23.06,22.31,22.5,7.63353421440689,1212800,0.0,1.0
2000-02-14,22.31,22.62,22.25,22.31,7.69629882905868,2345300,0.375,1.0
2000-02-15,22.38,22.38,21.81,22.12,7.63075437466508,472500,0.0,1.0
2000-02-16,22.06,22.12,21.69,21.81,7.52381342275974,469800,0.0,1.0
2000-02-17,21.81,21.94,21.19,21.31,7.3513280164608,414300,0.0,1.0
2000-02-18,21.12,21.25,20.75,21.19,7.30993151894906,726500,0.0,1.0
2000-02-22,21.38,21.81,21.19,21.19,7.30993151894906,1409000,0.0,1.0
2000-02-23,21.25,21.38,21.0,21.25,7.33062976770493,744200,0.0,1.0
2000-02-24,21.19,21.44,20.06,20.5,7.07190165825652,1280000,0.0,1.0
2000-02-25,20.88,20.88,20.12,20.25,6.98565895510705,1045300,0.0,1.0
2000-02-28,20.38,20.88,20.12,20.75,7.15814436140599,1283500,0.0,1.0
2000-02-29,20.88,20.94,20.44,20.56,7.09259990701239,606900,0.0,1.0
2000-03-01,20.62,20.81,20.25,20.44,7.05120340950065,700400,0.0,1.0
2000-03-02,20.25,20.69,20.12,20.69,7.13744611265012,1009000,0.0,1.0
2000-03-03,20.75,21.25,20.69,21.06,7.26508531331133,995100,0.0,1.0
2000-03-06,20.94,21.12,20.06,20.12,6.94081274946933,1681100,0.0,1.0
2000-03-07,20.12,20.44,19.75,19.88,6.85801975444583,1897900,0.0,1.0
2000-03-08,19.81,21.06,19.75,20.56,7.09259990701239,1658100,0.0,1.0
2000-03-09,20.5,21.12,20.5,21.12,7.2857835620672,1034900,0.0,1.0
2000-03-10,21.0,21.25,20.75,21.12,7.2857835620672,697300,0.0,1.0
2000-03-13,21.5,21.81,21.12,21.75,7.50311517400387,915000,0.0,1.0
2000-03-14,21.56,21.56,21.19,21.25,7.33062976770493,699300,0.0,1.0
2000-03-15,21.12,22.88,21.12,22.69,7.82738773784587,677700,0.0,1.0
2000-03-16,22.69,24.62,22.38,24.38,8.41038841113629,906200,0.0,1.0
2000-03-17,24.38,24.38,23.44,23.44,8.08611584729428,734000,0.0,1.0
2000-03-20,23.31,23.56,22.69,22.75,7.84808598660175,809500,0.0,1.0
2000-03-21,22.94,23.38,22.5,23.12,7.97572518726296,630900,0.0,1.0
2000-03-22,22.88,22.94,22.0,22.12,7.63075437466508,733600,0.0,1.0
2000-03-23,22.06,22.5,22.06,22.44,7.7411450346964,584800,0.0,1.0
2000-03-24,22.44,22.81,21.88,22.19,7.65490233154693,756100,0.0,1.0
2000-03-27,22.12,22.5,22.06,22.38,7.72044678594053,617200,0.0,1.0
2000-03-28,22.19,22.38,21.69,21.75,7.50311517400387,509400,0.0,1.0
2000-03-29,21.75,22.5,21.69,22.25,7.67560058030281,373600,0.0,1.0
2000-03-30,22.38,22.88,22.31,22.62,7.80323978096402,514300,0.0,1.0
2000-03-31,22.38,23.56,22.25,23.56,8.12751234480603,823700,0.0,1.0
2000-04-03,23.0,23.31,22.94,23.0,7.93432868975122,444700,0.0,1.0
2000-04-04,23.12,24.12,23.06,23.88,8.23790300483735,824300,0.0,1.0
2000-04-05,23.94,25.0,23.69,24.06,8.29999775110497,544600,0.0,1.0
2000-04-06,24.06,24.06,22.5,22.81,7.86878423535762,1024500,0.0,1.0
2000-04-07,23.5,23.88,22.44,22.56,7.78254153220815,759200,0.0,1.0
2000-04-10,22.5,23.88,22.5,23.81,8.2137550479555,670200,0.0,1.0
2000-04-11,24.12,24.75,24.0,24.31,8.38624045425444,1314400,0.0,1.0
2000-04-12,24.62,26.06,24.62,25.69,8.86230017563951,1554700,0.0,1.0
2000-04-13,25.69,26.88,25.62,26.88,9.27281544263099,1513300,0.0,1.0
2000-04-14,26.81,26.94,25.94,26.12,9.0106376250566,989100,0.0,1.0
2000-04-17,26.0,26.5,25.31,26.5,9.14172653384379,993400,0.0,1.0
2000-04-18,26.25,26.5,25.88,25.94,8.94854287878898,578600,0.0,1.0
2000-04-19,26.0,26.0,25.31,26.0,8.96924112754485,724100,0.0,1.0
2000-04-20,25.88,26.5,25.88,26.5,9.14172653384379,551900,0.0,1.0
2000-04-24,26.44,27.5,26.44,27.38,9.44530084892993,928800,0.0,1.0
2000-04-25,27.38,27.5,26.81,27.5,9.48669734644167,1602700,0.0,1.0
2000-04-26,27.5,28.31,27.44,28.12,9.70057925025236,617600,0.0,1.0
2000-04-27,28.0,28.44,27.12,27.31,9.42115289204807,812300,0.0,1.0
2000-04-28,27.25,27.44,26.25,26.62,9.18312303135554,797700,0.0,1.0
