date,open,high,low,close,adjClose,volume,dividend,split
2021-04-14,381.0,429.54,310.0,328.28,328.28,81065746,0.0,1.0
2021-04-15,348.9,349.2,317.2701,322.75,322.75,39777858,0.0,1.0
2021-04-16,327.5,345.99,321.03,342.0,342.0,22654542,0.0,1.0
2021-04-19,337.26,341.01,326.79,333.0,333.0,11405556,0.0,1.0
2021-04-20,333.425,334.83,312.0201,320.82,320.82,18082257,0.0,1.0
2021-04-21,312.52,327.47,302.1,311.92,311.92,10103896,0.0,1.0
2021-04-22,305.7595,313.5,287.2033,293.45,293.45,14991941,0.0,1.0
2021-04-23,282.75,303.0,282.07,291.6,291.6,9891146,0.0,1.0
2021-04-26,304.29,306.1,296.9,304.54,304.54,6330230,0.0,1.0
2021-04-27,306.7,306.7,299.5,302.0,302.0,3901957,0.0,1.0
2021-04-28,301.01,302.8999,298.05,298.05,298.05,2746079,0.0,1.0
2021-04-29,298.4494,300.0,292.1,294.77,294.77,2845798,0.0,1.0
2021-04-30,293.0,302.7399,291.0,297.64,297.64,3997384,0.0,1.0
2021-05-03,304.0,305.03,293.94,294.21,294.21,3333846,0.0,1.0
2021-05-04,292.0622,292.19,275.61,280.66,280.66,5707704,0.0,1.0
2021-05-05,284.9521,289.15,269.0,273.0,273.0,5074631,0.0,1.0
2021-05-06,271.15,272.14,250.51,256.76,256.76,8342002,0.0,1.0
2021-05-07,261.1519,267.072,258.3801,263.7,263.7,4243741,0.0,1.0
2021-05-10,266.4,297.5,259.37,293.45,293.45,10268641,0.0,1.0
2021-05-11,281.05,303.32,276.51,303.0,303.0,7456019,0.0,1.0
2021-05-12,299.5428,306.98,280.79,283.61,283.61,7214195,0.0,1.0
2021-05-13,276.46,285.0,252.26,265.1,265.1,11226843,0.0,1.0
2021-05-14,280.37,280.64,256.351,258.37,258.37,11751752,0.0,1.0
2021-05-17,250.0,250.25,238.25,248.24,248.24,8828143,0.0,1.0
2021-05-18,238.83,252.165,238.5,239.0,239.0,7852101,0.0,1.0
2021-05-19,212.9256,229.0,208.0,224.8,224.8,16765954,0.0,1.0
2021-05-20,236.1,238.8,226.2601,233.4,233.4,10386891,0.0,1.0
2021-05-21,235.97,238.97,223.9,224.35,224.35,7554937,0.0,1.0
2021-05-24,227.28,231.0,224.04,225.3,225.3,10185621,0.0,1.0
2021-05-25,230.0,243.99,228.0,242.41,242.41,11827823,0.0,1.0
2021-05-26,247.5,249.39,239.3727,241.52,241.52,6602815,0.0,1.0
