date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,45.06,45.81,44.63,45.75,21.3923069174188,654400,0.0,1.0
1999-11-02,45.75,45.88,44.63,45.56,21.3034645498929,923600,0.0,1.0
1999-11-03,45.56,46.31,45.13,46.31,21.6541581059161,652500,0.0,1.0
1999-11-04,46.06,46.31,44.69,44.88,20.9855023924318,320500,0.0,1.0
1999-11-05,44.81,45.44,44.56,44.81,20.9527709938696,405500,0.0,1.0
1999-11-08,45.0,46.06,44.88,46.0,21.5092047694265,466700,0.0,1.0
1999-11-09,45.63,45.75,44.56,45.0,21.0416133613955,365200,0.0,1.0
1999-11-10,44.56,45.0,43.88,45.0,21.0416133613955,524700,0.0,1.0
1999-11-11,44.75,44.94,44.38,44.69,20.8966600249059,306200,0.0,1.0
1999-11-12,44.56,44.94,44.38,44.81,20.9527709938696,275100,0.0,1.0
1999-11-15,44.81,45.06,43.94,44.63,20.868604540424,390700,0.0,1.0
1999-11-16,46.0,47.0,45.75,46.38,21.6868895044783,1535100,0.0,1.0
1999-11-17,46.06,47.0,45.75,46.5,21.743000473442,710000,0.0,1.0
1999-11-18,46.25,46.81,46.06,46.63,21.8037873564861,428300,0.0,1.0
1999-11-19,46.31,46.31,45.5,45.88,21.4530938004628,508100,0.0,1.0
1999-11-22,45.38,45.69,45.0,45.19,21.1304557289214,376100,0.0,1.0
1999-11-23,45.0,45.44,44.69,45.25,21.1585112134033,297500,0.0,1.0
1999-11-24,45.19,45.88,44.56,45.44,21.2473535809292,286800,0.0,1.0
1999-11-26,45.19,45.44,45.0,45.13,21.1024002444395,123600,0.0,1.0
1999-11-29,44.5,44.81,43.94,44.81,20.9527709938696,405000,0.0,1.0
1999-11-30,44.38,44.75,44.31,44.63,20.868604540424,432500,0.0,1.0
1999-12-01,44.13,45.19,44.13,44.44,20.7797621728981,459200,0.0,1.0
1999-12-02,44.44,44.94,44.19,44.38,20.7517066884163,329300,0.0,1.0
1999-12-03,44.13,45.88,44.13,45.44,21.2473535809292,484900,0.0,1.0
1999-12-06,45.5,46.0,45.25,45.81,21.4203624019006,559100,0.0,1.0
1999-12-07,45.5,45.56,44.56,44.56,20.8358731418619,399900,0.0,1.0
1999-12-08,44.44,44.63,42.56,42.88,20.0503195763698,806100,0.0,1.0
1999-12-09,41.0,42.06,40.56,41.56,19.4330989177688,1048900,0.0,1.0
1999-12-10,41.63,41.75,41.0,41.19,19.2600900967974,347900,0.0,1.0
1999-12-13,41.0,41.06,40.25,40.69,19.0262943927818,451100,0.0,1.0
1999-12-14,40.06,40.25,39.63,40.06,18.7317118057223,501200,0.0,1.0
1999-12-15,39.81,39.94,38.75,39.06,18.2641203976913,857500,0.0,1.0
1999-12-16,39.19,39.19,38.38,38.75,18.1191670612017,606000,0.0,1.0
1999-12-17,38.31,39.0,38.06,39.0,18.2360649132094,1514700,0.0,1.0
1999-12-20,38.75,38.75,38.31,38.54,18.0209728655152,506700,0.0,1.0
1999-12-21,38.38,38.56,37.44,37.63,17.595464684207,585400,0.0,1.0
1999-12-22,37.56,39.25,37.56,38.88,18.1799539442457,882200,0.0,1.0
1999-12-23,39.06,39.44,38.56,39.31,18.3810182496991,504700,0.0,1.0
1999-12-27,39.25,40.44,39.0,40.06,18.7317118057223,568000,0.0,1.0
1999-12-28,39.81,40.25,39.06,39.06,18.2641203976913,433400,0.0,1.0
1999-12-29,39.19,39.25,38.63,39.13,18.2968517962535,337200,0.0,1.0
1999-12-30,39.13,39.19,38.63,38.81,18.1472225456836,339600,0.0,1.0
1999-12-31,38.81,38.81,38.19,38.69,18.0911115767198,199200,0.0,1.0
2000-01-03,39.63,39.63,37.0,37.25,17.4177799491552,982600,0.0,1.0
2000-01-04,37.0,37.31,35.69,35.88,16.7771797201527,1007000,0.0,1.0
2000-01-05,35.81,37.0,35.13,35.44,16.676647567426,1016800,0.225,1.0
2000-01-06,35.13,36.5,35.06,36.31,17.0860347960846,743500,0.0,1.0
2000-01-07,36.63,37.19,36.38,37.0,17.4107212188138,526700,0.0,1.0
2000-01-10,36.75,37.5,35.56,35.81,16.8507547796142,562600,0.0,1.0
2000-01-11,35.63,37.0,35.63,36.19,17.0295675921317,902500,0.0,1.0
2000-01-12,36.19,36.63,35.31,35.75,16.8225211776377,693800,0.0,1.0
2000-01-13,35.94,36.94,35.88,36.38,17.1189739983905,709300,0.0,1.0
2000-01-14,34.38,36.0,34.38,35.31,16.6154747631437,801000,0.0,1.0
2000-01-18,33.56,35.38,33.44,35.13,16.5307739572143,861400,0.0,1.0
2000-01-19,33.63,34.44,33.13,33.5,15.7637611035206,772600,0.0,1.0
2000-01-20,33.38,33.75,32.06,32.19,15.147327460368,1178000,0.0,1.0
2000-01-21,32.31,33.44,32.0,33.06,15.5567146890266,1127800,0.0,1.0
2000-01-24,32.88,33.19,30.38,31.25,14.7050010294036,800400,0.0,1.0
2000-01-25,31.19,31.63,30.06,30.44,14.3238474027214,771600,0.0,1.0
2000-01-26,30.75,31.75,30.5,31.0,14.5873610211684,718800,0.0,1.0
2000-01-27,31.5,31.5,29.94,30.63,14.4132538089802,602200,0.0,1.0
2000-01-28,30.5,30.56,29.25,29.56,13.9097545737334,648600,0.0,1.0
2000-01-31,29.88,32.25,29.56,31.44,14.7944074356624,912400,0.0,1.0
2000-02-01,30.88,31.06,29.13,29.44,13.8532873697805,1091100,0.0,1.0
2000-02-02,28.75,29.13,28.25,28.81,13.5568345490278,1250800,0.0,1.0
2000-02-03,28.81,29.69,28.69,29.31,13.7921145654982,927900,0.0,1.0
2000-02-04,29.06,29.06,27.75,28.19,13.2650873286044,705600,0.0,1.0
