date,open,high,low,close,adjClose,volume,dividend,split
2004-06-23,15.0,17.3,14.75,17.2,4.25461293797604,10893600,0.0,1.0
2004-06-24,17.55,17.69,16.5,16.76,4.1457740023534,2221800,0.0,1.0
2004-06-25,16.51,16.75,15.79,15.8,3.90830723372218,1677500,0.0,1.0
2004-06-28,16.0,16.21,15.436,16.0,3.95777947718702,567700,0.0,1.0
2004-06-29,16.0,16.7,15.83,16.4,4.05672396411669,528000,0.0,1.0
2004-06-30,16.4,16.94,16.03,16.07,3.97509476239971,521900,0.0,1.0
2004-07-01,16.08,16.2,15.9,16.03,3.96520031370674,438700,0.0,1.0
2004-07-02,16.1,16.98,16.05,16.98,4.20019347016472,248300,0.0,1.0
2004-07-06,16.93,17.0,16.48,17.0,4.20514069451121,304200,0.0,1.0
2004-07-07,16.9,16.9,16.05,16.31,4.03446145455752,446900,0.0,1.0
2004-07-08,16.31,16.31,15.66,15.74,3.89346556068273,544800,0.0,1.0
2004-07-09,15.94,16.57,15.9,16.4,4.05672396411669,149200,0.0,1.0
2004-07-12,16.6,16.83,16.15,16.75,4.14330039018016,195200,0.0,1.0
2004-07-13,16.74,16.74,16.08,16.08,3.97756837457295,418500,0.0,1.0
2004-07-14,16.05,16.05,15.58,15.65,3.87120305112355,591500,0.0,1.0
2004-07-15,15.75,15.8,14.94,15.34,3.79452107375305,451500,0.0,1.0
2004-07-16,15.4,16.4,14.96,16.0,3.95777947718702,819700,0.0,1.0
2004-07-19,16.05,16.17,15.83,16.01,3.96025308936026,238700,0.0,1.0
2004-07-20,16.01,16.18,15.53,16.06,3.97262115022647,561300,0.0,1.0
2004-07-21,16.1,16.1,11.05,11.7,2.89412624269301,6353800,0.0,1.0
2004-07-22,11.55,13.18,11.3,12.98,3.21074860086797,2456200,0.0,1.0
2004-07-23,12.95,13.5,12.75,13.04,3.22559027390742,418600,0.0,1.0
2004-07-26,13.55,13.55,12.88,13.28,3.28495696606522,321500,0.0,1.0
2004-07-27,13.38,13.43,13.1,13.14,3.25032639563984,187800,0.0,1.0
2004-07-28,13.05,13.22,12.6,12.99,3.21322221304121,383700,0.0,1.0
2004-07-29,13.0,13.35,12.95,12.96,3.20580137652148,227000,0.0,1.0
2004-07-30,12.96,13.2,12.55,13.01,3.21816943738769,203800,0.0,1.0
2004-08-02,12.98,13.08,12.57,12.81,3.16869719392286,324400,0.0,1.0
2004-08-03,12.8,13.09,11.99,12.13,3.00049156614241,736100,0.0,1.0
2004-08-04,12.13,12.15,11.95,11.98,2.96338738354378,686700,0.0,1.0
2004-08-05,11.99,11.99,10.68,10.9,2.69623726883366,757600,0.0,1.0
2004-08-06,10.9,11.0,10.71,10.77,2.66408031058151,449300,0.0,1.0
2004-08-09,10.95,11.05,10.86,10.99,2.71849977839283,280400,0.0,1.0
2004-08-10,11.0,11.04,10.88,11.0,2.72097339056607,183300,0.0,1.0
2004-08-11,10.95,10.95,10.59,10.62,2.62697612798288,157100,0.0,1.0
2004-08-12,10.72,10.73,9.92,9.99,2.47113856106864,394500,0.0,1.0
2004-08-13,9.99,10.05,9.47,9.59,2.37219407413897,624000,0.0,1.0
2004-08-16,9.6,9.85,9.0,9.72,2.40435103239111,542800,0.0,1.0
2004-08-17,9.88,10.99,9.88,10.97,2.71355255404635,742000,0.0,1.0
2004-08-18,10.9,12.15,10.68,11.95,2.95596654702405,424400,0.0,1.0
2004-08-19,11.95,12.25,11.7,12.17,3.01038601483537,327400,0.0,1.0
2004-08-20,12.5,13.2,11.89,12.6,3.11675133828478,1008700,0.0,1.0
2004-08-23,12.7,12.95,12.36,12.5,3.09201521655236,281900,0.0,1.0
2004-08-24,12.6,12.78,12.42,12.77,3.15880274522989,268100,0.0,1.0
2004-08-25,12.8,13.05,12.5,12.96,3.20580137652148,300200,0.0,1.0
2004-08-26,12.97,13.0,12.81,12.9,3.19095970348203,117800,0.0,1.0
2004-08-27,13.0,13.21,12.9,13.15,3.25280000781308,115900,0.0,1.0
2004-08-30,13.22,13.26,13.06,13.17,3.25774723215956,151500,0.0,1.0
2004-08-31,13.2,13.25,12.7,13.0,3.21569582521445,218600,0.0,1.0
2004-09-01,13.2,13.33,13.16,13.33,3.29732502693143,128200,0.0,1.0
2004-09-02,13.28,13.97,13.28,13.89,3.43584730863298,249700,0.0,1.0
2004-09-03,13.9,13.94,13.62,13.75,3.40121673820759,231000,0.0,1.0
2004-09-07,13.76,13.76,13.4,13.43,3.32206114866385,298000,0.0,1.0
2004-09-08,13.33,13.33,13.15,13.24,3.27506251737226,137500,0.0,1.0
2004-09-09,13.24,13.3,12.97,13.17,3.25774723215956,632300,0.0,1.0
2004-09-10,13.15,14.3,13.15,14.25,3.52489734686969,698800,0.0,1.0
2004-09-13,14.4,15.5,14.4,15.2,3.75989050332767,1086300,0.0,1.0
2004-09-14,15.2,16.09,15.0,15.91,3.93551696762784,513000,0.0,1.0
2004-09-15,15.92,17.14,15.7,16.34,4.04188229107724,1036800,0.0,1.0
2004-09-16,16.35,16.49,16.06,16.26,4.02209339369131,629600,0.0,1.0
2004-09-17,16.2,16.21,14.84,15.67,3.87615027547003,1121900,0.0,1.0
2004-09-20,15.75,16.1,15.69,16.01,3.96025308936026,149300,0.0,1.0
2004-09-21,16.05,16.9,16.05,16.36,4.04682951542372,581800,0.0,1.0
2004-09-22,16.3,16.3,15.81,16.07,3.97509476239971,519200,0.0,1.0
2004-09-23,16.07,16.07,15.65,15.71,3.886044724163,279400,0.0,1.0
2004-09-24,15.96,16.85,15.8,16.04,3.96767392587998,699000,0.0,1.0
2004-09-27,16.0,16.07,15.51,15.59,3.8563613780841,345000,0.0,1.0
2004-09-28,15.52,15.54,14.77,15.0,3.71041825986283,465700,0.0,1.0
2004-09-29,15.05,15.87,15.05,15.75,3.89593917285597,425100,0.0,1.0
2004-09-30,15.75,15.91,15.62,15.63,3.86625582677707,1130300,0.0,1.0
2004-10-01,15.63,16.78,15.52,16.65,4.11856426844774,653400,0.0,1.0
2004-10-04,17.15,17.84,16.56,16.87,4.17298373625906,788300,0.0,1.0
2004-10-05,16.88,17.12,16.6,16.9,4.18040457277879,340200,0.0,1.0
2004-10-06,16.9,17.25,16.49,17.25,4.26698099884225,358400,0.0,1.0
2004-10-07,17.9,18.82,17.61,18.5,4.57618252049749,1471800,0.0,1.0
2004-10-08,18.46,18.46,17.47,17.62,4.3585046492522,632100,0.0,1.0
2004-10-11,17.64,18.35,17.6,18.18,4.49702693095375,266200,0.0,1.0
2004-10-12,18.0,18.39,17.67,18.39,4.54897278659183,224300,0.0,1.0
2004-10-13,18.6,19.23,18.41,18.5,4.57618252049749,432000,0.0,1.0
2004-10-14,18.5,18.75,17.85,17.99,4.45002829966215,261800,0.0,1.0
2004-10-15,18.06,18.24,17.6,17.98,4.44755468748891,236700,0.0,1.0
2004-10-18,17.9,18.3,17.65,18.29,4.52423666485941,173200,0.0,1.0
2004-10-19,18.35,18.44,18.12,18.23,4.50939499181996,155600,0.0,1.0
2004-10-20,18.13,18.26,17.9,18.15,4.48960609443402,190200,0.0,1.0
2004-10-21,18.17,18.68,18.04,18.4,4.55144639876507,180400,0.0,1.0
2004-10-22,18.5,18.58,17.25,17.4,4.30408518144088,279200,0.0,1.0
2004-10-25,17.55,18.36,17.55,18.15,4.48960609443402,264000,0.0,1.0
2004-10-26,18.1,18.45,17.79,18.45,4.56381445963128,119200,0.0,1.0
2004-10-27,18.5,19.59,18.15,19.27,4.76665065783711,480700,0.0,1.0
2004-10-28,19.3,20.6,19.0,20.15,4.9843285290824,625200,0.0,1.0
2004-10-29,20.1,20.32,19.41,20.32,5.02637993602751,449900,0.0,1.0
2004-11-01,20.5,22.0,20.4,21.7,5.36773841593489,803400,0.0,1.0
2004-11-02,22.5,22.5,21.77,21.96,5.43205233243918,757400,0.0,1.0
