date,open,high,low,close,adjClose,volume,dividend,split
2019-05-24,29.75,32.0,28.5,29.0,26.6704039310682,43994,0.0,1.0
2019-05-28,29.25,30.5,28.51,28.765,26.4542816923165,61544,0.0,1.0
2019-05-29,29.9,29.9,27.66,28.5,26.2105693805326,207765,0.0,1.0
2019-05-30,28.99,29.16,28.22,28.8,26.486470110854,666050,0.0,1.0
2019-05-31,28.5,28.59,26.97,26.97,24.8034756558934,853801,0.0,1.0
2019-06-03,26.54,27.0,24.37,24.81,22.8169903975794,19259630,0.0,1.0
2019-06-04,24.35,27.94,24.35,27.75,25.5208175547291,20135135,0.0,1.0
2019-06-05,27.54,28.22,26.46,28.01,25.7599315210076,10740207,0.0,1.0
2019-06-06,27.69,27.69,26.23,26.9,24.7390988188185,13986084,0.0,1.0
2019-06-07,26.17,26.93,25.715,26.31,24.1964940491864,10049260,0.0,1.0
2019-06-10,26.07,26.74,25.12,25.31,23.2768249481151,10247186,0.0,1.0
2019-06-11,25.01,25.36,24.53,24.95,22.9457440717294,11641364,0.0,1.0
2019-06-12,25.11,25.45,24.48,25.07,23.0561043638579,13392038,0.0,1.0
2019-06-13,25.06,25.19,24.7,24.97,22.9641374537508,9710759,0.0,1.0
2019-06-14,24.76,25.24,24.55,25.19,23.1664646559865,7036775,0.0,1.0
2019-06-17,25.53,26.9,25.45,25.95,23.8654131728007,13710322,0.0,1.0
2019-06-18,26.03,27.57,25.75,27.3,25.106966459247,14485407,0.0,1.0
2019-06-19,27.48,27.48,26.87,27.15,24.9690160940863,10228757,0.0,1.0
2019-06-20,27.37,27.6,26.42,27.16,24.978212785097,7727962,0.0,1.0
2019-06-21,26.87,27.71,26.87,27.21,25.0241962401506,12548904,0.0,1.0
2019-06-24,27.14,28.45,27.053,28.01,25.7599315210076,6495057,0.0,1.0
2019-06-25,28.02,28.09,27.48,27.67,25.4472440266434,6698570,0.0,1.0
2019-06-26,27.93,29.375,27.85,29.26,26.9095178973468,6735131,0.0,1.0
2019-06-27,29.38,30.33,29.26,29.57,27.1946153186789,5879610,0.0,1.0
2019-06-28,29.6,29.75,29.26,29.57,27.1946153186789,15517796,0.0,1.0
2019-07-01,29.58,30.75,28.95,29.68,27.2957789197967,5290363,0.0,1.0
2019-07-02,29.5,29.6,28.14,28.99,26.6612072400575,5438576,0.0,1.0
2019-07-03,28.78,28.9,28.2,28.8,26.486470110854,2234906,0.0,1.0
2019-07-05,28.45,29.32,28.26,28.64,26.3393230546825,2888235,0.0,1.0
2019-07-08,28.39,28.39,27.64,27.77,25.5392109367505,3478698,0.0,1.0
2019-07-09,27.47,27.77,26.83,26.99,24.8218690379149,5286013,0.0,1.0
2019-07-10,26.81,27.0,26.44,26.5,24.3712311783899,5133693,0.0,1.0
2019-07-11,26.55,26.8,25.96,26.43,24.3068543413149,6066191,0.0,1.0
2019-07-12,26.42,27.73,26.26,27.6,25.3828671895684,5154558,0.0,1.0
2019-07-15,27.41,28.27,27.4,28.08,25.8243083580826,3443097,0.0,1.0
2019-07-16,27.93,28.5,27.715,27.86,25.6219811558469,3735879,0.0,1.0
2019-07-17,27.6,27.71,26.85,26.88,24.720705436797,3999305,0.0,1.0
2019-07-18,26.58,26.98,26.413,26.65,24.5091815435506,3035241,0.0,1.0
2019-07-19,26.79,27.48,26.64,27.39,25.1897366783434,4694910,0.0,1.0
2019-07-22,27.34,27.85,27.21,27.76,25.5300142457398,2546126,0.0,1.0
2019-07-23,27.65,28.48,27.45,28.12,25.8610951221255,2921396,0.0,1.0
2019-07-24,27.77,28.52,27.63,28.32,26.0450289423397,2311843,0.0,1.0
2019-07-25,28.1,28.4,27.75,28.02,25.7691282120183,3532155,0.0,1.0
