date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,43.44,43.5,39.94,40.36,12.8680192738362,2974100,0.0,1.0
1999-11-02,39.75,40.44,37.81,39.38,12.5555648910721,5228400,0.0,1.0
1999-11-03,39.38,39.81,38.75,38.75,12.3547013592951,2018600,0.0,1.0
1999-11-04,39.56,39.75,38.06,38.31,12.2144157180541,2120600,0.0,1.0
1999-11-05,38.25,38.75,37.0,38.0,12.1155781071797,3556200,0.0,1.0
1999-11-08,38.38,38.63,37.19,37.25,11.8764548550644,2132800,0.0,1.0
1999-11-09,37.75,37.94,37.19,37.19,11.8573249948951,1735700,0.0,1.0
1999-11-10,37.13,37.13,35.25,35.63,11.3599486304951,4106000,0.0,1.0
1999-11-11,35.63,35.81,32.94,35.5,11.3185006001284,6005700,0.0,1.0
1999-11-12,35.75,36.06,34.06,36.06,11.4970459617079,4356600,0.0,1.0
1999-11-15,36.5,38.94,36.06,38.81,12.3738312194644,3428500,0.0,1.0
1999-11-16,40.25,40.75,39.31,39.75,12.6735323621157,3435700,0.0,1.0
1999-11-17,39.63,40.63,39.63,40.38,12.8743958938926,2131100,0.0,1.0
1999-11-18,40.38,40.56,39.19,39.44,12.5746947512413,2540100,0.0,1.0
1999-11-19,39.81,40.31,39.69,40.06,12.77236997299,1573000,0.0,1.0
1999-11-22,40.0,40.13,39.0,40.13,12.7946881431875,2658300,0.0,1.0
1999-11-23,39.75,40.06,39.25,39.81,12.6926622222849,1767300,0.0,1.0
1999-11-24,39.69,40.0,39.0,39.06,12.4535389701695,1409100,0.0,1.0
1999-11-26,39.06,39.94,39.06,39.69,12.6544025019464,354300,0.0,1.0
1999-11-29,39.63,40.38,38.94,40.19,12.8138180033567,1960000,0.0,1.0
1999-11-30,39.94,40.31,39.69,39.69,12.6544025019464,1396000,0.0,1.0
1999-12-01,39.56,40.19,38.81,39.63,12.6352726417772,2206700,0.0,1.0
1999-12-02,39.56,39.56,37.75,38.0,12.1155781071797,2365000,0.0,1.0
1999-12-03,38.0,39.13,38.0,38.88,12.3961493896618,2518600,0.0,1.0
1999-12-06,39.19,40.0,37.0,37.5,11.9561626057695,2634100,0.0,1.0
1999-12-07,37.44,37.44,35.81,36.06,11.4970459617079,3048300,0.0,1.0
1999-12-08,36.06,36.06,35.56,35.69,11.3790784906643,1835500,0.0,1.0
1999-12-09,36.25,37.5,35.13,35.56,11.3376304602977,1916800,0.0,1.0
1999-12-10,35.88,36.81,35.69,35.94,11.4587862413695,1919700,0.0,1.0
1999-12-13,37.5,37.5,35.06,35.56,11.3376304602977,1841900,0.0,1.0
1999-12-14,35.25,35.31,33.31,33.94,10.8211242357284,4027600,0.0,1.0
1999-12-15,34.13,34.88,33.5,34.06,10.8593839560669,1883400,0.0,1.0
1999-12-16,34.0,34.13,31.69,31.69,10.1037544793823,2706700,0.0,1.0
1999-12-17,31.94,32.06,30.25,31.81,10.1420141997207,7151000,0.0,1.0
1999-12-20,32.13,32.13,30.0,30.31,9.66376769548995,5508200,0.0,1.0
1999-12-21,30.63,32.5,30.56,32.0,10.2025920902566,4921500,0.0,1.0
1999-12-22,32.0,32.19,31.44,31.88,10.1643323699182,3479400,0.0,1.0
1999-12-23,32.38,34.94,32.19,34.63,11.0411176276746,3657900,0.0,1.0
1999-12-27,34.75,36.44,34.69,35.88,11.4396563812002,3007900,0.0,1.0
1999-12-28,36.0,36.81,35.5,35.69,11.3790784906643,1956600,0.0,1.0
1999-12-29,36.5,36.88,36.19,36.63,11.6787796333156,1917700,0.0,1.0
1999-12-30,36.81,38.63,36.75,38.5,12.27499360859,1883400,0.0,1.0
1999-12-31,38.75,40.0,38.63,39.88,12.7149803924823,1901900,0.0,1.0
2000-01-03,40.0,40.19,36.94,37.81,12.0550002166438,3251500,0.0,1.0
2000-01-04,37.5,38.19,36.88,37.5,11.9561626057695,2833500,0.0,1.0
2000-01-05,37.63,39.94,37.56,39.75,12.6735323621157,2847000,0.0,1.0
2000-01-06,39.38,39.38,36.19,36.75,11.7170393536541,3601600,0.0,1.0
2000-01-07,37.0,37.75,35.31,37.63,11.9976106361362,3483500,0.0,1.0
2000-01-10,39.38,39.94,36.38,37.56,11.9752924659387,4393200,0.0,1.0
2000-01-11,37.63,38.88,37.44,37.69,12.0167404963054,3254200,0.0,1.0
2000-01-12,37.75,38.06,36.63,37.63,11.9976106361362,2311900,0.0,1.0
2000-01-13,37.63,37.69,36.56,36.88,11.7584873840208,2561500,0.0,1.0
2000-01-14,36.81,36.81,34.63,35.88,11.4396563812002,6575100,0.0,1.0
2000-01-18,35.63,36.44,35.38,36.0,11.4779161015387,2743500,0.0,1.0
2000-01-19,35.94,36.25,35.44,35.81,11.4173382110028,2135400,0.0,1.0
2000-01-20,35.5,35.56,32.63,33.72,10.7694736132715,4566000,0.058,1.0
2000-01-21,34.0,34.94,33.69,34.5,11.0185895509451,3956800,0.0,1.0
2000-01-24,34.75,35.19,34.06,34.44,10.9994267865086,3458800,0.0,1.0
2000-01-25,34.5,34.94,33.94,34.0,10.8588998473082,1723500,0.0,1.0
2000-01-26,34.19,34.88,33.69,34.06,10.8780626117446,1706100,0.0,1.0
2000-01-27,34.5,34.5,33.0,33.44,10.6800473792349,1392700,0.0,1.0
2000-01-28,33.63,35.75,33.19,34.81,11.1175971671999,2217200,0.0,1.0
2000-01-31,34.88,35.0,34.31,34.94,11.1591164901455,1682400,0.0,1.0
2000-02-01,34.81,35.06,34.06,35.06,11.1974420190184,1696700,0.0,1.0
2000-02-02,35.5,37.63,35.31,36.75,11.737193217311,3690000,0.0,1.0
2000-02-03,36.94,38.94,36.44,37.75,12.0565726245848,2287100,0.0,1.0
2000-02-04,37.5,37.5,36.31,36.5,11.6573483654926,2581100,0.0,1.0
2000-02-07,37.56,37.56,36.13,36.44,11.6381856010562,2418300,0.0,1.0
2000-02-08,39.0,40.88,37.5,40.0,12.7751762909508,7800100,0.0,1.0
2000-02-09,40.0,40.0,38.81,39.0,12.455796883677,4088800,0.0,1.0
2000-02-10,40.75,41.5,40.0,40.63,12.9763853175333,4961600,0.0,1.0
2000-02-11,40.69,40.69,39.56,39.63,12.6570059102595,2421600,0.0,1.0
2000-02-14,39.69,40.06,38.81,39.88,12.7368507620779,2232000,0.0,1.0
2000-02-15,39.94,39.94,39.0,39.38,12.5771610584411,2277000,0.0,1.0
2000-02-16,38.88,39.13,38.56,38.81,12.395114796295,2508100,0.0,1.0
2000-02-17,38.88,39.19,38.19,38.25,12.2162623282217,2381500,0.0,1.0
2000-02-18,38.13,38.44,36.88,37.13,11.8585573920751,1860100,0.0,1.0
2000-02-22,37.38,38.44,37.0,38.19,12.1970995637853,1943500,0.0,1.0
2000-02-23,38.06,39.94,37.81,38.88,12.4174713548042,2933400,0.0,1.0
2000-02-24,38.94,38.94,36.69,37.0,11.8170380691295,3497400,0.0,1.0
2000-02-25,36.5,37.75,35.75,36.75,11.737193217311,2215700,0.0,1.0
2000-02-28,37.0,37.0,35.5,35.88,11.4593331329829,1991200,0.0,1.0
2000-02-29,36.0,36.06,34.75,35.0,11.1782792545819,3780400,0.0,1.0
2000-03-01,35.19,35.25,32.69,33.44,10.6800473792349,3837900,0.0,1.0
2000-03-02,33.38,33.44,30.38,30.63,9.78259124479557,6595700,0.0,1.0
2000-03-03,30.63,31.19,30.0,30.44,9.72190915741355,5987700,0.0,1.0
2000-03-06,31.13,31.44,30.25,30.92,9.87521127290496,6190700,0.0,1.0
2000-03-07,31.5,31.88,27.75,28.0,8.94262340366555,6087600,0.0,1.0
2000-03-08,30.0,31.5,29.44,31.13,9.94228094843245,3948200,0.0,1.0
2000-03-09,31.13,32.0,30.19,31.94,10.2009782683242,2134100,0.0,1.0
2000-03-10,31.5,31.56,30.38,30.5,9.74107192184998,2559000,0.0,1.0
2000-03-13,30.0,31.38,29.94,30.88,9.86243609661401,2383300,0.0,1.0
2000-03-14,31.38,31.5,30.75,30.75,9.82091677366842,2308200,0.0,1.0
2000-03-15,31.25,32.63,31.19,32.63,10.4213500593431,2129300,0.0,1.0
2000-03-16,34.5,36.75,33.88,36.31,11.5966662781106,3807200,0.0,1.0
2000-03-17,36.38,36.56,35.56,36.0,11.4976586618557,2278400,0.0,1.0
2000-03-20,36.06,36.25,33.88,35.0,11.1782792545819,1482600,0.0,1.0
2000-03-21,35.0,37.38,34.38,37.19,11.8777201565115,2959000,0.0,1.0
2000-03-22,37.0,37.25,36.0,37.13,11.8585573920751,2369800,0.0,1.0
2000-03-23,37.19,37.19,35.63,36.44,11.6381856010562,1365200,0.0,1.0
2000-03-24,36.06,36.19,33.75,35.94,11.4784958974193,3640200,0.0,1.0
2000-03-27,35.25,35.31,33.13,34.13,10.9004191702538,2528200,0.0,1.0
2000-03-28,34.88,35.44,33.81,34.19,10.9195819346902,2447900,0.0,1.0
2000-03-29,34.31,36.69,34.31,36.44,11.6381856010562,2081200,0.0,1.0
2000-03-30,36.19,37.5,36.13,37.13,11.8585573920751,1679400,0.0,1.0
2000-03-31,36.81,38.0,36.69,37.56,11.9958905372028,2299600,0.0,1.0
2000-04-03,37.56,39.25,37.5,38.69,12.3567892674221,1879100,0.0,1.0
2000-04-04,38.69,44.5,38.69,41.0,13.0945556982246,4361900,0.0,1.0
2000-04-05,40.75,41.19,39.69,40.63,12.9763853175333,3322300,0.0,1.0
2000-04-06,40.5,40.56,38.0,38.81,12.395114796295,2019300,0.0,1.0
2000-04-07,39.0,39.94,38.44,38.81,12.395114796295,945300,0.0,1.0
2000-04-10,38.88,39.31,38.06,38.69,12.3567892674221,1143100,0.0,1.0
2000-04-11,38.0,41.56,37.63,41.44,13.235082637425,2952900,0.0,1.0
2000-04-12,43.0,46.0,42.56,43.88,14.014368391173,4709400,0.0,1.0
2000-04-13,44.06,45.13,43.31,44.38,14.1740580948099,2610700,0.0,1.0
2000-04-14,44.13,44.13,41.63,42.0,13.4139351054983,2566400,0.0,1.0
2000-04-17,41.56,42.25,40.75,41.94,13.3947723410619,2146100,0.0,1.0
2000-04-18,41.81,44.25,41.81,43.19,13.7939966001541,1969000,0.0,1.0
2000-04-19,44.75,44.75,43.19,43.5,13.893004216409,1819500,0.0,1.0
2000-04-20,42.94,44.0,42.94,43.81,14.0105358382857,1159500,0.058,1.0
2000-04-24,43.94,44.38,43.44,44.0,14.0712982626015,1420600,0.0,1.0
2000-04-25,44.06,46.81,43.81,46.75,14.9507544040141,2787500,0.0,1.0
2000-04-26,46.5,46.5,44.56,44.88,14.3527242278535,2242600,0.0,1.0
2000-04-27,44.25,44.56,43.94,44.25,14.1512488209117,1501000,0.0,1.0
2000-04-28,44.06,44.63,43.38,43.5,13.911397145981,1782900,0.0,1.0
2000-05-01,43.5,43.88,42.38,43.69,13.9721595702968,1428200,0.0,1.0
2000-05-02,44.13,45.38,44.0,44.88,14.3527242278535,1496700,0.0,1.0
2000-05-03,44.38,44.44,39.69,41.56,13.2909808134936,5265700,0.0,1.0
2000-05-04,41.31,41.81,40.75,41.56,13.2909808134936,1806800,0.0,1.0
2000-05-05,41.75,43.38,41.69,42.5,13.5915949127401,1309600,0.0,1.0
2000-05-08,42.5,45.63,42.13,44.75,14.3111499375322,1874000,0.0,1.0
2000-05-09,45.25,45.38,42.38,44.13,14.1128725529228,4044300,0.0,1.0
2000-05-10,43.94,43.94,42.81,43.5,13.911397145981,2219600,0.0,1.0
2000-05-11,43.5,44.19,43.13,43.25,13.8314465876708,1497700,0.0,1.0
2000-05-12,42.38,42.81,41.38,41.88,13.3933175281307,1868500,0.0,1.0
2000-05-15,41.88,43.19,41.25,42.94,13.7323078953661,1313300,0.0,1.0
2000-05-16,43.13,43.81,42.75,42.81,13.6907336050448,1392500,0.0,1.0
2000-05-17,41.31,42.31,41.0,41.81,13.3709313718038,1671100,0.0,1.0
2000-05-18,41.88,42.19,41.25,41.5,13.2717926794992,960500,0.0,1.0
2000-05-19,40.88,41.13,40.13,40.75,13.0319410045684,883800,0.0,1.0
2000-05-22,40.69,41.06,39.5,40.5,12.9519904462582,880500,0.0,1.0
2000-05-23,40.25,41.69,40.25,41.38,13.2334164115102,1665800,0.0,1.0
2000-05-24,41.19,41.56,39.44,40.06,12.8112774636322,2228400,0.0,1.0
2000-05-25,41.38,41.63,40.69,41.31,13.2110302551834,2109000,0.0,1.0
2000-05-26,41.63,42.19,39.94,40.25,12.872039887948,1464500,0.0,1.0
2000-05-30,40.25,42.13,39.69,41.69,13.3325551038149,1264900,0.0,1.0
2000-05-31,41.69,42.38,41.0,41.88,13.3933175281307,2089000,0.0,1.0
2000-06-01,43.25,45.19,43.19,45.19,14.4518629201582,1593400,0.0,1.0
2000-06-02,45.63,45.81,42.25,43.25,13.8314465876708,1846400,0.0,1.0
2000-06-05,42.0,42.13,41.0,41.63,13.3133669698205,2282500,0.0,1.0
2000-06-06,41.88,42.0,38.31,38.88,12.4339108284079,3867700,0.0,1.0
2000-06-07,39.0,39.31,36.75,37.31,11.9318213222196,4295400,0.0,1.0
