date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,48.06,48.25,48.06,48.25,8.02904375603274,296300,0.0,1.0
1999-11-02,48.25,48.56,48.25,48.44,8.06066071590105,509100,0.0,1.0
1999-11-03,48.25,48.5,48.25,48.44,8.06066071590105,562600,0.0,1.0
1999-11-04,48.5,48.69,48.44,48.63,8.09227767576937,652700,0.0,1.0
1999-11-05,48.88,49.38,48.5,48.5,8.07064501901737,835500,0.0,1.0
1999-11-08,48.5,48.63,47.94,47.94,7.9774581899318,980100,0.0,1.0
1999-11-09,48.13,48.13,47.81,47.88,7.96747388681549,818500,0.0,1.0
1999-11-10,47.81,47.94,47.44,47.56,7.91422427019517,468300,0.0,1.0
1999-11-11,47.44,47.88,47.38,47.75,7.94584123006349,739300,0.0,1.0
1999-11-12,47.88,48.13,47.75,48.13,8.00907514980012,612100,0.0,1.0
1999-11-15,47.88,48.06,47.75,48.0,7.98744249304811,206800,0.0,1.0
1999-11-16,47.94,48.63,47.81,48.25,8.02904375603274,429100,0.0,1.0
1999-11-17,48.5,48.69,48.31,48.56,8.08062932213368,558800,0.0,1.0
1999-11-18,48.56,48.56,48.19,48.25,8.02904375603274,438800,0.0,1.0
1999-11-19,48.13,48.19,47.94,47.94,7.9774581899318,594800,0.0,1.0
1999-11-22,47.69,47.81,47.19,47.25,7.86263870409424,1155000,0.0,1.0
1999-11-23,46.56,46.63,45.75,45.81,7.73034668780313,875200,0.645,1.0
1999-11-24,45.81,46.25,45.56,45.94,7.75228393009552,611400,0.0,1.0
1999-11-26,45.94,46.06,45.56,45.63,7.69997204462905,158200,0.0,1.0
1999-11-29,45.63,45.69,44.63,44.69,7.5413489080533,582900,0.0,1.0
1999-11-30,44.63,45.56,44.63,45.38,7.65778504022061,801100,0.0,1.0
1999-12-01,45.25,45.31,44.94,45.0,7.59366079351977,898500,0.0,1.0
1999-12-02,45.0,45.31,44.63,44.63,7.53122402699528,1523700,0.0,1.0
1999-12-03,44.31,44.88,44.31,44.56,7.51941166576091,1184600,0.0,1.0
1999-12-06,44.5,44.94,44.0,44.06,7.43503765694403,509600,0.0,1.0
1999-12-07,44.0,44.5,43.75,44.13,7.44685001817839,787000,0.0,1.0
1999-12-08,44.0,44.13,43.31,43.5,7.34053876706911,516400,0.0,1.0
1999-12-09,43.5,43.5,43.19,43.19,7.28822688160264,695000,0.0,1.0
1999-12-10,43.25,43.44,43.0,43.13,7.27810200054462,690200,0.0,1.0
1999-12-13,43.0,43.06,42.75,42.93,7.24435239701786,374100,0.0,1.0
1999-12-14,42.75,43.19,42.75,42.94,7.2460398771942,282100,0.0,1.0
1999-12-15,43.13,43.19,42.69,42.94,7.2460398771942,865800,0.0,1.0
1999-12-16,42.75,42.81,41.44,41.5,7.00304273180157,701100,0.0,1.0
1999-12-17,41.5,41.62,41.0,41.0,6.91866872298468,1032600,0.0,1.0
1999-12-20,41.06,41.44,40.56,40.94,6.90854384192666,1144800,0.0,1.0
1999-12-21,40.94,41.63,40.94,40.94,6.90854384192666,1235900,0.0,1.0
1999-12-22,41.0,41.0,40.56,40.56,6.84441959522582,747500,0.0,1.0
1999-12-23,40.63,40.88,40.56,40.63,6.85623195646019,848100,0.0,1.0
1999-12-27,40.75,40.88,40.31,40.31,6.80223259081738,581600,0.0,1.0
1999-12-28,40.19,40.5,40.06,40.06,6.76004558640894,522100,0.0,1.0
1999-12-29,40.06,40.13,39.5,39.75,6.70773370094247,660000,0.0,1.0
1999-12-30,39.75,39.88,39.63,39.63,6.68748393882641,662100,0.0,1.0
1999-12-31,39.63,39.63,39.25,39.25,6.62335969212558,415800,0.0,1.0
2000-01-03,39.0,39.0,38.06,38.13,6.43436191237576,1036700,0.0,1.0
