date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,63.56,63.75,62.0,62.06,24.420678773254,2160200,0.0,1.0
1999-11-02,61.0,62.63,60.94,61.94,24.3734586402732,2672800,0.0,1.0
1999-11-03,62.63,62.94,61.31,61.94,24.3734586402732,2184600,0.0,1.0
1999-11-04,62.13,63.25,61.44,62.13,24.4482238508261,2273600,0.0,1.0
1999-11-05,62.88,63.75,62.44,62.63,24.6449744049129,1661400,0.0,1.0
1999-11-08,61.69,61.94,60.38,60.56,23.8304271109936,2023200,0.0,1.0
1999-11-09,61.44,63.06,61.13,61.38,24.1530980196959,3974600,0.0,1.0
1999-11-10,60.81,62.69,60.69,62.19,24.6095593051773,1856300,0.35,1.0
1999-11-11,61.94,62.25,59.88,60.13,23.7943849657551,2093600,0.0,1.0
1999-11-12,60.81,61.94,60.31,61.56,24.3602584149657,2063200,0.0,1.0
1999-11-15,60.88,63.06,60.63,62.13,24.5858163632524,1829600,0.0,1.0
1999-11-16,62.19,63.19,61.38,62.5,24.7322311717894,2033500,0.0,1.0
1999-11-17,61.56,62.94,61.44,62.25,24.6333022471022,2885800,0.0,1.0
1999-11-18,61.56,62.44,61.5,61.56,24.3602584149657,1774100,0.0,1.0
1999-11-19,61.13,62.25,60.06,61.06,24.1624005655914,2036700,0.0,1.0
1999-11-22,60.94,60.94,59.94,60.19,23.8181279076801,2315800,0.0,1.0
1999-11-23,59.69,61.13,59.5,60.63,23.9922428151295,2854400,0.0,1.0
1999-11-24,60.5,61.56,60.5,60.69,24.0159857570544,3982000,0.0,1.0
1999-11-26,60.94,61.19,60.13,60.19,23.8181279076801,621100,0.0,1.0
1999-11-29,59.94,60.0,58.69,59.13,23.3986692670065,2350300,0.0,1.0
1999-11-30,58.44,62.0,58.44,59.44,23.5213411336186,3765200,0.0,1.0
1999-12-01,59.38,60.75,59.31,60.0,23.7429419249178,2034700,0.0,1.0
1999-12-02,60.0,60.69,60.0,60.06,23.7666848668427,1766000,0.0,1.0
1999-12-03,60.94,61.63,60.75,60.81,24.0634716409042,2628700,0.0,1.0
1999-12-06,60.81,62.0,60.75,61.69,24.411701455803,1920500,0.0,1.0
1999-12-07,61.0,61.94,60.19,61.25,24.2375865483536,2713800,0.0,1.0
1999-12-08,60.75,60.94,59.0,59.5,23.5450840755435,2376100,0.0,1.0
1999-12-09,59.13,59.13,58.06,59.0,23.3472262261692,2199300,0.0,1.0
1999-12-10,59.0,60.25,58.69,60.06,23.7666848668427,2662800,0.0,1.0
1999-12-13,59.88,62.44,59.75,61.63,24.3879585138781,3389600,0.0,1.0
1999-12-14,61.88,65.81,61.44,64.88,25.6740345348111,5252600,0.0,1.0
