date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,28.19,29.75,28.13,29.44,5.26786058240961,241300,0.0,1.0
1999-11-02,29.38,29.88,29.06,29.19,5.22312671197474,114500,0.0,1.0
1999-11-03,29.0,29.63,28.81,29.56,5.28933284021834,38900,0.0,1.0
1999-11-04,31.0,31.63,30.69,30.94,5.53626380501879,95300,0.0,1.0
1999-11-05,30.94,30.94,30.31,30.75,5.5022660634883,77100,0.0,1.0
1999-11-08,30.63,31.0,30.5,30.81,5.51300219239266,41100,0.0,1.0
1999-11-09,30.81,30.94,30.69,30.94,5.53626380501879,46600,0.0,1.0
1999-11-10,30.94,30.94,30.0,30.0,5.3680644521837,245400,0.0,1.0
1999-11-11,29.75,30.0,29.69,29.94,5.35732832327934,50700,0.0,1.0
1999-11-12,29.94,30.25,29.88,30.0,5.3680644521837,306100,0.0,1.0
1999-11-15,29.88,30.25,29.88,30.25,5.41279832261857,120800,0.0,1.0
1999-11-16,30.13,31.0,30.13,30.38,5.4360599352447,214300,0.0,1.0
1999-11-17,30.38,30.5,30.38,30.5,5.45753219305343,105200,0.0,1.0
1999-11-18,30.63,31.0,30.63,31.0,5.54699993392316,226900,0.0,1.0
1999-11-19,31.13,31.13,30.5,30.56,5.4682683219578,217700,0.0,1.0
1999-11-22,30.56,31.06,30.56,30.88,5.52552767611443,75400,0.0,1.0
1999-11-23,30.88,31.56,30.88,31.0,5.54699993392316,125100,0.0,1.0
1999-11-24,30.88,31.38,29.88,30.25,5.41279832261857,77600,0.0,1.0
1999-11-26,30.25,30.63,30.25,30.38,5.4360599352447,46600,0.0,1.0
1999-11-29,30.44,30.69,30.38,30.38,5.4360599352447,41200,0.0,1.0
1999-11-30,30.38,30.5,30.13,30.44,5.44679606414906,31900,0.0,1.0
1999-12-01,30.88,32.94,30.88,31.25,5.59173380435802,287200,0.0,1.0
1999-12-02,31.06,31.06,30.56,30.94,5.53626380501879,141300,0.0,1.0
1999-12-03,31.06,31.44,30.69,30.75,5.5022660634883,33200,0.0,1.0
1999-12-06,30.75,31.44,30.75,31.13,5.57026154654929,85200,0.0,1.0
1999-12-07,31.25,31.5,31.13,31.31,5.60246993326239,195000,0.0,1.0
1999-12-08,31.38,31.38,31.0,31.06,5.55773606282753,74700,0.0,1.0
1999-12-09,31.19,31.38,30.94,31.13,5.57026154654929,64000,0.0,1.0
1999-12-10,31.13,31.13,30.88,30.88,5.52552767611443,66000,0.0,1.0
1999-12-13,31.13,31.31,30.94,31.19,5.58099767545366,72600,0.0,1.0
1999-12-14,31.13,31.19,30.81,30.81,5.51300219239266,96000,0.0,1.0
1999-12-15,30.81,30.81,30.31,30.38,5.4360599352447,64000,0.0,1.0
1999-12-16,30.38,30.81,30.25,30.56,5.4682683219578,20700,0.0,1.0
1999-12-17,30.44,30.5,28.94,29.5,5.27859671131398,99400,0.0,1.0
1999-12-20,29.5,29.75,29.5,29.69,5.31259445284447,95500,0.0,1.0
1999-12-21,29.69,29.88,29.63,29.75,5.32333058174884,50000,0.0,1.0
1999-12-22,29.94,30.31,28.88,29.19,5.22312671197474,85500,0.0,1.0
1999-12-23,29.25,29.56,28.88,29.25,5.23386284087911,22000,0.0,1.0
1999-12-27,29.13,30.25,29.13,30.06,5.37880058108807,81000,0.0,1.0
1999-12-28,30.0,30.0,29.72,29.88,5.34659219437497,30800,0.0,1.0
1999-12-29,29.88,30.38,29.88,30.19,5.4020621937142,29500,0.0,1.0
1999-12-30,30.13,30.44,30.06,30.38,5.4360599352447,32200,0.0,1.0
1999-12-31,30.31,30.69,30.19,30.56,5.4682683219578,15000,0.0,1.0
2000-01-03,30.81,30.94,29.75,30.0,5.3680644521837,98700,0.0,1.0
2000-01-04,29.81,30.06,29.63,29.94,5.35732832327934,231100,0.0,1.0
2000-01-05,30.0,30.0,29.5,29.69,5.31259445284447,156000,0.0,1.0
2000-01-06,29.56,29.81,29.13,29.81,5.33406671065321,112600,0.0,1.0
2000-01-07,29.81,31.06,29.69,31.0,5.54699993392316,402100,0.0,1.0
2000-01-10,31.06,32.44,31.06,31.56,5.64720380369726,155200,0.0,1.0
2000-01-11,31.38,31.88,31.19,31.5,5.63646767479289,143900,0.0,1.0
2000-01-12,31.44,31.44,31.0,31.38,5.61499541698415,169200,0.0,1.0
2000-01-13,31.56,32.81,31.56,32.56,5.82613928543671,175000,0.0,1.0
2000-01-14,32.63,32.63,31.13,31.13,5.57026154654929,61200,0.0,1.0
2000-01-18,31.0,31.75,30.94,31.69,5.67046541632339,121300,0.0,1.0
2000-01-19,31.56,32.0,31.5,31.5,5.63646767479289,185400,0.0,1.0
2000-01-20,31.69,31.75,31.44,31.69,5.67046541632339,83000,0.0,1.0
2000-01-21,31.38,31.81,31.38,31.69,5.67046541632339,240000,0.0,1.0
2000-01-24,31.63,31.88,31.63,31.75,5.68120154522775,92800,0.0,1.0
2000-01-25,31.75,32.31,31.63,32.06,5.73667154456698,410800,0.0,1.0
2000-01-26,32.06,36.88,32.06,36.0,6.44167734262044,395500,0.0,1.0
2000-01-27,36.06,36.38,33.0,33.0,5.90487089740207,348000,0.0,1.0
2000-01-28,33.25,34.44,33.25,33.63,6.01760025089793,269500,0.0,1.0
2000-01-31,33.81,34.13,33.81,34.0,6.08380637914153,150000,0.0,1.0
2000-02-01,34.0,34.0,33.19,33.5,5.9943386382718,53500,0.0,1.0
2000-02-02,33.62,34.12,33.38,33.56,6.00507476717617,114000,0.0,1.0
2000-02-03,34.0,34.88,33.94,34.44,6.16253799110689,124200,0.0,1.0
2000-02-04,34.5,35.63,34.5,35.19,6.29673960241148,115500,0.0,1.0
2000-02-07,35.06,35.56,35.06,35.44,6.34147347284635,191900,0.0,1.0
2000-02-08,35.44,35.75,35.44,35.75,6.39694347218558,108600,0.0,1.0
2000-02-09,36.0,36.56,35.5,36.13,6.46493895524657,221600,0.0,1.0
2000-02-10,36.5,36.63,36.19,36.38,6.50967282568144,98600,0.0,1.0
2000-02-11,36.44,36.44,35.31,35.31,6.31821186022022,84200,0.0,1.0
2000-02-14,35.13,35.13,34.44,34.63,6.19653573263739,53600,0.0,1.0
2000-02-15,34.75,35.0,34.69,34.88,6.24126960307225,142500,0.0,1.0
2000-02-16,34.94,35.19,34.91,35.19,6.29673960241148,328800,0.0,1.0
2000-02-17,35.44,36.25,35.31,35.31,6.31821186022022,214400,0.0,1.0
2000-02-18,35.44,35.44,34.5,34.56,6.18401024891563,46800,0.0,1.0
2000-02-22,34.56,35.25,34.38,35.25,6.30747573131585,51100,0.0,1.0
2000-02-23,35.19,35.56,35.19,35.5,6.35220960175072,221600,0.0,1.0
2000-02-24,35.38,35.88,35.06,35.06,6.27347798978535,93100,0.0,1.0
2000-02-25,34.94,35.31,34.75,35.0,6.26274186088099,227600,0.0,1.0
2000-02-28,35.06,35.06,34.06,34.13,6.10706799176766,57000,0.0,1.0
2000-02-29,34.19,34.31,33.75,34.31,6.13927637848076,94800,0.0,1.0
2000-03-01,34.5,36.31,34.38,35.88,6.42020508481171,110300,0.0,1.0
2000-03-02,36.13,36.19,35.63,36.0,6.44167734262044,60400,0.0,1.0
2000-03-03,36.13,36.88,36.13,36.88,6.59914056655117,238000,0.0,1.0
2000-03-06,38.5,40.38,38.5,38.56,6.89975217587345,244100,0.0,1.0
2000-03-07,39.13,39.13,36.06,36.88,6.59914056655117,206100,0.0,1.0
2000-03-08,36.88,37.75,36.88,37.19,6.6546105658904,177500,0.0,1.0
2000-03-09,37.06,37.63,37.06,37.56,6.720816694134,127500,0.0,1.0
2000-03-10,37.5,37.5,36.75,36.81,6.5866150828294,74800,0.0,1.0
2000-03-13,36.75,36.88,36.5,36.69,6.56514282502067,49100,0.0,1.0
2000-03-14,36.63,37.38,35.75,35.75,6.39694347218558,195000,0.0,1.0
2000-03-15,35.75,36.5,34.5,36.19,6.47567508415094,71700,0.0,1.0
2000-03-16,36.44,39.25,36.44,39.25,7.02321765827368,69400,0.0,1.0
2000-03-17,39.25,39.88,39.25,39.69,7.10194927023904,109700,0.0,1.0
2000-03-20,39.56,40.0,37.38,38.0,6.79954830609936,142300,0.0,1.0
2000-03-21,37.25,37.25,35.0,35.75,6.39694347218558,108300,0.0,1.0
2000-03-22,35.69,37.44,35.69,37.06,6.63134895326427,158500,0.0,1.0
2000-03-23,37.06,37.88,36.75,36.75,6.57587895392504,203700,0.0,1.0
2000-03-24,36.62,36.81,35.75,35.81,6.40767960108995,63200,0.0,1.0
2000-03-27,36.0,36.0,35.44,35.44,6.34147347284635,58300,0.0,1.0
2000-03-28,35.88,38.63,35.63,37.69,6.74407830676013,315300,0.0,1.0
2000-03-29,37.69,37.81,36.5,37.0,6.6206128243599,103600,0.0,1.0
2000-03-30,36.5,37.0,36.44,36.94,6.60987669545553,147000,0.0,1.0
2000-03-31,37.0,39.75,36.88,39.75,7.11268539914341,150000,0.0,1.0
2000-04-03,40.0,41.25,39.5,39.81,7.12342152804777,113600,0.0,1.0
2000-04-04,39.75,39.75,37.0,38.38,6.86754378916035,201700,0.0,1.0
2000-04-05,38.38,40.25,37.63,40.13,7.1806808822044,532000,0.0,1.0
2000-04-06,40.13,42.5,39.88,41.44,7.41508636328309,284100,0.0,1.0
2000-04-07,41.44,42.5,41.44,42.0,7.51529023305718,259400,0.0,1.0
2000-04-10,42.0,42.88,41.25,41.5,7.42582249218746,84800,0.0,1.0
2000-04-11,41.5,42.0,41.25,41.94,7.50455410415282,97400,0.0,1.0
2000-04-12,41.75,42.75,41.69,42.13,7.53855184568331,273300,0.0,1.0
2000-04-13,42.13,43.0,42.13,42.69,7.63875571545741,172100,0.0,1.0
2000-04-14,43.5,45.25,43.5,44.5,7.96262893740583,485100,0.0,1.0
2000-04-17,44.56,53.25,44.56,50.25,8.9915079574077,624600,0.0,1.0
2000-04-18,51.25,56.69,51.25,56.0,10.0203869774096,807200,0.0,1.0
2000-04-19,55.75,56.94,53.0,55.06,9.85218762457449,611800,0.0,1.0
2000-04-20,55.13,55.38,51.5,53.63,9.59630988568707,332100,0.0,1.0
2000-04-24,53.5,55.44,53.13,53.75,9.6177821434958,416900,0.0,1.0
2000-04-25,54.75,57.5,54.75,57.25,10.2440563295839,578600,0.0,1.0
2000-04-26,57.0,60.69,56.38,59.0,10.557193422628,453700,0.0,1.0
2000-04-27,59.0,59.63,57.75,59.0,10.557193422628,324000,0.0,1.0
2000-04-28,58.5,58.75,55.75,58.19,10.412255682419,302700,0.0,1.0
2000-05-01,57.94,59.75,57.94,59.06,10.5679295515323,267500,0.0,1.0
2000-05-02,59.0,60.75,57.88,58.25,10.4229918113234,448300,0.0,1.0
2000-05-03,58.0,58.0,56.13,56.31,10.0758569767488,233500,0.0,1.0
2000-05-04,56.75,57.94,56.25,56.75,10.1545885887142,275800,0.0,1.0
2000-05-05,57.5,59.88,57.5,59.63,10.6699227761238,246400,0.0,1.0
2000-05-08,59.88,60.63,59.13,59.38,10.6251889056889,284200,0.0,1.0
2000-05-09,59.25,61.0,59.25,60.25,10.7808627748023,273200,0.0,1.0
2000-05-10,60.31,61.0,57.5,58.88,10.5357211648192,264100,0.0,1.0
2000-05-11,59.38,63.13,59.38,62.06,11.1047359967507,269600,0.0,1.0
2000-05-12,62.88,67.25,62.88,67.0,11.9886772765436,445000,0.0,1.0
2000-05-15,67.5,70.0,65.63,66.5,11.8992095356739,599400,0.0,1.0
2000-05-16,68.75,71.38,67.0,69.75,12.4807498513271,548000,0.0,1.0
2000-05-17,68.75,69.75,67.75,67.88,12.1461405004743,231400,0.0,1.0
2000-05-18,67.5,68.25,63.31,64.94,11.6200701841603,226400,0.0,1.0
2000-05-19,65.19,65.38,58.25,61.63,11.0277937396027,328400,0.0,1.0
2000-05-22,62.5,63.63,60.38,61.06,10.9258005150112,229900,0.0,1.0
2000-05-23,61.06,61.25,60.25,60.69,10.8595943867676,164400,0.0,1.0
2000-05-24,60.88,68.13,60.88,67.88,12.1461405004743,468600,0.0,1.0
2000-05-25,70.0,71.5,67.25,69.25,12.3912821104574,481900,0.0,1.0
