date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,42.69,43.06,41.75,42.0,17.5638652953253,500400,0.0,1.0
1999-11-02,42.06,43.75,42.06,43.06,18.0071438003978,428600,0.0,1.0
1999-11-03,42.81,43.69,42.13,43.5,18.1911461987298,671700,0.0,1.0
1999-11-04,44.0,44.69,43.25,43.38,18.1409637264574,405700,0.0,1.0
1999-11-05,43.75,44.44,43.63,43.88,18.3500573609256,349400,0.0,1.0
1999-11-08,44.06,44.25,43.38,43.5,18.1911461987298,277800,0.0,1.0
1999-11-09,43.63,43.94,42.94,43.88,18.3500573609256,386500,0.0,1.0
1999-11-10,43.5,45.19,43.0,44.81,18.7389715210363,422100,0.0,1.0
1999-11-11,45.0,45.94,44.75,44.75,18.7138802849002,713100,0.0,1.0
1999-11-12,44.94,44.94,44.06,44.25,18.504786650432,416400,0.0,1.0
1999-11-15,44.13,44.75,43.56,44.56,18.6344247038023,593400,0.0,1.0
1999-11-16,45.0,45.31,44.44,44.56,18.6344247038023,918200,0.0,1.0
1999-11-17,44.56,44.88,44.5,44.56,18.6344247038023,502700,0.0,1.0
1999-11-18,44.56,44.69,43.81,44.0,18.4002398331979,605000,0.0,1.0
1999-11-19,43.94,43.94,43.0,43.44,18.1660549625936,459900,0.0,1.0
1999-11-22,43.0,43.19,42.5,43.06,18.0071438003978,335300,0.0,1.0
1999-11-23,43.06,43.13,41.94,42.5,17.7729589297935,1043000,0.0,1.0
1999-11-24,42.63,43.69,42.5,43.06,18.0071438003978,246700,0.0,1.0
1999-11-26,43.13,43.38,42.69,43.13,18.084508445151,97100,0.115,1.0
1999-11-29,43.0,43.19,42.5,43.19,18.1096665834934,266300,0.0,1.0
1999-11-30,43.0,44.25,43.0,43.5,18.2396502982627,1021100,0.0,1.0
1999-12-01,44.5,45.69,44.5,44.81,18.7889363187391,923600,0.0,1.0
1999-12-02,44.88,45.56,44.75,45.44,19.0530967713346,545200,0.0,1.0
1999-12-03,45.69,47.63,45.69,46.88,19.656892091553,738000,0.0,1.0
1999-12-06,46.75,47.69,46.06,47.25,19.8120339446646,568800,0.0,1.0
1999-12-07,47.31,47.94,47.0,47.5,19.9168595210914,667500,0.0,1.0
1999-12-08,47.19,47.19,46.06,46.56,19.5227153537267,601600,0.0,1.0
1999-12-09,46.75,47.0,45.69,46.06,19.3130642008731,691900,0.0,1.0
1999-12-10,46.06,46.5,45.38,45.56,19.1034130480195,305200,0.0,1.0
1999-12-13,45.69,45.69,45.06,45.37,19.0237456099351,778500,0.0,1.0
1999-12-14,45.19,47.0,45.0,45.5,19.078254909677,815400,0.0,1.0
1999-12-15,45.38,45.94,45.0,45.25,18.9734293332502,667200,0.0,1.0
1999-12-16,45.31,46.88,44.81,46.81,19.6275409301535,623200,0.0,1.0
1999-12-17,47.0,47.5,46.25,46.5,19.4975572153842,1509300,0.0,1.0
1999-12-20,46.38,46.63,45.75,45.88,19.2375897858458,564100,0.0,1.0
1999-12-21,45.94,45.94,45.31,45.38,19.0279386329922,648400,0.0,1.0
1999-12-22,45.38,45.38,44.56,44.88,18.8182874801386,528700,0.0,1.0
1999-12-23,44.94,45.13,44.88,45.0,18.8686037568235,762500,0.0,1.0
1999-12-27,45.13,45.13,44.44,44.44,18.6337944656274,672500,0.0,1.0
1999-12-28,44.0,45.38,44.0,44.56,18.6841107423123,1307500,0.0,1.0
1999-12-29,44.69,45.13,44.38,44.63,18.7134619037118,323700,0.0,1.0
1999-12-30,44.81,45.0,44.63,44.88,18.8182874801386,242800,0.0,1.0
1999-12-31,44.81,45.5,44.75,45.38,19.0279386329922,167800,0.0,1.0
2000-01-03,44.75,44.94,43.63,43.88,18.3989851744314,589900,0.0,1.0
2000-01-04,43.88,44.0,42.94,43.06,18.0551572837515,326500,0.0,1.0
2000-01-05,42.94,43.69,42.94,43.31,18.1599828601783,751900,0.0,1.0
2000-01-06,43.0,44.25,43.0,43.44,18.2144921599202,802500,0.0,1.0
2000-01-07,43.5,44.75,43.31,44.63,18.7134619037118,1407300,0.0,1.0
2000-01-10,44.75,45.81,44.75,45.56,19.1034130480195,709500,0.0,1.0
2000-01-11,45.44,46.56,45.13,45.75,19.1830804861038,535900,0.0,1.0
2000-01-12,45.75,46.5,45.5,46.19,19.367573500615,337700,0.0,1.0
2000-01-13,46.19,46.44,45.69,45.69,19.1579223477614,380900,0.0,1.0
2000-01-14,45.44,45.94,45.13,45.31,18.9985874715927,784300,0.0,1.0
2000-01-18,45.44,46.13,45.25,45.75,19.1830804861038,1255900,0.0,1.0
2000-01-19,45.88,46.31,45.69,45.81,19.2082386244463,1241800,0.0,1.0
2000-01-20,46.5,47.0,44.69,44.75,18.7637781803967,1280500,0.0,1.0
2000-01-21,45.25,45.31,43.88,44.38,18.608636327285,670500,0.0,1.0
2000-01-24,44.5,44.88,42.88,43.31,18.1599828601783,665600,0.0,1.0
2000-01-25,43.19,43.69,42.0,43.31,18.1599828601783,854900,0.0,1.0
2000-01-26,43.44,43.63,42.25,42.88,17.9796828687242,662900,0.0,1.0
