date,open,high,low,close,adjClose,volume,dividend,split
2019-03-20,52.75,53.5,49.5,49.8,34.1261625308629,2350838,0.0,1.0
2019-03-21,49.99,50.0,48.2,48.98,33.564245798427,1764671,0.0,1.0
2019-03-22,48.8,49.95,48.16,48.6,33.3038453614445,844690,0.0,1.0
2019-03-25,48.6,49.4,48.0,49.15,33.6807407307613,440892,0.0,1.0
2019-03-26,49.0,49.75,48.18,48.85,33.4751614384067,504734,0.0,1.0
2019-03-27,49.0,50.78,49.0,50.1,34.3317418232175,1788588,0.0,1.0
2019-03-28,50.9,51.0,49.915,50.85,34.845690054104,585438,0.0,1.0
2019-03-29,49.52,52.48,49.18,51.63,35.3801962142259,1769027,0.0,1.0
2019-04-01,52.3,54.39,51.25,53.5,36.6616404699029,19663442,0.0,1.0
2019-04-02,55.12,57.39,54.3,56.25,38.5461173164867,17414153,0.0,1.0
2019-04-03,57.08,57.2,55.51,56.88,38.9778338304313,15066169,0.0,1.0
2019-04-04,57.2,60.52,57.1,59.71,40.917131821643,13311868,0.0,1.0
2019-04-05,58.39,58.98,56.27,57.24,39.2245289812569,17000788,0.0,1.0
2019-04-08,56.5,58.39,56.27,57.15,39.1628551935505,10764569,0.0,1.0
2019-04-09,56.8,57.2,56.08,56.27,38.5598226026437,9179922,0.0,1.0
2019-04-10,55.99,56.41,55.1,55.71,38.1760745902484,9081860,0.0,1.0
2019-04-11,55.7,56.21,54.83,54.89,37.6141578578125,7346094,0.0,1.0
2019-04-12,55.93,58.33,55.93,58.3,39.9509091475764,9281662,0.0,1.0
2019-04-15,58.57,58.85,57.29,57.78,39.5945717074951,5727269,0.0,1.0
2019-04-16,58.71,58.99,57.84,58.5,40.0879620091462,6681567,0.0,1.0
2019-04-17,58.95,59.05,58.2,58.32,39.9646144337334,6420663,0.0,1.0
2019-04-18,58.36,58.61,57.55,57.77,39.5877190644166,5178855,0.0,1.0
2019-04-22,57.48,58.41,57.26,57.89,39.6699507813585,4401749,0.0,1.0
2019-04-23,57.29,57.84,57.0,57.64,39.4986347043963,5687232,0.0,1.0
2019-04-24,57.49,57.89,55.865,55.98,38.3610959533676,5431323,0.0,1.0
2019-04-25,55.76,55.98,54.82,55.33,37.9156741532659,6260460,0.0,1.0
2019-04-26,55.3,55.6,54.95,55.25,37.860853008638,4009795,0.0,1.0
2019-04-29,55.05,55.685,54.8,55.5,38.0321690856002,5935245,0.0,1.0
2019-04-30,55.76,57.205,55.6,56.73,38.875044184254,6454064,0.0,1.0
2019-05-01,56.82,57.48,55.88,56.13,38.4638855995449,7644453,0.0,1.0
2019-05-02,55.54,56.49,52.03,52.7,36.113429023624,13932682,0.0,1.0
2019-05-03,53.2,53.35,51.72,53.3,36.5245876083332,7401851,0.0,1.0
2019-05-06,52.15,54.03,51.7,53.46,36.634229897589,6089501,0.0,1.0
2019-05-07,52.86,53.325,52.65,52.95,36.2847451005861,7330785,0.0,1.0
2019-05-08,53.33,53.395,52.31,52.48,35.9626708758973,5390685,0.0,1.0
2019-05-09,52.26,53.14,51.55,52.93,36.2710398144292,4579758,0.0,1.0
2019-05-10,52.94,53.714,52.49,53.07,36.366976817528,4758371,0.0,1.0
2019-05-13,52.28,52.55,50.76,50.95,34.9142164848888,4213102,0.0,1.0
2019-05-14,51.33,53.0,50.84,52.48,35.9626708758973,4204519,0.0,1.0
2019-05-15,51.98,53.325,51.67,52.95,36.2847451005861,2928861,0.0,1.0
2019-05-16,53.29,53.55,52.73,52.98,36.3053030298216,3689745,0.0,1.0
2019-05-17,52.34,52.52,50.66,50.8,34.8114268387115,4440775,0.0,1.0
2019-05-20,50.4,50.54,49.92,50.08,34.3180365370605,5168422,0.0,1.0
2019-05-21,50.28,51.19,50.02,50.63,34.6949319063773,4968460,0.0,1.0
2019-05-22,50.46,50.61,49.965,50.21,34.4071208970808,3019120,0.0,1.0
2019-05-23,49.5,49.86,48.21,48.71,33.3792244353079,4919173,0.0,1.0
2019-05-24,49.39,49.575,48.44,49.2,33.7150039461537,2918936,0.0,1.0
2019-05-28,49.37,49.43,48.1,48.56,33.2764347891306,6613184,0.0,1.0
2019-05-29,48.2,49.43,48.01,48.71,33.3792244353079,3525856,0.0,1.0
2019-05-30,48.12,48.59,48.02,48.47,33.6944460169182,3777607,0.7,1.0
2019-05-31,47.96,48.0,46.75,46.76,32.5057209769156,3396850,0.0,1.0
2019-06-03,46.85,47.96,46.85,47.96,33.3399139874438,5905198,0.0,1.0
2019-06-04,48.68,49.93,48.64,49.93,34.7093808463942,7043092,0.0,1.0
2019-06-05,50.49,50.57,49.05,50.34,34.994396791658,6413509,0.0,1.0
2019-06-06,50.28,51.31,50.15,51.06,35.4949125979749,6228075,0.0,1.0
2019-06-07,51.13,51.69,50.87,51.3,35.6617512000806,5391099,0.0,1.0
2019-06-10,51.72,52.1,51.58,51.62,35.8842026695548,5434387,0.0,1.0
2019-06-11,52.0,52.17,51.56,52.04,36.1761702232396,5144357,0.0,1.0
2019-06-12,52.06,52.64,51.68,52.49,36.4889926021877,3103878,0.0,1.0
2019-06-13,52.68,52.95,52.04,52.88,36.7601053306094,4179766,0.0,1.0
2019-06-14,52.63,52.69,51.0,51.15,35.5574770737646,3919484,0.0,1.0
2019-06-17,50.06,50.33,49.05,49.35,34.3061875579723,5787336,0.0,1.0
2019-06-18,49.75,50.57,49.4,49.61,34.48692937692,5014237,0.0,1.0
2019-06-19,49.95,50.24,48.33,48.5,33.7153008421814,5404141,0.0,1.0
2019-06-20,49.095,49.59,48.62,48.93,34.0142200042874,4228328,0.0,1.0
2019-06-21,48.82,49.27,48.31,48.36,33.6179783242865,9478466,0.0,1.0
2019-06-24,48.51,49.7,48.32,49.58,34.4660745516568,4602352,0.0,1.0
2019-06-25,49.49,50.223,49.05,49.69,34.5425422442886,4005218,0.0,1.0
2019-06-26,49.85,51.22,49.81,50.45,35.0708644842898,5244396,0.0,1.0
2019-06-27,50.61,51.14,50.531,50.91,35.3906384716589,4097246,0.0,1.0
2019-06-28,51.04,51.2,49.08,49.31,34.278381124288,6507386,0.0,1.0
2019-07-01,50.0,50.2,49.52,50.16,34.8692678400788,4659633,0.0,1.0
2019-07-02,50.0,50.06,48.76,49.4,34.3409456000776,4726195,0.0,1.0
2019-07-03,49.46,49.65,49.2,49.33,34.2922843411301,2479359,0.0,1.0
2019-07-05,49.01,49.37,48.96,49.31,34.278381124288,2529919,0.0,1.0
2019-07-08,49.34,49.5,48.385,48.52,33.7292040590236,5936049,0.0,1.0
2019-07-09,48.3,48.43,47.5,47.87,33.2773495116541,4967429,0.0,1.0
2019-07-10,48.34,48.42,47.52,47.55,33.0548980421799,3507432,0.0,1.0
2019-07-11,47.73,48.06,47.18,47.78,33.2147850358645,4202113,0.0,1.0
2019-07-12,48.46,50.04,48.08,49.71,34.5564454611307,4328444,0.0,1.0
2019-07-15,49.77,50.95,49.66,50.93,35.404541688501,4923844,0.0,1.0
2019-07-16,50.95,52.645,50.95,52.32,36.3708152590295,6011246,0.0,1.0
2019-07-17,52.16,52.3,51.23,51.6,35.8702994527126,4417567,0.0,1.0
2019-07-18,51.55,52.05,51.28,51.75,35.9745735790287,3662569,0.0,1.0
2019-07-19,51.77,51.83,51.5,51.52,35.8146865853441,3221517,0.0,1.0
2019-07-22,51.504,51.57,50.6,50.88,35.3697836463957,2815169,0.0,1.0
2019-07-23,51.0,52.9,50.95,52.62,36.5793635116616,4387686,0.0,1.0
2019-07-24,52.5,52.99,52.04,52.79,36.6975408548198,3516493,0.0,1.0
2019-07-25,51.64,51.99,50.3,50.77,35.293315953764,4254577,0.0,1.0
2019-07-26,50.27,50.3,48.92,49.11,34.1393489558666,5066020,0.0,1.0
2019-07-29,48.52,48.88,47.98,48.05,33.4024784632334,4219839,0.0,1.0
2019-07-30,47.78,48.44,47.78,48.4,33.6457847579708,4194314,0.0,1.0
2019-07-31,48.49,49.43,47.95,48.44,33.673591191655,5188502,0.0,1.0
2019-08-01,48.15,48.6,46.78,46.85,32.5682854527052,5803209,0.0,1.0
2019-08-02,46.69,47.5,45.37,45.6,31.6993344000716,5346434,0.0,1.0
2019-08-05,45.06,45.13,44.07,44.77,31.122350901123,5147308,0.0,1.0
2019-08-06,45.11,45.45,43.735,44.43,30.8859962148066,4702804,0.0,1.0
2019-08-07,44.1,45.0,43.91,44.89,31.2057702021758,4490080,0.0,1.0
2019-08-08,45.197,46.82,45.19,46.79,32.5265758021788,4573351,0.0,1.0
2019-08-09,46.42,46.99,46.1,46.64,32.4223016758627,4472721,0.0,1.0
2019-08-12,46.39,46.8,45.52,45.69,31.7618988758612,5320263,0.0,1.0
2019-08-13,45.78,47.76,45.58,46.85,32.5682854527052,5415836,0.0,1.0
2019-08-14,45.8,46.15,44.0,44.08,30.6426899200692,6178272,0.0,1.0
2019-08-15,44.34,44.37,42.96,43.38,30.1560773305945,3494579,0.0,1.0
2019-08-16,43.29,44.81,42.77,44.51,30.9416090821752,4586010,0.0,1.0
2019-08-19,45.36,45.863,45.15,45.6,31.6993344000716,3615483,0.0,1.0
2019-08-20,45.25,45.25,43.07,43.16,30.0031419453309,5973272,0.0,1.0
2019-08-21,43.85,44.24,43.24,43.28,30.0865612463838,4398365,0.0,1.0
2019-08-22,43.32,43.9,42.02,42.05,29.2315134105924,6074608,0.0,1.0
2019-08-23,42.0,42.02,40.44,40.71,28.2999978821692,6718214,0.0,1.0
2019-08-26,41.27,41.35,40.61,40.82,28.376465574801,3404507,0.0,1.0
2019-08-27,41.19,41.73,40.919,41.17,28.6197718695384,4153371,0.0,1.0
2019-08-28,41.15,42.64,40.76,42.52,29.5582390063826,4631788,0.0,1.0
2019-08-29,42.33,43.0,42.21,42.37,29.9405774695413,3296607,0.7,1.0
2019-08-30,42.83,43.0,42.27,42.63,30.1243053463901,4105361,0.0,1.0
2019-09-03,42.14,42.23,41.15,41.8,29.5377894318345,3360300,0.0,1.0
2019-09-04,42.59,42.79,41.85,42.54,30.0607072351732,2654555,0.0,1.0
2019-09-05,43.15,43.97,43.09,43.36,30.6401566929269,4044431,0.0,1.0
2019-09-06,43.54,43.66,42.66,43.24,30.5553592113044,3217871,0.0,1.0
2019-09-09,43.53,44.627,43.26,44.45,31.4104004843312,3639259,0.0,1.0
2019-09-10,45.1,46.37,44.78,46.32,32.7318279062817,4702818,0.0,1.0
2019-09-11,46.52,47.05,45.58,46.88,33.1275494871866,4444423,0.0,1.0
2019-09-12,47.07,47.19,45.57,46.97,33.1911475984035,3649669,0.0,1.0
2019-09-13,47.64,48.44,47.25,48.2,34.060321785034,4027252,0.0,1.0
2019-09-16,48.69,49.98,48.28,49.01,34.6327047859859,5040105,0.0,1.0
2019-09-17,48.67,49.09,47.61,48.0,33.9189926489966,4921408,0.0,1.0
2019-09-18,47.9,47.9,47.02,47.51,33.5727362657047,2592233,0.0,1.0
2019-09-19,48.12,48.41,47.49,47.64,33.6646002041291,2536357,0.0,1.0
2019-09-20,47.47,48.85,47.07,48.21,34.0673882418359,10589641,0.0,1.0
2019-09-23,47.39,48.215,47.12,47.91,33.8553945377797,3606911,0.0,1.0
2019-09-24,47.78,48.0,45.95,46.6,32.9296886967342,4523839,0.0,1.0
2019-09-25,46.55,47.97,46.13,47.68,33.6928660313366,4415701,0.0,1.0
2019-09-26,47.51,47.69,46.934,47.23,33.3748754752522,2998577,0.0,1.0
2019-09-27,47.4,47.88,47.01,47.07,33.2618121664223,3725668,0.0,1.0
2019-09-30,47.26,47.79,47.11,47.65,33.671666660931,2568066,0.0,1.0
2019-10-01,47.94,48.57,45.9,45.97,32.4845019182161,3844516,0.0,1.0
2019-10-02,44.67,45.17,44.36,44.93,31.7495904108212,4836105,0.0,1.0
2019-10-03,44.85,45.39,44.37,45.31,32.0181157692924,3464799,0.0,1.0
2019-10-04,45.18,45.78,45.01,45.34,32.039315139698,3589401,0.0,1.0
2019-10-07,45.08,45.77,44.765,45.17,31.9191853740661,2984406,0.0,1.0
2019-10-08,44.75,45.05,43.83,43.85,30.9864130762187,2999723,0.0,1.0
2019-10-09,44.39,44.54,44.0,44.01,31.0994763850487,2847753,0.0,1.0
2019-10-10,44.33,45.29,44.02,44.92,31.7425239540193,4367724,0.0,1.0
2019-10-11,45.75,47.72,45.503,47.13,33.3042109072335,3699287,0.0,1.0
2019-10-14,46.72,47.27,46.24,46.82,33.0851507463754,3250767,0.0,1.0
2019-10-15,46.82,48.1,46.53,47.2,33.3536761048466,3352271,0.0,1.0
2019-10-16,47.49,47.92,47.01,47.12,33.2971444504316,3630939,0.0,1.0
2019-10-17,47.44,48.54,47.14,47.81,33.784729969761,2726017,0.0,1.0
2019-10-18,47.91,48.191,47.36,47.96,33.8907268217891,3013731,0.0,1.0
2019-10-21,48.59,48.97,47.09,47.12,33.2971444504316,3999361,0.0,1.0
2019-10-22,47.08,47.384,46.02,46.82,33.0851507463754,4940254,0.0,1.0
2019-10-23,46.78,47.51,46.55,47.23,33.3748754752522,4291623,0.0,1.0
2019-10-24,48.65,49.99,47.84,49.47,34.9577617988721,6117105,0.0,1.0
2019-10-25,49.78,50.76,48.9,50.48,35.6714739358614,5407984,0.0,1.0
2019-10-28,50.75,51.44,50.43,51.21,36.1873252823982,4542726,0.0,1.0
2019-10-29,50.96,51.63,50.37,51.49,36.3851860728507,3471260,0.0,1.0
2019-10-30,51.2,51.47,50.33,51.03,36.0601290599645,3605620,0.0,1.0
2019-10-31,50.88,51.03,49.71,50.49,35.6785403926633,3793969,0.0,1.0
2019-11-01,50.98,52.49,50.9,52.31,36.9646355306044,3240073,0.0,1.0
2019-11-04,52.65,54.41,52.46,54.17,38.278996495753,5436126,0.0,1.0
2019-11-05,54.01,55.0,53.65,54.2,38.3001958661586,6073216,0.0,1.0
2019-11-06,54.16,54.74,53.81,54.28,38.3567275205736,3864084,0.0,1.0
2019-11-07,54.94,55.94,54.42,55.8,39.4308289544585,6686416,0.0,1.0
2019-11-08,55.5,55.99,55.02,55.99,39.5650916336941,4830952,0.0,1.0
2019-11-11,55.55,56.25,55.22,55.81,39.4378954112604,3199377,0.0,1.0
2019-11-12,56.0,56.11,54.53,55.16,38.9785757191385,2742339,0.0,1.0
2019-11-13,54.19,54.48,53.46,53.66,37.9186071988574,3451005,0.0,1.0
2019-11-14,53.3,54.14,53.15,53.95,38.1235344461118,2597581,0.0,1.0
2019-11-15,54.27,55.29,54.14,54.86,38.7665820150823,3869678,0.0,1.0
2019-11-18,54.75,54.91,54.12,54.32,38.3849933477811,3445289,0.0,1.0
2019-11-19,54.81,54.81,52.79,53.39,37.7278128652068,5230197,0.0,1.0
2019-11-20,53.14,53.45,52.1,52.67,37.2190279754719,5396391,0.0,1.0
