date,open,high,low,close,adjClose,volume,dividend,split
2004-07-13,14.0,14.1,13.49,13.5,6.14675531188366,14964100,0.0,1.0
2004-07-14,13.5,13.55,12.91,13.44,6.1194363993864,2801000,0.0,1.0
2004-07-15,13.45,13.85,13.35,13.84,6.30156248270147,1276200,0.0,1.0
2004-07-16,13.87,13.9,13.51,13.83,6.29700933061859,1488200,0.0,1.0
2004-07-19,13.8,13.8,13.35,13.52,6.15586161604941,966200,0.0,1.0
2004-07-20,13.52,13.93,13.41,13.93,6.34254085144736,719300,0.0,1.0
2004-07-21,13.94,13.94,13.5,13.6,6.19228683271243,472300,0.0,1.0
2004-07-22,13.6,13.65,13.33,13.6,6.19228683271243,218500,0.0,1.0
2004-07-23,13.4,13.62,13.4,13.56,6.17407422438092,268500,0.0,1.0
2004-07-26,13.5,13.5,13.05,13.2,6.01016074939735,236200,0.0,1.0
2004-07-27,13.2,13.2,12.4,12.75,5.8052689056679,2668000,0.0,1.0
2004-07-28,12.85,13.12,12.84,13.03,5.93275716398845,1028100,0.0,1.0
2004-07-29,13.1,13.78,13.1,13.78,6.27424357020421,1015700,0.0,1.0
2004-07-30,13.72,13.9,13.55,13.9,6.32888139519873,623000,0.0,1.0
2004-08-02,13.8,13.8,13.55,13.7,6.23781835354119,329400,0.0,1.0
2004-08-03,13.7,14.08,13.7,13.94,6.34709400353024,1557100,0.0,1.0
2004-08-04,14.04,14.04,13.88,13.9,6.32888139519873,156300,0.0,1.0
2004-08-05,13.94,14.0,13.86,13.89,6.32432824311585,188100,0.0,1.0
2004-08-06,13.82,14.0,13.7,13.8,6.28334987436996,276300,0.0,1.0
2004-08-09,13.8,13.8,13.5,13.7,6.23781835354119,212100,0.0,1.0
2004-08-10,13.7,13.85,13.65,13.79,6.27879672228709,272400,0.0,1.0
2004-08-11,13.8,13.88,13.6,13.7,6.23781835354119,166800,0.0,1.0
2004-08-12,13.65,13.75,13.58,13.63,6.20594628896106,284700,0.0,1.0
2004-08-13,13.68,13.7,13.35,13.4,6.10122379105489,104900,0.0,1.0
2004-08-16,13.4,13.55,13.4,13.48,6.13764900771791,86400,0.0,1.0
2004-08-17,13.4,13.65,13.25,13.45,6.12398955146927,161100,0.0,1.0
