date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,19.31,19.31,18.81,18.81,6.08206544137657,295000,0.0,1.0
1999-11-02,18.94,19.38,18.94,19.13,6.18553492256958,259800,0.0,1.0
1999-11-03,19.13,19.75,19.13,19.19,6.20493545029327,352867,0.0,1.0
1999-11-04,19.25,20.06,19.25,19.75,6.38600704238103,291800,0.0,1.0
1999-11-05,19.94,20.19,19.69,19.69,6.36660651465735,643000,0.0,1.0
1999-11-08,19.75,20.5,19.75,20.25,6.54767810674511,323800,0.0,1.0
1999-11-09,20.38,20.38,19.31,19.31,6.24373650574065,423467,0.0,1.0
1999-11-10,19.19,19.63,19.13,19.38,6.26637045475162,231667,0.0,1.0
1999-11-11,19.38,19.56,19.25,19.5,6.305171510199,256200,0.0,1.0
1999-11-12,19.38,19.88,19.38,19.69,6.36660651465735,127667,0.0,1.0
1999-11-15,19.75,20.25,19.75,19.88,6.42804151911569,199000,0.0,1.0
1999-11-16,19.94,20.0,19.63,19.75,6.38600704238103,230467,0.0,1.0
1999-11-17,19.75,19.88,19.38,19.38,6.26637045475162,394000,0.0,1.0
1999-11-18,19.44,19.63,18.81,18.81,6.08206544137657,514067,0.0,1.0
1999-11-19,18.56,18.69,17.81,18.0,5.82015831710677,330400,0.0,1.0
1999-11-22,18.13,18.31,17.88,18.09,5.8492591086923,320800,0.0,1.0
1999-11-23,17.94,17.94,17.38,17.56,5.67788778046638,303467,0.0,1.0
1999-11-24,17.56,17.63,17.0,17.19,5.55825119283696,302667,0.0,1.0
1999-11-26,17.19,17.5,17.13,17.13,5.53885066511327,84400,0.0,1.0
1999-11-29,17.13,17.88,16.88,17.88,5.78135726165939,285267,0.0,1.0
1999-11-30,17.88,17.88,17.38,17.81,5.75872331264842,717867,0.0,1.0
1999-12-01,17.94,18.31,17.75,17.88,5.78135726165939,457867,0.0,1.0
1999-12-02,17.88,17.94,17.06,17.31,5.59705224828434,231200,0.0,1.0
1999-12-03,17.38,18.13,17.38,17.94,5.80075778938308,304000,0.0,1.0
1999-12-06,17.94,17.94,17.56,17.63,5.70052172947735,169667,0.0,1.0
1999-12-07,17.56,17.81,17.25,17.44,5.639086725019,347067,0.0,1.0
1999-12-08,17.31,17.69,17.13,17.25,5.57765172056065,240600,0.0,1.0
1999-12-09,17.19,17.31,16.44,16.56,5.35454565173822,235267,0.0,1.0
1999-12-10,16.81,16.81,16.19,16.5,5.33514512401454,226600,0.0,1.0
1999-12-13,16.44,16.88,16.13,16.31,5.27371011955619,314467,0.0,1.0
1999-12-14,16.06,16.56,16.0,16.5,5.33514512401454,420867,0.0,1.0
1999-12-15,16.31,16.81,16.25,16.38,5.29634406856716,315400,0.0,1.0
1999-12-16,16.13,16.25,15.88,15.94,5.15407353192677,321467,0.0,1.0
1999-12-17,16.25,17.25,16.25,17.13,5.53885066511327,945600,0.0,1.0
1999-12-20,17.0,18.13,16.88,18.0,5.82015831710677,529200,0.0,1.0
1999-12-21,18.0,18.0,17.13,17.19,5.55825119283696,316800,0.0,1.0
1999-12-22,17.06,17.63,17.0,17.31,5.59705224828434,592267,0.0,1.0
