date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,56.44,56.44,55.88,56.13,15.0808426234534,1172700,0.0,1.0
1999-11-02,56.63,57.0,56.56,56.75,15.2474223923211,1414650,0.0,1.0
1999-11-03,56.81,56.81,56.06,56.44,15.1641325078873,1363350,0.0,1.0
1999-11-04,56.31,56.38,54.63,55.44,14.8954554613265,1338900,0.0,1.0
1999-11-05,56.0,56.19,55.13,55.31,14.8605274452737,1433550,0.0,1.0
1999-11-08,55.06,55.94,55.06,55.38,14.8793348385329,800550,0.0,1.0
1999-11-09,54.56,54.69,53.81,54.13,14.6912609059404,2622300,0.55,1.0
1999-11-10,53.0,53.81,52.88,53.13,14.4198539060154,2092950,0.0,1.0
1999-11-11,53.06,53.88,53.06,53.69,14.5718418259734,1186800,0.0,1.0
1999-11-12,53.69,53.94,53.0,53.25,14.4524227460064,1133250,0.0,1.0
1999-11-15,53.25,53.44,52.5,53.06,14.4008554160206,754800,0.0,1.0
1999-11-16,52.88,53.5,52.56,53.13,14.4198539060154,892050,0.0,1.0
1999-11-17,52.81,53.44,52.5,53.31,14.4687071660019,931050,0.0,1.0
1999-11-18,53.31,53.44,52.5,52.63,14.2841504060529,1220550,0.0,1.0
1999-11-19,52.38,53.06,52.19,52.44,14.2325830760671,2031900,0.0,1.0
1999-11-22,52.44,52.44,52.0,52.0,14.1131639961001,1379550,0.0,1.0
1999-11-23,52.13,52.25,51.44,51.5,13.9774604961376,1887000,0.0,1.0
1999-11-24,51.75,51.88,51.31,51.31,13.9258931661519,1120950,0.0,1.0
1999-11-26,51.75,51.75,51.25,51.44,13.9611760761421,376800,0.0,1.0
1999-11-29,51.0,51.06,49.25,49.5,13.4346464962876,2380650,0.0,1.0
1999-11-30,49.38,51.31,49.31,50.69,13.7576208261984,2076900,0.0,1.0
1999-12-01,50.38,50.44,49.94,50.0,13.5703499962501,1125750,0.0,1.0
1999-12-02,50.0,50.56,49.56,49.63,13.4699294062779,1455750,0.0,1.0
1999-12-03,49.88,51.0,49.88,50.19,13.6219173262359,1565850,0.0,1.0
1999-12-06,50.19,50.56,49.56,49.97,13.5622077862524,991350,0.0,1.0
1999-12-07,50.0,50.25,48.63,48.81,13.2473756663394,1666950,0.0,1.0
1999-12-08,49.0,49.13,47.75,48.2,13.0818173963851,1650450,0.0,1.0
1999-12-09,48.75,48.81,47.56,47.75,12.9596842464189,2240850,0.0,1.0
1999-12-10,48.13,48.38,47.75,48.0,13.0275359964001,1230900,0.0,1.0
1999-12-13,48.0,48.0,46.75,47.06,12.7724134164706,1426800,0.0,1.0
1999-12-14,46.75,48.0,46.75,47.88,12.9949671564091,1995150,0.0,1.0
1999-12-15,47.81,49.31,47.81,48.63,13.1985224063529,3013650,0.0,1.0
1999-12-16,48.75,48.75,47.56,48.0,13.0275359964001,2476650,0.0,1.0
1999-12-17,48.5,50.63,48.38,49.75,13.5024982462689,3915450,0.0,1.0
1999-12-20,49.25,49.75,49.25,49.44,13.4183620762921,1559100,0.0,1.0
1999-12-21,49.19,50.88,49.0,50.44,13.6897690762171,2023200,0.0,1.0
1999-12-22,50.31,50.44,49.81,50.0,13.5703499962501,925200,0.0,1.0
1999-12-23,50.25,50.75,50.13,50.5,13.7060534962126,778500,0.0,1.0
1999-12-27,50.5,50.88,50.0,50.0,13.5703499962501,1014450,0.0,1.0
1999-12-28,50.0,50.81,50.0,50.63,13.7413364062029,1048950,0.0,1.0
1999-12-29,50.63,50.63,50.0,50.38,13.6734846562216,1415100,0.0,1.0
1999-12-30,50.0,50.88,50.0,50.63,13.7413364062029,1085400,0.0,1.0
1999-12-31,50.38,50.44,49.88,50.13,13.6056329062404,573000,0.0,1.0
2000-01-03,50.0,50.06,48.06,48.25,13.0953877463814,1953000,0.0,1.0
2000-01-04,48.19,49.5,47.75,49.0,13.2989429963251,1564350,0.0,1.0
2000-01-05,49.5,51.38,49.38,51.31,13.9258931661519,3356550,0.0,1.0
2000-01-06,51.75,52.63,51.5,52.38,14.2162986560716,2032050,0.0,1.0
2000-01-07,52.88,53.88,52.75,53.75,14.5881262459689,2729550,0.0,1.0
2000-01-10,53.81,53.88,53.44,53.69,14.5718418259734,1868250,0.0,1.0
2000-01-11,53.0,53.56,52.63,53.0,14.3845709960251,1635150,0.0,1.0
2000-01-12,52.94,54.0,52.94,53.63,14.5555574059779,1291650,0.0,1.0
2000-01-13,53.69,54.56,53.31,54.06,14.6722624159456,1483800,0.0,1.0
2000-01-14,54.06,54.75,53.75,54.44,14.7753970759171,1977750,0.0,1.0
2000-01-18,53.75,54.0,53.06,53.56,14.5365589159831,1179000,0.0,1.0
2000-01-19,54.0,55.06,53.69,55.06,14.9436694158706,1744350,0.0,1.0
2000-01-20,55.31,55.88,54.88,55.81,15.1472246658144,1739850,0.0,1.0
2000-01-21,56.13,57.0,56.0,56.5,15.3344954957627,1844250,0.0,1.0
2000-01-24,56.75,57.63,56.44,57.25,15.5380507457064,1891650,0.0,1.0
2000-01-25,57.5,57.94,56.31,57.06,15.4864834157207,1934700,0.0,1.0
2000-01-26,57.13,57.94,56.88,57.31,15.5543351657019,1374750,0.0,1.0
2000-01-27,57.25,57.88,56.69,57.88,15.7090371556592,1666800,0.0,1.0
2000-01-28,57.63,57.63,56.19,57.0,15.4701989957252,1341450,0.0,1.0
2000-01-31,57.0,57.94,56.5,57.75,15.6737542456689,1363200,0.0,1.0
2000-02-01,57.63,57.88,56.81,57.56,15.6221869156832,1006950,0.0,1.0
2000-02-02,57.56,57.63,56.31,56.56,15.3507799157582,1471200,0.0,1.0
2000-02-03,56.56,57.38,55.56,56.13,15.2340749057904,2937300,0.0,1.0
2000-02-04,55.5,55.56,53.63,53.81,14.6044106659644,1707150,0.0,1.0
2000-02-07,53.75,54.88,52.75,53.06,14.4008554160206,1396200,0.0,1.0
2000-02-08,53.19,54.81,53.13,53.56,14.5365589159831,2548350,0.0,1.0
2000-02-09,52.13,52.88,51.81,51.94,14.2461534260634,2502750,0.55,1.0
2000-02-10,52.06,52.31,51.0,51.13,14.0239858427921,2273700,0.0,1.0
2000-02-11,51.5,51.75,50.75,51.19,14.0404427008122,1393200,0.0,1.0
2000-02-14,51.94,51.94,51.13,51.5,14.1254698005827,1418550,0.0,1.0
2000-02-15,51.25,51.81,50.69,50.81,13.9362159333516,1184850,0.0,1.0
2000-02-16,50.94,51.13,50.5,51.13,14.0239858427921,1218300,0.0,1.0
2000-02-17,51.75,51.88,51.13,51.63,14.1611263262929,1910100,0.0,1.0
2000-02-18,52.06,52.06,51.38,51.69,14.177583184313,2464500,0.0,1.0
2000-02-22,51.5,51.81,50.56,50.63,13.8868453592913,2082000,0.0,1.0
2000-02-23,50.25,50.25,49.19,49.75,13.6454781083299,2128200,0.0,1.0
2000-02-24,49.5,49.5,47.75,48.38,13.2697131835377,1705650,0.0,1.0
2000-02-25,48.25,48.63,47.13,47.38,12.9954322165361,1459950,0.0,1.0
2000-02-28,47.44,48.88,47.19,48.44,13.2861700415578,1540800,0.0,1.0
2000-02-29,48.5,48.75,48.06,48.5,13.3026268995779,1362450,0.0,1.0
2000-03-01,49.13,49.25,47.25,48.06,13.1819432740972,1655850,0.0,1.0
2000-03-02,47.81,48.56,47.75,48.13,13.2011429417873,919350,0.0,1.0
2000-03-03,48.31,49.69,48.31,49.38,13.5439941505393,1245000,0.0,1.0
2000-03-06,49.13,49.69,47.81,49.13,13.4754239087889,2684100,0.0,1.0
2000-03-07,49.13,50.19,47.56,47.94,13.149029558057,2692650,0.0,1.0
2000-03-08,48.0,49.06,47.5,47.63,13.0640024582865,1946250,0.0,1.0
2000-03-09,47.63,47.94,46.63,47.44,13.0118890745562,1798050,0.0,1.0
2000-03-10,47.0,47.13,45.75,46.38,12.7211512495345,2304150,0.0,1.0
2000-03-13,45.88,47.0,45.88,46.5,12.7540649655747,2421000,0.0,1.0
2000-03-14,46.75,47.25,46.56,46.88,12.8582917330353,2513250,0.0,1.0
2000-03-15,46.88,49.5,46.88,49.44,13.5604510085594,2371050,0.0,1.0
2000-03-16,49.69,53.0,49.69,51.69,14.177583184313,2146950,0.0,1.0
2000-03-17,51.75,51.81,50.06,50.25,13.7826185918307,2410500,0.0,1.0
2000-03-20,49.88,50.0,49.0,49.25,13.5083376248291,1361100,0.0,1.0
2000-03-21,49.25,49.69,48.25,48.88,13.4068536670385,2094600,0.0,1.0
2000-03-22,48.25,48.75,47.44,48.44,13.2861700415578,2023350,0.0,1.0
2000-03-23,48.5,50.44,48.25,49.5,13.5769078665795,6503250,0.0,1.0
2000-03-24,49.88,50.5,49.25,50.0,13.7140483500803,2217150,0.0,1.0
2000-03-27,49.75,51.56,49.75,50.94,13.9718724590618,1964100,0.0,1.0
2000-03-28,51.0,51.19,50.13,50.13,13.7497048757905,2033100,0.0,1.0
2000-03-29,50.38,52.0,50.38,51.56,14.1419266586028,2644050,0.0,1.0
2000-03-30,51.5,51.94,51.38,51.75,14.1940400423331,3384900,0.0,1.0
2000-03-31,51.63,52.94,51.31,52.5,14.3997507675843,2153550,0.0,1.0
2000-04-03,52.5,54.0,52.44,54.0,14.8111722180867,2228700,0.0,1.0
2000-04-04,54.0,56.75,53.88,56.25,15.4283043938403,4357500,0.0,1.0
2000-04-05,56.25,56.69,53.63,53.88,14.7782585020465,2012100,0.0,1.0
2000-04-06,54.0,54.31,52.63,52.81,14.4847778673548,1945350,0.0,1.0
2000-04-07,52.56,53.38,51.88,52.31,14.347637383854,1752000,0.0,1.0
2000-04-10,52.06,54.19,52.0,54.06,14.8276290761068,1697700,0.0,1.0
2000-04-11,54.19,55.56,54.19,55.19,15.1375665688186,2236650,0.0,1.0
2000-04-12,55.25,56.94,55.19,56.44,15.4804177775706,2818950,0.0,1.0
2000-04-13,56.19,57.88,55.81,57.38,15.7382418865521,2947800,0.0,1.0
2000-04-14,57.25,58.06,54.44,54.81,15.033339801358,2536950,0.0,1.0
2000-04-17,54.88,56.38,54.56,55.56,15.2390505266092,2116050,0.0,1.0
2000-04-18,55.5,56.06,53.63,54.13,14.8468287437969,1903800,0.0,1.0
2000-04-19,54.38,54.94,53.19,54.94,15.0689963270682,1735650,0.0,1.0
2000-04-20,55.5,56.5,55.31,56.5,15.4968746355907,2468700,0.0,1.0
2000-04-24,56.5,58.0,56.5,57.75,15.8397258443427,1680300,0.0,1.0
2000-04-25,57.75,59.5,57.5,58.56,16.061893427614,2097150,0.0,1.0
2000-04-26,59.19,60.19,58.75,59.56,16.3361743946156,3029850,0.0,1.0
2000-04-27,59.25,59.31,58.13,58.75,16.1140068113443,2023950,0.0,1.0
2000-04-28,58.25,58.25,56.75,57.5,15.7711556025923,2374200,0.0,1.0
2000-05-01,57.5,58.88,56.25,58.5,16.0454365695939,2752500,0.0,1.0
2000-05-02,58.5,58.81,56.5,56.75,15.5654448773411,1959150,0.0,1.0
2000-05-03,56.63,57.44,56.25,56.88,15.6011014030513,1023150,0.0,1.0
2000-05-04,56.75,58.94,56.0,57.94,15.891839228073,1652850,0.0,1.0
2000-05-05,58.0,58.25,56.56,57.81,15.8561827023628,1367400,0.0,1.0
2000-05-08,58.38,60.69,58.0,58.63,16.0810930953041,2889600,0.0,1.0
2000-05-09,58.63,59.19,58.38,59.0,16.1825770530947,2006400,0.0,1.0
2000-05-10,58.63,61.0,58.63,60.63,16.7805095611582,4253700,0.55,1.0
2000-05-11,60.63,62.44,60.19,62.44,17.2814616031456,3170400,0.0,1.0
2000-05-12,62.25,62.31,60.06,60.84,16.8386310687921,1924200,0.0,1.0
2000-05-15,60.94,61.88,60.63,61.69,17.0738847901674,1450800,0.0,1.0
2000-05-16,61.81,61.81,59.44,59.94,16.5895388932183,2470800,0.0,1.0
2000-05-17,59.69,59.69,58.25,59.13,16.3653559352018,1783950,0.0,1.0
2000-05-18,58.88,60.38,58.88,59.81,16.5535589123021,1777950,0.0,1.0
2000-05-19,59.63,61.63,59.63,61.44,17.0046925191747,2291400,0.0,1.0
2000-05-22,61.44,62.75,61.31,62.5,17.2980677481839,2432400,0.0,1.0
2000-05-23,62.38,62.38,59.31,59.69,16.5203466222255,2682600,0.0,1.0
2000-05-24,59.44,60.69,58.88,59.5,16.4677604962711,2681100,0.0,1.0
2000-05-25,60.0,60.0,58.69,59.19,16.3819620802401,1745250,0.0,1.0
2000-05-26,58.5,60.75,58.0,59.81,16.5535589123021,2616900,0.0,1.0
2000-05-30,60.13,60.13,57.94,58.44,16.1743852672619,2687550,0.0,1.0
2000-05-31,58.19,58.69,58.19,58.69,16.2435775382546,1820550,0.0,1.0
