date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,39.0,39.13,38.81,38.88,11.8036869645114,393300,0.0,1.0
1999-11-02,38.94,39.13,38.5,38.88,11.8036869645114,537700,0.0,1.0
1999-11-03,39.13,39.63,38.63,38.69,11.7460043378845,412700,0.0,1.0
1999-11-04,38.94,39.0,38.5,38.94,11.8219025308147,128200,0.0,1.0
1999-11-05,38.94,39.0,38.0,38.19,11.594207952024,716800,0.0,1.0
1999-11-08,38.13,39.19,37.63,38.44,11.6701061449542,455900,0.0,1.0
1999-11-09,38.88,39.5,38.69,39.06,11.8583336634212,313500,0.0,1.0
1999-11-10,39.56,41.0,39.5,39.81,12.086028242212,428200,0.0,1.0
1999-11-11,39.81,40.5,39.69,39.94,12.1254953025357,706100,0.0,1.0
1999-11-12,40.38,40.38,39.25,39.63,12.0313815433022,241400,0.0,1.0
1999-11-15,40.0,40.25,39.63,40.0,12.1437108688389,247600,0.0,1.0
1999-11-16,39.75,40.38,39.56,40.06,12.1619264351422,706000,0.0,1.0
1999-11-17,40.19,41.63,40.19,41.31,12.5414173997934,827800,0.0,1.0
1999-11-18,41.44,41.75,40.75,41.44,12.5808844601171,743600,0.0,1.0
1999-11-19,41.44,41.75,40.06,40.88,12.4108725079534,393400,0.0,1.0
1999-11-22,40.88,40.88,38.88,39.25,11.9160162900482,415900,0.0,1.0
1999-11-23,38.25,38.38,36.5,37.63,11.4241959998602,1102100,0.0,1.0
1999-11-24,38.0,38.0,36.81,37.25,11.3088307466063,380600,0.0,1.0
1999-11-26,37.25,37.25,37.0,37.13,11.2723996139997,77300,0.0,1.0
1999-11-29,36.75,36.88,35.25,36.0,10.929339781955,728700,0.0,1.0
1999-11-30,35.69,35.75,34.81,35.25,10.7016452031643,546400,0.0,1.0
1999-12-01,35.0,36.31,34.88,36.25,11.0052379748853,451000,0.0,1.0
1999-12-02,36.44,36.63,35.44,36.31,11.0234535411885,399400,0.0,1.0
1999-12-03,36.06,36.5,34.81,35.0,10.6257470102341,368000,0.0,1.0
1999-12-06,34.94,34.94,32.5,32.94,10.0003459004889,1028100,0.0,1.0
1999-12-07,32.88,32.88,30.38,31.25,9.48727411628042,1296800,0.0,1.0
1999-12-08,31.25,32.25,29.5,31.63,9.60263936953439,1012600,0.0,1.0
1999-12-09,31.63,32.13,30.0,30.94,9.39316035704692,735200,0.0,1.0
1999-12-10,30.81,31.69,30.25,30.56,9.27779510379295,713500,0.0,1.0
1999-12-13,30.25,33.25,30.25,32.56,9.90016028582095,1066100,0.05,1.0
1999-12-14,32.25,32.31,31.5,31.63,9.6173854373623,487100,0.0,1.0
1999-12-15,31.75,33.25,31.75,33.25,10.1099609798387,326800,0.0,1.0
1999-12-16,33.81,34.63,33.38,34.13,10.3775328794554,342100,0.0,1.0
1999-12-17,34.5,34.5,32.81,33.5,10.185975724048,407100,0.0,1.0
1999-12-20,33.25,33.5,32.0,33.5,10.185975724048,228000,0.0,1.0
1999-12-21,34.0,35.0,33.25,35.0,10.6420641893038,502700,0.0,1.0
1999-12-22,34.75,35.0,33.63,33.69,10.243746929647,389400,0.0,1.0
1999-12-23,33.88,34.0,32.69,33.13,10.0734739026182,316600,0.0,1.0
1999-12-27,33.0,33.44,32.13,32.5,9.88191674721071,409600,0.0,1.0
1999-12-28,32.69,33.5,32.5,33.0,10.0339462356293,354000,0.0,1.0
1999-12-29,32.75,34.25,32.75,34.13,10.3775328794554,171700,0.0,1.0
1999-12-30,33.88,34.44,33.44,33.75,10.2619904682573,176600,0.0,1.0
1999-12-31,34.0,34.19,32.88,32.88,9.99745915840887,170300,0.0,1.0
2000-01-03,33.12,33.5,32.06,32.38,9.84542966999024,358800,0.0,1.0
2000-01-04,32.69,32.69,31.38,31.69,9.63562897597254,740100,0.0,1.0
2000-01-05,31.88,32.0,31.5,31.81,9.67211605319301,427000,0.0,1.0
2000-01-06,31.88,34.5,31.75,33.88,10.3015181352461,260500,0.0,1.0
2000-01-07,34.0,35.25,33.75,34.06,10.3562487510768,272600,0.0,1.0
2000-01-10,34.13,34.25,32.94,33.63,10.2255033910368,190900,0.0,1.0
2000-01-11,33.63,34.19,33.38,34.13,10.3775328794554,270200,0.0,1.0
2000-01-12,34.0,34.0,33.5,33.63,10.2255033910368,185400,0.0,1.0
2000-01-13,33.81,34.56,33.75,34.38,10.4535476236647,403700,0.0,1.0
2000-01-14,34.38,34.75,33.5,34.56,10.5082782394955,357200,0.0,1.0
2000-01-18,34.56,37.38,34.56,37.38,11.3657245541765,482300,0.0,1.0
2000-01-19,37.38,38.5,37.38,38.38,11.6697835310138,546900,0.0,1.0
2000-01-20,38.13,39.75,38.13,38.94,11.8400565580426,595700,0.0,1.0
2000-01-21,39.5,41.75,39.5,41.31,12.5606763331469,593600,0.0,1.0
2000-01-24,41.5,42.06,39.25,40.25,12.2383738176994,1011000,0.0,1.0
2000-01-25,40.0,40.06,39.13,39.25,11.9343148408622,297800,0.0,1.0
2000-01-26,39.31,40.31,38.25,38.25,11.6302558640249,334100,0.0,1.0
2000-01-27,38.38,39.5,36.94,37.56,11.4204551700072,368700,0.0,1.0
2000-01-28,37.5,38.13,37.0,37.56,11.4204551700072,293600,0.0,1.0
2000-01-31,37.5,37.5,35.13,35.13,10.6815918562927,477000,0.0,1.0
2000-02-01,35.13,36.44,35.13,36.06,10.9643667047513,467200,0.0,1.0
2000-02-02,36.31,36.81,35.63,35.63,10.8336213447113,278000,0.0,1.0
2000-02-03,36.25,36.31,35.63,35.94,10.9278796275309,204900,0.0,1.0
2000-02-04,35.94,36.0,35.63,36.0,10.9461231661411,233200,0.0,1.0
2000-02-07,35.75,37.0,35.75,36.0,10.9461231661411,267800,0.0,1.0
2000-02-08,36.0,36.13,35.13,36.0,10.9461231661411,133300,0.0,1.0
2000-02-09,36.0,36.63,35.25,35.31,10.7363224721234,503400,0.0,1.0
2000-02-10,35.5,37.94,35.5,37.13,11.2897098099672,310700,0.0,1.0
2000-02-11,37.5,37.5,36.0,36.0,10.9461231661411,188400,0.0,1.0
2000-02-14,36.38,37.63,36.0,37.19,11.3079533485774,280000,0.0,1.0
2000-02-15,37.19,38.38,37.13,38.06,11.5724846584258,476600,0.0,1.0
2000-02-16,37.69,38.94,37.63,38.88,11.8218130194324,192900,0.0,1.0
2000-02-17,39.0,39.0,38.25,38.63,11.7457982752231,319900,0.0,1.0
2000-02-18,38.38,38.88,37.94,38.13,11.5937687868044,452500,0.0,1.0
2000-02-22,38.44,38.44,37.06,38.31,11.6484994026351,334600,0.0,1.0
2000-02-23,38.06,38.13,36.0,36.88,11.2136950657579,188900,0.0,1.0
2000-02-24,36.63,37.13,35.75,36.44,11.0799091159495,368500,0.0,1.0
2000-02-25,36.88,36.88,35.75,35.94,10.9278796275309,448400,0.0,1.0
2000-02-28,35.25,36.88,35.25,36.69,11.1559238601588,227500,0.0,1.0
2000-02-29,36.63,37.5,36.25,37.25,11.3261968871877,400800,0.0,1.0
2000-03-01,37.5,39.0,37.25,38.88,11.8218130194324,315300,0.0,1.0
2000-03-02,39.75,41.25,39.63,41.0,12.4664180503274,662300,0.0,1.0
2000-03-03,40.88,40.94,39.13,39.94,12.1441155348799,391800,0.0,1.0
2000-03-06,40.13,40.75,39.25,40.63,12.3539162288976,155400,0.0,1.0
2000-03-07,40.38,45.25,40.25,45.25,13.7586687018857,694100,0.0,1.0
2000-03-08,44.63,45.13,42.88,44.25,13.4546097250484,765000,0.0,1.0
2000-03-09,44.0,44.38,42.75,44.31,13.4728532636587,287200,0.0,1.0
2000-03-10,44.19,44.81,43.25,44.06,13.3968385194494,483400,0.0,1.0
2000-03-13,42.75,44.31,42.5,44.25,13.4698126738903,201500,0.05,1.0
2000-03-14,44.0,44.81,43.56,44.38,13.5093850049096,392500,0.0,1.0
2000-03-15,44.13,44.38,42.56,42.94,13.0710453382339,315300,0.0,1.0
2000-03-16,42.5,44.25,42.38,44.06,13.4119761900928,274600,0.0,1.0
2000-03-17,43.0,43.88,42.56,43.38,13.204982458607,220900,0.0,1.0
2000-03-20,43.0,43.0,41.75,42.25,12.8610075812851,129100,0.0,1.0
2000-03-21,42.0,43.75,41.88,43.19,13.1471459748095,198600,0.0,1.0
2000-03-22,43.0,43.38,42.69,42.94,13.0710453382339,271500,0.0,1.0
2000-03-23,43.06,43.06,42.06,42.63,12.9766805488801,168100,0.0,1.0
2000-03-24,42.5,43.44,41.63,42.5,12.9371082178607,184000,0.0,1.0
2000-03-27,42.31,42.94,41.5,41.81,12.7270704609119,236600,0.0,1.0
2000-03-28,41.56,44.0,41.5,42.5,12.9371082178607,311500,0.0,1.0
2000-03-29,42.75,45.0,42.75,44.63,13.5854856414853,494700,0.0,1.0
2000-03-30,44.81,47.5,44.81,47.25,14.3830203127981,1262200,0.0,1.0
2000-03-31,47.75,48.56,46.75,48.56,14.7817876484545,535100,0.0,1.0
2000-04-03,48.38,49.81,48.25,49.06,14.9339889216058,412400,0.0,1.0
2000-04-04,49.0,49.0,45.75,47.5,14.4591209493738,542200,0.0,1.0
2000-04-05,47.25,47.75,46.72,47.25,14.3830203127981,295200,0.0,1.0
2000-04-06,47.0,48.25,46.13,48.25,14.6874228591007,421700,0.0,1.0
2000-04-07,48.63,48.69,47.06,47.38,14.4225926438174,258300,0.0,1.0
2000-04-10,47.13,47.13,45.38,45.63,13.8898881877879,432100,0.0,1.0
2000-04-11,46.25,46.75,45.56,45.69,13.908152340566,627300,0.0,1.0
2000-04-12,45.69,46.88,45.63,46.25,14.0786177664955,485800,0.0,1.0
2000-04-13,46.63,48.0,46.5,47.75,14.5352215859494,314000,0.0,1.0
2000-04-14,47.38,47.69,46.25,46.88,14.2703913706661,345000,0.0,1.0
2000-04-17,46.13,46.25,43.88,44.31,13.4880768266684,451800,0.0,1.0
2000-04-18,44.19,44.69,43.75,44.44,13.5276491576878,310400,0.0,1.0
2000-04-19,44.5,46.06,44.38,45.94,13.9842529771417,816300,0.0,1.0
2000-04-20,45.75,45.75,44.88,45.5,13.8503158567685,488400,0.0,1.0
2000-04-24,45.44,45.44,44.69,45.06,13.7163787363954,241500,0.0,1.0
2000-04-25,45.31,46.31,45.25,46.25,14.0786177664955,378100,0.0,1.0
2000-04-26,46.25,47.0,46.06,46.88,14.2703913706661,305700,0.0,1.0
2000-04-27,46.88,48.31,46.25,47.81,14.5534857387276,289300,0.0,1.0
2000-04-28,47.63,48.25,46.5,48.13,14.6508945535444,431000,0.0,1.0
2000-05-01,47.75,48.81,47.5,47.88,14.5747939169687,704000,0.0,1.0
2000-05-02,47.63,48.0,47.13,47.13,14.3464920072418,375500,0.0,1.0
2000-05-03,47.63,47.75,46.38,46.63,14.1942907340905,290600,0.0,1.0
2000-05-04,46.25,49.63,46.25,49.0,14.9157247688277,910500,0.0,1.0
2000-05-05,48.88,50.0,48.5,49.69,15.1257625257765,654700,0.0,1.0
2000-05-08,49.94,52.25,49.06,50.94,15.5062657086547,551800,0.0,1.0
2000-05-09,50.94,51.44,49.5,50.13,15.2596996461496,294000,0.0,1.0
2000-05-10,49.5,49.75,48.88,49.06,14.9339889216058,285100,0.0,1.0
2000-05-11,50.0,51.63,50.0,51.5,15.6767311345842,587200,0.0,1.0
2000-05-12,51.5,53.25,50.88,52.69,16.0389701646843,857200,0.0,1.0
2000-05-15,52.75,56.5,52.75,56.25,17.1226432295216,951900,0.0,1.0
2000-05-16,56.25,56.25,53.75,55.88,17.0100142873896,893100,0.0,1.0
2000-05-17,55.5,57.94,55.0,57.0,17.3509451392485,442200,0.0,1.0
2000-05-18,57.0,59.0,57.0,58.5,17.8075489587024,503500,0.0,1.0
2000-05-19,58.5,58.94,57.75,57.88,17.6188193799948,295100,0.0,1.0
2000-05-22,57.75,58.5,57.38,57.88,17.6188193799948,380500,0.0,1.0
2000-05-23,57.88,58.38,57.38,57.81,17.5975112017536,562100,0.0,1.0
2000-05-24,58.0,59.5,57.38,59.5,18.111951505005,648600,0.0,1.0
2000-05-25,58.5,58.69,57.13,58.69,17.8653854424999,650800,0.0,1.0
2000-05-26,57.5,57.5,55.0,55.63,16.9339136508139,2196600,0.0,1.0
2000-05-30,56.5,57.0,55.75,56.63,17.2383161971165,1156700,0.0,1.0
2000-05-31,56.88,60.0,56.5,59.75,18.1880521415807,1142500,0.0,1.0
2000-06-01,59.88,60.5,59.38,60.0,18.2641527781563,760900,0.0,1.0
2000-06-02,59.63,59.75,58.38,58.63,17.8471212897218,568100,0.0,1.0
2000-06-05,58.63,59.13,57.25,57.56,17.521410565178,419500,0.0,1.0
2000-06-06,57.5,58.63,57.38,58.13,17.6949200165705,542600,0.0,1.0
2000-06-07,58.25,59.25,57.44,58.5,17.8075489587024,689700,0.0,1.0
2000-06-08,58.25,59.63,57.63,59.0,17.9597502318537,477000,0.0,1.0
2000-06-09,59.38,59.38,58.25,58.63,17.8471212897218,373800,0.0,1.0
2000-06-12,58.5,60.06,58.38,59.19,18.0175867156512,481000,0.0,1.0
2000-06-13,59.25,60.0,59.0,59.75,18.2032722688958,266100,0.05,1.0
2000-06-14,59.94,60.94,59.81,60.13,18.3190420339532,587700,0.0,1.0
2000-06-15,60.31,60.5,59.0,59.5,18.1271079497791,680000,0.0,1.0
2000-06-16,59.69,60.31,59.5,60.0,18.2794365880125,364900,0.0,1.0
2000-06-19,59.88,59.88,58.63,59.25,18.0509436306624,557500,0.0,1.0
2000-06-20,59.0,59.0,58.0,58.31,17.7645657907835,686900,0.0,1.0
2000-06-21,58.56,59.13,57.13,57.56,17.5360728334333,2828200,0.0,1.0
2000-06-22,58.0,58.5,57.69,58.25,17.7462863541955,703800,0.0,1.0
2000-06-23,58.63,59.0,58.38,58.69,17.8803355558409,941100,0.0,1.0
2000-06-26,58.94,58.94,56.25,57.13,17.4050702045526,573300,0.0,1.0
2000-06-27,57.06,57.06,55.25,56.31,17.1552512378498,410100,0.0,1.0
2000-06-28,56.38,56.38,54.75,55.13,16.7957556516188,722700,0.0,1.0
2000-06-29,55.06,55.5,54.81,55.44,16.8901994073236,832100,0.0,1.0
2000-06-30,55.5,56.19,54.31,56.0,17.060807482145,1028600,0.0,1.0
2000-07-03,55.75,55.75,55.19,55.63,16.9480842898523,169400,0.0,1.0
2000-07-05,55.0,55.0,48.13,48.19,14.6814341529387,1306800,0.0,1.0
2000-07-06,49.0,50.5,48.75,49.75,15.156699504227,1834700,0.0,1.0
2000-07-07,49.13,50.13,48.63,49.63,15.120140631051,403200,0.0,1.0
2000-07-10,49.38,49.81,48.0,48.13,14.6631547163507,529800,0.0,1.0
2000-07-11,48.13,52.94,48.0,52.31,15.9366221319823,795100,0.0,1.0
2000-07-12,52.31,53.0,51.13,51.75,15.7660140571608,453500,0.0,1.0
2000-07-13,51.88,51.88,48.13,49.13,14.9678119928176,875100,0.0,1.0
2000-07-14,49.44,49.44,48.5,49.31,15.0226503025816,221300,0.0,1.0
2000-07-17,49.88,50.0,48.44,48.44,14.7575984720554,208100,0.0,1.0
2000-07-18,48.25,49.38,47.5,47.63,14.5108260781173,594200,0.0,1.0
2000-07-19,48.25,48.94,46.13,46.25,14.090399036593,708100,0.0,1.0
2000-07-20,46.5,48.0,46.5,47.06,14.3371714305312,504800,0.0,1.0
2000-07-21,46.63,46.75,44.88,45.88,13.9776758443002,764200,0.0,1.0
2000-07-24,45.0,45.5,43.5,44.0,13.4049201645425,1454200,0.0,1.0
2000-07-25,44.5,44.5,42.56,43.0,13.1002628880756,1181400,0.0,1.0
2000-07-26,43.25,44.25,43.0,44.19,13.4628050470712,568000,0.0,1.0
2000-07-27,45.0,45.69,44.88,45.06,13.7278568775974,877100,0.0,1.0
2000-07-28,45.5,45.69,44.88,45.38,13.8253472060668,420600,0.0,1.0
2000-07-31,45.75,46.56,45.5,45.75,13.9380703983595,499400,0.0,1.0
2000-08-01,46.06,46.06,45.13,46.0,14.0142347174763,540200,0.0,1.0
2000-08-02,46.44,49.5,46.44,49.19,14.9860914294056,769700,0.0,1.0
2000-08-03,50.13,50.88,48.13,48.15,14.66924786188,818300,0.0,1.0
2000-08-04,48.13,49.44,48.13,49.25,15.0043708659936,312800,0.0,1.0
2000-08-07,49.75,51.75,49.69,51.39,15.6563374376327,339000,0.0,1.0
2000-08-08,51.94,52.25,50.88,51.19,15.5954059823393,368100,0.0,1.0
2000-08-09,51.75,52.75,51.75,52.19,15.9000632588062,694100,0.0,1.0
2000-08-10,52.13,52.44,51.88,51.94,15.8238989396895,688100,0.0,1.0
2000-08-11,52.19,52.88,52.19,52.75,16.0706713336277,500000,0.0,1.0
2000-08-14,52.75,55.25,52.75,55.0,16.7561502056781,532200,0.0,1.0
2000-08-15,55.0,55.56,54.19,54.19,16.50937781174,580000,0.0,1.0
2000-08-16,54.19,55.13,54.13,54.5,16.6038215674447,459600,0.0,1.0
2000-08-17,55.5,57.75,55.5,56.94,17.3471853220239,853700,0.0,1.0
2000-08-18,58.5,58.94,55.69,56.69,17.2710210029072,449400,0.0,1.0
2000-08-21,56.44,57.5,55.75,56.25,17.1369718012617,434700,0.0,1.0
2000-08-22,55.75,57.25,55.75,56.31,17.1552512378498,340500,0.0,1.0
2000-08-23,57.0,62.75,56.5,61.98,18.8826579954169,961700,0.0,1.0
2000-08-24,61.0,61.0,58.25,59.38,18.0905490766031,1827700,0.0,1.0
2000-08-25,59.5,60.25,59.13,59.69,18.1849928323078,1082800,0.0,1.0
2000-08-28,60.19,60.94,59.0,60.31,18.3738803437173,600700,0.0,1.0
2000-08-29,60.94,62.0,60.38,60.75,18.5079295453627,15504400,0.0,1.0
2000-08-30,60.38,61.0,59.75,60.94,18.5658144278914,1684000,0.0,1.0
2000-08-31,60.13,60.44,58.25,58.58,17.8468232554296,917800,0.0,1.0
2000-09-01,59.5,60.75,59.5,59.88,18.2428777148365,861000,0.0,1.0
2000-09-05,59.88,59.94,58.81,59.63,18.1667133957198,484600,0.0,1.0
2000-09-06,59.75,60.69,59.63,60.69,18.4896501087747,1234200,0.0,1.0
2000-09-07,60.75,60.75,59.44,60.06,18.2977160246005,772500,0.0,1.0
2000-09-08,60.0,60.0,58.31,58.56,17.8407301099002,582200,0.0,1.0
2000-09-11,58.31,60.38,57.75,60.06,18.2977160246005,803100,0.0,1.0
2000-09-12,59.25,60.5,58.88,59.25,18.0509436306624,675200,0.0,1.0
2000-09-13,59.19,59.25,57.0,58.19,17.7432397814308,869300,0.05,1.0
2000-09-14,57.94,58.19,57.5,58.13,17.7249446381607,473800,0.0,1.0
2000-09-15,58.69,62.25,58.63,62.0,18.9049813790808,1869900,0.0,1.0
2000-09-18,62.38,62.56,60.5,61.02,18.6061607056695,830600,0.0,1.0
2000-09-19,61.44,61.44,58.88,58.94,17.9719290723068,865500,0.0,1.0
2000-09-20,59.38,60.44,58.94,59.5,18.1426837428275,831600,0.0,1.0
2000-09-21,59.5,59.5,56.88,57.5,17.5328456338249,1326400,0.0,1.0
2000-09-22,57.38,57.75,56.06,56.44,17.2096314360535,604600,0.0,1.0
2000-09-25,55.5,57.82,54.84,57.75,17.6090753974502,1218600,0.0,1.0
2000-09-26,59.5,59.5,58.4,59.0,17.9902242155769,940800,0.0,1.0
2000-09-27,59.0,60.1,59.0,60.1,18.3256351755283,919800,0.0,1.0
2000-09-28,60.2,60.55,59.45,59.9,18.264651364628,528100,0.0,1.0
