date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,38.81,38.81,37.63,37.75,8.17803901521891,199100,0.0,1.0
1999-11-02,37.5,38.41,37.25,38.25,8.28635741277148,152400,0.0,1.0
1999-11-03,38.0,38.31,37.88,38.25,8.28635741277148,142200,0.0,1.0
1999-11-04,38.06,39.0,38.06,38.75,8.39467581032405,128900,0.0,1.0
1999-11-05,38.5,39.25,37.94,37.94,8.21920000628889,251000,0.0,1.0
1999-11-08,38.0,38.25,37.75,38.13,8.26036099735887,146300,0.0,1.0
1999-11-09,38.0,38.94,37.88,38.94,8.43583680139403,146300,0.0,1.0
1999-11-10,39.06,39.06,38.31,38.56,8.35351481925407,235900,0.0,1.0
1999-11-11,38.5,38.63,37.63,38.63,8.36867939491143,179900,0.0,1.0
1999-11-12,38.38,38.44,37.63,38.31,8.29935562047779,155000,0.0,1.0
1999-11-15,38.19,39.25,38.19,39.25,8.50299420787662,139200,0.0,1.0
1999-11-16,39.19,39.94,39.0,39.44,8.54415519894659,178700,0.0,1.0
1999-11-17,39.31,39.63,38.69,38.88,8.42283859368772,128900,0.0,1.0
1999-11-18,38.88,39.5,38.75,39.31,8.51599241558293,177700,0.0,1.0
1999-11-19,39.25,39.44,38.5,39.25,8.50299420787662,257500,0.0,1.0
1999-11-22,39.25,39.28,38.75,39.0,8.44883500910033,252400,0.0,1.0
1999-11-23,39.13,39.75,38.88,39.19,8.48999600017031,373900,0.0,1.0
1999-11-24,39.19,39.44,39.0,39.13,8.476997792464,197500,0.0,1.0
1999-11-26,38.88,39.5,38.88,39.06,8.46183321680664,101900,0.0,1.0
1999-11-29,38.81,38.81,38.19,38.81,8.40767401803036,254800,0.0,1.0
1999-11-30,39.0,39.19,38.56,38.88,8.42283859368772,373300,0.0,1.0
1999-12-01,38.69,39.0,38.69,38.81,8.40767401803036,362000,0.0,1.0
1999-12-02,40.25,41.06,39.5,40.75,8.82794940053432,916000,0.0,1.0
1999-12-03,41.0,42.5,40.88,42.13,9.12690817777941,562000,0.0,1.0
1999-12-06,42.13,42.5,42.0,42.13,9.12690817777941,332300,0.0,1.0
1999-12-07,42.5,42.5,41.13,41.38,8.96443058145056,467900,0.0,1.0
1999-12-08,41.25,42.63,41.25,42.0,9.09874539441575,482000,0.0,1.0
1999-12-09,42.13,43.0,41.94,43.0,9.31538218952088,631300,0.0,1.0
1999-12-10,43.0,45.13,43.0,45.0,9.74865577973116,480800,0.0,1.0
1999-12-13,44.25,45.69,44.19,44.75,9.78981677080113,514100,0.44,1.0
1999-12-14,44.75,46.63,44.75,46.19,10.1048410423085,417500,0.0,1.0
1999-12-15,46.06,46.56,45.88,46.25,10.1179670536213,252700,0.0,1.0
1999-12-16,46.13,46.5,45.19,45.38,9.92763988958559,339000,0.0,1.0
1999-12-17,45.44,46.19,45.25,46.19,10.1048410423085,346600,0.0,1.0
1999-12-20,46.5,46.5,43.94,44.44,9.72199904568497,480800,0.0,1.0
1999-12-21,44.44,45.31,44.44,44.94,9.83138247329168,314600,0.0,1.0
1999-12-22,44.81,45.5,44.75,44.88,9.81825646197888,186600,0.0,1.0
1999-12-23,45.0,45.88,45.0,45.19,9.88607418709504,274700,0.0,1.0
1999-12-27,45.13,45.56,45.0,45.19,9.88607418709504,241800,0.0,1.0
1999-12-28,44.81,47.06,44.81,46.88,10.2557901724057,154800,0.0,1.0
1999-12-29,47.0,49.0,47.0,48.44,10.5970664665387,229600,0.0,1.0
1999-12-30,47.63,48.25,47.63,47.63,10.4198653138158,194600,0.0,1.0
1999-12-31,47.69,47.69,47.31,47.69,10.4329913251286,143500,0.0,1.0
2000-01-03,47.94,48.31,46.38,46.44,10.1595327561118,251200,0.0,1.0
2000-01-04,46.44,47.06,45.19,45.31,9.91232620972065,206200,0.0,1.0
