date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,60.31,60.63,58.06,58.94,14.4630021062345,1060100,0.0,1.0
1999-11-02,58.06,58.63,57.06,57.31,14.0630242739786,1074000,0.0,1.0
1999-11-03,57.06,57.81,55.56,55.75,13.6802234038441,918300,0.0,1.0
1999-11-04,56.25,58.38,56.0,57.63,14.1415475293908,1109700,0.0,1.0
1999-11-05,58.5,58.63,57.06,57.13,14.0188549428092,723300,0.0,1.0
1999-11-08,57.13,57.63,56.38,57.0,13.986954870298,587600,0.0,1.0
1999-11-09,57.0,57.88,56.81,57.88,14.2028938226816,667100,0.0,1.0
1999-11-10,57.13,57.88,56.13,56.69,13.9108854666174,746200,0.0,1.0
1999-11-11,56.44,58.31,56.44,58.25,14.2936863367519,870700,0.0,1.0
1999-11-12,58.0,58.25,56.25,56.69,13.9108854666174,1402200,0.0,1.0
1999-11-15,57.5,57.5,56.0,56.31,13.8176391008155,1154100,0.0,1.0
1999-11-16,56.56,58.31,56.56,58.13,14.2642401159723,1078300,0.0,1.0
1999-11-17,57.5,58.38,57.44,57.75,14.2588416421628,676200,0.358,1.0
1999-11-18,57.0,58.13,56.75,58.13,14.3526660546999,1127600,0.0,1.0
1999-11-19,57.88,58.75,57.5,58.38,14.4143926418954,883000,0.0,1.0
1999-11-22,57.75,58.0,56.56,56.94,14.0588474996493,628700,0.0,1.0
1999-11-23,57.0,57.38,56.81,57.13,14.1057597059179,923000,0.0,1.0
1999-11-24,57.06,57.25,56.63,56.75,14.0119352933807,998200,0.0,1.0
1999-11-26,56.0,56.69,55.88,56.44,13.9353943252583,326400,0.0,1.0
1999-11-29,56.0,56.69,55.25,56.56,13.9650230871121,859000,0.0,1.0
1999-11-30,55.88,57.75,55.88,57.0,14.0736618805762,1296200,0.0,1.0
1999-12-01,57.06,57.5,56.81,57.16,14.1131668963813,938100,0.0,1.0
1999-12-02,58.0,58.0,57.0,57.0,14.0736618805762,983900,0.0,1.0
1999-12-03,57.0,58.94,57.0,57.81,14.2736560230897,1178500,0.0,1.0
1999-12-06,57.56,58.0,57.0,57.13,14.1057597059179,918500,0.0,1.0
1999-12-07,57.25,57.44,55.56,55.75,13.7650289445987,1132500,0.0,1.0
1999-12-08,55.94,56.38,55.06,55.06,13.5946635639391,922300,0.0,1.0
1999-12-09,55.13,55.44,53.81,53.88,13.3033140723763,977100,0.0,1.0
1999-12-10,54.13,54.5,53.25,53.56,13.224304040766,764000,0.0,1.0
1999-12-13,53.63,54.06,53.06,53.56,13.224304040766,883100,0.0,1.0
1999-12-14,53.81,54.94,53.5,54.81,13.5329369767436,1538900,0.0,1.0
1999-12-15,56.0,58.63,56.0,58.0,14.3205682293583,1389600,0.0,1.0
1999-12-16,58.75,60.0,57.69,59.31,14.6440155462627,1123300,0.0,1.0
1999-12-17,60.81,60.81,60.81,60.81,15.0143750694358,1654900,0.0,1.0
1999-12-20,60.0,60.06,58.25,58.75,14.5057479909448,1000800,0.0,1.0
1999-12-21,58.25,58.94,57.88,58.44,14.4292070228224,1007900,0.0,1.0
1999-12-22,58.56,58.94,57.31,57.63,14.2292128803089,1011600,0.0,1.0
1999-12-23,57.75,58.56,57.63,58.56,14.4588357846762,657800,0.0,1.0
1999-12-27,58.56,59.13,57.5,58.38,14.4143926418954,778100,0.0,1.0
1999-12-28,58.38,59.25,58.38,58.38,14.4143926418954,635500,0.0,1.0
1999-12-29,58.44,58.44,57.63,57.63,14.2292128803089,398800,0.0,1.0
1999-12-30,57.75,57.81,57.31,57.38,14.1674862931134,685200,0.0,1.0
1999-12-31,57.0,57.5,57.0,57.38,14.1674862931134,373800,0.0,1.0
2000-01-03,56.88,57.56,56.63,57.56,14.2119294358942,1123400,0.0,1.0
2000-01-04,57.5,57.56,56.81,56.88,14.0440331187224,854100,0.0,1.0
2000-01-05,56.88,58.25,56.81,58.06,14.3353826102852,1095100,0.0,1.0
2000-01-06,57.5,60.0,57.38,59.56,14.7057421334582,1296600,0.0,1.0
2000-01-07,60.5,62.69,59.75,62.25,15.3699202116819,1331600,0.0,1.0
2000-01-10,62.0,62.06,58.63,59.0,14.5674745781403,1278500,0.0,1.0
2000-01-11,58.75,60.0,58.63,58.88,14.5378458162865,947500,0.0,1.0
2000-01-12,59.06,60.38,59.0,59.69,14.7378399587999,680600,0.0,1.0
2000-01-13,59.94,62.19,59.75,61.5,15.1847404500954,1065900,0.0,1.0
2000-01-14,61.38,61.75,60.88,60.94,15.0464728947775,1343800,0.0,1.0
2000-01-18,60.69,60.75,59.38,60.19,14.8612931331909,1050800,0.0,1.0
2000-01-19,60.44,62.38,60.38,61.69,15.231652656364,1161800,0.0,1.0
2000-01-20,61.88,62.38,60.31,60.44,14.9230197203864,1172500,0.0,1.0
2000-01-21,59.75,60.56,59.63,60.06,14.8291953078493,1234300,0.0,1.0
2000-01-24,60.31,60.31,57.75,58.13,14.3526660546999,1251900,0.0,1.0
2000-01-25,57.63,58.0,57.13,57.19,14.1205740868448,958700,0.0,1.0
2000-01-26,57.44,57.5,55.81,56.5,13.9502087061852,1277500,0.0,1.0
2000-01-27,56.5,57.5,55.25,55.69,13.7502145636718,1328500,0.0,1.0
2000-01-28,55.63,57.0,55.25,56.0,13.8267555317942,1634000,0.0,1.0
2000-01-31,55.5,56.06,55.06,55.06,13.5946635639391,997100,0.0,1.0
2000-02-01,55.13,55.44,54.38,54.63,13.4884938339628,1176500,0.0,1.0
2000-02-02,54.88,54.94,53.5,53.5,13.2094896598391,1823800,0.0,1.0
2000-02-03,52.63,55.44,52.63,54.13,13.3650406595718,1564900,0.0,1.0
2000-02-04,53.25,53.75,51.44,51.75,12.7774035494705,2395800,0.0,1.0
2000-02-07,50.25,51.06,49.31,49.94,12.330503058175,2126900,0.0,1.0
2000-02-08,50.0,50.88,49.56,49.88,12.3156886772481,2127500,0.0,1.0
2000-02-09,49.63,49.81,47.94,48.0,11.8515047415379,1615000,0.0,1.0
2000-02-10,48.06,48.44,46.06,46.69,11.5280574246334,2082600,0.0,1.0
2000-02-11,46.94,47.44,46.19,46.38,11.451516456511,1693000,0.0,1.0
2000-02-14,46.63,46.75,45.69,46.38,11.451516456511,1228500,0.0,1.0
2000-02-15,46.13,48.44,45.75,47.88,11.821875979684,2253500,0.0,1.0
2000-02-16,47.69,49.31,47.13,48.88,12.15717480133,1480000,0.358,1.0
2000-02-17,49.5,49.56,48.5,49.38,12.2815321540441,2082800,0.0,1.0
2000-02-18,49.44,51.13,49.06,50.0,12.4357352714096,1929500,0.0,1.0
2000-02-22,49.25,50.63,49.06,49.63,12.3437108304012,1466300,0.0,1.0
2000-02-23,49.5,49.69,48.38,48.56,12.077586095593,1555900,0.0,1.0
2000-02-24,48.5,49.25,47.5,48.44,12.0477403309416,1332600,0.0,1.0
2000-02-25,50.0,50.06,47.56,47.63,11.8462814195448,1348400,0.0,1.0
2000-02-28,47.63,48.0,46.5,46.5,11.5652338024109,1353000,0.0,1.0
2000-02-29,46.5,46.94,45.31,45.56,11.3314419793084,1924400,0.0,1.0
2000-03-01,45.0,45.44,44.19,44.63,11.1001373032602,2437500,0.0,1.0
2000-03-02,44.13,44.75,43.63,44.06,10.9583699211662,1743100,0.0,1.0
2000-03-03,44.06,44.94,43.06,43.63,10.851422597832,1892100,0.0,1.0
2000-03-06,43.56,43.63,41.5,42.0,10.4460176279841,2085500,0.0,1.0
2000-03-07,42.25,42.75,41.5,41.88,10.4161718633327,1475300,0.0,1.0
2000-03-08,42.13,42.75,41.31,42.25,10.5081963043411,1996200,0.0,1.0
2000-03-09,42.06,42.25,41.0,41.5,10.32166027527,1404600,0.0,1.0
2000-03-10,41.63,42.56,40.94,41.13,10.2296358342615,1535200,0.0,1.0
2000-03-13,40.63,42.69,40.5,42.5,10.5703749806982,1238500,0.0,1.0
2000-03-14,42.56,42.94,41.56,42.31,10.5231191866668,1424100,0.0,1.0
2000-03-15,42.06,43.56,41.19,43.31,10.771833892095,2400000,0.0,1.0
2000-03-16,43.63,46.0,43.25,45.75,11.3786977733398,3160300,0.0,1.0
2000-03-17,45.5,48.0,45.0,45.0,11.1921617442687,2886200,0.0,1.0
2000-03-20,46.0,47.75,45.75,46.94,11.6746682727993,2487000,0.0,1.0
2000-03-21,46.5,47.06,45.06,46.13,11.4732093614025,1839400,0.0,1.0
2000-03-22,45.75,45.94,44.69,45.38,11.2866733323314,2044800,0.0,1.0
