date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,20.75,21.06,20.56,21.0,3.55600557208791,209000,0.0,1.0
1999-11-02,21.0,21.0,18.75,19.25,3.25967177441392,946400,0.0,1.0
1999-11-03,19.19,19.88,19.06,19.69,3.3341785578291,1426900,0.0,1.0
1999-11-04,19.69,19.88,18.5,18.94,3.20717835882596,406400,0.0,1.0
1999-11-05,19.0,19.13,17.38,18.31,3.10049819166332,2472900,0.0,1.0
1999-11-08,18.31,18.88,18.31,18.75,3.17500497507849,868400,0.0,1.0
1999-11-09,18.81,19.44,18.69,19.38,3.28168514224113,1013900,0.0,1.0
1999-11-10,19.44,20.25,19.31,19.75,3.34433857374935,540200,0.0,1.0
1999-11-11,19.88,19.88,19.13,19.38,3.28168514224113,459100,0.0,1.0
1999-11-12,19.25,20.06,19.13,19.63,3.32401854190884,595400,0.0,1.0
1999-11-15,19.63,20.25,19.63,20.13,3.40868534124427,317900,0.0,1.0
1999-11-16,19.88,20.0,19.13,19.44,3.29184515816138,427600,0.0,1.0
1999-11-17,19.63,21.81,19.56,20.88,3.53568554024741,775100,0.0,1.0
1999-11-18,20.25,20.63,19.69,20.38,3.45101874091198,689800,0.0,1.0
1999-11-19,19.88,20.06,19.44,19.63,3.32401854190884,1142900,0.0,1.0
1999-11-22,19.5,19.94,19.0,19.44,3.29184515816138,635100,0.0,1.0
1999-11-23,19.38,19.5,18.38,19.25,3.25967177441392,2185200,0.0,1.0
1999-11-24,19.38,19.94,19.38,19.75,3.34433857374935,1496800,0.0,1.0
1999-11-26,19.75,19.88,19.69,19.75,3.34433857374935,288900,0.0,1.0
1999-11-29,19.5,19.56,18.75,18.75,3.17500497507849,1088400,0.0,1.0
1999-11-30,18.75,19.0,18.19,18.5,3.13267157541078,945000,0.0,1.0
1999-12-01,18.75,19.0,18.31,18.69,3.16484495915824,744400,0.0,1.0
1999-12-02,18.5,18.5,17.81,17.88,3.02768474423485,687900,0.0,1.0
1999-12-03,18.13,18.19,17.0,17.38,2.94301794489943,496100,0.0,1.0
1999-12-06,17.0,17.31,16.5,16.5,2.79400437806907,496900,0.0,1.0
1999-12-07,15.5,15.81,14.5,15.13,2.56201734789001,4790000,0.0,1.0
1999-12-08,15.13,16.0,14.38,15.63,2.64668414722543,2289200,0.0,1.0
1999-12-09,16.06,16.25,15.0,15.81,2.67716419498619,1054700,0.0,1.0
1999-12-10,15.94,15.94,15.06,15.63,2.64668414722543,935500,0.0,1.0
1999-12-13,15.88,17.0,15.75,16.0,2.70933757873365,1185100,0.0,1.0
1999-12-14,16.19,16.38,15.75,15.88,2.68901754689315,676400,0.0,1.0
1999-12-15,15.88,16.56,15.88,16.13,2.73135094656086,1536700,0.0,1.0
1999-12-16,16.25,16.94,16.25,16.94,2.86851116148425,1556000,0.0,1.0
1999-12-17,17.19,17.19,16.88,17.19,2.91084456115196,1063700,0.0,1.0
1999-12-20,17.19,17.25,16.63,17.06,2.88883119332475,985800,0.0,1.0
1999-12-21,17.06,17.19,16.69,17.0,2.8786711774045,551200,0.0,1.0
1999-12-22,16.88,17.0,16.5,16.81,2.84649779365704,600500,0.0,1.0
1999-12-23,16.56,17.5,16.5,17.06,2.88883119332475,1057700,0.0,1.0
1999-12-27,16.94,17.19,16.19,16.5,2.79400437806907,563200,0.0,1.0
1999-12-28,17.0,17.13,16.06,17.0,2.8786711774045,877800,0.0,1.0
1999-12-29,17.25,17.69,17.0,17.31,2.93116459299247,336800,0.0,1.0
1999-12-30,17.69,17.69,16.5,17.06,2.88883119332475,472400,0.0,1.0
1999-12-31,16.88,17.56,16.56,17.56,2.97349799266018,231100,0.0,1.0
2000-01-03,17.19,17.38,15.0,15.5,2.62467077939822,992800,0.0,1.0
2000-01-04,15.0,15.63,14.75,15.5,2.62467077939822,1350700,0.0,1.0
2000-01-05,15.25,15.5,15.06,15.13,2.56201734789001,899500,0.0,1.0
2000-01-06,15.06,16.5,14.94,16.31,2.76183099432161,989000,0.0,1.0
2000-01-07,16.5,16.75,15.94,16.13,2.73135094656086,689100,0.0,1.0
2000-01-10,15.88,16.25,15.63,16.25,2.75167097840136,499700,0.0,1.0
2000-01-11,16.0,16.63,16.0,16.38,2.77368434622857,697100,0.0,1.0
2000-01-12,16.31,16.56,16.06,16.38,2.7787643541887,519800,0.03,1.0
2000-01-13,16.5,16.94,16.44,16.69,2.83135391156345,1074100,0.0,1.0
2000-01-14,16.94,17.13,16.56,17.0,2.88394346893821,1274800,0.0,1.0
2000-01-18,17.25,17.94,16.69,17.06,2.89412209294623,926700,0.0,1.0
2000-01-19,17.31,17.81,17.13,17.13,2.90599715428891,415600,0.0,1.0
2000-01-20,17.06,17.13,16.0,16.75,2.84153253557147,1060200,0.0,1.0
2000-01-21,16.94,17.31,16.13,16.25,2.75671066883799,1940000,0.0,1.0
2000-01-24,16.0,16.19,15.44,15.88,2.69394248745522,1364600,0.0,1.0
2000-01-25,15.88,16.19,15.56,15.63,2.65153155408848,1333000,0.0,1.0
2000-01-26,15.69,16.25,15.69,15.81,2.68206742611253,1141600,0.0,1.0
2000-01-27,15.88,16.13,15.25,15.44,2.61929924472976,651300,0.0,1.0
2000-01-28,15.44,15.69,15.19,15.25,2.58706693537104,574500,0.0,1.0
2000-01-31,15.5,15.94,15.06,15.88,2.69394248745522,770700,0.0,1.0
2000-02-01,15.75,16.19,15.63,16.0,2.71429973547126,691000,0.0,1.0
2000-02-02,16.25,16.69,16.25,16.5,2.79912160220473,1025300,0.0,1.0
2000-02-03,16.63,16.81,16.13,16.13,2.73635342082196,854800,0.0,1.0
2000-02-04,16.06,16.56,15.25,15.69,2.6617101780965,647300,0.0,1.0
2000-02-07,15.94,16.13,15.44,15.56,2.6396564927458,780200,0.0,1.0
2000-02-08,15.69,15.88,15.31,15.5,2.62947786873778,590400,0.0,1.0
2000-02-09,15.63,15.88,14.88,15.06,2.55483462601232,946600,0.0,1.0
2000-02-10,15.06,15.88,15.06,15.88,2.69394248745522,909200,0.0,1.0
2000-02-11,15.94,15.94,15.25,15.63,2.65153155408848,760900,0.0,1.0
2000-02-14,15.63,15.88,15.31,15.75,2.67188880210452,516800,0.0,1.0
2000-02-15,15.75,16.5,15.69,16.25,2.75671066883799,669900,0.0,1.0
2000-02-16,16.38,16.56,16.0,16.0,2.71429973547126,616900,0.0,1.0
2000-02-17,16.06,16.19,15.88,16.19,2.74653204482998,1147700,0.0,1.0
2000-02-18,16.19,16.25,15.69,15.69,2.6617101780965,698800,0.0,1.0
2000-02-22,15.63,15.81,15.19,15.5,2.62947786873778,338600,0.0,1.0
2000-02-23,15.38,15.75,14.69,14.75,2.50224506863756,707400,0.0,1.0
2000-02-24,14.94,14.94,13.75,14.0,2.37501226853735,1261700,0.0,1.0
2000-02-25,14.06,14.25,13.69,13.88,2.35465502052131,1356600,0.0,1.0
2000-02-28,14.06,14.5,13.81,14.19,2.40724457789607,785300,0.0,1.0
2000-02-29,14.19,15.25,14.13,15.25,2.58706693537104,2159400,0.0,1.0
2000-03-01,15.5,15.75,15.25,15.63,2.65153155408848,1553600,0.0,1.0
2000-03-02,16.0,17.88,16.0,17.75,3.01117626903842,2177200,0.0,1.0
2000-03-03,17.75,18.13,16.63,17.31,2.93653302631296,1538800,0.0,1.0
2000-03-06,17.13,17.88,17.0,17.38,2.94840808765565,478100,0.0,1.0
2000-03-07,18.13,18.94,17.63,18.69,3.17064137849736,1006900,0.0,1.0
2000-03-08,18.63,19.44,18.13,18.88,3.20287368785608,1744600,0.0,1.0
2000-03-09,19.0,19.13,18.38,18.75,3.18082000250538,674700,0.0,1.0
2000-03-10,18.44,19.13,18.0,18.56,3.14858769314666,1203900,0.0,1.0
2000-03-13,18.31,18.94,18.19,18.25,3.0959981357719,392500,0.0,1.0
2000-03-14,18.31,18.81,18.13,18.5,3.13840906913864,668800,0.0,1.0
2000-03-15,18.75,18.88,17.88,18.31,3.10617675977992,619600,0.0,1.0
2000-03-16,18.31,19.38,18.25,18.75,3.18082000250538,893700,0.0,1.0
2000-03-17,18.75,19.0,18.31,18.5,3.13840906913864,359700,0.0,1.0
2000-03-20,18.31,18.44,17.75,18.38,3.1180518211226,610400,0.0,1.0
2000-03-21,18.38,18.88,18.19,18.69,3.17064137849736,829600,0.0,1.0
2000-03-22,19.13,19.69,18.38,18.94,3.2130523118641,1959400,0.0,1.0
2000-03-23,19.0,19.06,18.75,19.0,3.22323093587212,701500,0.0,1.0
2000-03-24,18.94,19.13,18.38,18.44,3.12823044513062,925000,0.0,1.0
2000-03-27,18.38,18.88,18.25,18.44,3.12823044513062,777700,0.0,1.0
2000-03-28,18.69,19.88,18.69,19.31,3.27582049324687,933400,0.0,1.0
2000-03-29,19.38,21.69,19.38,21.1,3.57948277615272,1458400,0.0,1.0
2000-03-30,21.69,24.06,21.5,23.0,3.90180586973993,2824000,0.0,1.0
2000-03-31,22.94,23.75,21.19,21.19,3.59475071216474,1536200,0.0,1.0
2000-04-03,22.0,23.38,21.75,23.25,3.94421680310667,1105400,0.0,1.0
2000-04-04,23.88,24.06,21.94,22.69,3.84921631236517,2204600,0.0,1.0
2000-04-05,23.13,23.5,21.88,22.31,3.78475169364773,1058800,0.0,1.0
2000-04-06,22.56,23.38,22.44,23.25,3.94421680310667,545200,0.0,1.0
2000-04-07,23.19,23.81,23.0,23.63,4.00868142182411,572000,0.0,1.0
2000-04-10,23.56,23.63,22.06,22.5,3.81698400300645,865500,0.0,1.0
2000-04-11,22.56,23.88,22.56,23.44,3.97644911246539,813900,0.0,1.0
2000-04-12,23.88,24.94,23.81,24.31,4.12912847258565,1681100,0.03,1.0
2000-04-13,24.0,24.69,23.94,24.5,4.16140055854991,963800,0.0,1.0
2000-04-14,24.56,24.56,22.88,23.25,3.94908420352186,1019000,0.0,1.0
2000-04-17,23.44,23.44,22.5,22.94,3.8964297474749,659700,0.0,1.0
2000-04-18,22.69,23.88,22.5,23.75,4.03401074553308,679200,0.0,1.0
2000-04-19,23.63,24.5,22.88,23.19,3.93889301848051,1095600,0.0,1.0
2000-04-20,24.5,24.56,23.13,23.81,4.04420193057443,1473900,0.0,1.0
2000-04-24,23.56,23.63,23.06,23.25,3.94908420352186,1007700,0.0,1.0
2000-04-25,23.5,23.94,23.5,23.63,4.01362837545039,843100,0.0,1.0
2000-04-26,23.75,23.94,23.5,23.63,4.01362837545039,747300,0.0,1.0
2000-04-27,23.5,24.19,23.31,24.0,4.07647401653869,1045400,0.0,1.0
2000-04-28,23.94,24.88,23.94,24.88,4.22594473047844,1143200,0.0,1.0
2000-05-01,25.0,26.13,24.88,25.88,4.39579781450089,2232400,0.0,1.0
2000-05-02,26.0,27.38,25.94,26.88,4.56565089852333,1867800,0.0,1.0
2000-05-03,26.81,27.19,26.13,26.25,4.45864345558919,1841200,0.0,1.0
2000-05-04,26.25,28.13,26.13,27.69,4.70323189658151,2031700,0.0,1.0
2000-05-05,27.44,28.63,27.38,28.44,4.83062170959835,1313800,0.0,1.0
2000-05-08,28.13,29.44,28.0,29.0,4.92573943665092,1692300,0.0,1.0
2000-05-09,28.94,29.38,27.75,28.56,4.85100407968104,1666800,0.0,1.0
2000-05-10,28.44,28.81,27.81,28.75,4.88327616564531,731200,0.0,1.0
2000-05-11,29.0,29.5,28.81,29.44,5.00047479362079,1225300,0.0,1.0
2000-05-12,29.5,29.75,28.88,29.69,5.04293806462641,957400,0.0,1.0
2000-05-15,29.56,29.94,29.5,29.5,5.01066597866214,1657200,0.0,1.0
2000-05-16,29.5,29.5,27.81,28.0,4.75588635262847,1375100,0.0,1.0
2000-05-17,28.13,30.5,28.0,29.88,5.07521015059067,1916600,0.0,1.0
2000-05-18,29.75,30.81,29.25,30.49,5.17882053184436,1842800,0.0,1.0
2000-05-19,30.75,31.5,30.06,31.06,5.27563678973715,2362200,0.0,1.0
2000-05-22,31.13,31.94,30.81,31.19,5.29771769066007,1246000,0.0,1.0
2000-05-23,31.56,31.88,31.06,31.13,5.28752650561873,2084500,0.0,1.0
2000-05-24,31.19,31.94,30.69,30.81,5.23317351873154,1155300,0.0,1.0
2000-05-25,31.5,31.5,29.69,30.25,5.13805579167897,1795500,0.0,1.0
2000-05-26,30.5,30.94,29.75,30.0,5.09559252067336,1474000,0.0,1.0
2000-05-30,30.0,31.25,29.81,31.13,5.28752650561873,1386300,0.0,1.0
2000-05-31,31.25,32.13,31.19,32.13,5.45737958964117,1902100,0.0,1.0
2000-06-01,32.88,32.88,31.38,32.06,5.4454898737596,1195100,0.0,1.0
2000-06-02,32.25,32.44,30.38,30.5,5.18051906268459,1936400,0.0,1.0
2000-06-05,30.5,30.5,29.63,30.19,5.12786460663763,893200,0.0,1.0
2000-06-06,29.94,31.44,29.94,31.38,5.32998977662434,1265300,0.0,1.0
2000-06-07,31.38,32.38,30.25,31.25,5.30790887570142,1132000,0.0,1.0
2000-06-08,31.5,33.0,31.44,32.19,5.46757077468252,992500,0.0,1.0
2000-06-09,32.19,32.19,31.56,31.69,5.3826442326713,670100,0.0,1.0
2000-06-12,31.94,32.94,31.88,32.56,5.53041641577082,744300,0.0,1.0
2000-06-13,32.81,33.44,32.69,33.25,5.64761504374631,732000,0.0,1.0
2000-06-14,33.31,33.94,33.19,33.5,5.69007831475192,588600,0.0,1.0
2000-06-15,33.38,33.69,32.56,33.25,5.64761504374631,1255800,0.0,1.0
2000-06-16,33.38,34.88,33.38,34.63,5.88201229969729,1489900,0.0,1.0
2000-06-19,34.5,34.81,33.5,34.18,5.80557841188718,1105400,0.0,1.0
2000-06-20,33.5,33.63,32.88,33.56,5.70026949979327,1076900,0.0,1.0
2000-06-21,33.56,33.88,32.69,33.63,5.71215921567484,1668900,0.0,1.0
2000-06-22,34.31,34.31,31.75,32.31,5.48795314476521,869800,0.0,1.0
2000-06-23,32.56,33.56,32.5,33.06,5.61534295778205,325100,0.0,1.0
2000-06-26,33.25,33.75,32.0,32.5,5.52022523072948,322500,0.0,1.0
2000-06-27,32.25,33.0,31.81,32.94,5.59496058769935,786300,0.0,1.0
2000-06-28,32.88,33.5,32.44,33.44,5.67988712971057,501200,0.0,1.0
