date,open,high,low,close,adjClose,volume,dividend,split
2000-08-11,12.75,14.0,12.0,13.12,312.193370682972,25360000,0.0,1.0
2000-08-14,13.09,13.12,12.0,12.0,285.542717088084,2566400,0.0,1.0
2000-08-15,12.16,12.38,12.0,12.12,288.398144258965,1548800,0.0,1.0
2000-08-16,12.06,13.06,12.06,12.38,294.584903129207,1347200,0.0,1.0
2000-08-17,12.25,12.5,11.94,12.0,285.542717088084,1510400,0.0,1.0
2000-08-18,12.53,14.38,12.38,14.31,340.50969012754,1932800,0.0,1.0
2000-08-21,15.06,16.25,13.94,15.19,361.449489380666,2128000,0.0,1.0
2000-08-22,15.38,15.69,13.5,13.5,321.235556724094,1081600,0.0,1.0
2000-08-23,13.56,13.75,12.75,13.0,309.337943512091,572800,0.0,1.0
2000-08-24,12.94,13.06,12.06,12.06,286.970430673524,588800,0.0,1.0
2000-08-25,12.56,12.94,12.12,12.88,306.48251634121,643200,0.0,1.0
2000-08-28,13.41,13.55,12.5,13.12,312.193370682972,620800,0.0,1.0
2000-08-29,13.44,13.5,12.62,13.38,318.380129553214,726400,0.0,1.0
2000-08-30,13.34,14.69,13.25,14.19,337.654262956659,633600,0.0,1.0
2000-08-31,15.06,16.5,14.88,16.19,385.244715804673,2793600,0.0,1.0
2000-09-01,16.12,16.25,15.0,15.75,374.77481617811,886400,0.0,1.0
2000-09-05,15.81,16.25,15.5,15.56,370.253723157549,736000,0.0,1.0
2000-09-06,16.12,16.25,15.25,15.5,368.826009572108,656000,0.0,1.0
2000-09-07,16.0,16.0,13.38,14.38,342.175355977221,764800,0.0,1.0
2000-09-08,14.27,14.5,13.75,14.0,333.133169936098,508800,0.0,1.0
2000-09-11,13.81,14.0,13.5,13.88,330.277742765217,1104000,0.0,1.0
2000-09-12,13.59,13.81,12.88,13.0,309.337943512091,1081600,0.0,1.0
2000-09-13,12.75,13.12,12.38,12.5,297.440330300087,329600,0.0,1.0
2000-09-14,13.88,13.88,12.5,12.69,301.961423320649,259200,0.0,1.0
