date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,32.75,33.13,32.44,32.63,12.2157153780719,100800,0.0,1.0
1999-11-02,32.63,33.38,32.63,33.19,12.4253629604109,37600,0.0,1.0
1999-11-03,33.31,33.5,32.81,33.0,12.3542325306887,24300,0.0,1.0
1999-11-04,33.25,33.25,33.0,33.19,12.4253629604109,19200,0.0,1.0
1999-11-05,33.31,34.19,33.31,33.69,12.6125483017849,49700,0.0,1.0
1999-11-08,33.5,33.63,33.19,33.5,12.5414178720628,19600,0.0,1.0
1999-11-09,33.38,33.63,33.19,33.63,12.5900860608201,28000,0.0,1.0
1999-11-10,33.5,33.94,33.5,33.69,12.6125483017849,9500,0.0,1.0
1999-11-11,33.56,33.94,33.56,33.81,12.6574727837147,5300,0.0,1.0
1999-11-12,33.75,33.94,33.63,33.94,12.706140972472,5200,0.0,1.0
1999-11-15,33.88,34.06,33.81,34.0,12.7286032134369,13400,0.0,1.0
1999-11-16,33.88,33.88,33.5,33.5,12.5414178720628,47800,0.0,1.0
1999-11-17,33.44,33.75,33.44,33.75,12.6350105427498,5600,0.0,1.0
1999-11-18,33.69,34.0,33.56,33.56,12.5638801130277,36800,0.0,1.0
1999-11-19,33.75,33.75,33.25,33.75,12.6350105427498,24700,0.0,1.0
1999-11-22,33.75,34.06,33.63,33.63,12.5900860608201,49800,0.0,1.0
1999-11-23,33.75,33.75,32.75,32.94,12.3317702897238,76500,0.0,1.0
1999-11-24,33.19,33.38,32.94,33.0,12.3542325306887,120100,0.0,1.0
1999-11-26,33.0,33.25,32.88,33.0,12.3542325306887,5900,0.0,1.0
1999-11-29,32.88,33.06,32.38,32.5,12.1670471893147,29500,0.0,1.0
1999-11-30,32.44,32.56,32.06,32.44,12.1445849483498,35000,0.0,1.0
1999-12-01,32.25,32.88,32.19,32.81,12.2831021009666,28600,0.0,1.0
1999-12-02,32.75,32.75,32.56,32.63,12.2157153780719,81300,0.0,1.0
1999-12-03,32.44,32.94,32.44,32.94,12.3317702897238,30000,0.0,1.0
1999-12-06,32.56,32.63,32.0,32.13,12.0285300366978,69000,0.0,1.0
1999-12-07,32.13,32.13,31.13,31.63,11.8413446953238,112500,0.0,1.0
1999-12-08,31.63,31.63,30.69,31.13,11.6541593539497,49100,0.0,1.0
1999-12-09,31.19,31.69,30.75,31.69,11.8638069362887,26400,0.0,1.0
1999-12-10,31.81,32.0,31.31,31.69,11.8638069362887,120800,0.0,1.0
1999-12-13,31.81,32.0,31.19,31.25,11.6990838358795,24200,0.0,1.0
1999-12-14,31.13,31.38,30.75,30.75,11.5118984945054,49900,0.0,1.0
1999-12-15,30.75,30.75,30.19,30.25,11.3247131531313,34900,0.0,1.0
1999-12-16,30.31,30.31,29.06,30.06,11.2535827234092,146100,0.0,1.0
1999-12-17,30.12,31.62,30.12,31.56,11.8151387475314,42800,0.0,1.0
