date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,38.0,38.5,38.0,38.44,5.22497632758564,458800,0.0,1.0
1999-11-02,38.25,38.81,38.25,38.31,5.2073060122218,250400,0.0,1.0
1999-11-03,38.5,38.62,38.25,38.5,5.23313185775357,887900,0.0,1.0
1999-11-04,38.62,38.62,37.75,38.12,5.18148016669002,1737900,0.0,1.0
1999-11-05,38.38,38.5,37.62,37.81,5.1393432608224,335300,0.0,1.0
1999-11-08,37.69,37.81,37.31,37.44,5.08905082478684,699700,0.0,1.0
1999-11-09,37.31,37.5,36.31,36.75,4.99526222785568,912600,0.0,1.0
1999-11-10,36.25,36.69,35.5,36.06,4.93545500662421,2444600,0.25,1.0
1999-11-11,36.06,36.31,35.62,35.88,4.91081879194888,723500,0.0,1.0
1999-11-12,36.12,36.31,36.06,36.19,4.95324782833417,306900,0.0,1.0
1999-11-15,35.94,36.31,35.62,35.69,4.88481389868048,351900,0.0,1.0
1999-11-16,35.81,36.06,35.38,35.44,4.85059693385363,410200,0.0,1.0
1999-11-17,35.19,35.31,34.62,34.94,4.78216300419994,1015700,0.0,1.0
1999-11-18,34.94,35.31,34.56,34.81,4.76437018248998,631900,0.0,1.0
1999-11-19,34.56,35.0,34.5,34.69,4.74794603937309,485300,0.0,1.0
1999-11-22,34.5,34.62,34.06,34.06,4.66171928800944,392400,0.0,1.0
1999-11-23,33.88,34.0,33.19,33.31,4.55906839352891,777400,0.0,1.0
1999-11-24,33.0,33.19,32.62,32.81,4.49063446387521,779100,0.0,1.0
1999-11-26,32.88,32.94,32.75,32.94,4.50842728558517,155100,0.0,1.0
1999-11-29,32.25,32.25,30.75,31.5,4.31133756818254,1925500,0.0,1.0
1999-11-30,31.88,33.0,31.88,32.94,4.50842728558517,1568400,0.0,1.0
1999-12-01,32.38,32.62,31.94,32.19,4.40577639110464,737900,0.0,1.0
1999-12-02,31.94,33.38,31.88,33.38,4.56864914368042,932000,0.0,1.0
1999-12-03,33.31,34.12,32.88,33.31,4.55906839352891,757800,0.0,1.0
1999-12-06,33.69,33.88,33.12,33.5,4.58507328679731,662000,0.0,1.0
1999-12-07,33.75,33.81,33.31,33.75,4.61929025162415,867100,0.0,1.0
1999-12-08,33.56,33.62,33.0,33.31,4.55906839352891,778200,0.0,1.0
1999-12-09,33.69,33.81,32.88,33.06,4.52485142870206,734100,0.0,1.0
1999-12-10,33.31,33.94,33.31,33.75,4.61929025162415,625000,0.0,1.0
1999-12-13,33.75,33.75,33.0,33.12,4.5330635002605,341900,0.0,1.0
1999-12-14,33.0,33.19,32.44,32.75,4.48242239231677,814900,0.0,1.0
1999-12-15,32.94,33.62,32.25,33.56,4.59328535835575,645000,0.0,1.0
1999-12-16,33.38,33.5,33.12,33.25,4.55085632197046,395300,0.0,1.0
1999-12-17,33.25,33.62,33.25,33.56,4.59328535835575,1312800,0.0,1.0
1999-12-20,33.69,34.12,33.5,34.0,4.653507216451,490700,0.0,1.0
1999-12-21,33.75,34.62,33.75,34.31,4.69593625283629,730500,0.0,1.0
1999-12-22,34.19,34.5,34.19,34.5,4.72194114610469,569600,0.0,1.0
1999-12-23,34.69,34.69,34.44,34.62,4.73836528922158,438700,0.0,1.0
1999-12-27,34.5,35.12,34.44,34.5,4.72194114610469,353400,0.0,1.0
1999-12-28,34.25,34.56,33.81,34.19,4.6795121097194,599400,0.0,1.0
1999-12-29,34.12,34.12,33.5,33.88,4.63708307333411,232100,0.0,1.0
1999-12-30,33.62,34.75,33.62,34.69,4.74794603937309,532300,0.0,1.0
1999-12-31,34.75,35.0,34.19,34.75,4.75615811093154,434400,0.0,1.0
2000-01-03,34.5,34.62,33.0,33.88,4.63708307333411,458700,0.0,1.0
2000-01-04,33.5,34.12,33.12,33.62,4.60149742991419,445300,0.0,1.0
2000-01-05,33.62,35.75,33.62,35.25,4.82459204058523,517600,0.0,1.0
2000-01-06,34.88,36.0,34.38,35.31,4.83280411214367,437100,0.0,1.0
2000-01-07,35.38,37.38,35.0,35.31,4.83280411214367,1343300,0.0,1.0
2000-01-10,36.81,37.69,36.56,37.44,5.12433265246839,510200,0.0,1.0
2000-01-11,37.25,37.69,37.12,37.19,5.09011568764155,487200,0.0,1.0
2000-01-12,37.0,37.88,36.81,37.5,5.13254472402684,691100,0.0,1.0
2000-01-13,37.69,38.81,37.38,38.62,5.28583672645111,550300,0.0,1.0
2000-01-14,38.38,39.0,38.06,38.5,5.26941258333422,520000,0.0,1.0
2000-01-18,38.25,38.44,37.25,37.69,5.15854961729524,453400,0.0,1.0
2000-01-19,37.81,38.56,37.69,38.38,5.25298844021733,521400,0.0,1.0
2000-01-20,38.12,38.19,37.25,37.81,5.17497376041213,480700,0.0,1.0
2000-01-21,38.25,39.06,37.56,38.88,5.32142236987103,1798100,0.0,1.0
2000-01-24,38.88,41.0,38.75,40.62,5.55957244506587,1303000,0.0,1.0
2000-01-25,40.56,40.56,39.69,40.0,5.47471437229529,1263800,0.0,1.0
2000-01-26,39.88,41.12,39.44,40.88,5.59515808848579,769000,0.0,1.0
2000-01-27,41.0,42.19,40.94,42.0,5.74845009091006,4612100,0.0,1.0
2000-01-28,41.81,42.5,41.19,41.19,5.63758712487108,1718000,0.0,1.0
2000-01-31,41.25,41.75,40.56,41.75,5.71423312608321,1486100,0.0,1.0
2000-02-01,41.62,42.12,41.22,41.56,5.68822823281481,1373000,0.0,1.0
2000-02-02,41.56,42.31,41.5,41.69,5.70602105452477,540000,0.0,1.0
2000-02-03,41.94,43.69,41.94,43.5,5.95375187987113,882700,0.0,1.0
2000-02-04,43.44,43.5,42.94,43.0,5.88531795021744,2919500,0.0,1.0
2000-02-07,42.62,42.88,42.0,42.0,5.74845009091006,578000,0.0,1.0
2000-02-08,42.06,42.5,42.06,42.38,5.80045987744686,554100,0.0,1.0
2000-02-09,42.38,42.94,42.31,42.5,5.81688402056375,2216500,0.0,1.0
2000-02-10,42.25,42.5,41.94,41.94,5.74023801935162,1330300,0.0,1.0
2000-02-11,41.81,42.0,41.19,41.25,5.64579919642952,720800,0.0,1.0
2000-02-14,41.25,41.5,40.81,41.19,5.63758712487108,1618300,0.0,1.0
2000-02-15,41.0,41.31,40.69,40.88,5.59515808848579,954400,0.0,1.0
2000-02-16,40.5,40.94,40.12,40.75,5.57736526677583,1026400,0.0,1.0
2000-02-17,40.25,41.06,40.12,40.25,5.50893133712214,667600,0.0,1.0
2000-02-18,40.06,40.31,39.44,39.56,5.41449251420005,486600,0.0,1.0
2000-02-22,39.62,40.38,39.62,39.81,5.44870947902689,773100,0.0,1.0
2000-02-23,39.56,40.62,39.56,40.38,5.56094112365894,1230300,0.25,1.0
2000-02-24,40.38,40.38,37.62,38.0,5.23317886822783,997900,0.0,1.0
2000-02-25,38.56,38.56,38.0,38.56,5.31029939891751,743000,0.0,1.0
2000-02-28,38.56,39.81,38.12,39.31,5.41358582394832,443600,0.0,1.0
2000-02-29,39.06,39.06,37.31,37.31,5.13815535719949,806900,0.0,1.0
2000-03-01,38.5,38.56,37.5,37.75,5.19875005988423,598900,0.0,1.0
2000-03-02,37.75,39.0,37.62,39.0,5.37089410160225,594300,0.0,1.0
2000-03-03,39.62,39.81,39.06,39.5,5.43975171828946,1150300,0.0,1.0
2000-03-06,39.5,39.75,38.62,38.75,5.33646529325865,1021000,0.0,1.0
2000-03-07,38.75,39.19,37.69,37.75,5.19875005988423,1241600,0.0,1.0
2000-03-08,38.0,38.75,38.0,38.19,5.25934476256897,659400,0.0,1.0
2000-03-09,37.94,38.44,37.81,38.31,5.2758705905739,771900,0.0,1.0
2000-03-10,38.06,38.44,37.88,38.25,5.26760767657144,379400,0.0,1.0
2000-03-13,38.06,38.25,37.81,38.12,5.24970469623276,313300,0.0,1.0
2000-03-14,37.62,37.94,37.0,37.31,5.13815535719949,733200,0.0,1.0
2000-03-15,37.12,38.69,37.06,38.62,5.31856231291997,949900,0.0,1.0
2000-03-16,38.62,40.75,38.62,40.06,5.51687224897913,656000,0.0,1.0
2000-03-17,40.12,40.25,38.38,38.5,5.30203648491504,605100,0.0,1.0
2000-03-20,38.25,39.19,38.19,38.44,5.29377357091258,436100,0.0,1.0
2000-03-21,38.25,39.19,38.12,38.75,5.33646529325865,681000,0.0,1.0
2000-03-22,38.75,38.75,37.5,37.75,5.19875005988423,614400,0.0,1.0
2000-03-23,37.5,37.75,37.19,37.44,5.15605833753816,705500,0.0,1.0
2000-03-24,37.5,38.06,37.31,38.0,5.23317886822783,552600,0.0,1.0
2000-03-27,37.62,38.69,37.31,37.31,5.13815535719949,561200,0.0,1.0
2000-03-28,37.0,37.38,35.94,36.69,5.05277191250735,639500,0.0,1.0
2000-03-29,36.56,37.19,36.5,37.19,5.12162952919456,795600,0.0,1.0
2000-03-30,37.5,37.56,37.0,37.12,5.11198946285835,487500,0.0,1.0
2000-03-31,37.12,37.88,36.38,36.88,5.07893780684849,1176300,0.0,1.0
2000-04-03,37.25,37.56,36.56,36.94,5.08720072085095,328000,0.0,1.0
2000-04-04,37.19,39.38,37.19,39.38,5.42322589028453,1170500,0.0,1.0
2000-04-05,39.62,42.0,39.62,40.56,5.58572986566634,1443000,0.0,1.0
2000-04-06,40.44,41.06,39.25,39.62,5.45627754629439,731600,0.0,1.0
2000-04-07,39.5,40.25,39.38,39.69,5.4659176126306,455900,0.0,1.0
2000-04-10,39.75,41.69,39.69,41.38,5.69865635703336,706100,0.0,1.0
2000-04-11,41.44,42.69,41.38,41.69,5.74134807937943,985600,0.0,1.0
2000-04-12,41.88,43.5,41.56,42.5,5.85289741841271,887600,0.0,1.0
2000-04-13,43.25,44.62,42.69,43.56,5.99887556578959,773000,0.0,1.0
2000-04-14,43.38,44.94,41.62,42.97,5.91762357809868,904800,0.0,1.0
2000-04-17,41.81,42.62,40.19,42.0,5.7840398017255,703500,0.0,1.0
2000-04-18,42.0,43.12,40.75,40.94,5.63806165434862,538400,0.0,1.0
2000-04-19,40.69,41.0,39.75,40.69,5.60363284600501,339400,0.0,1.0
2000-04-20,40.44,41.75,40.44,41.62,5.73170801304322,420600,0.0,1.0
2000-04-24,41.88,42.94,41.62,42.0,5.7840398017255,337100,0.0,1.0
2000-04-25,42.88,43.38,41.88,43.19,5.94792092944106,627600,0.0,1.0
2000-04-26,43.0,44.19,42.81,43.62,6.00713847979205,301000,0.0,1.0
2000-04-27,43.88,43.88,42.31,43.06,5.93001794910238,544300,0.0,1.0
2000-04-28,43.12,43.12,41.69,41.69,5.74134807937943,475100,0.0,1.0
2000-05-01,41.31,42.19,41.25,41.75,5.7496109933819,274100,0.0,1.0
2000-05-02,41.75,42.12,40.62,40.69,5.60363284600501,565100,0.0,1.0
2000-05-03,41.12,41.56,40.75,41.56,5.72344509904076,890200,0.0,1.0
2000-05-04,41.56,43.62,41.56,42.56,5.86116033241517,484700,0.0,1.0
2000-05-05,42.5,43.06,41.81,43.0,5.92175503509992,517700,0.0,1.0
2000-05-08,43.0,44.94,43.0,43.25,5.95618384344352,726700,0.0,1.0
2000-05-09,44.0,44.06,43.19,43.75,6.02504146013073,452900,0.0,1.0
2000-05-10,44.06,45.38,43.81,44.75,6.16275669350515,789200,0.0,1.0
2000-05-11,44.56,45.75,44.38,45.5,6.26604311853596,715100,0.0,1.0
2000-05-12,45.12,45.25,44.0,44.62,6.14485371316647,542300,0.0,1.0
2000-05-15,44.44,45.75,44.44,44.81,6.17101960750761,441500,0.0,1.0
2000-05-16,45.06,45.06,43.44,44.62,6.14485371316647,541200,0.0,1.0
2000-05-17,45.0,45.0,42.88,43.25,5.95618384344352,584100,0.0,1.0
2000-05-18,43.25,44.31,43.25,43.25,5.95618384344352,425600,0.0,1.0
2000-05-19,43.12,43.94,42.81,43.44,5.98234973778466,370900,0.0,1.0
2000-05-22,44.12,45.69,44.12,45.19,6.22335139618989,794000,0.0,1.0
2000-05-23,45.06,45.75,44.88,45.19,6.22335139618989,651100,0.0,1.0
2000-05-24,45.0,46.81,45.0,46.0,6.33490073522317,1006400,0.0,1.0
2000-05-25,45.62,45.81,44.75,45.19,6.25778020453349,1116200,0.25,1.0
2000-05-26,45.25,46.06,45.06,45.19,6.25778020453349,232200,0.0,1.0
2000-05-30,45.25,45.38,44.0,44.25,6.12761172937834,645200,0.0,1.0
2000-05-31,44.12,44.94,43.94,43.94,6.08468382799738,800800,0.0,1.0
2000-06-01,43.69,43.81,43.0,43.62,6.04037115560414,1003900,0.0,1.0
2000-06-02,43.38,43.69,42.81,43.5,6.02375390345667,910200,0.0,1.0
2000-06-05,43.12,43.38,41.69,42.12,5.8326555037608,508500,0.0,1.0
2000-06-06,42.25,43.44,42.12,42.5,5.88527680222778,399300,0.0,1.0
2000-06-07,42.31,42.62,41.75,41.81,5.78972760237985,526100,0.0,1.0
2000-06-08,41.56,43.12,41.5,42.81,5.92820470360874,620200,0.0,1.0
2000-06-09,42.56,44.38,42.5,44.31,6.13592035545207,844600,0.0,1.0
2000-06-12,44.06,44.94,44.06,44.41,6.14976806557496,525300,0.0,1.0
