date,open,high,low,close,adjClose,volume,dividend,split
2021-02-10,43.0,50.0,43.0,44.99,35.8582728661071,1836935,0.0,1.0
2021-02-11,45.47,45.47,42.75,42.8,34.1127823665122,1652123,0.0,1.0
2021-02-12,43.01,43.5,41.55,42.51,33.8816443551503,2088188,0.0,1.0
2021-02-16,44.2,45.54,43.01,43.55,34.7105530855515,1369097,0.0,1.0
2021-02-17,44.03,44.6,43.5,44.26,35.2764426995755,1909851,0.0,1.0
2021-02-18,44.24,45.0,42.78,43.0,34.2721878915894,1589465,0.0,1.0
2021-02-19,43.66,44.63,43.01,44.0,35.0692155169751,1048177,0.0,1.0
2021-02-22,44.84,45.03,43.65,43.84,34.9416910969134,1449307,0.0,1.0
2021-02-23,43.95,43.95,42.0,43.66,34.798226124344,888492,0.0,1.0
2021-02-24,43.24,45.08,42.64,45.0,35.866243142361,3153182,0.0,1.0
2021-02-25,45.32,45.5,44.1,44.75,35.6669862360145,2485011,0.0,1.0
2021-02-26,44.56,44.94,43.415,44.18,35.2126804895446,466087,0.0,1.0
2021-03-01,44.45,45.28,44.08,44.67,35.6032240259836,718886,0.0,1.0
2021-03-02,44.67,46.75,44.67,45.3,36.1053514299767,756575,0.0,1.0
2021-03-03,45.51,47.64,45.22,47.25,37.659555299479,1214448,0.0,1.0
2021-03-04,47.66,48.79,45.79,46.18,36.8067357403162,679030,0.0,1.0
2021-03-05,47.0,47.08,44.02,45.03,35.8901539711225,968151,0.0,1.0
2021-03-08,44.69,45.13,43.01,44.37,35.3641157383679,1125470,0.0,1.0
2021-03-09,43.69,44.94,43.619,44.28,35.2923832520832,183416,0.0,1.0
2021-03-10,44.26,44.87,43.77,44.75,35.6669862360145,484270,0.0,1.0
2021-03-11,44.75,45.82,44.51,45.34,36.1372325349921,578892,0.0,1.0
2021-03-12,46.13,46.31,44.89,45.75,36.4640138614003,684271,0.0,1.0
2021-03-15,45.92,46.25,45.1,45.75,36.4640138614003,626783,0.0,1.0
2021-03-16,45.78,45.875,43.945,44.81,35.7148078935376,717657,0.0,1.0
2021-03-17,44.87,45.6,44.2,45.28,36.089410877469,543104,0.0,1.0
2021-03-18,44.92,45.25,43.22,43.5,34.6707017042823,886854,0.0,1.0
2021-03-19,43.3,43.76,42.8,43.31,34.519266455459,537112,0.0,1.0
2021-03-22,43.23,43.5,41.92,42.75,34.0729309852429,539255,0.0,1.0
2021-03-23,42.28,42.72,41.04,41.7,33.2360519785878,446999,0.0,1.0
2021-03-24,42.5,42.8,41.28,41.6,33.1563492160492,688655,0.0,1.0
2021-03-25,41.15,42.33,40.0,42.16,33.6026846862653,675175,0.0,1.0
2021-03-26,42.27,43.34,42.14,43.33,34.5352070079667,325005,0.0,1.0
2021-03-29,43.4,43.51,42.34,42.52,33.8896146314042,203972,0.0,1.0
2021-03-30,42.27,43.4,41.29,43.14,34.3837717591434,480190,0.0,1.0
2021-03-31,43.03,44.5184,42.19,43.39,34.5830286654898,446663,0.0,1.0
2021-04-01,43.09,45.795,42.825,44.93,35.8104512085839,619045,0.0,1.0
2021-04-05,44.82,45.155,43.5,44.66,35.5952537497298,579958,0.0,1.0
2021-04-06,45.01,45.95,44.05,45.21,36.033618943692,725523,0.0,1.0
2021-04-07,45.11,46.0,44.4,45.1,35.9459459048995,943036,0.0,1.0
2021-04-08,44.99,45.82,44.77,45.33,36.1292622587383,732111,0.0,1.0
2021-04-09,45.2,45.91,44.48,45.54,36.2966380600693,686046,0.0,1.0
2021-04-12,45.67,45.92,45.25,45.45,36.2249055737846,640398,0.0,1.0
2021-04-13,45.35,45.82,45.32,45.51,36.2727272313077,311963,0.0,1.0
2021-04-14,45.67,46.31,45.25,46.19,36.81470601657,821112,0.0,1.0
2021-04-15,46.16,46.58,45.35,46.19,36.81470601657,465722,0.0,1.0
2021-04-16,46.7,46.89,45.325,45.65,36.3843110988617,390776,0.0,1.0
2021-04-19,45.71,46.625,45.41,45.97,36.6393599389852,386421,0.0,1.0
2021-04-20,45.97,46.31,44.31,45.71,36.4321327563849,595828,0.0,1.0
2021-04-21,45.54,46.59,44.7813,46.24,36.8545573978393,592970,0.0,1.0
2021-04-22,46.27,46.9,45.85,46.08,36.7270329777776,1098633,0.0,1.0
2021-04-23,46.05,47.22,45.42,46.46,37.0299034754242,471686,0.0,1.0
2021-04-26,46.34,47.46,46.27,46.88,37.3646550780863,380075,0.0,1.0
2021-04-27,46.65,47.5,46.38,46.87,37.3566848018324,721710,0.0,1.0
2021-04-28,47.15,47.32,45.94,46.18,36.8067357403162,599708,0.0,1.0
2021-04-29,46.42,48.5,45.79,46.95,37.4204470118633,1033785,0.0,1.0
2021-04-30,46.51,47.48,45.32,45.57,36.3205488888309,766130,0.0,1.0
2021-05-03,45.97,46.62,45.41,46.36,36.9502007128856,870278,0.0,1.0
2021-05-04,46.5,46.5,45.6,46.0,36.6632707677467,772172,0.0,1.0
2021-05-05,46.23,47.63,46.095,46.74,37.2530712105322,1923386,0.0,1.0
2021-05-06,46.69,47.83,46.69,47.51,37.8667824820793,1222660,0.0,1.0
2021-05-07,47.16,49.5,47.16,49.17,39.1898483402197,1809528,0.0,1.0
2021-05-10,49.63,49.97,49.25,49.57,39.508659390374,840048,0.0,1.0
2021-05-11,49.17,49.73,48.16,49.06,39.1021753014273,1135801,0.0,1.0
2021-05-12,52.68,52.68,48.28,49.48,39.4369269040893,2008354,0.0,1.0
2021-05-13,49.49,50.59,48.19,49.5,39.452867456597,831177,0.0,1.0
2021-05-14,49.0,49.82,48.72,48.87,38.950740052604,2141538,0.0,1.0
2021-05-17,48.97,50.4,48.81,49.99,39.8434109930361,1427077,0.0,1.0
2021-05-18,50.8,52.0,50.6,51.3,40.8875171822915,2565227,0.0,1.0
2021-05-19,50.41,51.248,50.0122,51.0,40.6484088946757,928147,0.0,1.0
2021-05-20,50.9,51.379,50.3209,50.49,40.241924805729,913052,0.0,1.0
2021-05-21,50.44,50.72,49.675,50.43,40.4682806513386,1667952,0.344,1.0
2021-05-24,50.7,50.93,49.83,50.55,40.5645763816213,955787,0.0,1.0
2021-05-25,50.47,51.17,49.91,50.44,40.4763052955288,726432,0.0,1.0
2021-05-26,50.43,53.1,50.065,52.8,42.3701213244235,1400563,0.0,1.0
2021-05-27,53.25,53.25,51.54,52.95,42.4904909872769,1807633,0.0,1.0
2021-05-28,53.0,53.2,52.28,52.8,42.3701213244235,652548,0.0,1.0
2021-06-01,53.57,54.99,53.13,54.88,44.0392473159917,1429310,0.0,1.0
2021-06-02,55.0,55.0,53.2,53.42,42.8676492642178,1079700,0.0,1.0
2021-06-03,53.39,53.89,52.48,53.48,42.9157971293592,755664,0.0,1.0
2021-06-04,53.57,54.65,52.8801,54.43,43.6781383274312,929547,0.0,1.0
2021-06-07,55.59,56.07,54.62,55.54,44.568873832547,1978915,0.0,1.0
2021-06-08,55.05,55.93,54.23,55.51,44.5447998999763,1999484,0.0,1.0
2021-06-09,55.6,55.84,54.51,55.43,44.4806027464544,886179,0.0,1.0
2021-06-10,55.71,55.83,54.76,55.58,44.6009724093079,1343060,0.0,1.0
2021-06-11,55.92,56.54,55.39,56.22,45.1145496374827,1086936,0.0,1.0
2021-06-14,56.15,56.71,55.46,55.83,44.8015885140637,1610053,0.0,1.0
2021-06-15,56.99,56.99,55.43,55.96,44.9059088885367,1689529,0.0,1.0
2021-06-16,55.96,56.36,53.84,54.09,43.4053004249634,2412098,0.0,1.0
2021-06-17,53.92,54.07,52.01,53.76,43.1404871666857,2991586,0.0,1.0
2021-06-18,53.08,53.8,52.72,53.11,42.6188852943207,3169880,0.0,1.0
2021-06-21,53.54,55.21,52.89,55.08,44.1997401997963,2881517,0.0,1.0
2021-06-22,55.21,55.21,52.86,53.61,43.0201175038322,2750117,0.0,1.0
2021-06-23,53.88,54.28,52.61,52.93,42.4744416988965,1302851,0.0,1.0
2021-06-24,52.84,54.2,52.39,53.09,42.6028360059402,1768843,0.0,1.0
2021-06-25,53.22,53.56,52.69,53.13,42.6349345827011,13760237,0.0,1.0
2021-06-28,53.1,53.39,50.74,51.0,40.9256853701818,1854035,0.0,1.0
2021-06-29,51.3,52.32,49.21,49.55,39.7621119625982,1477997,0.0,1.0
2021-06-30,49.6,52.03,49.59,51.92,41.6639526356831,1480138,0.0,1.0
2021-07-01,52.82,54.18,52.39,53.99,43.325053983061,1453063,0.0,1.0
2021-07-02,54.01,54.92,53.5,54.59,43.806532634475,755895,0.0,1.0
2021-07-06,54.6,54.6,52.7,53.86,43.220733608588,809950,0.0,1.0
2021-07-07,53.66,54.68,52.67,54.26,43.5417193761973,844841,0.0,1.0
2021-07-08,53.79,54.79,53.33,54.61,43.8225819228554,820362,0.0,1.0
2021-07-09,54.95,54.95,54.12,54.81,43.98307480666,599498,0.0,1.0
2021-07-12,54.51,55.02,53.82,54.74,43.9269022973284,895718,0.0,1.0
2021-07-13,54.69,54.83,53.77,53.81,43.1806103876369,495854,0.0,1.0
2021-07-14,54.05,54.34,50.8,50.84,40.7972910631381,786564,0.0,1.0
2021-07-15,50.35,51.27,50.0,50.72,40.7009953328553,1350347,0.0,1.0
2021-07-16,51.02,51.41,48.83,50.14,40.2355659698218,805510,0.0,1.0
2021-07-19,49.5,50.1,48.19,48.9,39.2405100902331,1172810,0.0,1.0
2021-07-20,48.86,51.095,48.64,50.81,40.7732171305674,874726,0.0,1.0
2021-07-21,51.32,53.3,50.77,52.96,42.4985156314672,1125789,0.0,1.0
2021-07-22,52.9,54.63,52.37,53.98,43.3170293388708,890420,0.0,1.0
2021-07-23,54.23,54.81,53.45,54.79,43.9670255182796,1090848,0.0,1.0
2021-07-26,54.99,55.89,54.51,55.18,44.2799866416986,1039956,0.0,1.0
2021-07-27,54.87,55.32,54.43,54.96,44.1034444695135,952314,0.0,1.0
2021-07-28,55.13,55.89,54.73,55.44,44.4886273906446,730469,0.0,1.0
2021-07-29,55.91,55.92,54.88,55.34,44.4083809487423,562904,0.0,1.0
2021-07-30,55.25,55.54,53.67,54.05,43.3732018482024,622686,0.0,1.0
2021-08-02,53.98,55.2,53.17,53.3,42.7713535339351,567646,0.0,1.0
2021-08-03,53.2,54.82,52.74,54.57,43.7904833460945,576410,0.0,1.0
2021-08-04,53.9,55.4975,53.24,54.48,43.7182615483824,559333,0.0,1.0
2021-08-05,54.56,55.12,53.84,54.21,43.5015961552461,558317,0.0,1.0
2021-08-06,54.57,55.36,54.44,55.04,44.1676416230354,380219,0.0,1.0
2021-08-09,54.6,54.74,53.85,54.06,43.3812264923927,748715,0.0,1.0
2021-08-10,54.12,55.82,53.81,55.5,44.536775255786,793031,0.0,1.0
2021-08-11,56.76,57.82,55.35,56.94,45.6923240191794,2950284,0.0,1.0
2021-08-12,57.08,59.3,56.66,58.81,47.1929324827527,1699396,0.0,1.0
2021-08-13,59.03,59.04,56.45,56.79,45.5719543563259,1459409,0.0,1.0
2021-08-16,56.07,56.75,54.34,55.83,44.8015885140637,1790528,0.0,1.0
2021-08-17,55.25,56.87,54.25,54.77,43.9509762298991,862014,0.0,1.0
2021-08-18,54.67,54.8,52.4,52.42,42.0651848451947,605201,0.0,1.0
2021-08-19,51.26,52.12,50.71,51.97,41.7040758566342,1189547,0.0,1.0
2021-08-20,51.41,53.09,51.4,52.67,42.2658009499505,1388361,0.0,1.0
2021-08-23,52.76,53.26,51.92,52.25,42.2046130379999,1059597,0.3438,1.0
2021-08-24,52.51,53.02,51.59,52.7,42.5680977435904,1247026,0.0,1.0
2021-08-25,52.61,53.34,51.92,53.03,42.8346531943567,980858,0.0,1.0
2021-08-26,52.87,53.29,52.37,53.11,42.8992726975728,953196,0.0,1.0
2021-08-27,53.51,56.5,53.41,55.38,44.7328511013289,2092529,0.0,1.0
2021-08-30,55.61,55.66,54.64,54.79,44.2562822651104,516479,0.0,1.0
2021-08-31,54.75,55.95,54.75,55.81,45.0801809311154,1772789,0.0,1.0
2021-09-01,55.78,56.69,55.44,56.61,45.7263759632761,1345287,0.0,1.0
