date,open,high,low,close,adjClose,volume,dividend,split
2005-07-21,24.11,24.6,23.92,24.02,20.1065393042858,218400,0.0,1.0
2005-07-22,24.62,24.9,23.95,24.86,20.8096822274998,113600,0.0,1.0
2005-07-25,24.9,24.9,24.15,24.24,20.2906957841752,79200,0.0,1.0
2005-07-26,24.35,24.35,23.75,24.0,20.0897978061141,204800,0.0,1.0
2005-07-27,24.0,24.12,23.65,24.07,20.1483930497153,196200,0.0,1.0
2005-07-28,24.1,24.12,23.91,24.05,20.1316515515435,187200,0.0,1.0
2005-07-29,24.1,24.35,23.85,24.34,20.374403275034,121400,0.0,1.0
2005-08-01,24.23,24.5,24.1,24.35,20.3827740241199,329800,0.0,1.0
2005-08-02,26.0,26.0,23.64,24.05,20.1316515515435,599400,0.0,1.0
2005-08-03,24.27,24.27,23.76,23.85,19.9642365698259,295400,0.0,1.0
2005-08-04,23.77,23.89,23.35,23.6,19.7549678426789,282400,0.0,1.0
2005-08-05,23.69,23.69,23.15,23.37,19.5624406137036,414000,0.0,1.0
2005-08-08,23.5,23.65,21.26,22.5,18.834185443232,12768400,0.0,1.0
2005-08-09,23.27,23.85,22.52,23.85,19.9642365698259,9740600,0.0,1.0
2005-08-10,24.19,24.52,23.67,23.7,19.8386753335377,5118000,0.0,1.0
2005-08-11,23.58,23.78,22.78,22.87,19.1439031594096,3410200,0.0,1.0
2005-08-12,22.73,22.75,21.5,22.3,18.6667704615143,3377800,0.0,1.0
2005-08-15,22.5,22.58,21.3,21.44,17.9468860401286,2979600,0.0,1.0
2005-08-16,21.29,21.6,20.69,21.45,17.9552567892145,4691200,0.0,1.0
2005-08-17,21.18,21.99,21.15,21.69,18.1561547672756,2241200,0.0,1.0
2005-08-18,21.29,22.0,21.29,21.75,18.2063792617909,2679800,0.0,1.0
2005-08-19,21.61,21.9,21.54,21.65,18.1226717709321,1473400,0.0,1.0
2005-08-22,21.7,21.8,21.2,21.6,18.0808180255027,3261200,0.0,1.0
2005-08-23,21.38,21.64,21.21,21.45,17.9552567892145,2154400,0.0,1.0
2005-08-24,21.3,21.78,21.22,21.6,18.0808180255027,2319200,0.0,1.0
2005-08-25,21.43,22.31,21.43,22.16,18.549579974312,1579200,0.0,1.0
2005-08-26,22.14,22.53,21.9,22.11,18.5077262288826,1079800,0.0,1.0
2005-08-29,22.05,22.5,21.9,22.34,18.7002534578579,930000,0.0,1.0
2005-08-30,22.04,22.5,22.0,22.4,18.7504779523731,1212200,0.0,1.0
2005-08-31,22.271,22.43,22.0,22.26,18.6332874651708,1653800,0.0,1.0
2005-09-01,22.14,22.44,22.06,22.22,18.5998044688273,1481000,0.0,1.0
2005-09-02,22.19,22.63,21.72,22.37,18.7253657051155,1837000,0.0,1.0
2005-09-06,21.69,22.55,21.69,22.09,18.4909847307108,2484400,0.0,1.0
2005-09-07,21.95,22.59,21.91,22.28,18.6500289633426,1366800,0.0,1.0
2005-09-08,22.17,22.97,22.02,22.45,18.7923316978026,1280400,0.0,1.0
2005-09-09,22.0,22.35,21.75,22.06,18.4658724834532,3991800,0.0,1.0
2005-09-12,21.95,22.79,21.95,22.1,18.4993554797967,2021200,0.0,1.0
2005-09-13,22.34,22.41,22.0,22.07,18.4742432325391,1496600,0.0,1.0
2005-09-14,21.94,22.14,21.75,21.82,18.2649745053921,1454600,0.0,1.0
2005-09-15,21.73,21.85,21.05,21.41,17.9217737928709,2522800,0.0,1.0
2005-09-16,21.251,21.46,20.75,21.0,17.5785730803498,1903800,0.0,1.0
2005-09-19,20.8,21.31,20.76,21.05,17.6204268257792,2164000,0.0,1.0
2005-09-20,21.07,21.07,20.76,20.94,17.5283485858345,1330600,0.0,1.0
2005-09-21,21.44,21.5,18.61,20.65,17.285596862344,1793200,0.0,1.0
2005-09-22,20.66,20.67,19.63,20.25,16.9507668989088,1945200,0.0,1.0
