date,open,high,low,close,adjClose,volume,dividend,split
2012-10-12,17.82,18.28,17.495,17.5,13.5223771055107,6467100,0.0,1.0
2012-10-15,17.55,17.8325,17.5,17.75,13.7155539213037,633100,0.0,1.0
2012-10-16,17.57,17.95,17.25,17.79,13.7464622118306,180300,0.0,1.0
2012-10-17,17.7,18.07,17.5,17.7,13.6769185581451,121000,0.0,1.0
2012-10-18,17.6,17.87,17.52,17.7,13.6769185581451,146100,0.0,1.0
2012-10-19,17.72,17.8,17.41,17.41,13.4528334518252,298100,0.0,1.0
2012-10-22,17.5,17.51,16.93,17.03,13.1592046918199,359800,0.0,1.0
2012-10-23,16.85,17.295,16.75,17.13,13.2364754181371,166100,0.0,1.0
2012-10-24,16.92,17.47,16.92,17.39,13.4373793065618,158200,0.0,1.0
2012-10-25,17.98,17.98,16.245,17.03,13.1592046918199,206900,0.0,1.0
2012-10-26,17.51,17.51,16.6,17.14,13.2442024907688,199500,0.0,1.0
2012-10-31,16.5,17.03,16.5,17.03,13.1592046918199,36400,0.0,1.0
2012-11-01,17.1,17.48,16.51,17.23,13.3137461444543,203000,0.0,1.0
2012-11-02,16.99,17.23,16.56,17.0,13.1360234739247,72100,0.0,1.0
2012-11-05,16.79,17.0,16.5,16.71,12.9119383676048,33300,0.0,1.0
2012-11-06,16.52,17.48,16.09,17.01,13.1437505465564,370600,0.0,1.0
2012-11-07,16.75,17.4,16.75,17.06,13.182385909715,155800,0.0,1.0
2012-11-08,16.29,17.27,16.29,16.75,12.9428466581317,141600,0.0,1.0
2012-11-09,16.33,16.94,16.33,16.55,12.7883052054973,209600,0.0,1.0
2012-11-12,16.46,16.55,16.36,16.5,12.7496698423387,12800,0.0,1.0
2012-11-13,16.52,16.76,15.97,16.04,12.3942245012795,47600,0.0,1.0
2012-11-14,15.97,16.47,15.65,16.05,12.4019515739112,123400,0.0,1.0
2012-11-15,16.38,17.26,15.71,16.7,12.9042112949731,367000,0.0,1.0
2012-11-16,16.91,17.69,16.27,16.82,12.9969361665537,104600,0.0,1.0
2012-11-19,16.85,17.25,16.5,17.12,13.2287483455053,77200,0.0,1.0
2012-11-20,17.14,17.29,16.83,17.13,13.2364754181371,251400,0.0,1.0
2012-11-21,17.12,17.4799,16.85,17.2,13.2905649265591,33100,0.0,1.0
2012-11-23,17.25,17.55,17.06,17.32,13.3832897981397,94000,0.0,1.0
2012-11-26,17.3,17.42,17.06,17.26,13.3369273623494,77400,0.0,1.0
2012-11-27,17.07,17.3325,16.93,17.23,13.3137461444543,55800,0.0,1.0
2012-11-28,17.45,17.4899,16.98,17.25,13.3292002897177,94000,0.0,1.0
2012-11-29,17.46,18.3499,17.2,18.16,14.0323638992043,164400,0.0,1.0
2012-11-30,18.44,18.48,17.77,18.0,13.9087307370967,44200,0.0,1.0
2012-12-03,18.01,18.5,17.39,18.1,13.9860014634139,47600,0.0,1.0
2012-12-04,18.23,18.23,17.411,17.83,13.7773705023575,30100,0.0,1.0
2012-12-05,17.58,18.1,17.58,17.98,13.8932765918333,33000,0.0,1.0
2012-12-06,17.76,17.78,17.32,17.62,13.6151019770914,41900,0.0,1.0
2012-12-07,17.68,17.85,17.6,17.75,13.7155539213037,42500,0.0,1.0
2012-12-10,17.89,17.92,17.36,17.62,13.6151019770914,72300,0.0,1.0
2012-12-11,17.41,17.84,17.2,17.54,13.5532853960376,72200,0.0,1.0
2012-12-12,17.47,17.78,17.47,17.64,13.6305561223548,58000,0.0,1.0
2012-12-13,17.41,17.98,17.29,17.88,13.8160058655161,135900,0.0,1.0
2012-12-14,17.43,17.65,17.25,17.57,13.5764666139328,44700,0.0,1.0
2012-12-17,17.66,18.5,17.5,17.98,13.8932765918333,107600,0.0,1.0
2012-12-18,17.93,19.25,17.7,18.8,14.5268965476344,142600,0.0,1.0
2012-12-19,18.8,19.89,18.131,19.18,14.8205253076397,192600,0.0,1.0
2012-12-20,18.95,19.02,18.44,19.02,14.6968921455322,200500,0.0,1.0
2012-12-21,18.62,19.18,17.68,18.98,14.6659838550053,1936500,0.0,1.0
2012-12-24,19.05,19.45,18.01,18.64,14.4032633855268,159000,0.0,1.0
2012-12-26,18.75,19.0,18.27,18.65,14.4109904581586,81300,0.0,1.0
2012-12-27,18.57,19.4875,18.39,18.54,14.3259926592096,162100,0.0,1.0
2012-12-28,18.41,18.92,18.31,18.78,14.5114424023709,66400,0.0,1.0
2012-12-31,18.74,19.22,18.57,19.12,14.7741628718494,125600,0.0,1.0
2013-01-02,19.46,19.92,18.6,19.24,14.8668877434301,189700,0.0,1.0
2013-01-03,19.24,19.455,18.646,19.14,14.7896170171129,89100,0.0,1.0
2013-01-04,19.25,20.49,18.97,20.05,15.4927806265994,173300,0.0,1.0
2013-01-07,19.89,21.24,19.64,20.77,16.0491298560833,210300,0.0,1.0
2013-01-08,20.69,21.1,20.38,20.6,15.917769621344,229400,0.0,1.0
2013-01-09,20.71,20.97,20.4,20.47,15.8173176771317,171800,0.0,1.0
2013-01-10,20.54,21.99,20.34,21.63,16.7136581024112,235200,0.0,1.0
2013-01-11,21.6,21.78,20.55,21.67,16.7445663929381,166300,0.0,1.0
2013-01-14,21.68,22.47,21.68,21.8,16.8450183371505,130400,0.0,1.0
2013-01-15,21.67,22.903,21.17,21.72,16.7832017560967,59300,0.0,1.0
2013-01-16,21.08,21.52,20.06,21.28,16.443210560301,239500,0.0,1.0
2013-01-17,21.37,21.81,20.76,21.12,16.3195773981935,129800,0.0,1.0
2013-01-18,21.17,21.79,20.31,20.54,15.8714071855537,119400,0.0,1.0
2013-01-22,20.6,21.89,20.6,21.79,16.8372912645188,160100,0.0,1.0
2013-01-23,21.74,21.74,20.95,21.43,16.5591166497768,42700,0.0,1.0
2013-01-24,21.24,22.59,21.19,21.43,16.5591166497768,114500,0.0,1.0
2013-01-25,21.55,22.71,21.55,22.0,16.9995597897849,71200,0.0,1.0
2013-01-28,22.2,22.25,21.34,21.64,16.721385175043,91000,0.0,1.0
2013-01-29,21.68,22.16,21.63,22.13,17.1000117339973,113700,0.0,1.0
2013-01-30,22.04,22.88,22.04,22.67,17.5172736561102,340500,0.0,1.0
2013-01-31,22.5308,22.5308,21.55,22.42,17.3240968403172,260400,0.0,1.0
2013-02-01,22.56,22.95,22.36,22.7,17.5404548740053,93600,0.0,1.0
2013-02-04,22.65,22.71,21.845,22.54,17.4168217118978,80100,0.0,1.0
2013-02-05,22.58,22.65,22.16,22.63,17.4863653655833,38700,0.0,1.0
2013-02-06,22.49,22.83,22.21,22.63,17.4863653655833,136100,0.0,1.0
2013-02-07,22.06,22.69,22.0,22.42,17.3240968403172,61300,0.0,1.0
2013-02-08,22.39,22.75,22.04,22.05,17.0381951529435,96400,0.0,1.0
2013-02-11,22.13,22.13,21.3,21.56,16.6595685939892,59100,0.0,1.0
2013-02-12,21.52,21.76,21.05,21.57,16.6672956666209,154700,0.0,1.0
