date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,36.25,36.5,35.5,35.75,0.682121158967956,195700,0.0,1.0
1999-11-02,35.75,35.94,34.0,35.06,0.668955743592071,463700,0.0,1.0
1999-11-03,34.88,36.0,34.88,35.13,0.670291365441799,275300,0.0,1.0
1999-11-04,35.75,36.06,35.5,35.94,0.685746418274359,148200,0.0,1.0
1999-11-05,36.38,37.0,36.38,36.75,0.70120147110692,175500,0.0,1.0
1999-11-08,36.88,37.19,36.5,37.0,0.705971549141661,187800,0.0,1.0
1999-11-09,36.88,37.0,35.19,35.69,0.680976340239618,208800,0.0,1.0
1999-11-10,35.75,36.44,35.13,35.31,0.673725821626812,322800,0.0,1.0
1999-11-11,36.5,38.0,35.38,37.75,0.720281783245884,802600,0.0,1.0
1999-11-12,38.88,39.0,36.38,36.88,0.703681911684985,316400,0.0,1.0
1999-11-15,36.56,38.13,36.44,37.88,0.722762223823949,327400,0.0,1.0
1999-11-16,38.0,38.25,37.0,37.38,0.713222067754467,373200,0.0,1.0
1999-11-17,36.63,38.5,36.06,38.44,0.733447198621769,234400,0.0,1.0
1999-11-18,38.5,41.0,38.0,41.0,0.782292797697516,449600,0.0,1.0
1999-11-19,41.0,42.5,40.13,41.94,0.800228291108142,681500,0.0,1.0
1999-11-22,41.5,41.69,40.63,41.5,0.791832953766998,410800,0.0,1.0
1999-11-23,41.88,42.0,40.13,40.75,0.777522719662775,380700,0.0,1.0
1999-11-24,41.0,41.25,40.19,41.0,0.782292797697516,150800,0.0,1.0
1999-11-26,41.0,41.06,40.5,41.0,0.782292797697516,30000,0.0,1.0
1999-11-29,40.5,41.0,39.25,39.38,0.751382692032395,121000,0.0,1.0
1999-11-30,39.41,39.5,37.0,38.5,0.734592017350107,451700,0.0,1.0
1999-12-01,37.13,39.06,37.0,39.0,0.744132173419589,246300,0.0,1.0
1999-12-02,39.13,39.13,38.63,39.06,0.745276992147927,92800,0.0,1.0
1999-12-03,38.63,39.13,38.5,39.06,0.745276992147927,518800,0.0,1.0
1999-12-06,38.88,39.56,37.88,38.63,0.737072457928172,133300,0.0,1.0
1999-12-07,38.63,38.69,37.38,37.5,0.715511705211143,219300,0.0,1.0
1999-12-08,37.38,37.5,36.5,36.5,0.696431393072179,250200,0.0,1.0
1999-12-09,37.0,37.13,36.06,36.56,0.697576211800517,121300,0.0,1.0
1999-12-10,36.63,36.75,35.88,36.0,0.686891237002697,122900,0.0,1.0
1999-12-13,35.94,37.69,35.0,37.13,0.708451989719726,574000,0.0,1.0
1999-12-14,36.75,37.88,36.5,36.63,0.698911833650244,193100,0.0,1.0
1999-12-15,36.88,38.25,36.5,37.94,0.723907042552287,320100,0.0,1.0
