date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,16.63,16.69,16.13,16.38,4.75927755680785,476100,0.0,1.0
1999-11-02,16.44,17.06,16.38,17.0,4.93942115175418,678900,0.0,1.0
1999-11-03,16.94,17.31,16.75,17.25,5.01205969810351,598200,0.0,1.0
1999-11-04,17.25,17.38,17.0,17.13,4.97719319585583,448900,0.0,1.0
1999-11-05,17.38,17.38,16.69,16.94,4.92198790063034,451600,0.0,1.0
1999-11-08,16.88,17.0,16.69,16.88,4.9045546495065,375800,0.0,1.0
1999-11-09,16.94,17.31,16.88,17.06,4.95685440287802,567000,0.0,1.0
1999-11-10,17.13,18.06,17.06,18.0,5.22997533715149,611200,0.0,1.0
1999-11-11,17.94,18.19,17.88,18.06,5.24740858827532,617200,0.0,1.0
1999-11-12,18.0,18.31,18.0,18.19,5.28518063237697,889500,0.0,1.0
1999-11-15,18.0,18.0,17.69,17.75,5.15733679080216,337200,0.0,1.0
1999-11-16,17.88,18.0,17.56,17.75,5.15733679080216,339100,0.0,1.0
1999-11-17,17.63,17.75,16.88,16.88,4.9045546495065,517500,0.0,1.0
1999-11-18,17.06,17.56,17.0,17.25,5.01205969810351,308500,0.0,1.0
1999-11-19,17.31,17.56,16.94,16.94,4.92198790063034,467100,0.0,1.0
1999-11-22,16.94,17.44,16.13,16.13,4.68663901045853,398000,0.0,1.0
1999-11-23,16.13,16.5,15.81,16.38,4.75927755680785,654400,0.0,1.0
1999-11-24,16.38,17.06,16.31,17.06,4.95685440287802,606200,0.0,1.0
1999-11-26,16.94,17.0,16.63,16.69,4.84934935428102,111600,0.0,1.0
1999-11-29,16.44,16.5,15.56,15.63,4.54136191775987,652700,0.0,1.0
1999-11-30,15.69,16.06,15.56,15.81,4.59366167113139,381800,0.0,1.0
1999-12-01,15.81,16.06,15.56,16.0,4.64886696635688,362800,0.0,1.0
1999-12-02,15.94,16.06,15.56,15.94,4.63143371523304,324100,0.0,1.0
1999-12-03,15.94,16.31,15.88,16.06,4.66630021748071,269100,0.0,1.0
1999-12-06,15.94,16.06,15.63,16.0,4.64886696635688,253300,0.0,1.0
1999-12-07,16.06,16.69,16.0,16.63,4.83191610315718,513000,0.0,1.0
1999-12-08,16.56,16.56,15.81,16.06,4.66630021748071,446700,0.0,1.0
1999-12-09,16.0,16.06,15.56,15.56,4.52102312478206,190700,0.0,1.0
1999-12-10,15.75,16.0,15.56,15.94,4.63143371523304,443300,0.0,1.0
1999-12-13,15.94,16.75,15.81,16.2,4.70697780343634,964600,0.0,1.0
1999-12-14,16.69,16.75,15.81,15.81,4.59366167113139,340900,0.0,1.0
1999-12-15,15.81,16.88,15.69,16.88,4.9045546495065,427600,0.0,1.0
1999-12-16,17.06,17.44,16.75,17.44,5.067264993329,554400,0.0,1.0
1999-12-17,17.5,17.5,17.12,17.44,5.067264993329,809200,0.0,1.0
1999-12-20,17.5,17.5,16.63,16.81,4.88421585652869,337400,0.0,1.0
1999-12-21,16.94,17.0,16.06,16.06,4.66630021748071,426600,0.0,1.0
1999-12-22,17.06,17.06,16.38,16.63,4.83191610315718,182300,0.0,1.0
1999-12-23,16.75,17.06,16.69,16.81,4.88421585652869,462500,0.0,1.0
1999-12-27,16.88,18.0,16.88,17.94,5.21254208602765,408200,0.0,1.0
1999-12-28,17.88,18.38,17.88,18.31,5.32004713462465,362800,0.0,1.0
1999-12-29,18.31,20.25,18.31,20.25,5.88372225429542,987600,0.0,1.0
1999-12-30,20.25,21.19,19.5,20.63,5.9941328447464,863700,0.0,1.0
1999-12-31,20.75,21.38,20.75,21.13,6.13940993744505,321700,0.0,1.0
2000-01-03,21.06,21.44,20.75,21.19,6.15684318856889,727500,0.0,1.0
2000-01-04,20.94,21.0,19.94,20.0,5.8110837079461,809100,0.0,1.0
2000-01-05,20.06,20.75,20.06,20.69,6.01156609587024,767800,0.0,1.0
2000-01-06,20.75,20.94,19.81,20.13,5.84885575204775,1148300,0.0,1.0
2000-01-07,19.88,20.5,19.31,19.63,5.70357865934909,1126500,0.0,1.0
2000-01-10,20.25,20.25,19.69,19.75,5.73844516159677,584600,0.0,1.0
2000-01-11,19.69,20.0,19.56,19.88,5.77621720569842,422700,0.0,1.0
2000-01-12,19.75,19.81,19.13,19.56,5.68323986637128,892000,0.0,1.0
2000-01-13,19.5,19.88,19.38,19.44,5.64837336412361,948800,0.0,1.0
2000-01-14,19.31,19.44,18.75,19.0,5.52052952254879,993400,0.0,1.0
2000-01-18,19.13,19.5,18.69,19.5,5.66580661524744,678000,0.0,1.0
2000-01-19,19.5,20.0,19.38,20.0,5.8110837079461,543000,0.0,1.0
2000-01-20,20.0,20.0,19.06,19.06,5.53796277367263,565200,0.0,1.0
2000-01-21,19.25,19.25,18.38,18.38,5.34038592760246,570500,0.0,1.0
2000-01-24,18.5,18.5,17.5,17.88,5.19510883490381,355700,0.0,1.0
2000-01-25,17.75,17.81,17.0,17.63,5.12247028855448,296100,0.0,1.0
2000-01-26,17.5,17.5,16.31,16.69,4.84934935428102,438700,0.0,1.0
2000-01-27,16.81,17.81,16.75,17.81,5.174770041926,528400,0.0,1.0
2000-01-28,17.5,18.25,17.13,17.44,5.067264993329,885400,0.0,1.0
2000-01-31,17.31,17.69,17.31,17.44,5.067264993329,429700,0.0,1.0
2000-02-01,17.19,17.81,17.19,17.44,5.067264993329,367800,0.0,1.0
2000-02-02,17.44,17.75,17.38,17.44,5.067264993329,737600,0.0,1.0
2000-02-03,17.38,17.63,17.31,17.5,5.08469824445283,770500,0.0,1.0
2000-02-04,18.0,18.75,18.0,18.56,5.39268568097398,739700,0.0,1.0
2000-02-07,18.88,18.94,18.38,18.38,5.34038592760246,765400,0.0,1.0
2000-02-08,18.38,18.44,17.94,18.0,5.22997533715149,539900,0.0,1.0
2000-02-09,18.0,18.31,17.81,17.94,5.21254208602765,733300,0.0,1.0
