date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,26.5,26.5,26.13,26.25,8.06495657517896,504900,0.0,1.0
1999-11-02,26.25,26.56,26.13,26.25,8.06495657517896,210900,0.0,1.0
1999-11-03,25.75,26.13,25.75,25.94,8.0849269438413,1673000,0.375,1.0
1999-11-04,25.94,25.94,25.0,25.0,7.79194963747234,622500,0.0,1.0
1999-11-05,25.19,25.44,25.0,25.38,7.91038727196192,389000,0.0,1.0
1999-11-08,25.31,25.44,25.0,25.19,7.85116845471713,491600,0.0,1.0
1999-11-09,25.19,25.19,24.56,24.69,7.69532946196769,356800,0.0,1.0
1999-11-10,24.69,24.69,24.0,24.19,7.53949046921824,839600,0.0,1.0
1999-11-11,24.25,24.38,24.0,24.31,7.57689182747811,589100,0.0,1.0
1999-11-12,24.31,24.5,24.25,24.38,7.59870928646303,491300,0.0,1.0
1999-11-15,24.38,24.5,24.19,24.25,7.55819114834817,338100,0.0,1.0
1999-11-16,24.44,24.5,24.13,24.38,7.59870928646303,553000,0.0,1.0
1999-11-17,24.25,24.44,24.13,24.44,7.61740996559296,310400,0.0,1.0
1999-11-18,24.38,24.56,24.13,24.25,7.55819114834817,751600,0.0,1.0
1999-11-19,24.25,24.31,23.81,23.94,7.46157097284352,551800,0.0,1.0
1999-11-22,23.94,24.06,23.69,23.75,7.40235215559873,889800,0.0,1.0
1999-11-23,23.75,23.81,23.38,23.63,7.36495079733886,612700,0.0,1.0
1999-11-24,23.63,23.69,23.31,23.5,7.324432659224,369600,0.0,1.0
1999-11-26,23.25,23.44,23.06,23.25,7.24651316284928,229100,0.0,1.0
1999-11-29,22.88,22.94,22.13,22.56,7.03145535285504,719700,0.0,1.0
1999-11-30,22.38,23.38,22.38,23.31,7.26521384197921,835300,0.0,1.0
1999-12-01,23.0,23.44,23.0,23.31,7.26521384197921,602000,0.0,1.0
1999-12-02,23.5,23.88,23.31,23.81,7.42105283472866,602300,0.0,1.0
1999-12-03,23.63,23.94,23.63,23.88,7.44287029371358,489800,0.0,1.0
1999-12-06,23.81,24.0,23.69,23.88,7.44287029371358,664700,0.0,1.0
1999-12-07,23.88,23.88,23.56,23.69,7.38365147646879,583400,0.0,1.0
1999-12-08,23.63,23.69,23.38,23.44,7.30573198009407,626000,0.0,1.0
1999-12-09,23.44,23.5,23.13,23.19,7.22781248371935,443500,0.0,1.0
1999-12-10,23.19,23.31,22.75,22.88,7.13119230821469,520100,0.0,1.0
1999-12-13,22.75,22.94,22.63,22.88,7.13119230821469,650000,0.0,1.0
1999-12-14,22.88,23.13,22.75,23.06,7.18729434560449,719600,0.0,1.0
1999-12-15,23.06,23.19,22.81,22.94,7.14989298734462,465300,0.0,1.0
1999-12-16,22.88,22.94,22.69,22.69,7.0719734909699,272400,0.0,1.0
1999-12-17,22.88,22.88,22.38,22.88,7.13119230821469,1293100,0.0,1.0
1999-12-20,22.88,22.88,22.5,22.69,7.0719734909699,410900,0.0,1.0
1999-12-21,22.56,22.88,22.38,22.63,7.05327281183997,965600,0.0,1.0
1999-12-22,22.5,23.0,22.44,22.94,7.14989298734462,649300,0.0,1.0
1999-12-23,22.94,23.0,22.88,22.94,7.14989298734462,239600,0.0,1.0
1999-12-27,23.0,23.0,22.81,22.81,7.10937484922977,405700,0.0,1.0
1999-12-28,22.81,23.0,22.81,22.88,7.13119230821469,348200,0.0,1.0
1999-12-29,22.81,22.81,22.38,22.69,7.0719734909699,284400,0.0,1.0
1999-12-30,22.63,22.75,22.5,22.69,7.0719734909699,316100,0.0,1.0
1999-12-31,22.44,22.75,22.38,22.69,7.0719734909699,162400,0.0,1.0
2000-01-03,22.44,22.5,21.88,22.06,6.8756163601056,532500,0.0,1.0
2000-01-04,22.0,22.38,21.88,22.06,6.8756163601056,887800,0.0,1.0
2000-01-05,22.13,23.0,22.13,22.94,7.14989298734462,532000,0.0,1.0
2000-01-06,22.88,23.06,22.81,22.94,7.14989298734462,359000,0.0,1.0
2000-01-07,22.94,23.19,22.88,23.06,7.18729434560449,378100,0.0,1.0
2000-01-10,23.06,23.38,22.94,23.13,7.20911180458941,407000,0.0,1.0
2000-01-11,23.0,23.38,23.0,23.38,7.28703130096414,479900,0.0,1.0
2000-01-12,23.13,23.5,23.13,23.44,7.30573198009407,935600,0.0,1.0
2000-01-13,23.56,23.56,23.38,23.38,7.28703130096414,581400,0.0,1.0
2000-01-14,23.56,23.56,23.19,23.25,7.24651316284928,835800,0.0,1.0
2000-01-18,23.13,23.25,22.81,22.88,7.13119230821469,561300,0.0,1.0
2000-01-19,22.81,23.0,22.5,22.81,7.10937484922977,638200,0.0,1.0
2000-01-20,22.75,22.88,22.56,22.75,7.09067417009983,410400,0.0,1.0
2000-01-21,22.75,23.0,22.56,23.0,7.16859366647456,819800,0.0,1.0
2000-01-24,23.0,23.38,22.94,23.13,7.20911180458941,556700,0.0,1.0
2000-01-25,23.06,23.31,22.69,22.81,7.10937484922977,673400,0.0,1.0
2000-01-26,22.81,23.31,22.81,23.13,7.20911180458941,1349700,0.0,1.0
2000-01-27,23.13,23.25,23.0,23.13,7.20911180458941,808900,0.0,1.0
2000-01-28,23.13,23.19,22.5,22.69,7.0719734909699,909000,0.0,1.0
2000-01-31,22.75,23.06,22.69,22.75,7.09067417009983,523000,0.0,1.0
2000-02-01,22.81,23.13,22.75,22.94,7.14989298734462,289500,0.0,1.0
2000-02-02,22.88,23.13,22.81,22.88,7.13119230821469,3666600,0.0,1.0
2000-02-03,22.75,23.13,22.69,22.88,7.24807155277677,618100,0.375,1.0
2000-02-04,22.94,22.94,22.19,22.31,7.06750333664553,688000,0.0,1.0
2000-02-07,22.13,22.25,22.0,22.0,6.96929956997767,311400,0.0,1.0
2000-02-08,22.0,22.31,22.0,22.13,7.01048179470935,202500,0.0,1.0
2000-02-09,22.13,22.38,22.13,22.31,7.06750333664553,523800,0.0,1.0
2000-02-10,22.31,22.38,21.88,22.0,6.96929956997767,439900,0.0,1.0
2000-02-11,22.0,22.19,21.56,21.69,6.8710958033098,940600,0.0,1.0
2000-02-14,21.69,21.75,21.5,21.63,6.85208862266441,625700,0.0,1.0
2000-02-15,21.63,21.94,21.56,21.63,6.85208862266441,392500,0.0,1.0
2000-02-16,21.63,21.88,21.44,21.69,6.8710958033098,460400,0.0,1.0
2000-02-17,21.56,21.63,21.0,21.0,6.65251322588777,910200,0.0,1.0
2000-02-18,20.88,20.94,20.44,20.44,6.47511287319743,1194200,0.0,1.0
2000-02-22,20.44,20.5,19.88,20.06,6.35473406244327,714900,0.0,1.0
2000-02-23,20.0,20.31,20.0,20.13,6.37690910652957,503600,0.0,1.0
2000-02-24,20.13,20.13,19.38,19.56,6.19634089039833,398500,0.0,1.0
2000-02-25,19.25,19.5,18.88,19.0,6.01894053770799,1887500,0.0,1.0
2000-02-28,19.0,19.31,18.94,19.19,6.07912994308507,877100,0.0,1.0
2000-02-29,19.13,19.31,18.5,18.5,5.86054736566304,822800,0.0,1.0
2000-03-01,19.75,19.75,18.88,19.0,6.01894053770799,880200,0.0,1.0
2000-03-02,19.19,19.25,18.81,18.94,5.99993335706259,534300,0.0,1.0
2000-03-03,18.88,19.5,18.88,19.19,6.07912994308507,820100,0.0,1.0
2000-03-06,19.06,19.31,18.38,18.5,5.86054736566304,1076700,0.0,1.0
2000-03-07,18.5,18.5,18.13,18.19,5.76234359899517,712500,0.0,1.0
2000-03-08,18.0,18.38,18.0,18.19,5.76234359899517,605300,0.0,1.0
2000-03-09,18.19,18.5,18.0,18.5,5.86054736566304,392100,0.0,1.0
2000-03-10,18.5,18.5,18.19,18.31,5.80035796028596,264600,0.0,1.0
2000-03-13,18.19,18.38,18.0,18.19,5.76234359899517,384900,0.0,1.0
2000-03-14,18.19,18.5,18.13,18.38,5.82253300437225,535700,0.0,1.0
2000-03-15,18.31,19.38,18.31,19.06,6.03794771835338,614400,0.0,1.0
2000-03-16,18.94,20.31,18.94,20.13,6.37690910652957,491300,0.0,1.0
2000-03-17,20.13,20.13,19.5,19.5,6.17733370975293,812400,0.0,1.0
2000-03-20,19.56,19.75,19.38,19.56,6.19634089039833,575300,0.0,1.0
2000-03-21,19.56,20.13,19.56,19.81,6.2755374764208,543800,0.0,1.0
2000-03-22,19.75,19.81,19.25,19.5,6.17733370975293,797400,0.0,1.0
2000-03-23,19.31,19.88,19.19,19.5,6.17733370975293,524400,0.0,1.0
2000-03-24,19.5,20.0,19.44,19.94,6.31671970115249,546000,0.0,1.0
2000-03-27,20.0,20.25,19.94,20.06,6.35473406244327,319300,0.0,1.0
2000-03-28,19.81,20.06,19.63,19.81,6.2755374764208,495200,0.0,1.0
2000-03-29,19.75,20.25,19.69,20.13,6.37690910652957,499700,0.0,1.0
2000-03-30,20.38,20.69,20.25,20.56,6.51312723448822,449000,0.0,1.0
2000-03-31,20.38,20.88,20.19,20.63,6.53530227857451,563100,0.0,1.0
2000-04-03,20.63,21.06,20.56,21.06,6.67152040653317,676400,0.0,1.0
2000-04-04,21.0,21.69,21.0,21.44,6.79189921728733,495500,0.0,1.0
2000-04-05,21.56,22.19,21.44,22.0,6.96929956997767,765000,0.0,1.0
2000-04-06,22.06,22.19,21.63,21.88,6.93128520868688,809900,0.0,1.0
2000-04-07,21.88,21.94,21.5,21.63,6.85208862266441,568600,0.0,1.0
2000-04-10,21.63,22.06,21.56,21.81,6.90911016460059,974500,0.0,1.0
2000-04-11,21.69,22.25,21.69,22.25,7.04849615600014,750800,0.0,1.0
2000-04-12,22.5,23.25,22.38,23.0,7.28608591406756,750700,0.0,1.0
2000-04-13,23.13,24.5,23.0,24.38,7.72325106891162,761000,0.0,1.0
2000-04-14,24.13,25.0,24.0,24.19,7.66306166353454,1194700,0.0,1.0
2000-04-17,24.0,24.88,23.88,24.81,7.85946919687027,1449800,0.0,1.0
2000-04-18,25.0,25.63,25.0,25.19,7.97984800762443,705800,0.0,1.0
2000-04-19,25.19,25.19,24.13,24.69,7.82145483557948,391400,0.0,1.0
2000-04-20,24.75,24.81,24.19,24.44,7.74225824955701,568900,0.0,1.0
2000-04-24,24.5,25.75,24.38,25.75,8.15724836031477,939500,0.0,1.0
2000-04-25,25.75,26.31,25.56,26.19,8.29663435171432,867900,0.0,1.0
2000-04-26,25.88,26.88,25.88,26.75,8.47403470440466,427400,0.0,1.0
2000-04-27,26.56,26.56,25.63,25.81,8.17625554096016,727800,0.0,1.0
2000-04-28,25.94,25.94,25.19,25.44,8.0590445936469,455900,0.0,1.0
2000-05-01,25.5,25.69,25.19,25.25,7.99885518826982,503300,0.0,1.0
2000-05-02,25.06,25.13,24.5,25.06,7.93866578289274,1164100,0.0,1.0
2000-05-03,24.44,24.75,24.13,24.5,7.88006030923611,1272700,0.375,1.0
2000-05-04,24.5,24.81,23.75,24.38,7.84146409547659,988300,0.0,1.0
2000-05-05,24.31,24.31,23.81,23.94,7.699944645025,409600,0.0,1.0
2000-05-08,24.06,25.0,23.75,24.44,7.86076220235635,693500,0.0,1.0
2000-05-09,24.38,24.56,24.19,24.38,7.84146409547659,444700,0.0,1.0
2000-05-10,24.44,24.81,24.19,24.38,7.84146409547659,346000,0.0,1.0
2000-05-11,24.0,24.56,24.0,24.56,7.89935841611588,431700,0.0,1.0
2000-05-12,24.5,24.56,24.0,24.13,7.76105531681092,639400,0.0,1.0
2000-05-15,24.19,24.81,24.13,24.69,7.94117098102203,908300,0.0,1.0
2000-05-16,24.94,24.94,24.25,24.56,7.89935841611588,823600,0.0,1.0
2000-05-17,24.5,24.5,23.31,23.75,7.63883397323909,338900,0.0,1.0
2000-05-18,23.94,24.63,23.94,24.44,7.86076220235635,342700,0.0,1.0
2000-05-19,24.25,24.81,24.13,24.75,7.96046908790179,788800,0.0,1.0
2000-05-22,24.63,25.31,24.63,25.13,8.08269043147361,448500,0.0,1.0
2000-05-23,24.94,25.19,24.63,24.88,8.00228165280794,460600,0.0,1.0
2000-05-24,25.06,25.63,24.81,25.06,8.06017597344722,516500,0.0,1.0
2000-05-25,24.94,25.0,24.69,25.0,8.04087786656746,424600,0.0,1.0
2000-05-26,25.25,25.38,25.06,25.31,8.1405847521129,464500,0.0,1.0
2000-05-30,25.31,25.31,24.56,25.06,8.06017597344722,815000,0.0,1.0
2000-05-31,25.13,25.5,24.94,25.13,8.08269043147361,496300,0.0,1.0
2000-06-01,25.38,25.38,24.81,25.13,8.08269043147361,478900,0.0,1.0
2000-06-02,25.75,25.75,24.56,24.69,7.94117098102203,347200,0.0,1.0
2000-06-05,24.5,24.5,23.69,23.81,7.65813208011885,390800,0.0,1.0
2000-06-06,23.88,24.5,23.81,24.31,7.8189496374502,379200,0.0,1.0
2000-06-07,24.5,24.69,24.38,24.5,7.88006030923611,234300,0.0,1.0
2000-06-08,24.56,24.56,23.88,24.5,7.88006030923611,306100,0.0,1.0
2000-06-09,24.5,24.88,24.38,24.75,7.96046908790179,339300,0.0,1.0
2000-06-12,24.75,25.0,24.69,24.94,8.0215797596877,311700,0.0,1.0
2000-06-13,24.94,25.5,24.94,25.25,8.12128664523314,244100,0.0,1.0
2000-06-14,25.06,25.13,24.63,24.69,7.94117098102203,387400,0.0,1.0
2000-06-15,24.44,25.38,24.44,25.25,8.12128664523314,437700,0.0,1.0
2000-06-16,25.25,25.5,25.25,25.31,8.1405847521129,611400,0.0,1.0
2000-06-19,25.31,25.5,25.0,25.0,8.04087786656746,666800,0.0,1.0
2000-06-20,25.0,25.06,24.63,24.88,8.00228165280794,309400,0.0,1.0
2000-06-21,24.94,25.44,24.75,24.75,7.96046908790179,439000,0.0,1.0
2000-06-22,24.69,24.75,24.19,24.63,7.92187287414226,449300,0.0,1.0
2000-06-23,24.38,24.75,24.06,24.44,7.86076220235635,584500,0.0,1.0
2000-06-26,24.38,25.38,24.31,25.0,8.04087786656746,678700,0.0,1.0
2000-06-27,25.06,25.13,24.13,24.38,7.84146409547659,504900,0.0,1.0
2000-06-28,24.25,25.13,23.63,25.06,8.06017597344722,399800,0.0,1.0
2000-06-29,24.94,25.19,24.13,24.25,7.79965153057044,434100,0.0,1.0
2000-06-30,24.06,25.13,23.25,23.38,7.51982898081389,890000,0.0,1.0
2000-07-03,23.56,24.19,23.56,24.06,7.73854085878453,250400,0.0,1.0
2000-07-05,24.25,24.81,23.63,23.88,7.68064653814524,292500,0.0,1.0
2000-07-06,23.94,24.25,23.75,24.0,7.71924275190476,269300,0.0,1.0
2000-07-07,23.88,24.38,23.88,24.31,7.8189496374502,175300,0.0,1.0
2000-07-10,24.06,24.69,24.06,24.44,7.86076220235635,628300,0.0,1.0
2000-07-11,24.44,24.81,24.06,24.81,7.97976719478155,415800,0.0,1.0
2000-07-12,24.38,24.75,24.25,24.56,7.89935841611588,283400,0.0,1.0
2000-07-13,24.44,24.5,24.19,24.31,7.8189496374502,491300,0.0,1.0
2000-07-14,24.38,24.5,24.0,24.13,7.76105531681092,414300,0.0,1.0
2000-07-17,24.06,24.5,24.0,24.31,7.8189496374502,192400,0.0,1.0
2000-07-18,24.31,24.75,24.19,24.56,7.89935841611588,273000,0.0,1.0
2000-07-19,24.81,25.63,24.81,25.44,8.18239731701905,601900,0.0,1.0
