date,open,high,low,close,adjClose,volume,dividend,split
2019-03-13,38.6,39.3,38.0,39.2,35.4872041685652,305985,0.0,1.0
2019-03-14,39.5,40.65,39.32,39.96,36.1752213922414,279685,0.0,1.0
2019-03-15,40.55,41.05,40.5,41.02,37.1348243621057,164177,0.0,1.0
2019-03-18,41.73,41.73,40.47,40.86,36.9899786308054,581717,0.0,1.0
2019-03-19,41.4,41.4,39.05,39.55,35.8040542057845,2540234,0.0,1.0
2019-03-20,39.85,39.851,37.46,37.6,34.0387468555625,5147908,0.0,1.0
2019-03-21,38.0,38.91,37.84,38.88,35.1975127059646,8865546,0.0,1.0
2019-03-22,38.76,38.84,36.55,37.46,33.9120068406748,4902540,0.0,1.0
2019-03-25,37.57,37.81,36.35,36.45,32.9976681618419,4035118,0.0,1.0
2019-03-26,36.46,37.35,36.46,36.71,33.2330424752048,3350854,0.0,1.0
2019-03-27,36.75,37.17,36.06,36.2,32.7713467066852,2871305,0.0,1.0
2019-03-28,36.14,36.47,35.55,35.67,32.2915452217531,2220583,0.0,1.0
2019-03-29,35.88,36.17,35.39,35.88,32.4816552440847,2679171,0.0,1.0
2019-04-01,36.17,36.34,35.94,36.15,32.7260824156538,4338366,0.0,1.0
2019-04-02,36.21,36.46,35.21,35.7,32.3187037963719,1491180,0.0,1.0
2019-04-03,35.78,35.89,35.3,35.5,32.1376466322465,2831551,0.0,1.0
2019-04-04,35.56,36.07,35.39,36.03,32.6174481171787,2223200,0.0,1.0
2019-04-05,35.99,37.09,35.94,36.98,33.477469646774,2116209,0.0,1.0
2019-04-08,36.94,36.94,36.65,36.85,33.3597824900925,1928972,0.0,1.0
2019-04-09,36.81,37.07,36.59,36.89,33.3959939229176,1793850,0.0,1.0
2019-04-10,36.91,37.05,35.86,35.93,32.526919535116,843636,0.0,1.0
2019-04-11,35.98,36.5,35.53,36.41,32.9614567290168,978211,0.0,1.0
2019-04-12,36.47,37.08,35.92,36.95,33.4503110721552,3175196,0.0,1.0
2019-04-15,36.91,36.99,36.47,36.98,33.477469646774,891220,0.0,1.0
2019-04-16,37.11,37.28,36.93,37.21,33.6856853855181,1869325,0.0,1.0
2019-04-17,37.18,38.25,37.18,38.21,34.5909712061448,2122111,0.0,1.0
2019-04-18,38.34,38.37,37.92,37.92,34.328438318163,2315174,0.0,1.0
2019-04-22,37.84,37.88,37.11,37.24,33.7128439601369,1665002,0.0,1.0
2019-04-23,37.22,37.82,37.07,37.6,34.0387468555625,5455096,0.0,1.0
2019-04-24,37.51,37.76,37.33,37.45,33.9029539824685,1230821,0.0,1.0
2019-04-25,37.48,37.68,37.04,37.64,34.0749582883876,1422924,0.0,1.0
2019-04-26,37.8,37.94,37.4,37.91,34.3193854599568,2505690,0.0,1.0
2019-04-29,37.74,38.91,37.69,38.73,35.0617198328706,1716829,0.0,1.0
2019-04-30,38.59,38.78,37.89,38.5,34.8535040941265,1809965,0.0,1.0
2019-05-01,38.66,38.8,38.09,38.74,35.0707726910769,1474972,0.0,1.0
2019-05-02,38.75,38.8,36.5,36.84,33.3507296318863,2627742,0.0,1.0
2019-05-03,36.86,37.26,36.64,37.02,33.513681079599,1229683,0.0,1.0
2019-05-06,36.72,37.4,36.47,37.31,33.7762139675808,1534153,0.0,1.0
2019-05-07,36.97,37.22,36.575,36.7,33.2239896169985,1412324,0.0,1.0
2019-05-08,36.56,37.08,36.27,36.82,33.3326239154737,2108681,0.0,1.0
2019-05-09,38.08,38.63,36.95,37.97,34.3737026091944,3458170,0.0,1.0
2019-05-10,37.9,38.25,36.98,38.05,34.4461254748445,1633502,0.0,1.0
2019-05-13,37.48,38.15,37.22,37.5,33.9482182734998,1598369,0.0,1.0
2019-05-14,37.54,38.025,37.405,37.48,33.9301125570873,1663135,0.0,1.0
2019-05-15,37.24,37.48,37.13,37.23,33.7037911019306,873872,0.0,1.0
2019-05-16,37.28,37.6,36.28,36.32,32.8799810051604,2679971,0.0,1.0
2019-05-17,36.08,37.07,36.08,36.83,33.5498925124241,1084397,0.23,1.0
2019-05-20,36.54,37.14,36.54,36.68,33.4132516251891,996354,0.0,1.0
2019-05-21,36.82,37.525,36.64,37.18,33.8687212493057,1272400,0.0,1.0
2019-05-22,37.1,37.29,36.62,36.67,33.4041422327068,830229,0.0,1.0
2019-05-23,36.39,36.63,36.18,36.51,33.2583919529895,1860127,0.0,1.0
2019-05-24,36.51,36.76,36.4,36.45,33.2037355980955,828141,0.0,1.0
2019-05-28,36.59,36.95,36.11,36.16,32.9395632161079,2384643,0.0,1.0
2019-05-29,36.0,36.16,35.28,35.3,32.1561554626275,1437579,0.0,1.0
2019-05-30,35.36,35.695,34.69,34.81,31.7097952309933,1079668,0.0,1.0
2019-05-31,34.55,34.81,34.25,34.71,31.61870130617,1736450,0.0,1.0
2019-06-03,34.61,34.81,33.32,33.78,30.7715278053132,2219530,0.0,1.0
2019-06-04,34.03,34.81,33.75,34.09,31.0539189722655,2276227,0.0,1.0
2019-06-05,34.24,34.57,33.9,34.02,30.9901532248892,1346948,0.0,1.0
2019-06-06,34.01,34.23,33.6,33.74,30.7350902353839,1209050,0.0,1.0
2019-06-07,33.84,34.05,33.66,33.68,30.6804338804899,925130,0.0,1.0
2019-06-10,33.86,34.0377,33.56,33.74,30.7350902353839,1142811,0.0,1.0
2019-06-11,33.77,34.04,33.65,33.83,30.8170747677249,1201832,0.0,1.0
2019-06-12,33.81,34.735,33.8,34.7,31.6095919136877,2240306,0.0,1.0
2019-06-13,34.96,35.12,34.6,34.94,31.8282173332636,1315426,0.0,1.0
2019-06-14,34.99,35.16,34.56,34.96,31.8464361182283,2414743,0.0,1.0
2019-06-17,35.18,35.965,35.04,35.8,32.611625086744,2287969,0.0,1.0
2019-06-18,36.09,36.72,35.71,35.83,32.638953264191,2680862,0.0,1.0
2019-06-19,35.88,36.08,35.35,35.74,32.5569687318501,2011514,0.0,1.0
2019-06-20,36.15,36.15,35.31,35.35,32.2017024250392,1879719,0.0,1.0
2019-06-21,35.36,37.0,35.04,35.88,32.6845002266027,4338334,0.0,1.0
2019-06-24,35.72,35.79,35.39,35.54,32.3747808822034,1621068,0.0,1.0
2019-06-25,35.45,35.52,34.9,35.19,32.0559521453219,1853675,0.0,1.0
2019-06-26,35.46,35.89,35.16,35.31,32.1652648551098,2271879,0.0,1.0
2019-06-27,35.36,36.12,35.06,35.75,32.5660781243324,2880867,0.0,1.0
2019-06-28,35.89,36.64,35.67,36.53,33.2766107379542,4921105,0.0,1.0
2019-07-01,36.82,36.87,35.715,35.96,32.7573753664613,2691314,0.0,1.0
2019-07-02,35.96,36.57,35.96,36.53,33.2766107379542,1431153,0.0,1.0
2019-07-03,36.7,36.77,36.31,36.35,33.1126416732722,918880,0.0,1.0
2019-07-05,36.28,36.77,36.07,36.56,33.3039389154012,1190558,0.0,1.0
2019-07-08,36.36,36.935,36.05,36.13,32.912235038661,910742,0.0,1.0
2019-07-09,35.98,36.29,35.79,36.01,32.802922328873,1661275,0.0,1.0
2019-07-10,36.11,36.41,36.03,36.14,32.9213444311433,1177618,0.0,1.0
2019-07-11,36.13,36.37,35.85,36.31,33.0762041033429,1206502,0.0,1.0
2019-07-12,36.32,37.01,36.32,36.96,33.6683146146944,1582893,0.0,1.0
2019-07-15,37.12,37.21,36.61,37.04,33.7411897545531,1344926,0.0,1.0
2019-07-16,37.08,37.11,36.61,36.69,33.4223610176715,1613120,0.0,1.0
2019-07-17,36.62,36.72,36.093,36.17,32.9486726085903,1892152,0.0,1.0
2019-07-18,36.1,36.76,36.0,36.61,33.3494858778128,3015699,0.0,1.0
2019-07-19,36.71,36.76,36.2,36.45,33.2037355980955,1934281,0.0,1.0
2019-07-22,36.47,36.64,36.28,36.32,33.0853134958252,1557766,0.0,1.0
2019-07-23,36.35,36.75,35.99,36.51,33.2583919529895,2003214,0.0,1.0
2019-07-24,36.46,37.08,36.44,36.89,33.6045488673181,1233524,0.0,1.0
2019-07-25,36.91,37.54,36.9,37.43,34.096456061364,1411803,0.0,1.0
2019-07-26,37.37,38.03,37.33,37.49,34.1511124162579,915589,0.0,1.0
2019-07-29,37.44,37.84,37.34,37.69,34.3333002659046,885755,0.0,1.0
2019-07-30,37.5,38.06,37.5,37.85,34.4790505456218,1825475,0.0,1.0
2019-07-31,37.7,37.7,36.772,37.2,33.8869400342704,1831333,0.0,1.0
2019-08-01,37.16,37.45,36.69,36.84,33.5590019049064,1757944,0.0,1.0
2019-08-02,36.84,36.85,36.29,36.56,33.3039389154012,1113369,0.0,1.0
2019-08-05,36.28,36.48,35.75,36.0,32.7938129363907,2043727,0.0,1.0
2019-08-06,35.93,36.51,35.85,36.4,33.1581886356839,1536308,0.0,1.0
2019-08-07,36.05,36.93,35.76,36.79,33.5134549424948,1784859,0.0,1.0
2019-08-08,37.34,37.34,34.89,35.0,31.8828736881576,3361133,0.0,1.0
2019-08-09,34.95,35.56,34.88,35.37,32.2199212100038,1337114,0.0,1.0
2019-08-12,35.28,35.28,34.67,34.81,31.7097952309933,1335099,0.0,1.0
2019-08-13,34.67,35.53,34.67,35.0,31.8828736881576,1716149,0.0,1.0
2019-08-14,34.78,34.78,33.37,33.66,30.6622150955253,1372250,0.0,1.0
2019-08-15,33.65,34.03,32.71,32.81,29.8879167345272,2016945,0.0,1.0
2019-08-16,33.09,33.29,32.71,33.01,30.0701045841738,1410314,0.0,1.0
2019-08-19,33.31,33.9,33.3,33.6,30.6075587406313,1633531,0.0,1.0
2019-08-20,33.5,33.82,33.25,33.36,30.3889333210553,1711158,0.0,1.0
2019-08-21,33.47,33.51,32.87,33.15,30.1976360789264,1408738,0.0,1.0
2019-08-22,33.19,33.34,32.73,32.82,29.8970261270095,1438751,0.0,1.0
2019-08-23,32.66,32.72,31.33,31.44,28.6399299644478,1475591,0.0,1.0
2019-08-26,31.67,31.82,31.28,31.71,28.8858835614708,1508608,0.0,1.0
2019-08-27,31.9,32.05,31.61,31.62,28.8038990291298,1763496,0.0,1.0
2019-08-28,31.67,31.94,31.33,31.56,28.7492426742358,1001974,0.0,1.0
2019-08-29,31.78,32.8,31.665,32.45,29.5599786051632,1727754,0.0,1.0
2019-08-30,33.27,33.31,32.47,32.8,29.8788073420448,1295528,0.0,1.0
2019-09-03,32.4,32.735,32.16,32.43,29.7512758472922,986431,0.23,1.0
2019-09-04,32.65,33.26,32.535,33.21,30.4668476993085,971059,0.0,1.0
2019-09-05,33.52,34.03,33.23,33.91,31.1090275665026,965302,0.0,1.0
2019-09-06,33.95,34.35,33.73,33.87,31.0723315740915,875145,0.0,1.0
2019-09-09,33.68,34.02,33.31,33.99,31.1824195513247,792534,0.0,1.0
2019-09-10,33.76,34.42,33.76,34.22,31.3934215076885,1421815,0.0,1.0
2019-09-11,34.1,34.23,33.62,33.97,31.1640715551192,1073821,0.0,1.0
2019-09-12,34.12,34.12,33.59,33.7,30.9163736063443,1159707,0.0,1.0
2019-09-13,33.68,34.08,33.45,33.71,30.9255476044471,938782,0.0,1.0
2019-09-16,33.52,33.66,33.35,33.49,30.7237196461861,653062,0.0,1.0
2019-09-17,33.46,33.46,32.72,32.82,30.1090617733003,890641,0.0,1.0
2019-09-18,32.68,32.84,32.03,32.5,29.8154938340116,1212803,0.0,1.0
2019-09-19,32.57,32.66,31.9,31.97,29.3292719345646,635227,0.0,1.0
2019-09-20,31.89,32.3,31.63,32.08,29.4301859136951,1598772,0.0,1.0
2019-09-23,32.16,32.335,31.88,32.18,29.5219258947229,855046,0.0,1.0
2019-09-24,32.32,32.35,31.4,31.53,28.9256160180426,1208646,0.0,1.0
2019-09-25,31.48,32.17,31.48,32.0,29.356793928873,1459454,0.0,1.0
2019-09-26,32.06,32.06,31.35,31.47,28.870572029426,1318245,0.0,1.0
2019-09-27,31.51,31.71,31.13,31.48,28.8797460275288,870745,0.0,1.0
2019-09-30,31.68,31.85,31.34,31.54,28.9347900161454,712092,0.0,1.0
2019-10-01,31.7,32.01,31.13,31.18,28.6045260844456,880723,0.0,1.0
2019-10-02,30.99,31.2,30.26,30.31,27.8063882495044,1123876,0.0,1.0
2019-10-03,30.25,30.43,29.67,30.39,27.8797802343265,1074102,0.0,1.0
2019-10-04,30.5,30.78,30.34,30.485,27.9669332163029,998978,0.0,1.0
2019-10-07,30.51,31.04,30.48,30.49,27.9715202153543,962561,0.0,1.0
2019-10-08,30.21,30.21,29.61,30.035,27.5541033016781,1234910,0.0,1.0
2019-10-09,30.21,30.41,29.94,30.26,27.7605182589905,1147602,0.0,1.0
2019-10-10,30.22,30.53,30.05,30.425,27.9118892276862,1167354,0.0,1.0
2019-10-11,30.65,31.48,30.63,31.16,28.58617808824,1571702,0.0,1.0
2019-10-14,31.06,31.13,30.745,31.01,28.4485681166984,1178758,0.0,1.0
2019-10-15,31.02,31.51,30.8,31.44,28.8430500351177,1148910,0.0,1.0
2019-10-16,31.35,31.59,31.26,31.585,28.9760730076079,1160056,0.0,1.0
2019-10-17,31.5,31.72,31.15,31.49,28.8889200256315,2047636,0.0,1.0
2019-10-18,31.63,32.07,31.48,31.525,28.9210290189912,2453810,0.0,1.0
2019-10-21,31.71,32.155,31.57,32.09,29.4393599117979,1581784,0.0,1.0
2019-10-22,32.16,32.86,31.928,32.77,30.0631917827865,1523424,0.0,1.0
2019-10-23,32.87,33.01,32.5,32.61,29.9164078131421,905060,0.0,1.0
2019-10-24,32.56,32.73,31.2,31.6,28.989834004762,1456268,0.0,1.0
2019-10-25,31.62,32.06,31.62,31.7,29.0815739857898,1282118,0.0,1.0
