date,open,high,low,close,adjClose,volume,dividend,split
2019-03-12,38.0,38.0,38.0,38.0,34.5917783925494,10000,0.0,1.0
2019-03-13,39.0,39.9,38.7,39.75,36.184820818522,20477364,0.0,1.0
2019-03-14,39.75,41.4,39.75,40.65,37.0040997804508,6248563,0.0,1.0
2019-03-15,41.38,41.87,41.24,41.7,37.9599252360344,7107258,0.0,1.0
2019-03-18,41.95,41.95,41.05,41.7,37.9599252360344,4020942,0.0,1.0
2019-03-19,41.55,41.7,39.84,40.34,36.7219036935642,10118472,0.0,1.0
2019-03-20,40.49,40.81,38.24,38.62,35.1561705663225,15683238,0.0,1.0
2019-03-21,39.0,40.07,38.75,40.02,36.4306045071007,12751732,0.0,1.0
2019-03-22,39.93,39.99,37.69,38.72,35.2472015620924,10897994,0.0,1.0
2019-03-25,38.89,38.96,37.39,37.44,34.0820048162381,9338926,0.0,1.0
2019-03-26,37.65,38.28,37.51,37.54,34.173035812008,6287100,0.0,1.0
2019-03-27,37.52,37.91,36.76,36.92,33.6086436382348,5578118,0.0,1.0
2019-03-28,36.85,37.15,36.34,36.4,33.1352824602315,5326238,0.0,1.0
2019-03-29,36.55,36.91,36.15,36.71,33.4174785471181,5895347,0.0,1.0
2019-04-01,36.91,37.15,36.71,36.85,33.5449219411959,5311201,0.0,1.0
2019-04-02,36.96,37.18,35.9,36.28,33.0260452653076,6704831,0.0,1.0
2019-04-03,36.37,36.56,35.9,36.08,32.8439832737679,8393708,0.0,1.0
2019-04-04,36.2,36.8,36.01,36.76,33.462994045003,4908406,0.0,1.0
2019-04-05,36.79,37.85,36.69,37.68,34.3004792060858,7344894,0.0,1.0
2019-04-08,37.6,37.68,37.265,37.47,34.1093141149691,3393260,0.0,1.0
2019-04-09,37.42,37.65,37.17,37.31,33.9636645217373,5725894,0.0,1.0
2019-04-10,37.33,37.53,36.36,36.48,33.2081072568474,4828362,0.0,1.0
2019-04-11,36.57,37.16,35.99,37.09,33.7633963310436,4791432,0.0,1.0
2019-04-12,37.15,37.62,36.47,37.53,34.163932712431,6368477,0.0,1.0
2019-04-15,37.46,37.57,36.99,37.53,34.163932712431,3927062,0.0,1.0
2019-04-16,37.67,37.85,37.47,37.75,34.3642009031247,5721982,0.0,1.0
2019-04-17,37.87,38.85,37.76,38.84,35.3564387570162,7603795,0.0,1.0
2019-04-18,38.91,39.0,38.43,38.44,34.9923147739368,4737418,0.0,1.0
2019-04-22,38.36,38.44,37.62,37.7,34.3186854052397,7675316,0.0,1.0
2019-04-23,37.79,38.39,37.63,38.08,34.6646031891652,6328827,0.0,1.0
2019-04-24,37.95,38.31,37.805,37.96,34.5553659942414,5323550,0.0,1.0
2019-04-25,37.98,38.2,37.54,38.15,34.7283248862041,5309675,0.0,1.0
2019-04-26,38.08,38.53,37.9,38.48,35.0287271722447,5297417,0.0,1.0
2019-04-29,38.54,39.525,38.31,39.2,35.6841503417877,6885177,0.0,1.0
2019-04-30,39.19,39.33,38.47,38.99,35.492985250671,5044352,0.0,1.0
2019-05-01,39.12,39.49,38.66,39.4,35.8662123333275,5149829,0.0,1.0
2019-05-02,39.23,39.47,37.08,37.28,33.9363552230063,11495855,0.0,1.0
2019-05-03,37.41,37.75,37.12,37.47,34.1093141149691,4809763,0.0,1.0
2019-05-06,37.17,37.99,36.96,37.92,34.5189535959335,4801609,0.0,1.0
2019-05-07,37.58,37.81,37.12,37.26,33.9181490238523,6053297,0.0,1.0
2019-05-08,37.34,37.7,36.855,37.42,34.0637986170841,8635285,0.0,1.0
2019-05-09,38.5,39.25,37.51,38.5,35.0469333713987,15210152,0.0,1.0
2019-05-10,38.64,38.75,37.44,38.53,35.0742426701296,6742528,0.0,1.0
2019-05-13,37.77,38.68,37.73,37.97,34.5644690938184,5604035,0.0,1.0
2019-05-14,38.05,38.52,37.872,37.89,34.4916442972025,6198619,0.0,1.0
2019-05-15,37.7,37.97,37.57,37.71,34.3277885048167,2975433,0.0,1.0
2019-05-16,37.91,38.08,36.7,36.74,33.444787845849,8705008,0.0,1.0
2019-05-17,36.56,37.59,36.55,37.32,34.1821389115849,5507954,0.23,1.0
2019-05-20,37.18,37.64,37.0,37.14,34.0172732898249,3670004,0.0,1.0
2019-05-21,37.26,38.0,37.1,37.69,34.5210293563139,4668608,0.0,1.0
2019-05-22,37.66,37.76,37.055,37.12,33.9989548874071,3431178,0.0,1.0
2019-05-23,36.82,37.08,36.63,36.91,33.8066116620204,4431862,0.0,1.0
2019-05-24,37.05,37.205,36.85,36.92,33.8157708632293,2878988,0.0,1.0
2019-05-28,36.97,37.34,36.505,36.64,33.5593132293803,4380381,0.0,1.0
2019-05-29,36.5,36.65,35.79,35.79,32.7807811266245,3691294,0.0,1.0
2019-05-30,35.88,36.155,35.15,35.22,32.2587066577176,4730387,0.0,1.0
2019-05-31,34.97,35.27,34.7,35.23,32.2678658589265,6706125,0.0,1.0
2019-06-03,35.05,35.3,33.78,34.24,31.3611049392462,7665044,0.0,1.0
2019-06-04,34.52,35.25,34.15,34.48,31.5809257682596,8058934,0.0,1.0
2019-06-05,34.62,34.98,34.28,34.36,31.4710153537529,6240649,0.0,1.0
2019-06-06,34.66,34.66,33.98,34.12,31.2511945247395,5288296,0.0,1.0
2019-06-07,34.18,34.44,34.0,34.01,31.1504433114417,4226794,0.0,1.0
2019-06-10,34.05,34.4,33.9,34.03,31.1687617138595,5620499,0.0,1.0
2019-06-11,34.23,34.41,34.01,34.18,31.3061497319929,3166916,0.0,1.0
2019-06-12,34.2,35.1,34.16,35.05,32.1030002371665,4426934,0.0,1.0
2019-06-13,35.17,35.5,34.963,35.29,32.3228210661799,4384777,0.0,1.0
2019-06-14,35.24,35.5,34.93,35.24,32.2770250601354,4362353,0.0,1.0
2019-06-17,35.42,36.325,35.34,36.13,33.0921939677268,7195391,0.0,1.0
2019-06-18,36.45,37.05,36.08,36.19,33.1471491749801,4938850,0.0,1.0
2019-06-19,36.26,36.42,35.6775,35.99,32.9639651508023,4790143,0.0,1.0
2019-06-20,36.38,36.475,35.56,35.58,32.5884379012377,5916524,0.0,1.0
2019-06-21,35.61,37.295,35.31,36.18,33.1379899737713,11402191,0.0,1.0
2019-06-24,36.01,36.07,35.605,35.8,32.7899403278334,5280111,0.0,1.0
2019-06-25,35.78,35.86,35.14,35.34,32.3686170722243,7204375,0.0,1.0
2019-06-26,35.79,36.1,35.33,35.47,32.4876866879399,4297292,0.0,1.0
2019-06-27,35.53,36.33,35.2,35.99,32.9639651508023,5083896,0.0,1.0
2019-06-28,35.98,36.76,35.81,36.64,33.5593132293803,10930138,0.0,1.0
2019-07-01,36.46,36.99,35.74,35.92,32.8998507423401,6407228,0.0,1.0
2019-07-02,36.01,36.62,35.92,36.59,33.5135172233358,3599546,0.0,1.0
2019-07-03,36.6,36.82,36.27,36.35,33.2936963943224,3160332,0.0,1.0
2019-07-05,36.24,36.8,36.075,36.6,33.5226764245447,1981977,0.0,1.0
2019-07-08,36.53,36.675,36.08,36.13,33.0921939677268,1644620,0.0,1.0
2019-07-09,36.03,36.27,35.82,36.02,32.991442754429,2379561,0.0,1.0
2019-07-10,36.19,36.43,36.075,36.14,33.1013531689357,2400697,0.0,1.0
2019-07-11,36.17,36.35,35.85,36.29,33.2387411870691,2986996,0.0,1.0
2019-07-12,36.46,37.04,36.1,36.96,33.8524076680648,2755739,0.0,1.0
2019-07-15,37.03,37.16,36.64,37.01,33.8982036741093,2861593,0.0,1.0
2019-07-16,36.93,37.11,36.63,36.69,33.6051092354247,2721520,0.0,1.0
2019-07-17,36.73,36.76,36.11,36.17,33.1288307725624,5740483,0.0,1.0
2019-07-18,36.17,36.72,35.96,36.55,33.4768804185003,5313845,0.0,1.0
2019-07-19,36.7,36.74,36.14,36.43,33.3669700039936,4402023,0.0,1.0
2019-07-22,36.51,36.61,36.06,36.1,33.0647163641001,7865704,0.0,1.0
2019-07-23,36.19,36.39,35.84,36.22,33.1746267786068,5573558,0.0,1.0
2019-07-24,36.13,36.86,36.13,36.6,33.5226764245447,5980591,0.0,1.0
2019-07-25,36.63,37.34,36.63,37.17,34.0447508934516,3251722,0.0,1.0
2019-07-26,37.29,37.8,37.08,37.21,34.0813876982871,2669100,0.0,1.0
2019-07-29,37.16,37.57,37.07,37.51,34.3561637345539,2130637,0.0,1.0
2019-07-30,37.35,37.98,37.32,37.82,34.6400989720295,2971835,0.0,1.0
2019-07-31,37.67,37.692,36.81,37.32,34.1821389115849,5280629,0.0,1.0
2019-08-01,37.25,37.49,36.725,36.89,33.7882932596026,3280662,0.0,1.0
2019-08-02,36.73,36.96,36.33,36.63,33.5501540281714,2419011,0.0,1.0
2019-08-05,36.47,36.56,35.77,36.05,33.0189203580557,4517227,0.0,1.0
2019-08-06,36.16,36.6,35.93,36.45,33.3852884064113,3366690,0.0,1.0
2019-08-07,35.89,37.15,35.8,37.04,33.925681277736,4657381,0.0,1.0
2019-08-08,37.22,37.25,35.0,35.13,32.1762738468376,9539872,0.0,1.0
2019-08-09,35.11,35.65,34.98,35.4,32.4235722794777,4234434,0.0,1.0
2019-08-12,35.04,35.32,34.7,34.95,32.0114082250775,4172864,0.0,1.0
2019-08-13,34.84,35.59,34.8,35.06,32.1121594383754,2940835,0.0,1.0
2019-08-14,34.7,34.75,33.38,33.69,30.8573488727571,7489849,0.0,1.0
2019-08-15,33.88,34.09,32.725,32.75,29.9963839591213,7043951,0.0,1.0
2019-08-16,33.0,33.3,32.67,32.99,30.2162047881347,3256831,0.0,1.0
2019-08-19,33.32,34.025,33.29,33.87,31.0222144945172,3915125,0.0,1.0
2019-08-20,33.83,34.05,33.52,33.59,30.7657568606682,2810834,0.0,1.0
2019-08-21,33.64,33.725,33.01,33.41,30.6008912389082,3050409,0.0,1.0
2019-08-22,33.38,33.54,32.95,33.05,30.2711599953881,3725374,0.0,1.0
2019-08-23,32.93,33.085,31.63,31.75,29.0804638382321,3868329,0.0,1.0
2019-08-26,31.84,32.14,31.58,32.08,29.3827174781255,3235649,0.0,1.0
2019-08-27,32.22,32.38,31.92,31.93,29.2453294599922,3449444,0.0,1.0
