date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,18.44,18.94,18.25,18.75,6.15741269888623,73700,0.0,1.0
1999-11-02,18.75,19.38,18.75,19.13,6.28220292958365,58700,0.0,1.0
1999-11-03,19.25,19.63,19.0,19.56,6.42341292747811,117500,0.0,1.0
1999-11-04,19.63,19.75,19.38,19.63,6.44640060155395,236600,0.0,1.0
1999-11-05,19.31,19.5,19.0,19.5,6.40370920684167,90400,0.0,1.0
1999-11-08,19.5,19.56,19.25,19.5,6.40370920684167,202100,0.0,1.0
1999-11-09,19.5,19.63,19.31,19.38,6.3643017655688,122200,0.0,1.0
1999-11-10,19.38,19.5,19.13,19.19,6.30190665022009,67400,0.0,1.0
1999-11-11,19.25,19.25,19.06,19.13,6.28220292958365,86600,0.0,1.0
1999-11-12,19.13,19.38,19.13,19.25,6.32161037085653,61300,0.0,1.0
1999-11-15,19.38,19.44,19.0,19.19,6.30190665022009,70500,0.0,1.0
1999-11-16,19.38,19.38,19.0,19.19,6.30190665022009,171700,0.0,1.0
1999-11-17,19.06,19.19,18.94,19.06,6.25921525550781,157200,0.0,1.0
1999-11-18,19.13,19.25,18.94,19.06,6.25921525550781,32100,0.0,1.0
1999-11-19,19.13,19.25,18.63,19.25,6.32161037085653,72400,0.0,1.0
1999-11-22,19.38,19.5,19.0,19.0,6.23951153487138,39300,0.0,1.0
1999-11-23,18.81,19.13,18.5,18.75,6.15741269888623,57300,0.0,1.0
1999-11-24,18.88,19.0,18.63,18.88,6.2001040935985,81400,0.0,1.0
1999-11-26,18.88,18.88,18.5,18.69,6.13770897824979,13100,0.0,1.0
1999-11-29,18.5,18.75,18.25,18.38,6.0359064216282,90700,0.0,1.0
1999-11-30,18.31,18.44,17.88,18.0,5.91111619093078,250000,0.0,1.0
1999-12-01,18.0,18.19,17.88,18.13,5.95380758564305,245000,0.0,1.0
1999-12-02,18.0,18.38,18.0,18.13,5.95380758564305,59200,0.0,1.0
1999-12-03,18.25,18.5,18.0,18.0,5.91111619093078,95200,0.0,1.0
1999-12-06,17.88,18.38,17.88,17.94,5.89141247029434,163000,0.0,1.0
1999-12-07,18.06,18.19,17.88,18.06,5.93081991156721,86700,0.0,1.0
1999-12-08,18.0,18.06,17.88,18.0,5.91111619093078,191200,0.0,1.0
1999-12-09,17.88,18.13,17.81,17.81,5.84872107558206,167000,0.0,1.0
1999-12-10,17.94,18.13,17.81,17.88,5.8717087496579,88200,0.0,1.0
1999-12-13,17.88,18.0,17.5,17.75,5.82901735494563,164500,0.0,1.0
1999-12-14,17.75,18.06,17.13,17.25,5.66481968297533,249300,0.0,1.0
1999-12-15,17.19,17.31,16.38,16.63,5.46121456973216,225900,0.0,1.0
1999-12-16,16.63,17.38,16.63,16.94,5.56301712635374,1148800,0.0,1.0
1999-12-17,17.12,18.38,17.0,17.5,5.74691851896048,166600,0.0,1.0
1999-12-20,17.63,17.94,17.38,17.88,5.8717087496579,176200,0.0,1.0
1999-12-21,17.75,18.19,17.63,18.0,5.91111619093078,147700,0.0,1.0
1999-12-22,18.0,18.25,17.75,18.13,5.95380758564305,174800,0.0,1.0
1999-12-23,18.19,18.25,18.06,18.19,5.97351130627949,120200,0.0,1.0
1999-12-27,18.25,18.25,18.13,18.25,5.99321502691593,116500,0.0,1.0
1999-12-28,18.19,18.63,18.13,18.44,6.05561014226464,123700,0.0,1.0
1999-12-29,18.88,19.13,18.81,18.94,6.21980781423494,88600,0.0,1.0
1999-12-30,18.75,18.94,18.31,18.75,6.3051906036595,105900,0.45,1.0
1999-12-31,18.5,18.88,18.5,18.81,6.32536721359121,69700,0.0,1.0
2000-01-03,18.81,18.88,18.63,18.81,6.32536721359121,110000,0.0,1.0
2000-01-04,18.75,18.81,18.63,18.75,6.3051906036595,176500,0.0,1.0
2000-01-05,18.75,18.88,18.69,18.88,6.34890659184487,135400,0.0,1.0
2000-01-06,18.75,19.25,18.63,19.25,6.47332901975708,186800,0.0,1.0
2000-01-07,19.25,20.38,19.19,20.25,6.80960585195226,190200,0.0,1.0
2000-01-10,20.31,20.5,20.06,20.38,6.85332184013763,64400,0.0,1.0
2000-01-11,20.25,20.25,19.56,19.63,6.60111421599125,56900,0.0,1.0
2000-01-12,19.75,20.25,19.75,20.0,6.72553664390346,96100,0.0,1.0
2000-01-13,19.88,20.06,19.63,19.94,6.70536003397175,164200,0.0,1.0
