date,open,high,low,close,adjClose,volume,dividend,split
2023-01-04,54.13,60.71,53.5,60.49,60.2197256506302,33338528,0.0,1.0
2023-01-05,60.64,62.98,58.14,59.0,58.7363830945145,8850591,0.0,1.0
2023-01-06,59.68,59.94,57.87,58.95,58.6866064986717,5902804,0.0,1.0
2023-01-09,58.79,59.98,57.73,58.1,57.840404369344,5288931,0.0,1.0
2023-01-10,59.15,60.06,58.055,60.0,59.7319150113707,6662990,0.0,1.0
2023-01-11,60.44,66.38,60.075,64.99,64.699619276483,9219390,0.0,1.0
2023-01-12,66.09,66.52,63.66,65.65,65.3566703416081,5819815,0.0,1.0
2023-01-13,65.0,65.5,63.74,65.44,65.1476086390683,3772080,0.0,1.0
2023-01-17,63.94,65.73,63.26,63.33,63.0470362945018,3774703,0.0,1.0
2023-01-18,63.2,63.5,61.99,62.08,61.8026213984316,2610293,0.0,1.0
2023-01-19,61.33,64.5,61.3,63.94,63.6543107637841,2585604,0.0,1.0
2023-01-20,63.96,67.82,63.54,66.77,66.471666088487,4001585,0.0,1.0
2023-01-23,67.35,69.91,66.7784,69.52,69.2093788598415,3724076,0.0,1.0
2023-01-24,69.03,70.63,68.71,69.6,69.28902141319,2590993,0.0,1.0
2023-01-25,68.46,69.7,66.95,68.71,68.402998007188,2802081,0.0,1.0
2023-01-26,68.51,69.45,67.8,69.22,68.9107192847847,2075885,0.0,1.0
2023-01-27,68.86,70.51,68.36,70.08,69.766876733281,2810636,0.0,1.0
2023-01-30,68.41,73.95,67.92,71.5,71.1805320552168,4259947,0.0,1.0
2023-01-31,71.01,71.115,68.5,69.52,69.2093788598415,3084275,0.0,1.0
2023-02-01,69.0,70.74,67.53,70.01,69.6971894991011,2698934,0.0,1.0
2023-02-02,69.59,71.89,69.0,70.65,70.334329925889,2775957,0.0,1.0
2023-02-03,69.63,70.63,69.1,70.55,70.2347767342034,3075109,0.0,1.0
2023-02-06,69.91,72.35,69.54,71.86,71.538923545285,2227368,0.0,1.0
2023-02-07,71.58,72.2,71.1,71.63,71.3099512044081,1932266,0.0,1.0
2023-02-08,71.21,71.42,70.02,70.17,69.856474605798,1111919,0.0,1.0
2023-02-09,70.25,70.98,68.21,68.41,68.1043384321312,1186247,0.0,1.0
2023-02-10,68.2,69.54,68.19,69.24,68.9306299231218,1968068,0.0,1.0
2023-02-13,68.52,69.87,67.91,69.43,69.1197809873245,2223241,0.0,1.0
2023-02-14,68.95,73.17,68.714,72.61,72.2855724829271,3036143,0.0,1.0
2023-02-15,72.7,73.54,71.72,72.32,71.9968682270388,1773152,0.0,1.0
2023-02-16,71.6,71.82,70.34,70.91,70.5931682242716,1829424,0.0,1.0
2023-02-17,70.97,73.48,70.89,73.17,72.8430703563666,2408606,0.0,1.0
2023-02-21,72.62,73.1,72.25,72.47,72.1461980145673,1835470,0.0,1.0
2023-02-22,72.27,73.0,70.8433,71.94,71.6185660986335,2010150,0.0,1.0
2023-02-23,72.44,76.2097,72.2833,75.9,75.560872489384,3763223,0.0,1.0
2023-02-24,74.84,75.77,74.22,75.01,74.674849083382,2102864,0.0,1.0
2023-02-27,75.0,76.98,74.57,76.04,75.7002469577438,2139676,0.0,1.0
2023-02-28,76.04,76.34,75.3,76.0,75.6604256810696,3511846,0.0,1.0
2023-03-01,75.37,75.74,75.01,75.3,74.9635533392702,2534320,0.0,1.0
2023-03-02,74.79,75.47,74.5,75.04,74.7047150408876,1392001,0.0,1.0
2023-03-03,75.53,76.9,75.12,76.37,76.0287724903064,2082709,0.0,1.0
2023-03-06,75.91,77.16,75.7001,76.68,76.3373873845318,1874143,0.0,1.0
2023-03-07,76.36,76.835,75.93,76.25,75.9093086602836,1709375,0.0,1.0
2023-03-08,76.25,77.4,76.1024,76.63,76.287610788689,1641260,0.0,1.0
2023-03-09,77.0,77.4,75.9,76.38,76.0387278094749,1684120,0.0,1.0
2023-03-10,75.88,76.53,74.5,74.97,74.6350278067077,3388615,0.0,1.0
2023-03-13,74.95,77.48,74.04,76.24,75.899353341115,2272243,0.0,1.0
2023-03-14,76.69,78.76,76.35,77.14,76.7953320662856,1992257,0.0,1.0
2023-03-15,75.93,76.81,75.59,76.76,76.4170299378803,2326244,0.0,1.0
2023-03-16,75.96,77.45,75.75,76.62,76.2776554695204,1629815,0.0,1.0
2023-03-17,76.86,77.54,75.43,75.84,75.5011405743726,5803263,0.0,1.0
2023-03-20,75.49,75.81,74.51,75.2,74.8640001475846,1714192,0.0,1.0
2023-03-21,75.65,76.68,75.5,76.52,76.1781022778348,1401647,0.0,1.0
2023-03-22,76.86,77.05,74.71,74.77,74.4359214233365,1549809,0.0,1.0
2023-03-23,75.41,76.71,74.87,75.71,75.3717214251813,1393902,0.0,1.0
2023-03-24,75.26,76.49,74.89,76.46,76.1183703628234,1154874,0.0,1.0
2023-03-27,76.82,77.46,76.265,76.38,76.0387278094749,1196641,0.0,1.0
2023-03-28,76.38,76.94,76.15,76.9,76.5564044062401,760966,0.0,1.0
2023-03-29,77.36,79.47,77.06,79.24,78.8859490916836,1786006,0.0,1.0
2023-03-30,79.78,82.2893,79.5,82.14,81.7729916505665,2188987,0.0,1.0
2023-03-31,82.25,82.59,81.58,82.03,81.6634831397123,1916325,0.0,1.0
2023-04-03,82.0,82.62,81.47,81.81,81.444466118004,1913226,0.0,1.0
2023-04-04,82.0,82.16,81.47,81.59,81.2254490962956,1552706,0.0,1.0
2023-04-05,81.5,81.8,80.65,81.12,80.7575490953732,1410626,0.0,1.0
2023-04-06,80.97,81.06,80.09,80.16,79.8018384551913,1356746,0.0,1.0
2023-04-10,79.93,80.63,79.7,80.59,80.2299171794394,1579274,0.0,1.0
2023-04-11,80.59,80.685,79.96,80.59,80.2299171794394,1167092,0.0,1.0
2023-04-12,81.005,81.9,80.607,81.75,81.3847342029926,1232087,0.0,1.0
2023-04-13,81.65,83.1722,81.38,82.94,82.5694171840514,1252758,0.0,1.0
2023-04-14,82.45,83.28,81.98,82.37,82.0019639914434,1163806,0.0,1.0
2023-04-17,82.17,83.24,82.0,82.72,82.3504001623431,823819,0.0,1.0
2023-04-18,82.79,84.16,82.79,83.66,83.2862001641879,1522137,0.0,1.0
2023-04-19,83.79,86.88,83.75,85.75,85.3668618704173,2422919,0.0,1.0
2023-04-20,85.37,86.32,84.68,85.0,84.6202129327752,1634914,0.0,1.0
2023-04-21,85.2,86.515,85.09,86.48,86.0936001697223,1850558,0.0,1.0
2023-04-24,86.6,87.83,86.18,87.79,87.3977469808039,2693549,0.0,1.0
2023-04-25,83.5,83.5,78.78,80.39,80.0308107960682,7291417,0.0,1.0
2023-04-26,79.73,80.27,77.56,80.12,79.762017178517,3362577,0.0,1.0
2023-04-27,80.82,81.54,80.62,81.52,81.1557618621157,1557122,0.0,1.0
2023-04-28,81.2,81.73,81.01,81.34,80.9765661170816,1617659,0.0,1.0
2023-05-01,81.08,81.7291,80.725,80.78,80.4190682436421,1355960,0.0,1.0
2023-05-02,80.34,80.6499,77.89,78.46,78.1094341965358,1879081,0.0,1.0
2023-05-03,78.47,80.42,78.02,79.71,79.353849092606,1748876,0.0,1.0
2023-05-04,79.62,80.26,77.69,78.26,77.9103278131645,1751465,0.0,1.0
2023-05-05,78.5,79.53,78.5,78.99,78.6370661124695,1077640,0.0,1.0
2023-05-08,78.88,79.49,78.61,79.42,79.0651448367177,842342,0.0,1.0
2023-05-09,78.55,78.79,76.12,76.37,76.0287724903064,2499728,0.0,1.0
2023-05-10,76.5,76.76,74.97,75.9,75.560872489384,1792937,0.0,1.0
2023-05-11,75.71,75.71,74.71,74.99,74.6549384450448,1505003,0.0,1.0
2023-05-12,74.89,75.01,74.27,74.92,74.5852512108649,2577774,0.0,1.0
2023-05-15,75.1,75.56,74.7,74.93,74.5952065300335,1188031,0.0,1.0
2023-05-16,75.27,78.27,75.22,77.78,77.4324724930736,2669114,0.0,1.0
2023-05-17,77.93,80.61,76.2063,80.3,79.9412129235511,3716280,0.0,1.0
2023-05-18,80.42,81.1299,79.22,79.69,79.3339384542689,1483473,0.0,1.0
2023-05-19,80.09,81.0893,79.12,79.34,78.9855022833692,1312933,0.0,1.0
2023-05-22,79.35,79.4189,78.71,79.08,78.7565299424923,1357663,0.03,1.0
2023-05-23,78.96,79.7733,77.06,77.19,76.8742608277817,1382376,0.0,1.0
2023-05-24,76.97,77.14,76.08,76.53,76.2169605020098,1431903,0.0,1.0
2023-05-25,76.53,80.06,75.61,79.86,79.5333394184046,3127809,0.0,1.0
2023-05-26,79.77,80.2,78.37,78.43,78.1091887125654,2250436,0.0,1.0
2023-05-30,78.25,79.05,77.41,77.96,77.641111207849,1775758,0.0,1.0
2023-05-31,78.54,79.73,77.7429,79.51,79.1847710638285,4498088,0.0,1.0
2023-06-01,79.73,80.1,78.89,79.83,79.5034621308695,2355665,0.0,1.0
2023-06-02,80.3,80.87,79.9,79.97,79.6428894726999,2404589,0.0,1.0
2023-06-05,79.91,80.7236,78.78,80.49,80.1607624566414,1416724,0.0,1.0
2023-06-06,78.0,83.18,77.8,82.93,82.5907818428286,23800615,0.0,1.0
2023-06-07,81.49,82.26,80.19,80.48,80.1508033607964,3883928,0.0,1.0
2023-06-08,77.35,78.4,76.75,77.75,77.4319701951034,15053967,0.0,1.0
2023-06-09,78.1,78.5,77.06,77.1,76.7846289651765,4900031,0.0,1.0
2023-06-12,77.25,78.31,76.9,78.27,77.9498431790449,5545427,0.0,1.0
2023-06-13,78.3,78.449,76.7,77.79,77.4718065784835,4122275,0.0,1.0
2023-06-14,78.18,78.8,77.48,78.53,78.2087796710157,3322567,0.0,1.0
2023-06-15,78.66,79.17,78.225,79.1,78.7764481341823,3277856,0.0,1.0
2023-06-16,79.5,80.1,78.49,78.65,78.328288821156,5390613,0.0,1.0
2023-06-20,78.36,79.16,77.75,78.9,78.5772662172817,3155435,0.0,1.0
2023-06-21,78.79,80.0,78.29,79.62,79.2943211181239,2805685,0.0,1.0
2023-06-22,79.94,80.75,79.58,80.21,79.8819077729806,2229579,0.0,1.0
2023-06-23,79.86,80.35,79.01,79.82,79.4935030350244,7973136,0.0,1.0
2023-06-26,80.02,80.3,77.74,77.8,77.4817656743285,2500854,0.0,1.0
2023-06-27,77.95,78.35,76.1918,77.07,76.7547516776414,3250399,0.0,1.0
2023-06-28,77.5,77.59,76.34,77.19,76.8742608277817,2920489,0.0,1.0
2023-06-29,77.27,78.7,77.15,78.68,78.3581661086911,1908393,0.0,1.0
2023-06-30,79.42,81.41,79.3137,81.24,80.9076946450186,3429545,0.0,1.0
2023-07-03,81.41,81.46,79.9,80.69,80.359944373542,1086914,0.0,1.0
2023-07-05,80.37,81.29,79.935,80.65,80.3201079901619,2655893,0.0,1.0
2023-07-06,80.0,80.27,79.0,79.12,78.7963663258724,2596154,0.0,1.0
2023-07-07,78.98,80.1079,78.3,79.62,79.2943211181239,2892672,0.0,1.0
2023-07-10,80.13,80.78,80.0,80.66,80.3300670860069,2263244,0.0,1.0
2023-07-11,80.5,81.445,80.21,81.26,80.9276128367087,1793345,0.0,1.0
2023-07-12,81.29,82.66,81.29,81.69,81.3558539580449,2124811,0.0,1.0
2023-07-13,81.73,82.0,80.9,81.4,81.0670401785391,1476326,0.0,1.0
2023-07-14,81.5,82.16,81.23,81.82,81.4853222040303,1791872,0.0,1.0
