date,open,high,low,close,adjClose,volume,dividend,split
2024-03-27,115.0,135.0,115.0,131.25,130.940077574587,4960400,0.0,1.0
2024-03-28,137.93,137.93,129.96,136.75,136.427090349141,2239100,0.0,1.0
2024-04-01,141.01,144.33,137.07,142.02,141.68464622585,1029500,0.0,1.0
2024-04-02,142.85,152.48,138.64,140.0,139.66941607956,18202667,0.0,1.0
2024-04-03,142.3,144.0,135.8,137.34,137.015697174048,8855212,0.0,1.0
2024-04-04,136.0,139.35,125.26,126.06,125.762332792781,14105730,0.0,1.0
2024-04-05,125.5,128.18,119.0,122.7,122.410266806871,15985192,0.0,1.0
2024-04-08,126.13,131.95,125.86,129.96,129.653123669283,11671134,0.0,1.0
2024-04-09,130.87,133.6,128.25,132.17,131.857905165967,8524207,0.0,1.0
2024-04-10,129.5,139.93,128.94,138.37,138.043265020919,8376809,0.0,1.0
2024-04-11,139.2,139.32,136.41,136.57,136.24751538561,5326943,0.0,1.0
2024-04-12,135.0,138.11,133.555,134.0,133.683583961864,3765246,0.0,1.0
2024-04-15,134.6,135.32,129.85,131.75,131.438896917728,3724891,0.0,1.0
2024-04-16,132.5,133.05,128.25,130.07,129.762863924774,5870930,0.0,1.0
2024-04-17,132.04,138.18,131.25,134.75,134.431812976576,6154554,0.0,1.0
2024-04-18,138.15,138.41,135.43,137.22,136.895980531694,5022268,0.0,1.0
2024-04-19,137.25,140.59,134.905,135.1,134.780986516775,4518763,0.0,1.0
2024-04-22,135.52,137.14,132.11,136.69,136.367232027964,2435104,0.0,1.0
2024-04-23,138.46,148.35,137.87,147.83,147.480926993152,4682814,0.0,1.0
2024-04-24,147.0,149.9,144.35,146.18,145.834823160786,4684613,0.0,1.0
2024-04-25,143.0,152.14,138.6725,148.31,147.959793562568,6069264,0.0,1.0
2024-04-26,153.64,157.25,150.2,153.07,152.708553709273,4230515,0.0,1.0
2024-04-29,153.58,159.55,153.58,159.01,158.634527505791,5937215,0.0,1.0
2024-04-30,158.14,163.1,152.25,153.71,153.347042468494,3490075,0.0,1.0
2024-05-01,154.19,156.7,149.4207,151.67,151.311859548477,3397459,0.0,1.0
2024-05-02,153.53,155.44,151.6589,153.83,153.466759110848,2530741,0.0,1.0
2024-05-03,155.63,167.17,155.14,166.26,165.86740798134,4635134,0.0,1.0
2024-05-06,167.16,171.17,164.51,169.14,168.740607397834,4007044,0.0,1.0
2024-05-07,168.66,173.5,167.165,167.36,166.964810536251,2884150,0.0,1.0
2024-05-08,167.0,167.01,163.225,164.0,163.612744550341,3679684,0.0,1.0
2024-05-09,165.0,168.72,164.65,166.4,166.007077397419,4022569,0.0,1.0
2024-05-10,169.0,170.8,165.99,167.27,166.875023054485,3459622,0.0,1.0
2024-05-13,165.0,167.55,160.18,161.53,161.148576995223,4413798,0.0,1.0
2024-05-14,160.69,166.555,158.86,165.63,165.238895608982,3855420,0.0,1.0
2024-05-15,168.36,172.35,166.956,167.87,167.473606266255,2572025,0.0,1.0
