date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,87.0,87.0,85.56,85.88,9.61157570407959,627000,0.0,1.0
1999-11-02,85.94,86.06,84.06,84.25,9.42914826582098,640100,0.0,1.0
1999-11-03,84.81,85.63,84.25,84.63,9.47167736185673,518900,0.0,1.0
1999-11-04,84.63,84.63,82.88,83.31,9.32394471246938,755900,0.0,1.0
1999-11-05,83.0,83.13,82.38,82.69,9.25455513472684,303700,0.0,1.0
1999-11-08,83.19,83.69,82.94,83.38,9.33177901963386,289700,0.0,1.0
1999-11-09,42.0,42.0,40.81,41.19,9.21986034585557,253550,0.0,2.0
1999-11-10,41.44,41.63,40.75,41.25,9.23329058670897,741700,0.0,1.0
1999-11-11,41.13,41.56,40.75,41.06,9.19076149067322,377600,0.0,1.0
1999-11-12,41.88,41.88,40.81,40.88,9.15047076811303,579100,0.0,1.0
1999-11-15,40.63,41.06,40.25,40.5,9.06541257604153,469000,0.0,1.0
1999-11-16,40.5,41.0,40.38,40.75,9.12137191293068,442600,0.0,1.0
1999-11-17,40.69,40.94,40.31,40.31,9.02288348000578,681200,0.0,1.0
1999-11-18,40.31,40.5,38.5,39.06,8.74308679556006,2040300,0.0,1.0
1999-11-19,39.25,39.69,38.88,39.19,8.77218565074241,653500,0.0,1.0
1999-11-22,38.81,39.0,38.5,38.71,8.66474372391525,1634800,0.0,1.0
1999-11-23,39.0,39.0,38.06,38.38,8.59087739922158,602300,0.0,1.0
1999-11-24,38.0,38.31,37.69,38.06,8.51924944800348,736400,0.0,1.0
1999-11-26,37.94,38.25,37.38,37.88,8.47895872544329,267100,0.0,1.0
1999-11-29,37.38,38.06,37.31,38.0,8.50581920715008,1298800,0.0,1.0
1999-11-30,37.5,38.06,37.44,37.69,8.43642962940754,877400,0.0,1.0
1999-12-01,37.44,38.19,37.19,37.69,8.43642962940754,913600,0.0,1.0
1999-12-02,37.56,38.06,37.38,37.75,8.44985987026094,897100,0.0,1.0
1999-12-03,37.75,38.56,37.75,37.94,8.49238896629669,1210800,0.0,1.0
1999-12-06,36.75,37.94,36.69,37.38,8.367040051665,1133300,0.0,1.0
1999-12-07,37.06,37.5,37.0,37.0,8.2819818595935,1708900,0.0,1.0
1999-12-08,37.06,37.13,35.63,35.88,8.03128403033013,1323100,0.0,1.0
1999-12-09,35.88,36.13,35.13,35.31,7.90369674222288,955800,0.0,1.0
1999-12-10,35.06,35.25,34.69,34.81,7.79177806844459,913100,0.0,1.0
1999-12-13,35.19,35.19,33.94,34.13,7.63956867210611,1171600,0.0,1.0
1999-12-14,33.63,34.19,33.19,33.63,7.52764999832782,1303900,0.0,1.0
1999-12-15,33.88,34.81,33.13,34.69,7.7649175867378,1976900,0.0,1.0
1999-12-16,33.19,33.63,32.5,32.75,7.33067313247803,2147500,0.0,1.0
1999-12-17,32.75,34.62,32.75,33.69,7.54108023918122,3388800,0.0,1.0
1999-12-20,34.56,34.81,33.69,33.88,7.58360933521697,1571800,0.0,1.0
1999-12-21,33.81,34.25,33.56,33.69,7.54108023918122,1641900,0.0,1.0
1999-12-22,33.13,33.69,33.0,33.06,7.40006271022057,1535600,0.0,1.0
1999-12-23,33.63,34.13,33.56,33.88,7.58360933521697,1182600,0.0,1.0
1999-12-27,33.94,34.63,33.88,34.44,7.70895824984865,1206000,0.0,1.0
1999-12-28,34.31,34.75,34.19,34.19,7.65299891295951,951800,0.0,1.0
1999-12-29,35.0,35.13,34.63,34.63,7.7514873458844,898400,0.0,1.0
1999-12-30,34.63,35.75,34.63,35.31,7.90369674222288,901000,0.0,1.0
1999-12-31,35.19,36.31,35.19,35.75,8.00218517514777,764500,0.0,1.0
2000-01-03,35.38,35.5,34.06,34.44,7.70895824984865,1039100,0.0,1.0
2000-01-04,34.06,34.44,33.56,33.81,7.56794072088801,773400,0.0,1.0
2000-01-05,33.19,34.19,33.19,34.0,7.61046981692376,1009400,0.0,1.0
2000-01-06,33.56,34.0,32.94,33.56,7.57353665457692,1646300,0.275,1.0
2000-01-07,34.44,34.56,33.5,33.63,7.58933366190172,2264500,0.0,1.0
2000-01-10,33.63,33.81,32.88,32.94,7.43362030398581,733100,0.0,1.0
2000-01-11,33.0,33.56,32.94,33.38,7.53291577859885,926200,0.0,1.0
2000-01-12,33.25,33.94,33.19,33.31,7.51711877127405,1093400,0.0,1.0
2000-01-13,33.0,33.88,32.88,33.44,7.54645607059154,688800,0.0,1.0
2000-01-14,32.94,33.38,32.44,32.69,7.37720242068294,757500,0.0,1.0
2000-01-18,32.0,33.25,31.81,33.0,7.4471605959785,941600,0.0,1.0
2000-01-19,32.88,33.31,32.31,32.69,7.37720242068294,1287700,0.0,1.0
2000-01-20,32.38,32.69,31.81,32.13,7.25082636208452,968300,0.0,1.0
2000-01-21,32.13,32.25,31.31,31.5,7.10865329616129,1143600,0.0,1.0
