date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,31.13,32.06,31.13,31.56,10.9729692111109,507289,0.0,1.0
1999-11-02,31.56,32.63,31.56,32.06,11.1468121960778,254267,0.0,1.0
1999-11-03,32.25,32.25,31.5,31.5,10.9521080529149,351067,0.0,1.0
1999-11-04,31.56,33.25,31.5,32.25,11.2128725303652,404622,0.0,1.0
1999-11-05,34.0,34.5,33.88,34.25,11.9082444702328,603022,0.0,1.0
1999-11-08,34.38,34.81,34.25,34.38,11.9534436463242,527200,0.0,1.0
1999-11-09,34.38,34.44,33.5,33.81,11.755262643462,520000,0.0,1.0
1999-11-10,33.88,33.88,33.25,33.5,11.6474799927825,293289,0.0,1.0
1999-11-11,33.75,34.25,33.69,34.06,11.8421841359454,356222,0.0,1.0
1999-11-12,34.06,34.94,33.75,34.38,11.9534436463242,554222,0.0,1.0
1999-11-15,34.44,34.75,34.06,34.5,11.9951659627163,272089,0.0,1.0
1999-11-16,34.44,36.0,34.44,35.94,12.495833759421,1777067,0.0,1.0
1999-11-17,35.81,35.94,34.94,35.31,12.2767915983627,322622,0.0,1.0
1999-11-18,35.31,35.31,34.0,34.31,11.9291056284289,199467,0.0,1.0
1999-11-19,34.06,34.63,34.0,34.19,11.8873833120368,212400,0.0,1.0
1999-11-22,34.0,34.25,33.75,33.88,11.7796006613573,273022,0.0,1.0
1999-11-23,33.88,33.88,33.25,33.63,11.6926791688739,308000,0.0,1.0
1999-11-24,33.25,33.38,32.81,32.81,11.4075766735282,317422,0.0,1.0
1999-11-26,32.94,32.94,32.19,32.25,11.2128725303652,78889,0.0,1.0
1999-11-29,32.44,32.44,31.63,31.81,11.0598907035944,448000,0.0,1.0
1999-11-30,31.56,32.19,31.56,31.75,11.0390295453983,295022,0.0,1.0
1999-12-01,31.5,31.75,31.06,31.06,10.799126226144,829200,0.0,1.0
1999-12-02,31.19,31.88,31.06,31.19,10.8443254022354,575200,0.0,1.0
1999-12-03,31.88,32.88,31.63,31.88,11.0842287214897,308000,0.0,1.0
1999-12-06,31.63,31.63,31.38,31.5,10.9521080529149,272622,0.0,1.0
1999-12-07,31.31,31.5,30.75,30.75,10.6913435754645,444489,0.0,1.0
1999-12-08,30.94,30.94,30.06,30.06,10.4514402562102,161822,0.0,1.0
1999-12-09,29.81,30.25,29.5,30.19,10.4966394323016,728089,0.0,1.0
1999-12-10,30.19,30.75,29.75,30.13,10.4757782741056,127689,0.0,1.0
1999-12-13,30.13,30.63,29.63,29.88,10.3888567816221,224489,0.0,1.0
