date,open,high,low,close,adjClose,volume,dividend,split
2000-12-08,15.81,22.88,15.13,20.0,4.85969640857048,8574900,0.0,1.0
2000-12-11,22.69,22.75,19.88,21.19,5.14884834488042,1459600,0.0,1.0
2000-12-12,21.22,21.25,19.38,19.88,4.83053823011906,538700,0.0,1.0
2000-12-13,20.75,20.88,19.75,19.88,4.83053823011906,211200,0.0,1.0
2000-12-14,19.98,20.25,19.88,20.13,4.89128443522619,132700,0.0,1.0
2000-12-15,20.25,20.25,18.0,20.13,4.89128443522619,475100,0.0,1.0
2000-12-18,20.5,20.5,19.44,20.06,4.87427549779619,241800,0.0,1.0
2000-12-19,20.05,20.06,19.25,19.63,4.76979202501192,228700,0.0,1.0
2000-12-20,19.38,19.63,18.0,18.25,4.43447297282056,614400,0.0,1.0
2000-12-21,18.06,18.5,17.75,18.19,4.41989388359485,508700,0.0,1.0
2000-12-22,18.63,19.38,18.5,19.25,4.67745779324909,208000,0.0,1.0
2000-12-26,19.31,19.38,18.88,19.0,4.61671158814195,377000,0.0,1.0
2000-12-27,18.91,19.13,18.25,18.56,4.5097982671534,180700,0.0,1.0
2000-12-28,18.63,19.38,18.31,18.63,4.5268072045834,524300,0.0,1.0
2000-12-29,19.0,20.13,18.75,19.75,4.79895020346335,116400,0.0,1.0
2001-01-02,20.17,20.25,18.69,19.25,4.67745779324909,165200,0.0,1.0
2001-01-03,18.78,19.38,17.5,17.63,4.28382238415488,272700,0.0,1.0
2001-01-04,17.94,19.0,17.63,18.06,4.38830585693914,143800,0.0,1.0
2001-01-05,18.11,18.5,17.75,18.13,4.40531479436914,481000,0.0,1.0
2001-01-08,18.0,18.19,17.5,17.5,4.25223435749917,315500,0.0,1.0
2001-01-09,17.91,18.0,17.0,17.25,4.19148815239204,410900,0.0,1.0
2001-01-10,17.19,17.25,16.75,17.0,4.13074194728491,488400,0.0,1.0
2001-01-11,17.03,18.5,17.0,18.19,4.41989388359485,678500,0.0,1.0
2001-01-12,18.59,19.25,18.5,19.13,4.64829961479766,283100,0.0,1.0
2001-01-16,19.63,20.5,18.88,19.0,4.61671158814195,331600,0.0,1.0
2001-01-17,19.11,19.88,18.88,19.38,4.70904581990479,243000,0.0,1.0
2001-01-18,19.48,19.5,18.5,19.0,4.61671158814195,146400,0.0,1.0
2001-01-19,19.06,19.25,18.25,18.38,4.46606099947627,127100,0.0,1.0
2001-01-22,18.63,18.63,17.63,17.88,4.34456858926201,382300,0.0,1.0
2001-01-23,18.25,18.38,17.88,17.88,4.34456858926201,221300,0.0,1.0
2001-01-24,17.89,18.0,16.94,17.0,4.13074194728491,598600,0.0,1.0
2001-01-25,17.25,18.0,16.25,17.88,4.34456858926201,492900,0.0,1.0
2001-01-26,17.5,19.38,17.38,18.63,4.5268072045834,124500,0.0,1.0
2001-01-29,18.98,20.0,18.63,19.94,4.84511731934477,103300,0.0,1.0
2001-01-30,19.94,20.06,18.94,20.06,4.87427549779619,94400,0.0,1.0
2001-01-31,19.77,20.06,19.38,19.44,4.72362490913051,42100,0.0,1.0
2001-02-01,19.38,20.06,19.38,19.88,4.83053823011906,50300,0.0,1.0
2001-02-02,20.06,21.75,20.0,21.63,5.25576166586897,238600,0.0,1.0
2001-02-05,22.06,24.38,21.75,23.88,5.80247751183315,281200,0.0,1.0
2001-02-06,24.23,25.69,23.88,24.75,6.01387430560597,292800,0.0,1.0
2001-02-07,24.13,25.0,23.88,24.38,5.92396992204741,94700,0.0,1.0
2001-02-08,24.27,25.38,24.25,25.13,6.10620853736881,225700,0.0,1.0
2001-02-09,25.06,25.19,24.0,24.0,5.83163569028457,365100,0.0,1.0
2001-02-12,24.25,24.38,23.5,23.5,5.71014328007031,1181100,0.0,1.0
2001-02-13,23.81,24.63,23.38,24.38,5.92396992204741,114300,0.0,1.0
2001-02-14,24.5,24.63,21.38,22.25,5.40641225453466,681800,0.0,1.0
2001-02-15,22.75,23.0,20.75,21.25,5.16342743410613,179700,0.0,1.0
2001-02-16,21.19,22.38,20.13,21.38,5.19501546076184,132100,0.0,1.0
2001-02-20,22.0,22.0,19.13,19.63,4.76979202501192,195700,0.0,1.0
2001-02-21,19.27,20.13,18.88,19.63,4.76979202501192,98400,0.0,1.0
2001-02-22,19.61,19.63,18.56,18.56,4.5097982671534,98700,0.0,1.0
2001-02-23,18.5,20.56,18.38,20.5,4.98118881878474,61400,0.0,1.0
2001-02-26,20.5,21.5,20.45,21.22,5.15613788949328,59300,0.0,1.0
2001-02-27,21.5,22.0,21.38,22.0,5.34566604942753,135900,0.0,1.0
2001-02-28,22.13,22.13,21.81,21.88,5.3165078709761,71300,0.0,1.0
2001-03-01,21.75,21.88,18.88,20.0,4.85969640857048,116000,0.0,1.0
2001-03-02,20.19,20.25,19.25,20.13,4.89128443522619,83500,0.0,1.0
