date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,70.5,71.0,69.31,69.38,48.2753145618502,949300,0.0,1.0
1999-11-02,69.19,71.75,69.13,69.75,48.5327643512403,543000,0.0,1.0
1999-11-03,69.81,69.88,68.31,68.75,47.8369541096455,924000,0.0,1.0
1999-11-04,69.69,70.75,69.44,70.13,48.7971722430464,570400,0.0,1.0
1999-11-05,72.0,74.31,71.25,73.69,51.274256703124,1304900,0.0,1.0
1999-11-08,73.5,73.5,72.5,73.0,50.7941476364236,651600,0.0,1.0
1999-11-09,73.5,73.56,71.75,71.88,50.0148401658373,695600,0.0,1.0
1999-11-10,71.0,72.75,70.63,71.94,50.056588780333,678700,0.0,1.0
1999-11-11,72.0,73.5,71.56,73.31,51.009848811318,574300,0.0,1.0
1999-11-12,73.94,79.81,73.75,79.75,55.4908667671888,2227700,0.0,1.0
1999-11-15,78.75,79.94,77.25,78.0,54.2731988443978,997100,0.0,1.0
1999-11-16,78.38,83.0,78.38,82.81,57.620046106469,1505100,0.0,1.0
1999-11-17,81.13,81.38,78.56,79.56,55.3586628212857,1245400,0.0,1.0
1999-11-18,79.81,81.13,79.25,80.19,55.7970232734905,1111500,0.0,1.0
1999-11-19,80.0,80.88,79.63,79.94,55.6230707130918,329600,0.0,1.0
1999-11-22,79.5,80.25,78.5,79.69,55.4491181526931,329900,0.0,1.0
1999-11-23,79.94,80.63,77.5,77.75,54.0992462839991,656300,0.0,1.0
1999-11-24,77.5,77.75,76.75,77.13,53.6678439342103,515700,0.0,1.0
1999-11-26,77.19,77.75,76.63,77.31,53.7930897776974,107600,0.0,1.0
1999-11-29,77.25,77.25,74.38,74.5,51.8378629988158,517900,0.0,1.0
1999-11-30,74.75,77.13,74.5,75.13,52.2762234510206,925000,0.0,1.0
1999-12-01,74.75,76.19,74.75,76.19,53.0137823071111,500000,0.0,1.0
1999-12-02,76.25,77.63,76.25,77.5,53.9252937236004,453600,0.0,1.0
1999-12-03,78.5,80.69,78.38,79.06,55.0107577004883,669500,0.0,1.0
1999-12-06,79.19,79.31,76.56,77.0,53.5773886028029,295100,0.0,1.0
1999-12-07,77.25,80.94,77.25,80.94,56.3188809546866,883100,0.0,1.0
1999-12-08,81.81,81.81,80.0,80.0,55.6648193275875,732200,0.0,1.0
1999-12-09,80.75,82.25,79.75,80.0,55.6648193275875,1205700,0.0,1.0
1999-12-10,80.0,82.44,79.56,82.0,57.0564398107772,1386300,0.0,1.0
1999-12-13,81.5,82.94,81.06,82.06,57.0981884252729,938500,0.0,1.0
1999-12-14,81.44,81.44,77.81,78.75,54.7950565255939,1105800,0.0,1.0
1999-12-15,77.75,79.5,77.75,79.44,55.2751655922944,1073800,0.0,1.0
1999-12-16,79.19,79.5,77.75,78.56,54.6628525796909,307900,0.0,1.0
1999-12-17,80.19,80.56,78.44,80.19,55.7970232734905,542100,0.0,1.0
1999-12-20,82.0,83.63,80.75,81.88,56.9729425817858,1302600,0.0,1.0
1999-12-21,80.63,83.0,79.5,80.94,56.3188809546866,1189900,0.0,1.0
1999-12-22,81.0,81.38,79.13,79.69,55.4491181526931,526800,0.0,1.0
1999-12-23,81.0,82.44,80.69,81.0,56.3606295691823,532000,0.0,1.0
1999-12-27,80.5,82.88,80.5,82.06,57.0981884252729,389200,0.0,1.0
1999-12-28,82.06,85.69,82.06,85.0,59.1438705355617,821800,0.0,1.0
1999-12-29,85.5,88.19,85.38,88.0,61.2313012603462,794800,0.0,1.0
1999-12-30,90.0,92.88,89.56,92.19,64.1467461726286,969200,0.0,1.0
1999-12-31,91.94,94.81,91.5,94.19,65.5383666558183,383500,0.0,1.0
2000-01-03,94.19,94.19,87.75,88.31,61.4470024352406,1822600,0.0,1.0
2000-01-04,87.0,87.5,82.25,82.75,57.5782974919733,1647700,0.0,1.0
2000-01-05,80.88,81.88,79.0,79.69,55.4491181526931,1516600,0.0,1.0
2000-01-06,78.63,84.5,78.63,82.25,57.2303923711759,1845100,0.0,1.0
2000-01-07,83.06,83.19,79.88,82.56,57.4460935460703,1127400,0.0,1.0
2000-01-10,81.75,84.88,81.75,84.38,58.7124681857729,803100,0.0,1.0
2000-01-11,85.0,86.25,84.56,84.81,59.0116665896587,808600,0.0,1.0
2000-01-12,84.13,86.0,83.38,84.38,58.7124681857729,916100,0.0,1.0
2000-01-13,85.13,85.13,82.88,84.5,58.7959654147643,711000,0.0,1.0
2000-01-14,85.5,86.94,85.31,85.63,59.5822309877664,607000,0.0,1.0
2000-01-18,85.0,89.13,84.75,86.88,60.45199378976,1095700,0.0,1.0
2000-01-19,86.88,89.38,86.75,87.56,60.9251447540445,636900,0.0,1.0
2000-01-20,87.0,87.94,84.88,85.94,59.8814293916522,621800,0.12,1.0
2000-01-21,86.19,86.19,84.56,85.69,59.7072339372897,542500,0.0,1.0
2000-01-24,87.5,87.5,81.5,81.75,56.9619135765368,712900,0.0,1.0
2000-01-25,83.0,84.19,82.38,83.88,58.4460588477053,749300,0.0,1.0
2000-01-26,84.13,88.5,84.13,88.25,61.4909953899617,1086600,0.0,1.0
2000-01-27,88.25,89.94,87.63,89.0,62.0135817530492,702000,0.0,1.0
2000-01-28,87.5,88.0,86.13,87.0,60.6200181181492,776800,0.0,1.0
2000-01-31,87.0,91.69,86.5,91.63,63.8461179329427,801800,0.0,1.0
2000-02-01,92.88,93.0,90.5,91.25,63.5813408423117,813100,0.0,1.0
2000-02-02,90.75,91.63,88.63,91.13,63.4977270242177,964700,0.0,1.0
2000-02-03,90.0,91.13,84.81,85.38,59.4912315738802,2213300,0.0,1.0
2000-02-04,84.69,85.31,83.56,84.69,59.0104521198397,1451700,0.0,1.0
2000-02-07,84.44,86.5,83.5,85.75,59.7490408463367,929800,0.0,1.0
2000-02-08,85.75,89.63,85.75,89.44,62.3201657527272,1024800,0.0,1.0
2000-02-09,89.44,89.44,86.56,86.75,60.4458226637867,397100,0.0,1.0
2000-02-10,86.75,87.31,85.5,86.63,60.3622088456927,503200,0.0,1.0
2000-02-11,86.44,88.75,85.0,85.13,59.3170361195177,856900,0.0,1.0
2000-02-14,85.13,86.88,84.63,86.5,60.2716272094242,627800,0.0,1.0
2000-02-15,86.25,86.63,85.13,86.5,60.2716272094242,542400,0.0,1.0
2000-02-16,86.75,87.31,82.88,82.94,57.7910839393023,720300,0.0,1.0
2000-02-17,84.75,84.75,81.13,82.13,57.2266906671678,895500,0.0,1.0
2000-02-18,84.5,84.5,80.75,80.81,56.3069386681338,925500,0.0,1.0
2000-02-22,81.25,82.38,80.69,81.56,56.8295250312213,720100,0.0,1.0
2000-02-23,81.31,87.0,81.06,85.75,59.7490408463367,702900,0.0,1.0
2000-02-24,85.81,89.94,85.5,89.63,62.4525542980427,1199800,0.0,1.0
2000-02-25,89.44,94.0,88.25,89.25,62.1877772074117,1333000,0.0,1.0
2000-02-28,89.25,89.25,87.0,88.0,61.3167999355992,518000,0.0,1.0
2000-02-29,88.75,92.5,88.0,92.5,64.4523181141242,1381200,0.0,1.0
2000-03-01,93.25,96.75,93.19,94.75,66.0200772033867,1488900,0.0,1.0
2000-03-02,95.25,97.88,94.13,96.25,67.0652499295616,1819200,0.0,1.0
2000-03-03,97.0,102.5,96.75,102.5,71.4201362886241,2295900,0.0,1.0
2000-03-06,102.8,105.3,102.4,103.7,72.2562744695641,1421000,0.0,1.0
2000-03-07,103.9,105.8,102.4,104.9,73.0924126505041,1041300,0.0,1.0
2000-03-08,105.0,105.4,99.69,101.8,70.9323890164091,1041100,0.0,1.0
2000-03-09,101.8,108.2,101.3,107.2,74.695010830639,535500,0.0,1.0
2000-03-10,109.8,119.0,108.5,112.3,78.248598099634,2034400,0.0,1.0
2000-03-13,107.5,115.5,106.5,110.4,76.924712646479,1454200,0.0,1.0
2000-03-14,111.5,112.9,103.5,104.8,73.0227344687591,653100,0.0,1.0
2000-03-15,102.5,105.5,101.4,103.6,72.1865962878191,700300,0.0,1.0
2000-03-16,103.9,105.0,99.25,103.3,71.9775617425841,2024800,0.0,1.0
