date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,38.25,38.81,36.75,38.75,12.7105809950815,3166300,0.0,1.0
1999-11-02,38.5,38.5,37.06,37.19,12.198877605344,1612200,0.0,1.0
1999-11-03,37.19,38.06,36.75,37.19,12.198877605344,2571000,0.0,1.0
1999-11-04,37.56,37.63,36.75,36.75,12.0545510082386,1332500,0.0,1.0
1999-11-05,37.19,37.25,35.0,35.56,11.6642131660671,2629800,0.0,1.0
1999-11-08,35.56,37.75,35.13,37.75,12.3825660016601,1999900,0.0,1.0
1999-11-09,38.75,39.69,38.38,39.38,12.917230440937,2511500,0.0,1.0
1999-11-10,40.13,41.0,39.69,39.88,13.0812379376478,2417900,0.0,1.0
1999-11-11,39.88,40.31,38.75,38.88,12.7532229442263,2136200,0.0,1.0
1999-11-12,38.94,41.94,38.56,41.69,13.6749450757406,2237000,0.0,1.0
1999-11-15,42.13,43.31,41.63,43.0,14.1046447171227,2487800,0.0,1.0
1999-11-16,43.0,43.63,41.81,42.56,13.9603181200173,2387300,0.0,1.0
1999-11-17,42.75,44.5,42.75,44.13,14.475301659689,2822300,0.0,1.0
1999-11-18,44.13,44.13,42.5,42.81,14.0423218683726,1996600,0.0,1.0
1999-11-19,42.56,43.44,41.88,42.06,13.7963106233065,2226300,0.0,1.0
1999-11-22,42.69,44.19,41.25,41.31,13.5502993782404,3079600,0.0,1.0
1999-11-23,41.38,41.63,40.5,40.94,13.4289338306745,1721400,0.0,1.0
1999-11-24,41.44,41.81,40.5,41.06,13.4682956298851,1491100,0.0,1.0
1999-11-26,40.81,40.94,39.94,40.06,13.1402806364636,593200,0.0,1.0
1999-11-29,39.56,39.63,38.0,38.56,12.6892600205091,1557800,0.125,1.0
1999-11-30,38.31,39.5,38.0,38.63,12.7122955029115,2307000,0.0,1.0
1999-12-01,38.94,41.19,38.5,41.13,13.5349913029964,1944400,0.0,1.0
1999-12-02,40.13,40.88,38.75,39.6,13.0315014733444,3113400,0.0,1.0
1999-12-03,39.5,39.63,37.88,38.44,12.649770622105,1844000,0.0,1.0
1999-12-06,38.38,38.94,36.88,37.06,12.1956425404582,2434700,0.0,1.0
1999-12-07,36.88,37.56,35.31,35.56,11.7020250604073,3184200,0.0,1.0
1999-12-08,35.0,37.56,34.0,37.0,12.1758978412562,4884500,0.0,1.0
1999-12-09,36.81,37.25,35.25,36.13,11.8895997028266,3245600,0.0,1.0
1999-12-10,36.0,36.13,34.75,34.94,11.4979965019862,2268400,0.0,1.0
1999-12-13,35.69,36.44,34.31,34.56,11.3729467403733,2040600,0.0,1.0
1999-12-14,34.44,35.75,34.31,35.06,11.5374859003903,2936100,0.0,1.0
1999-12-15,36.0,38.0,35.69,36.93,12.1528623588538,4228800,0.0,1.0
1999-12-16,37.44,38.25,36.81,37.13,12.2186780228606,2201300,0.0,1.0
1999-12-17,36.75,37.31,36.19,36.75,12.0936282612477,2261300,0.0,1.0
1999-12-20,36.25,37.0,35.44,36.02,11.8534010876229,1308500,0.0,1.0
1999-12-21,36.0,37.25,35.94,37.19,12.2384227220626,1865900,0.0,1.0
1999-12-22,37.44,38.44,36.75,38.31,12.6069904405006,2551200,0.0,1.0
1999-12-23,38.44,39.63,37.81,39.31,12.9360687605346,1674100,0.0,1.0
1999-12-27,39.94,40.38,39.5,39.5,12.998593641341,1986000,0.0,1.0
