date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,57.0,57.88,57.0,57.75,29.0801353822834,1952900,0.0,1.0
1999-11-02,57.62,57.69,56.0,56.06,28.2291322862478,2020400,0.0,1.0
1999-11-03,56.0,56.44,55.69,56.06,28.2291322862478,1171800,0.0,1.0
1999-11-04,56.88,56.94,55.0,55.0,27.6953670307461,1021200,0.0,1.0
1999-11-05,56.0,56.12,55.31,55.62,28.0075693500018,968600,0.0,1.0
1999-11-08,55.56,57.19,55.5,56.06,28.2291322862478,1473800,0.0,1.0
1999-11-09,56.62,56.62,55.12,56.12,28.2593454139177,1556200,0.0,1.0
1999-11-10,55.81,58.75,55.69,58.56,29.4880126058271,2483100,0.0,1.0
1999-11-11,58.5,59.06,57.56,57.81,29.1103485099533,1715200,0.0,1.0
1999-11-12,58.44,61.0,57.62,60.5,30.4649037338207,1856400,0.0,1.0
1999-11-15,60.94,62.5,60.62,60.94,30.6864666700667,2201000,0.0,1.0
1999-11-16,61.31,61.81,59.62,61.81,31.1245570212803,1543600,0.0,1.0
1999-11-17,61.25,62.25,60.56,60.81,30.70660875518,1340900,0.17,1.0
1999-11-18,62.5,62.5,61.25,61.88,31.2469157995484,1547200,0.0,1.0
1999-11-19,61.75,62.0,60.5,60.69,30.646013572634,1153800,0.0,1.0
1999-11-22,60.44,61.56,60.31,61.12,30.8631463100904,1482200,0.0,1.0
1999-11-23,61.19,61.25,59.25,59.56,30.0754089369926,1813100,0.0,1.0
1999-11-24,59.62,59.81,58.25,58.75,29.6663914548072,2023900,0.0,1.0
1999-11-26,58.88,58.94,58.31,58.44,29.5098538998967,523000,0.0,1.0
1999-11-29,58.06,58.88,57.56,58.69,29.6360938635342,3028300,0.0,1.0
1999-11-30,58.62,60.62,58.5,60.0,30.2975912729945,2843100,0.0,1.0
1999-12-01,61.88,62.94,60.62,60.75,30.676311163907,4259100,0.0,1.0
1999-12-02,61.44,63.0,60.56,60.75,30.676311163907,1339100,0.0,1.0
1999-12-03,62.88,64.0,62.0,62.75,31.6862308730068,2680500,0.0,1.0
1999-12-06,62.0,62.44,59.75,61.69,31.1509734271839,1981900,0.0,1.0
1999-12-07,61.69,62.19,61.0,61.69,31.1509734271839,4159900,0.0,1.0
1999-12-08,61.38,61.38,59.75,60.06,30.3278888642675,2992700,0.0,1.0
1999-12-09,60.25,60.25,58.56,58.63,29.6057962722612,2975800,0.0,1.0
1999-12-10,58.63,59.0,57.75,58.13,29.3533163449862,2730500,0.0,1.0
1999-12-13,58.0,59.44,57.75,59.19,29.8885737908091,2461500,0.0,1.0
1999-12-14,59.0,60.25,58.94,59.88,30.2369960904485,2262100,0.0,1.0
1999-12-15,60.0,61.5,59.94,60.79,30.696509558089,2008300,0.0,1.0
1999-12-16,60.25,62.5,59.56,61.75,31.1812710184569,2349200,0.0,1.0
1999-12-17,61.75,63.88,61.62,63.75,32.1911907275567,4320600,0.0,1.0
1999-12-20,63.63,63.63,56.5,56.63,28.5958765631613,8300000,0.0,1.0
1999-12-21,56.63,57.75,54.88,56.69,28.6261741544343,12074600,0.0,1.0
1999-12-22,56.38,56.44,53.94,54.06,27.2981297369681,6228700,0.0,1.0
1999-12-23,54.75,55.5,54.44,55.06,27.803089591518,4601900,0.0,1.0
1999-12-27,55.13,55.38,54.13,54.38,27.4597168904241,5101200,0.0,1.0
1999-12-28,54.94,56.69,54.81,55.81,28.1818094824304,2621100,0.0,1.0
1999-12-29,56.94,57.0,56.25,56.75,28.6564717457073,1243400,0.0,1.0
1999-12-30,56.63,57.13,55.81,56.75,28.6564717457073,1028200,0.0,1.0
1999-12-31,56.75,58.06,56.75,57.69,29.1311340089842,918400,0.0,1.0
2000-01-03,57.69,58.44,56.5,56.69,28.6261741544343,2100800,0.0,1.0
2000-01-04,56.38,56.44,54.06,55.69,28.1212142998844,2670300,0.0,1.0
