date,open,high,low,close,adjClose,volume,dividend,split
2017-05-12,21.25,21.3,20.27,21.1,19.5753498360879,10933718,0.0,1.0
2017-05-15,21.01,22.3,21.01,22.02,20.4288721986093,3487278,0.0,1.0
2017-05-16,22.19,22.41,22.05,22.1,20.5030915344807,1289339,0.0,1.0
2017-05-17,22.15,22.51,21.67,22.1,20.5030915344807,1583699,0.0,1.0
2017-05-18,22.19,23.63,21.98,22.5,20.8741882138378,4075173,0.0,1.0
2017-05-19,22.56,23.49,22.32,22.72,21.0782913874842,1248618,0.0,1.0
2017-05-22,22.8,23.09,22.52,22.89,21.236007476211,383071,0.0,1.0
2017-05-23,22.99,23.61,22.65,23.45,21.755542827311,703985,0.0,1.0
2017-05-24,23.54,23.593,23.01,23.35,21.6627686574717,408791,0.0,1.0
2017-05-25,23.42,23.82,22.31,22.51,20.8834656308218,1080743,0.0,1.0
2017-05-26,22.55,23.24,22.355,23.03,21.365891313986,721073,0.0,1.0
2017-05-30,23.0,23.29,22.59,22.95,21.2916719781146,843125,0.0,1.0
2017-05-31,22.97,23.18,22.67,22.93,21.2731171441467,484429,0.0,1.0
2017-06-01,22.91,23.4345,22.81,22.93,21.2731171441467,486400,0.0,1.0
2017-06-02,22.89,23.1,22.6,22.65,21.0133494685967,546591,0.0,1.0
2017-06-05,22.61,22.91,21.92,22.63,20.9947946346289,422153,0.0,1.0
2017-06-06,21.83,22.71,21.83,22.29,20.6793624571753,1089496,0.0,1.0
2017-06-07,22.4,22.79,21.57,21.76,20.1876593570272,733543,0.0,1.0
2017-06-08,21.75,21.93,21.61,21.65,20.085607770204,432553,0.0,1.0
2017-06-09,21.68,22.82,21.68,22.49,20.8649107968539,565863,0.0,1.0
2017-06-12,22.46,23.58,21.89,23.03,21.365891313986,826169,0.0,1.0
2017-06-13,22.99,24.24,22.8,23.49,21.7926524952467,927265,0.0,1.0
2017-06-14,23.57,23.71,22.55,23.25,21.5699944876324,1988480,0.0,1.0
2017-06-15,23.08,24.55,22.77,22.99,21.3287816460503,1510315,0.0,1.0
2017-06-16,23.0,24.0,23.0,23.92,22.1915814255556,2465627,0.0,1.0
2017-06-19,24.06,24.21,23.54,23.92,22.1915814255556,460198,0.0,1.0
2017-06-20,23.72,23.72,22.21,22.62,20.985517217645,1043702,0.0,1.0
2017-06-21,22.54,22.745,20.63,20.72,19.2228079906987,1275376,0.0,1.0
2017-06-22,20.72,21.07,19.91,21.06,19.5382401681522,1321878,0.0,1.0
2017-06-23,21.03,21.105,20.2401,20.47,18.9908725661005,3690385,0.0,1.0
2017-06-26,20.42,21.05,20.08,20.5,19.0187048170522,790772,0.0,1.0
2017-06-27,20.56,21.63,20.42,21.29,19.7516207587826,1029076,0.0,1.0
2017-06-28,21.28,21.64,21.14,21.27,19.7330659248147,737567,0.0,1.0
2017-06-29,21.33,21.54,21.04,21.43,19.8815045965575,796188,0.0,1.0
2017-06-30,21.54,21.74,21.24,21.61,20.0484981022682,250831,0.0,1.0
2017-07-03,21.75,22.4,21.39,22.34,20.725749542095,396507,0.0,1.0
2017-07-05,22.38,22.41,21.76,21.82,20.2433238589307,765815,0.0,1.0
2017-07-06,21.61,21.61,20.895,20.97,19.4547434152969,1184427,0.0,1.0
2017-07-07,20.99,21.22,20.58,20.67,19.176420905779,953857,0.0,1.0
2017-07-10,20.63,21.48,20.55,21.34,19.7980078437022,826888,0.0,1.0
2017-07-11,21.23,21.8,21.02,21.73,20.1598271060754,656134,0.0,1.0
2017-07-12,21.78,22.34,21.73,22.13,20.5309237854325,1091807,0.0,1.0
2017-07-13,22.11,22.26,21.86,22.06,20.465981866545,1577730,0.0,1.0
2017-07-14,22.13,22.29,21.99,22.08,20.4845367005129,211254,0.0,1.0
2017-07-17,22.06,23.12,21.9225,22.97,21.3102268120824,1357054,0.0,1.0
2017-07-18,22.83,23.21,22.81,23.04,21.3751687309699,962684,0.0,1.0
2017-07-19,23.03,23.42,23.0,23.42,21.7277105763592,742424,0.0,1.0
2017-07-20,23.41,23.62,23.0,23.55,21.8483169971503,454431,0.0,1.0
2017-07-21,23.44,23.69,22.82,23.01,21.3473364800182,1163239,0.0,1.0
2017-07-24,22.93,23.15,22.71,23.14,21.4679429008092,724428,0.0,1.0
2017-07-25,23.28,23.56,22.99,23.45,21.755542827311,1832279,0.0,1.0
2017-07-26,23.6,23.6,22.64,22.82,21.1710655573235,781210,0.0,1.0
2017-07-27,22.81,23.25,22.745,23.23,21.5514396536646,314159,0.0,1.0
2017-07-28,23.08,23.22,22.88,23.09,21.4215558158896,260792,0.0,1.0
2017-07-31,23.23,23.23,22.91,22.96,21.3009493950985,536924,0.0,1.0
2017-08-01,23.0,23.0,22.39,22.5,20.8741882138378,998199,0.0,1.0
2017-08-02,22.5,23.13,22.5,23.02,21.3566138970021,1444358,0.0,1.0
2017-08-03,23.83,23.9965,22.96,23.26,21.5792719046164,2650329,0.0,1.0
2017-08-04,23.46,24.08,23.29,24.07,22.3307426803145,809595,0.0,1.0
2017-08-07,24.09,24.34,23.74,24.04,22.3029104293627,1039061,0.0,1.0
2017-08-08,24.06,24.29,23.73,24.13,22.3864071822181,626655,0.0,1.0
2017-08-09,24.04,24.064,23.48,23.6,21.8947040820699,296760,0.0,1.0
2017-08-10,23.39,23.39,22.52,22.66,21.0226268855807,1247866,0.0,1.0
2017-08-11,22.28,22.91,22.28,22.68,21.0411817195485,605297,0.0,1.0
2017-08-14,22.89,23.19,22.16,22.59,20.9576849666932,970281,0.0,1.0
2017-08-15,22.69,22.8,22.55,22.69,21.0504591365325,1061909,0.0,1.0
2017-08-16,22.8,22.8699,22.59,22.75,21.106123638436,536296,0.0,1.0
2017-08-17,22.6,22.81,21.98,22.0,20.4103173646414,417867,0.0,1.0
2017-08-18,21.91,22.18,21.76,21.97,20.3824851136896,506385,0.0,1.0
2017-08-21,22.66,22.9,22.135,22.39,20.7721366270146,713596,0.0,1.0
2017-08-22,22.52,22.85,22.4,22.78,21.1339558893878,245085,0.0,1.0
2017-08-23,22.58,23.065,22.58,22.96,21.3009493950985,612417,0.0,1.0
2017-08-24,22.98,22.98,22.635,22.7,21.0597365535164,230258,0.0,1.0
2017-08-25,22.82,23.04,22.71,22.98,21.3195042290664,572279,0.0,1.0
2017-08-28,23.07,23.07,22.745,22.95,21.2916719781146,355201,0.0,1.0
2017-08-29,22.81,23.18,22.68,23.06,21.3937235649378,262197,0.0,1.0
2017-08-30,22.95,23.31,22.89,23.3,21.6163815725521,368533,0.0,1.0
2017-08-31,23.47,23.83,23.29,23.49,21.7926524952467,382211,0.0,1.0
2017-09-01,23.7,23.95,23.67,23.7,21.9874782519092,465509,0.0,1.0
2017-09-05,23.78,23.87,22.94,23.12,21.4493880668414,450345,0.0,1.0
2017-09-06,23.32,23.49,22.92,23.35,21.6627686574717,400617,0.0,1.0
2017-09-07,23.43,23.68,23.18,23.61,21.9039814990538,247264,0.0,1.0
2017-09-08,23.53,23.93,23.5,23.76,22.0431427538127,404073,0.0,1.0
2017-09-11,23.95,24.4,23.84,23.89,22.1637491746038,386702,0.0,1.0
2017-09-12,24.06,25.05,23.87,24.53,22.7575038615752,655510,0.0,1.0
2017-09-13,24.58,24.8,24.52,24.67,22.8873876993502,331126,0.0,1.0
2017-09-14,24.68,25.07,24.57,24.97,23.165710208868,480421,0.0,1.0
