date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,30.25,30.25,29.25,29.38,3.22030125349645,173541,0.0,1.0
1999-11-02,29.38,31.25,29.38,31.13,3.41211633837116,256059,0.0,1.0
1999-11-03,31.19,31.31,29.38,29.38,3.22030125349645,152385,0.0,1.0
1999-11-04,29.5,29.63,29.38,29.5,3.23345428788786,136178,0.0,1.0
1999-11-05,29.63,29.88,29.38,29.88,3.27510556346065,70815,0.0,1.0
1999-11-08,29.81,31.0,29.75,30.69,3.36388854560266,133333,0.0,1.0
1999-11-09,30.69,30.69,29.84,30.06,3.29483511504777,149600,0.0,1.0
1999-11-10,30.06,30.13,29.75,30.06,3.29483511504777,60770,0.0,1.0
1999-11-11,30.0,30.0,29.56,29.56,3.24003080508357,60770,0.0,1.0
1999-11-12,29.69,30.06,29.69,30.06,3.29483511504777,99378,0.0,1.0
1999-11-15,29.94,30.63,29.75,30.63,3.35731202840696,128800,0.0,1.0
1999-11-16,30.63,30.63,29.75,30.19,3.30908423563846,124207,0.0,1.0
1999-11-17,30.19,30.44,30.13,30.38,3.32990987342486,74430,0.0,1.0
1999-11-18,30.44,30.94,30.38,30.75,3.37046506279836,58281,0.0,1.0
1999-11-19,30.81,31.19,30.69,31.19,3.41869285556686,86163,0.0,1.0
1999-11-22,31.19,31.56,30.56,31.19,3.41869285556686,820207,0.0,1.0
1999-11-23,31.31,32.0,30.75,31.75,3.48007368272677,128978,0.0,1.0
1999-11-24,31.5,31.5,30.63,30.94,3.39129070058476,87615,0.0,1.0
1999-11-26,31.0,31.0,30.75,30.75,3.37046506279836,31170,0.0,1.0
1999-11-29,30.81,30.88,30.38,30.38,3.32990987342486,154104,0.0,1.0
1999-11-30,29.75,29.94,29.31,29.44,3.22687777069216,253185,0.0,1.0
1999-12-01,29.5,29.75,29.13,29.63,3.24770340847855,112148,0.0,1.0
1999-12-02,29.5,31.25,29.5,31.0,3.39786721778047,159970,0.0,1.0
1999-12-03,31.0,32.06,31.0,32.0,3.50747583770887,137363,0.0,1.0
1999-12-06,32.13,32.25,32.06,32.13,3.52172495829956,69096,0.0,1.0
1999-12-07,32.25,32.5,32.19,32.44,3.55570363047736,83526,0.0,1.0
1999-12-08,32.44,35.0,32.44,35.0,3.83630169749407,168415,0.0,1.0
1999-12-09,35.0,35.0,33.88,34.06,3.73326959476138,235289,0.0,1.0
1999-12-10,34.0,35.13,33.75,35.13,3.85055081808477,377156,0.0,1.0
1999-12-13,35.0,37.31,35.0,37.31,4.08949760952868,219289,0.0,1.0
1999-12-14,37.19,37.56,36.13,37.5,4.11032324731508,104474,0.0,1.0
1999-12-15,37.38,38.25,37.19,37.63,4.12457236790577,109363,0.0,1.0
1999-12-16,37.88,38.88,37.88,38.19,4.18595319506568,210815,0.0,1.0
1999-12-17,38.0,38.62,38.0,38.25,4.19252971226138,155644,0.0,1.0
1999-12-20,38.13,38.38,38.06,38.06,4.17170407447498,74844,0.0,1.0
1999-12-21,38.06,38.63,38.0,38.25,4.19252971226138,123200,0.0,1.0
1999-12-22,38.38,38.56,38.13,38.19,4.18595319506568,28593,0.0,1.0
1999-12-23,38.19,38.44,37.94,38.38,4.20677883285207,63793,0.0,1.0
1999-12-27,38.5,38.5,38.0,38.5,4.21993186724348,57156,0.0,1.0
1999-12-28,38.5,39.25,38.38,39.0,4.27473617720768,61304,0.0,1.0
1999-12-29,38.88,38.94,38.44,38.69,4.24075750502988,63230,0.0,1.0
1999-12-30,38.94,38.94,38.38,38.69,4.24075750502988,341452,0.0,1.0
1999-12-31,38.5,39.5,37.69,39.31,4.30871484938549,41393,0.0,1.0
2000-01-03,39.31,39.31,35.56,35.69,3.91193164524467,197363,0.0,1.0
2000-01-04,35.69,36.38,33.5,34.56,3.78807390472558,105037,0.0,1.0
2000-01-05,34.38,34.56,33.5,33.69,3.69271440538787,198400,0.0,1.0
2000-01-06,33.69,33.69,32.81,33.13,3.63133357822796,196326,0.0,1.0
2000-01-07,33.25,33.5,32.75,33.0,3.61708445763727,185541,0.0,1.0
2000-01-10,33.06,35.0,33.0,34.69,3.80232302531627,482341,0.0,1.0
2000-01-11,35.0,35.5,35.0,35.06,3.84287821468978,72267,0.0,1.0
2000-01-12,35.0,35.0,33.25,33.69,3.69271440538787,94844,0.0,1.0
2000-01-13,33.94,34.0,32.94,34.0,3.72669307756567,137363,0.0,1.0
2000-01-14,34.0,34.25,33.88,33.94,3.72011656036997,46489,0.0,1.0
2000-01-18,33.69,33.69,32.5,32.69,3.58310578545946,130459,0.0,1.0
2000-01-19,32.88,33.06,32.63,32.69,3.58310578545946,34815,0.0,1.0
2000-01-20,32.63,33.63,32.63,33.5,3.67188876760147,61481,0.0,1.0
2000-01-21,33.5,35.0,33.25,34.5,3.78149738752987,222015,0.0,1.0
2000-01-24,34.56,35.69,34.56,34.88,3.82314866310267,448415,0.0,1.0
2000-01-25,34.88,34.88,33.63,33.63,3.68613788819216,130696,0.0,1.0
2000-01-26,33.63,34.94,33.5,33.5,3.67188876760147,139644,0.0,1.0
2000-01-27,33.63,34.25,33.5,33.5,3.67188876760147,270933,0.0,1.0
2000-01-28,33.63,34.38,33.0,34.0,3.72669307756567,108919,0.0,1.0
2000-01-31,34.25,34.75,32.88,33.0,3.61708445763727,138341,0.0,1.0
2000-02-01,32.88,32.88,32.06,32.63,3.57652926826376,149185,0.0,1.0
2000-02-02,32.38,33.5,31.88,33.38,3.65873573321006,84148,0.0,1.0
2000-02-03,33.13,34.25,33.13,33.63,3.68613788819216,118193,0.0,1.0
2000-02-04,33.25,34.87,33.25,34.81,3.81547605970768,48030,0.0,1.0
2000-02-07,34.63,34.63,32.75,33.0,3.61708445763727,176326,0.0,1.0
2000-02-08,33.25,34.38,33.0,34.13,3.74094219815636,154104,0.0,1.0
2000-02-09,34.0,34.0,32.13,32.13,3.52172495829956,88474,0.0,1.0
2000-02-10,32.13,32.13,30.56,31.44,3.44609501054896,158252,0.0,1.0
2000-02-11,31.44,32.5,30.88,31.38,3.43951849335326,194756,0.0,1.0
2000-02-14,31.31,31.31,29.0,30.0,3.28825859785206,352326,0.0,1.0
2000-02-15,30.25,31.38,30.25,31.06,3.40444373497617,209896,0.0,1.0
2000-02-16,30.94,31.13,30.94,31.0,3.39786721778047,82726,0.0,1.0
2000-02-17,31.06,33.94,31.06,33.44,3.66531225040577,132059,0.0,1.0
2000-02-18,33.44,33.63,32.44,32.75,3.58968230265517,80919,0.0,1.0
2000-02-22,32.38,32.38,32.0,32.06,3.51405235490457,27733,0.0,1.0
