date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,73.11,74.42,72.43,73.55,21.0505469734395,1163500,0.0,1.0
1999-11-02,73.74,73.74,71.06,71.06,20.337890794461,1002400,0.0,1.0
1999-11-03,71.68,72.12,70.43,70.43,20.1575801949604,1258400,0.0,1.0
1999-11-04,70.5,70.81,68.31,68.56,19.6223725424746,1373900,0.0,1.0
1999-11-05,67.57,68.06,64.32,66.13,18.9268888015439,3043400,0.0,1.0
1999-11-08,66.01,67.25,64.32,66.51,19.0356475758458,1901200,0.0,1.0
1999-11-09,66.82,67.32,65.01,65.38,18.7122333259479,1437900,0.0,1.0
1999-11-10,65.45,66.82,64.08,65.57,18.7666127130989,1635500,0.0,1.0
1999-11-11,65.7,67.32,65.57,65.76,18.8209921002499,1647800,0.0,1.0
1999-11-12,65.76,66.44,61.27,62.45,17.8736459346199,2037300,0.0,1.0
1999-11-15,62.45,63.83,61.4,63.08,18.0539565341205,2933800,0.0,1.0
1999-11-16,63.83,65.45,63.64,64.82,18.551957237503,2067600,0.0,1.0
1999-11-17,64.82,67.07,64.82,66.94,19.1587167151875,1866300,0.0,1.0
1999-11-18,66.44,67.44,66.07,66.13,18.9268888015439,1743500,0.0,1.0
1999-11-19,66.82,67.63,66.57,67.07,19.1959236642907,2039600,0.0,1.0
1999-11-22,67.13,67.44,66.57,67.19,19.2302685403861,1621100,0.0,1.0
1999-11-23,67.5,67.57,65.82,66.69,19.0871648899888,3654600,0.0,1.0
1999-11-24,66.07,68.81,66.07,68.5,19.605200104427,1429700,0.0,1.0
1999-11-26,68.06,68.13,67.32,67.88,19.4277515779343,408400,0.0,1.0
1999-11-29,67.82,67.82,65.45,65.76,18.8209921002499,1039000,0.0,1.0
1999-11-30,65.76,65.76,63.58,64.57,18.4804054123044,1541500,0.0,1.0
1999-12-01,64.95,65.95,64.08,65.76,18.8209921002499,1163200,0.0,1.0
1999-12-02,65.51,66.13,64.82,65.82,18.8381645382976,649700,0.0,1.0
1999-12-03,65.45,67.69,65.45,67.19,19.2302685403861,944100,0.0,1.0
