date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,35.75,35.75,34.31,34.63,6.5626252717584,56000,0.0,1.0
1999-11-02,34.69,34.75,34.06,34.31,6.50198305151691,26200,0.0,1.0
1999-11-03,34.56,35.38,34.44,35.13,6.65737874088572,98200,0.0,1.0
1999-11-04,35.13,35.13,33.19,33.88,6.42049506806741,106900,0.0,1.0
1999-11-05,33.81,33.88,32.0,33.56,6.35985284782593,179700,0.0,1.0
1999-11-08,33.56,33.56,32.69,33.06,6.2650993786986,42600,0.0,1.0
1999-11-09,33.06,33.38,33.06,33.19,6.28973528067171,65500,0.0,1.0
1999-11-10,33.0,33.06,32.81,32.88,6.23098812981277,40200,0.0,1.0
1999-11-11,32.94,33.06,32.75,32.75,6.20635222783966,14200,0.0,1.0
1999-11-12,32.75,32.75,32.25,32.5,6.158975493276,46100,0.0,1.0
1999-11-15,32.5,32.56,31.97,32.5,6.158975493276,79700,0.0,1.0
1999-11-16,32.44,32.56,32.25,32.38,6.13623466068544,42800,0.0,1.0
1999-11-17,32.5,32.56,31.81,31.81,6.02821570588029,21100,0.0,1.0
1999-11-18,31.75,31.81,31.0,31.13,5.89935098786713,153600,0.0,1.0
1999-11-19,31.25,31.25,30.75,30.88,5.85197425330347,78500,0.0,1.0
1999-11-22,31.0,31.38,30.94,31.31,5.93346223675297,115000,0.0,1.0
1999-11-23,31.5,32.0,31.25,31.56,5.98083897131663,159700,0.0,1.0
1999-11-24,31.63,31.63,31.0,31.56,5.98083897131663,72300,0.0,1.0
1999-11-26,31.56,31.63,31.38,31.44,5.95809813872608,24600,0.0,1.0
1999-11-29,31.5,31.5,30.31,30.81,5.83870876762565,71400,0.0,1.0
1999-11-30,30.88,31.5,30.44,31.44,5.95809813872608,35200,0.0,1.0
1999-12-01,31.31,31.5,31.13,31.31,5.93346223675297,27700,0.0,1.0
1999-12-02,31.38,31.44,30.63,30.69,5.81596793503509,59500,0.0,1.0
1999-12-03,30.81,31.13,30.63,30.94,5.86334466959875,31300,0.0,1.0
1999-12-06,31.0,31.06,30.38,30.38,5.75722078417615,39100,0.0,1.0
1999-12-07,30.38,30.81,30.06,30.44,5.76859120047143,51600,0.0,1.0
1999-12-08,30.25,30.25,29.56,30.25,5.73258488220305,197600,0.0,1.0
1999-12-09,30.5,30.81,30.19,30.63,5.80459751873981,40600,0.0,1.0
1999-12-10,30.63,30.63,30.25,30.5,5.77996161676671,37500,0.0,1.0
1999-12-13,30.38,31.0,30.25,30.81,5.83870876762565,25900,0.0,1.0
1999-12-14,30.69,30.69,29.94,30.0,5.68520814763938,92800,0.0,1.0
1999-12-15,30.0,30.19,29.75,30.06,5.69657856393466,85300,0.0,1.0
1999-12-16,30.19,30.44,30.13,30.38,5.75722078417615,152100,0.0,1.0
1999-12-17,30.12,30.88,30.12,30.31,5.74395529849832,58700,0.0,1.0
1999-12-20,30.19,30.94,30.19,30.38,5.75722078417615,44700,0.0,1.0
1999-12-21,30.25,30.25,29.25,30.0,5.68520814763938,89500,0.0,1.0
1999-12-22,29.75,30.13,29.56,29.63,5.61509058048517,74300,0.0,1.0
1999-12-23,29.56,29.94,29.56,29.75,5.63783141307572,56300,0.0,1.0
1999-12-27,29.75,29.88,29.25,29.75,5.63783141307572,92200,0.0,1.0
1999-12-28,29.75,30.0,29.63,29.88,5.66246731504883,92100,0.0,1.0
1999-12-29,29.94,30.44,29.88,30.44,5.76859120047143,47600,0.0,1.0
1999-12-30,30.44,31.44,30.44,31.44,5.95809813872608,59400,0.0,1.0
1999-12-31,31.44,32.5,31.44,32.5,6.158975493276,40300,0.0,1.0
2000-01-03,32.56,32.56,31.94,31.94,6.0528516078534,105600,0.0,1.0
2000-01-04,31.94,32.13,31.63,31.75,6.01684528958502,63000,0.0,1.0
2000-01-05,31.63,32.25,31.63,32.13,6.08885792612178,102300,0.0,1.0
2000-01-06,31.88,32.25,31.75,32.09,6.0812776485916,125700,0.0,1.0
2000-01-07,32.25,32.88,32.25,32.81,6.21772264413494,64400,0.0,1.0
2000-01-10,33.0,33.13,32.25,33.0,6.25372896240332,50000,0.0,1.0
2000-01-11,32.88,32.88,32.69,32.88,6.23098812981277,28600,0.0,1.0
2000-01-12,32.94,32.94,32.0,32.19,6.10022834241706,15800,0.0,1.0
2000-01-13,32.19,32.81,32.06,32.38,6.13623466068544,44100,0.0,1.0
2000-01-14,32.38,32.56,32.31,32.44,6.14760507698072,43200,0.0,1.0
2000-01-18,32.63,32.63,31.44,31.63,5.99410445699446,107700,0.0,1.0
2000-01-19,31.5,32.31,31.5,31.75,6.01684528958502,57800,0.0,1.0
2000-01-20,31.75,31.94,31.0,31.13,5.89935098786713,108600,0.0,1.0
2000-01-21,30.88,30.94,29.81,30.0,5.68520814763938,112500,0.0,1.0
2000-01-24,30.0,30.56,29.81,29.88,5.66246731504883,86200,0.0,1.0
2000-01-25,29.38,29.63,29.19,29.44,5.57908426221678,87400,0.0,1.0
2000-01-26,29.44,30.0,29.44,29.63,5.61509058048517,109300,0.0,1.0
2000-01-27,29.63,30.06,29.5,29.75,5.63783141307572,122600,0.0,1.0
2000-01-28,29.88,30.0,29.75,29.75,5.63783141307572,155100,0.0,1.0
2000-01-31,29.88,30.0,29.5,29.5,5.59045467851206,118700,0.0,1.0
2000-02-01,29.5,30.38,29.06,30.31,5.74395529849832,171600,0.0,1.0
2000-02-02,30.31,31.19,30.31,31.0,5.87471508589403,146700,0.0,1.0
2000-02-03,30.94,31.5,30.81,30.94,5.86334466959875,118300,0.0,1.0
2000-02-04,30.88,31.31,30.63,30.94,5.86334466959875,59000,0.0,1.0
2000-02-07,31.19,31.19,30.88,30.94,5.86334466959875,84000,0.0,1.0
2000-02-08,30.88,30.94,30.06,30.19,5.72121446590777,78700,0.0,1.0
2000-02-09,30.44,30.44,29.94,29.94,5.67383773134411,128200,0.0,1.0
2000-02-10,29.69,29.94,29.06,29.13,5.52033711135784,120200,0.0,1.0
2000-02-11,29.13,29.69,28.69,28.69,5.4369540585258,111900,0.0,1.0
2000-02-14,28.75,28.75,28.0,28.31,5.36494142198903,97700,0.0,1.0
2000-02-15,28.44,28.56,27.88,28.5,5.40094774025742,73200,0.0,1.0
2000-02-16,28.5,28.88,28.0,28.56,5.41231815655269,81700,0.0,1.0
2000-02-17,28.5,29.0,28.38,28.56,5.41231815655269,98800,0.0,1.0
2000-02-18,28.31,28.31,27.75,28.0,5.30619427113009,42100,0.0,1.0
2000-02-22,28.25,28.88,27.94,28.81,5.45969489111636,96500,0.0,1.0
2000-02-23,28.81,28.81,27.5,27.69,5.24744712027115,65200,0.0,1.0
2000-02-24,27.94,28.19,27.5,27.69,5.24744712027115,38000,0.0,1.0
2000-02-25,27.69,27.75,27.31,27.44,5.20007038570749,23700,0.0,1.0
2000-02-28,27.31,27.38,27.0,27.38,5.18869996941221,42400,0.0,1.0
2000-02-29,27.88,28.25,27.56,28.06,5.31756468742537,113000,0.0,1.0
2000-03-01,28.06,28.63,28.0,28.44,5.38957732396214,59200,0.0,1.0
2000-03-02,28.56,28.56,28.25,28.5,5.40094774025742,62100,0.0,1.0
2000-03-03,28.56,28.56,27.5,27.94,5.29482385483481,81500,0.0,1.0
2000-03-06,27.81,28.06,27.69,28.0,5.30619427113009,172200,0.0,1.0
2000-03-07,28.06,28.19,27.13,27.13,5.14132323484855,32600,0.0,1.0
2000-03-08,27.25,27.44,27.19,27.38,5.18869996941221,79500,0.0,1.0
2000-03-09,27.63,28.19,27.63,28.0,5.30619427113009,82400,0.0,1.0
2000-03-10,27.88,28.0,27.75,27.81,5.27018795286171,94600,0.0,1.0
2000-03-13,27.63,27.81,27.25,27.25,5.16406406743911,59700,0.0,1.0
2000-03-14,27.25,27.25,26.75,26.94,5.10531691658017,93900,0.0,1.0
2000-03-15,26.69,27.75,26.19,27.63,5.23607670397587,106500,0.0,1.0
