date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,12.88,13.19,12.88,13.0,2.57142131436041,68500,0.0,1.0
1999-11-02,12.94,13.13,12.88,12.94,2.55955321598644,64900,0.0,1.0
1999-11-03,12.88,13.5,12.88,13.38,2.64658593739556,154300,0.0,1.0
1999-11-04,13.5,13.63,13.13,13.63,2.69603634728711,75200,0.0,1.0
1999-11-05,13.5,13.63,13.38,13.5,2.67032213414351,70900,0.0,1.0
1999-11-08,13.5,14.13,13.44,14.13,2.7949371670702,104400,0.0,1.0
1999-11-09,14.13,14.75,14.06,14.5,2.86812377370969,101900,0.0,1.0
1999-11-10,14.53,15.0,14.5,14.69,2.90570608522727,66100,0.0,1.0
1999-11-11,14.38,15.0,14.38,14.47,2.86218972452271,130100,0.0,1.0
1999-11-12,14.38,14.63,14.38,14.63,2.8938379868533,52000,0.0,1.0
1999-11-15,14.59,15.0,14.5,14.63,2.8938379868533,46500,0.0,1.0
1999-11-16,14.81,14.88,14.56,14.75,2.91757418360124,50600,0.0,1.0
1999-11-17,14.63,15.0,14.56,14.69,2.90570608522727,89900,0.0,1.0
1999-11-18,14.69,14.75,14.44,14.59,2.88592592127065,87700,0.0,1.0
1999-11-19,14.69,14.88,14.56,14.69,2.90570608522727,81200,0.0,1.0
1999-11-22,14.75,14.88,14.69,14.88,2.94328839674484,44600,0.0,1.0
1999-11-23,14.88,14.88,14.06,14.19,2.80680526544417,48900,0.0,1.0
1999-11-24,14.13,14.13,12.81,13.31,2.63273982262593,142400,0.0,1.0
1999-11-26,13.5,13.5,12.94,13.13,2.59713552750402,76200,0.0,1.0
1999-11-29,13.13,13.5,12.94,13.25,2.62087172425196,73900,0.0,1.0
1999-11-30,13.13,13.44,13.06,13.38,2.64658593739556,73400,0.0,1.0
1999-12-01,13.38,13.38,12.88,12.94,2.55955321598644,59300,0.0,1.0
1999-12-02,13.06,13.69,12.88,13.5,2.67032213414351,59900,0.0,1.0
1999-12-03,13.5,13.69,13.38,13.38,2.64658593739556,54600,0.0,1.0
1999-12-06,13.25,13.61,13.13,13.44,2.65845403576954,22300,0.0,1.0
1999-12-07,13.13,13.44,13.0,13.0,2.57142131436041,48500,0.0,1.0
1999-12-08,13.0,13.44,12.5,12.5,2.47252049457732,82400,0.0,1.0
1999-12-09,13.25,13.25,12.56,13.0,2.57142131436041,72500,0.0,1.0
1999-12-10,13.0,13.31,12.88,13.25,2.62087172425196,49000,0.0,1.0
1999-12-13,13.31,13.5,13.06,13.5,2.67032213414351,51900,0.0,1.0
1999-12-14,13.13,13.5,13.0,13.06,2.58328941273438,61600,0.0,1.0
1999-12-15,13.0,13.38,13.0,13.25,2.62087172425196,87100,0.0,1.0
1999-12-16,13.19,13.44,13.13,13.13,2.59713552750402,62400,0.0,1.0
1999-12-17,13.38,13.5,13.0,13.06,2.58328941273438,167700,0.0,1.0
1999-12-20,13.0,13.06,12.56,12.69,2.5101028060949,100300,0.0,1.0
1999-12-21,12.5,12.75,12.5,12.5,2.47252049457732,62900,0.0,1.0
1999-12-22,12.56,13.19,12.38,13.06,2.58328941273438,88500,0.0,1.0
1999-12-23,13.25,13.25,12.75,12.91,2.55361916679946,71700,0.0,1.0
1999-12-27,13.13,13.13,12.75,13.0,2.57142131436041,80600,0.0,1.0
1999-12-28,13.0,13.19,12.81,13.16,2.603069576691,40400,0.0,1.0
1999-12-29,13.38,13.63,12.75,13.13,2.59713552750402,91200,0.0,1.0
1999-12-30,13.0,13.5,13.0,13.38,2.64658593739556,70800,0.0,1.0
1999-12-31,13.25,14.19,13.25,13.84,2.73757469159601,90300,0.0,1.0
2000-01-03,14.25,14.44,13.06,13.44,2.65845403576954,61500,0.0,1.0
2000-01-04,13.06,13.25,12.75,12.75,2.52197090446887,69900,0.0,1.0
2000-01-05,13.0,13.06,12.63,12.88,2.54768511761247,36400,0.0,1.0
2000-01-06,13.0,13.38,13.0,13.25,2.62087172425196,55900,0.0,1.0
2000-01-07,13.38,13.94,13.06,13.25,2.62087172425196,41400,0.0,1.0
2000-01-10,13.38,13.63,12.75,12.88,2.54768511761247,68100,0.0,1.0
2000-01-11,13.13,13.25,12.88,13.06,2.58328941273438,33600,0.0,1.0
2000-01-12,12.75,13.06,12.69,12.94,2.55955321598644,57300,0.0,1.0
2000-01-13,12.88,13.13,12.88,13.0,2.57142131436041,75200,0.0,1.0
2000-01-14,12.88,13.06,12.69,13.0,2.57142131436041,43000,0.0,1.0
2000-01-18,12.88,13.13,12.69,12.88,2.54768511761247,64900,0.0,1.0
2000-01-19,12.63,12.75,12.44,12.44,2.46065239620335,44900,0.0,1.0
2000-01-20,12.44,12.94,12.44,12.88,2.54768511761247,66900,0.0,1.0
2000-01-21,12.88,12.88,12.31,12.31,2.43493818305975,48200,0.0,1.0
2000-01-24,12.47,12.56,12.0,12.13,2.39933388793783,52900,0.0,1.0
2000-01-25,12.38,12.63,12.0,12.0,2.37361967479423,55600,0.0,1.0
2000-01-26,12.13,13.0,12.13,12.88,2.54768511761247,61200,0.0,1.0
2000-01-27,12.88,13.19,12.25,12.41,2.45471834701636,95500,0.0,1.0
2000-01-28,12.44,12.69,12.13,12.69,2.5101028060949,53500,0.0,1.0
2000-01-31,12.0,12.75,11.75,12.63,2.49823470772093,244200,0.0,1.0
