date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,39.56,39.69,37.63,38.38,14.9516440637232,834700,0.0,1.0
1999-11-02,38.38,38.38,37.38,37.56,14.6321977861763,580300,0.0,1.0
1999-11-03,37.5,37.75,36.88,36.94,14.3906652348602,653300,0.0,1.0
1999-11-04,36.75,37.13,35.56,35.56,13.8530605238666,935000,0.0,1.0
1999-11-05,35.63,36.5,35.25,35.38,13.7829381702587,596600,0.0,1.0
1999-11-08,35.44,36.31,35.38,36.31,14.1452369972327,701600,0.0,1.0
1999-11-09,36.38,36.44,35.13,35.56,13.8530605238666,484800,0.0,1.0
1999-11-10,35.13,35.25,34.5,35.0,13.6349020904198,569800,0.0,1.0
1999-11-11,34.94,35.44,34.0,35.13,13.68554601247,539900,0.0,1.0
1999-11-12,35.38,35.63,34.63,35.13,13.68554601247,352800,0.0,1.0
1999-11-15,35.0,35.44,34.19,34.94,13.6115279725505,551900,0.0,1.0
1999-11-16,34.94,36.0,34.81,35.63,13.8803303280474,455300,0.0,1.0
1999-11-17,35.5,36.38,35.31,36.0,14.0244707215747,336500,0.0,1.0
1999-11-18,35.94,36.13,35.0,35.06,13.6582762082891,502100,0.0,1.0
1999-11-19,34.88,34.88,34.0,34.38,13.3933695391038,938200,0.0,1.0
1999-11-22,33.5,33.53,33.0,33.31,12.9765311037681,813600,0.0,1.0
1999-11-23,34.0,34.5,33.75,33.88,13.1985852235264,811600,0.0,1.0
1999-11-24,34.5,34.94,34.13,34.75,13.5375099326311,516300,0.0,1.0
1999-11-26,34.38,34.38,33.56,34.0,13.3407777738979,216700,0.245,1.0
1999-11-29,34.0,34.63,33.31,34.5,13.5369656823376,508100,0.0,1.0
1999-11-30,34.38,34.75,33.5,33.88,13.2936926758724,879800,0.0,1.0
1999-12-01,33.75,33.81,32.81,33.13,12.9994108132129,1069500,0.0,1.0
1999-12-02,32.81,33.0,32.69,32.75,12.8503080027987,306700,0.0,1.0
1999-12-03,32.69,34.19,32.69,33.56,13.168132414471,473500,0.0,1.0
1999-12-06,32.63,33.38,32.56,32.94,12.9248594080058,512200,0.0,1.0
1999-12-07,32.56,32.81,32.38,32.38,12.7051289505534,570000,0.0,1.0
1999-12-08,32.38,32.56,32.13,32.44,12.7286714995661,267300,0.0,1.0
1999-12-09,32.38,32.69,32.38,32.69,12.826765453786,402400,0.0,1.0
