date,open,high,low,close,adjClose,volume,dividend,split
2008-04-28,29.0,30.0,27.05,27.05,3.18702134827636,906532,0.0,1.0
2008-04-29,26.8,27.4,26.8,27.2,3.20469429475478,927400,0.0,1.0
2008-04-30,27.5,29.2,27.0,27.95,3.29305902714692,927500,0.0,1.0
2008-05-01,28.0,28.0,27.01,27.15,3.19880331259531,2050600,0.0,1.0
2008-05-02,27.2,27.5,25.8,25.8,3.03974679428946,2540647,0.0,1.0
2008-05-05,26.1,26.44,25.05,26.4,3.11043858020317,1664030,0.0,1.0
2008-05-06,25.61,25.7,25.02,25.05,2.95138206189733,3142070,0.0,1.0
2008-05-07,25.2,25.8,24.8,25.5,3.00440090133261,38943367,0.0,1.0
2008-05-08,25.58,25.83,24.74,25.4,2.99261893701366,11538048,0.0,1.0
2008-05-09,25.1,25.4,24.94,25.24,2.97376779410334,9747438,0.0,1.0
2008-05-12,25.11,26.85,25.1,25.57,3.01264827635588,7921758,0.0,1.0
2008-05-13,25.38,25.92,25.2,25.9,3.05152875860841,4518734,0.0,1.0
2008-05-14,25.5,26.31,24.6,26.17,3.08334006226958,4295515,0.0,1.0
2008-05-15,25.75,26.41,25.58,26.03,3.06684531222305,3969288,0.0,1.0
2008-05-16,25.86,26.75,25.67,26.5,3.12222054452212,11418172,0.0,1.0
2008-05-19,26.17,26.45,25.97,26.07,3.07155809795063,5645014,0.0,1.0
2008-05-20,25.7,25.94,25.0,25.55,3.01029188349209,8338029,0.0,1.0
2008-05-21,25.37,25.78,25.26,25.51,3.0055790977645,1729260,0.0,1.0
2008-05-22,25.14,26.13,25.12,25.72,3.0303212228343,7979958,0.0,1.0
2008-05-23,25.52,25.72,25.26,25.42,2.99497532987745,2421087,0.0,1.0
2008-05-27,25.36,25.53,25.12,25.38,2.99026254414987,1899240,0.0,1.0
2008-05-28,25.22,25.47,25.05,25.21,2.97023320480765,5346265,0.0,1.0
2008-05-29,25.01,25.14,24.85,24.95,2.93960009757838,6850828,0.0,1.0
2008-05-30,24.82,25.47,24.77,25.18,2.96669861551197,5456313,0.0,1.0
2008-06-02,24.97,25.07,24.11,24.12,2.84180979373108,2692521,0.0,1.0
2008-06-03,23.8,24.25,23.59,24.2,2.85123536518624,4636377,0.0,1.0
2008-06-04,23.95,24.19,23.88,23.9,2.81588947222939,2871238,0.0,1.0
2008-06-05,24.8,26.38,24.7,25.56,3.01147007992398,10802541,0.0,1.0
2008-06-06,25.12,25.37,24.93,24.98,2.94313468687406,4040897,0.0,1.0
2008-06-09,24.8,25.3,24.69,24.97,2.94195649044217,2018343,0.0,1.0
2008-06-10,24.88,25.1,24.85,24.93,2.93724370471459,3237519,0.0,1.0
2008-06-11,24.98,24.98,24.06,24.33,2.86655191880088,2352276,0.0,1.0
2008-06-12,24.77,24.85,23.995,24.18,2.84887897232245,1885825,0.0,1.0
2008-06-13,24.15,24.73,24.03,24.67,2.90661059748531,2718229,0.0,1.0
2008-06-16,24.73,24.77,23.5,23.71,2.79350374002338,2799015,0.0,1.0
2008-06-17,23.72,23.74,23.22,23.46,2.764048829226,3945095,0.0,1.0
2008-06-18,23.1,24.0,23.06,23.79,2.80292931147854,1883134,0.0,1.0
2008-06-19,23.85,24.01,23.4,23.89,2.81471127579749,2262004,0.0,1.0
2008-06-20,23.66,24.0,23.32,24.0,2.82767143654834,2339498,0.0,1.0
2008-06-23,24.0,24.0,23.56,23.6,2.78054357927253,1562796,0.0,1.0
